Ion = Hydrogen    . Mass = 1.0079
Tgt =  H (Solid). Density = .071486 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.156E+00  3.363E-01 
1.012E+00   1.162E+00  3.340E-01 
1.023E+00   1.169E+00  3.317E-01 
1.035E+00   1.176E+00  3.294E-01 
1.047E+00   1.183E+00  3.271E-01 
1.059E+00   1.189E+00  3.249E-01 
1.072E+00   1.196E+00  3.226E-01 
1.084E+00   1.203E+00  3.203E-01 
1.097E+00   1.210E+00  3.181E-01 
1.109E+00   1.217E+00  3.159E-01 
1.122E+00   1.224E+00  3.137E-01 
1.135E+00   1.231E+00  3.115E-01 
1.148E+00   1.238E+00  3.093E-01 
1.162E+00   1.246E+00  3.071E-01 
1.175E+00   1.253E+00  3.049E-01 
1.189E+00   1.260E+00  3.027E-01 
1.203E+00   1.267E+00  3.006E-01 
1.217E+00   1.275E+00  2.984E-01 
1.231E+00   1.282E+00  2.963E-01 
1.245E+00   1.289E+00  2.942E-01 
1.259E+00   1.297E+00  2.921E-01 
1.274E+00   1.304E+00  2.900E-01 
1.289E+00   1.312E+00  2.879E-01 
1.304E+00   1.320E+00  2.858E-01 
1.319E+00   1.327E+00  2.837E-01 
1.334E+00   1.335E+00  2.817E-01 
1.350E+00   1.343E+00  2.797E-01 
1.365E+00   1.350E+00  2.776E-01 
1.381E+00   1.358E+00  2.756E-01 
1.397E+00   1.366E+00  2.736E-01 
1.413E+00   1.374E+00  2.716E-01 
1.430E+00   1.382E+00  2.696E-01 
1.446E+00   1.390E+00  2.676E-01 
1.463E+00   1.398E+00  2.657E-01 
1.480E+00   1.406E+00  2.637E-01 
1.497E+00   1.414E+00  2.618E-01 
1.515E+00   1.422E+00  2.598E-01 
1.532E+00   1.431E+00  2.579E-01 
1.550E+00   1.439E+00  2.560E-01 
1.568E+00   1.447E+00  2.541E-01 
1.586E+00   1.455E+00  2.522E-01 
1.605E+00   1.464E+00  2.503E-01 
1.623E+00   1.472E+00  2.484E-01 
1.642E+00   1.481E+00  2.466E-01 
1.661E+00   1.489E+00  2.447E-01 
1.680E+00   1.498E+00  2.429E-01 
1.700E+00   1.507E+00  2.411E-01 
1.719E+00   1.515E+00  2.393E-01 
1.739E+00   1.524E+00  2.374E-01 
1.760E+00   1.533E+00  2.357E-01 
1.780E+00   1.542E+00  2.339E-01 
1.801E+00   1.551E+00  2.321E-01 
1.822E+00   1.560E+00  2.303E-01 
1.843E+00   1.569E+00  2.286E-01 
1.864E+00   1.578E+00  2.268E-01 
1.886E+00   1.587E+00  2.251E-01 
1.908E+00   1.596E+00  2.234E-01 
1.930E+00   1.605E+00  2.217E-01 
1.952E+00   1.615E+00  2.200E-01 
1.975E+00   1.624E+00  2.183E-01 
