Ion = Hydrogen    . Mass = 1.0079
Tgt = Ne (Solid). Density = 1.204 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.296E+00  4.959E-01 
1.012E+00   1.304E+00  4.945E-01 
1.023E+00   1.311E+00  4.930E-01 
1.035E+00   1.319E+00  4.916E-01 
1.047E+00   1.326E+00  4.901E-01 
1.059E+00   1.334E+00  4.886E-01 
1.072E+00   1.342E+00  4.871E-01 
1.084E+00   1.350E+00  4.856E-01 
1.097E+00   1.357E+00  4.841E-01 
1.109E+00   1.365E+00  4.826E-01 
1.122E+00   1.373E+00  4.811E-01 
1.135E+00   1.381E+00  4.795E-01 
1.148E+00   1.389E+00  4.780E-01 
1.162E+00   1.397E+00  4.764E-01 
1.175E+00   1.405E+00  4.749E-01 
1.189E+00   1.413E+00  4.733E-01 
1.203E+00   1.421E+00  4.717E-01 
1.217E+00   1.430E+00  4.701E-01 
1.231E+00   1.438E+00  4.685E-01 
1.245E+00   1.446E+00  4.669E-01 
1.259E+00   1.455E+00  4.653E-01 
1.274E+00   1.463E+00  4.637E-01 
1.289E+00   1.471E+00  4.621E-01 
1.304E+00   1.480E+00  4.605E-01 
1.319E+00   1.489E+00  4.588E-01 
1.334E+00   1.497E+00  4.572E-01 
1.350E+00   1.506E+00  4.555E-01 
1.365E+00   1.515E+00  4.539E-01 
1.381E+00   1.523E+00  4.522E-01 
1.397E+00   1.532E+00  4.505E-01 
1.413E+00   1.541E+00  4.489E-01 
1.430E+00   1.550E+00  4.472E-01 
1.446E+00   1.559E+00  4.455E-01 
1.463E+00   1.568E+00  4.438E-01 
1.480E+00   1.577E+00  4.421E-01 
1.497E+00   1.586E+00  4.404E-01 
1.515E+00   1.595E+00  4.387E-01 
1.532E+00   1.604E+00  4.370E-01 
1.550E+00   1.614E+00  4.353E-01 
1.568E+00   1.623E+00  4.336E-01 
1.586E+00   1.632E+00  4.318E-01 
1.605E+00   1.642E+00  4.301E-01 
1.623E+00   1.651E+00  4.284E-01 
1.642E+00   1.661E+00  4.266E-01 
1.661E+00   1.671E+00  4.249E-01 
1.680E+00   1.680E+00  4.231E-01 
1.700E+00   1.690E+00  4.214E-01 
1.719E+00   1.700E+00  4.196E-01 
1.739E+00   1.709E+00  4.179E-01 
1.760E+00   1.719E+00  4.161E-01 
1.780E+00   1.729E+00  4.143E-01 
1.801E+00   1.739E+00  4.126E-01 
1.822E+00   1.749E+00  4.108E-01 
1.843E+00   1.759E+00  4.090E-01 
1.864E+00   1.770E+00  4.073E-01 
1.886E+00   1.780E+00  4.055E-01 
1.908E+00   1.790E+00  4.037E-01 
1.930E+00   1.801E+00  4.019E-01 
1.952E+00   1.811E+00  4.001E-01 
1.975E+00   1.821E+00  3.983E-01 
1.998E+00   1.832E+00  3.965E-01 
2.021E+00   1.843E+00  3.947E-01 
2.044E+00   1.855E+00  3.929E-01 
2.068E+00   1.868E+00  3.912E-01 
2.092E+00   1.880E+00  3.894E-01 
2.116E+00   1.893E+00  3.876E-01 
2.141E+00   1.906E+00  3.858E-01 
2.166E+00   1.919E+00  3.839E-01 
2.191E+00   1.932E+00  3.821E-01 
2.216E+00   1.945E+00  3.803E-01 
2.242E+00   1.958E+00  3.785E-01 
2.268E+00   1.971E+00  3.767E-01 
2.294E+00   1.985E+00  3.749E-01 
2.321E+00   1.998E+00  3.731E-01 
2.348E+00   2.012E+00  3.713E-01 
2.375E+00   2.026E+00  3.695E-01 
2.402E+00   2.040E+00  3.677E-01 
2.430E+00   2.054E+00  3.659E-01 
2.458E+00   2.068E+00  3.641E-01 
2.487E+00   2.082E+00  3.623E-01 
2.516E+00   2.096E+00  3.605E-01 
2.545E+00   2.111E+00  3.587E-01 
2.574E+00   2.125E+00  3.569E-01 
2.604E+00   2.140E+00  3.551E-01 
2.635E+00   2.155E+00  3.533E-01 
2.665E+00   2.170E+00  3.514E-01 
2.696E+00   2.185E+00  3.496E-01 
2.727E+00   2.200E+00  3.478E-01 
2.759E+00   2.216E+00  3.460E-01 
2.791E+00   2.231E+00  3.442E-01 
2.823E+00   2.247E+00  3.425E-01 
2.856E+00   2.263E+00  3.407E-01 
2.889E+00   2.278E+00  3.389E-01 
2.923E+00   2.295E+00  3.371E-01 
2.957E+00   2.311E+00  3.353E-01 
2.991E+00   2.327E+00  3.335E-01 
3.026E+00   2.344E+00  3.317E-01 
3.061E+00   2.360E+00  3.299E-01 
3.096E+00   2.377E+00  3.281E-01 
3.132E+00   2.394E+00  3.264E-01 
3.168E+00   2.411E+00  3.246E-01 
3.205E+00   2.428E+00  3.228E-01 
3.242E+00   2.445E+00  3.210E-01 
3.280E+00   2.463E+00  3.193E-01 
3.318E+00   2.481E+00  3.175E-01 
3.356E+00   2.498E+00  3.157E-01 
3.395E+00   2.516E+00  3.140E-01 
3.435E+00   2.535E+00  3.122E-01 
3.475E+00   2.553E+00  3.105E-01 
