Ion = Hydrogen    . Mass = 1.0079
Tgt = Na (Solid). Density = .97 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.889E+00  4.772E-01 
1.012E+00   3.911E+00  4.760E-01 
1.023E+00   3.934E+00  4.747E-01 
1.035E+00   3.957E+00  4.734E-01 
1.047E+00   3.979E+00  4.721E-01 
1.059E+00   4.002E+00  4.708E-01 
1.072E+00   4.026E+00  4.695E-01 
1.084E+00   4.049E+00  4.682E-01 
1.097E+00   4.072E+00  4.669E-01 
1.109E+00   4.096E+00  4.656E-01 
1.122E+00   4.120E+00  4.642E-01 
1.135E+00   4.143E+00  4.629E-01 
1.148E+00   4.167E+00  4.615E-01 
1.162E+00   4.191E+00  4.602E-01 
1.175E+00   4.216E+00  4.588E-01 
1.189E+00   4.240E+00  4.574E-01 
1.203E+00   4.265E+00  4.560E-01 
1.217E+00   4.289E+00  4.546E-01 
1.231E+00   4.314E+00  4.532E-01 
1.245E+00   4.339E+00  4.518E-01 
1.259E+00   4.364E+00  4.503E-01 
1.274E+00   4.389E+00  4.489E-01 
1.289E+00   4.415E+00  4.475E-01 
1.304E+00   4.440E+00  4.460E-01 
1.319E+00   4.466E+00  4.446E-01 
1.334E+00   4.492E+00  4.431E-01 
1.350E+00   4.518E+00  4.416E-01 
1.365E+00   4.544E+00  4.401E-01 
1.381E+00   4.570E+00  4.387E-01 
1.397E+00   4.597E+00  4.372E-01 
1.413E+00   4.623E+00  4.357E-01 
1.430E+00   4.650E+00  4.342E-01 
1.446E+00   4.677E+00  4.326E-01 
1.463E+00   4.704E+00  4.311E-01 
1.480E+00   4.731E+00  4.296E-01 
1.497E+00   4.758E+00  4.281E-01 
1.515E+00   4.786E+00  4.265E-01 
1.532E+00   4.814E+00  4.250E-01 
1.550E+00   4.841E+00  4.234E-01 
1.568E+00   4.869E+00  4.219E-01 
1.586E+00   4.898E+00  4.203E-01 
1.605E+00   4.926E+00  4.187E-01 
1.623E+00   4.954E+00  4.172E-01 
1.642E+00   4.983E+00  4.156E-01 
1.661E+00   5.012E+00  4.140E-01 
1.680E+00   5.041E+00  4.124E-01 
1.700E+00   5.070E+00  4.108E-01 
1.719E+00   5.099E+00  4.092E-01 
1.739E+00   5.129E+00  4.076E-01 
1.760E+00   5.158E+00  4.060E-01 
1.780E+00   5.188E+00  4.044E-01 
1.801E+00   5.218E+00  4.028E-01 
1.822E+00   5.248E+00  4.012E-01 
1.843E+00   5.279E+00  3.996E-01 
1.864E+00   5.309E+00  3.979E-01 
1.886E+00   5.340E+00  3.963E-01 
1.908E+00   5.371E+00  3.947E-01 
1.930E+00   5.402E+00  3.930E-01 
1.952E+00   5.433E+00  3.914E-01 
1.975E+00   5.465E+00  3.897E-01 
1.998E+00   5.496E+00  3.881E-01 
2.021E+00   5.528E+00  3.864E-01 
2.044E+00   5.559E+00  3.848E-01 
2.068E+00   5.590E+00  3.831E-01 
2.092E+00   5.621E+00  3.815E-01 
2.116E+00   5.652E+00  3.798E-01 
2.141E+00   5.683E+00  3.781E-01 
2.166E+00   5.715E+00  3.765E-01 
2.191E+00   5.746E+00  3.748E-01 
2.216E+00   5.778E+00  3.731E-01 
2.242E+00   5.810E+00  3.715E-01 
2.268E+00   5.842E+00  3.698E-01 
2.294E+00   5.874E+00  3.681E-01 
2.321E+00   5.906E+00  3.664E-01 
2.348E+00   5.938E+00  3.647E-01 
2.375E+00   5.970E+00  3.631E-01 
2.402E+00   6.002E+00  3.614E-01 
2.430E+00   6.035E+00  3.597E-01 
2.458E+00   6.067E+00  3.580E-01 
2.487E+00   6.100E+00  3.563E-01 
2.516E+00   6.132E+00  3.546E-01 
2.545E+00   6.165E+00  3.530E-01 
2.574E+00   6.198E+00  3.513E-01 
2.604E+00   6.230E+00  3.496E-01 
2.635E+00   6.263E+00  3.479E-01 
2.665E+00   6.296E+00  3.462E-01 
2.696E+00   6.329E+00  3.445E-01 
2.727E+00   6.362E+00  3.428E-01 
2.759E+00   6.395E+00  3.411E-01 
2.791E+00   6.428E+00  3.395E-01 
2.823E+00   6.461E+00  3.378E-01 
2.856E+00   6.494E+00  3.361E-01 
2.889E+00   6.528E+00  3.344E-01 
2.923E+00   6.561E+00  3.327E-01 
2.957E+00   6.594E+00  3.310E-01 
2.991E+00   6.627E+00  3.293E-01 
3.026E+00   6.660E+00  3.277E-01 
3.061E+00   6.693E+00  3.260E-01 
3.096E+00   6.727E+00  3.243E-01 
3.132E+00   6.760E+00  3.226E-01 
3.168E+00   6.793E+00  3.209E-01 
3.205E+00   6.827E+00  3.193E-01 
3.242E+00   6.860E+00  3.176E-01 
3.280E+00   6.893E+00  3.159E-01 
3.318E+00   6.926E+00  3.142E-01 
3.356E+00   6.960E+00  3.126E-01 
3.395E+00   6.993E+00  3.109E-01 
3.435E+00   7.026E+00  3.092E-01 
3.475E+00   7.060E+00  3.076E-01 
