Ion = Hydrogen    . Mass = 1.0079
Tgt = Mg (Solid). Density = 1.7366 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.461E+00  4.819E-01 
1.012E+00   4.487E+00  4.807E-01 
1.023E+00   4.513E+00  4.796E-01 
1.035E+00   4.539E+00  4.784E-01 
1.047E+00   4.565E+00  4.772E-01 
1.059E+00   4.592E+00  4.760E-01 
1.072E+00   4.618E+00  4.749E-01 
1.084E+00   4.645E+00  4.737E-01 
1.097E+00   4.672E+00  4.724E-01 
1.109E+00   4.699E+00  4.712E-01 
1.122E+00   4.726E+00  4.700E-01 
1.135E+00   4.753E+00  4.687E-01 
1.148E+00   4.781E+00  4.675E-01 
1.162E+00   4.809E+00  4.662E-01 
1.175E+00   4.836E+00  4.650E-01 
1.189E+00   4.864E+00  4.637E-01 
1.203E+00   4.893E+00  4.624E-01 
1.217E+00   4.921E+00  4.611E-01 
1.231E+00   4.949E+00  4.598E-01 
1.245E+00   4.978E+00  4.585E-01 
1.259E+00   5.007E+00  4.572E-01 
1.274E+00   5.036E+00  4.558E-01 
1.289E+00   5.065E+00  4.545E-01 
1.304E+00   5.094E+00  4.531E-01 
1.319E+00   5.123E+00  4.518E-01 
1.334E+00   5.153E+00  4.504E-01 
1.350E+00   5.183E+00  4.490E-01 
1.365E+00   5.213E+00  4.477E-01 
1.381E+00   5.243E+00  4.463E-01 
1.397E+00   5.273E+00  4.449E-01 
1.413E+00   5.304E+00  4.435E-01 
1.430E+00   5.335E+00  4.421E-01 
1.446E+00   5.365E+00  4.406E-01 
1.463E+00   5.396E+00  4.392E-01 
1.480E+00   5.428E+00  4.378E-01 
1.497E+00   5.459E+00  4.363E-01 
1.515E+00   5.491E+00  4.349E-01 
1.532E+00   5.522E+00  4.334E-01 
1.550E+00   5.554E+00  4.320E-01 
1.568E+00   5.586E+00  4.305E-01 
1.586E+00   5.619E+00  4.290E-01 
1.605E+00   5.651E+00  4.275E-01 
1.623E+00   5.684E+00  4.261E-01 
1.642E+00   5.717E+00  4.246E-01 
1.661E+00   5.750E+00  4.231E-01 
1.680E+00   5.783E+00  4.216E-01 
1.700E+00   5.816E+00  4.200E-01 
1.719E+00   5.850E+00  4.185E-01 
1.739E+00   5.884E+00  4.170E-01 
1.760E+00   5.918E+00  4.155E-01 
1.780E+00   5.952E+00  4.139E-01 
1.801E+00   5.987E+00  4.124E-01 
1.822E+00   6.021E+00  4.109E-01 
1.843E+00   6.056E+00  4.093E-01 
1.864E+00   6.091E+00  4.078E-01 
1.886E+00   6.126E+00  4.062E-01 
1.908E+00   6.162E+00  4.046E-01 
1.930E+00   6.197E+00  4.031E-01 
1.952E+00   6.233E+00  4.015E-01 
1.975E+00   6.269E+00  3.999E-01 
1.998E+00   6.305E+00  3.983E-01 
2.021E+00   6.341E+00  3.967E-01 
2.044E+00   6.375E+00  3.952E-01 
2.068E+00   6.408E+00  3.936E-01 
2.092E+00   6.442E+00  3.920E-01 
2.116E+00   6.476E+00  3.904E-01 
2.141E+00   6.510E+00  3.888E-01 
2.166E+00   6.545E+00  3.872E-01 
2.191E+00   6.579E+00  3.855E-01 
2.216E+00   6.614E+00  3.839E-01 
2.242E+00   6.649E+00  3.823E-01 
2.268E+00   6.684E+00  3.807E-01 
2.294E+00   6.720E+00  3.791E-01 
2.321E+00   6.755E+00  3.774E-01 
2.348E+00   6.791E+00  3.758E-01 
2.375E+00   6.827E+00  3.742E-01 
2.402E+00   6.863E+00  3.726E-01 
2.430E+00   6.900E+00  3.709E-01 
2.458E+00   6.936E+00  3.693E-01 
2.487E+00   6.973E+00  3.676E-01 
2.516E+00   7.010E+00  3.660E-01 
2.545E+00   7.047E+00  3.644E-01 
2.574E+00   7.085E+00  3.627E-01 
2.604E+00   7.122E+00  3.611E-01 
2.635E+00   7.160E+00  3.594E-01 
2.665E+00   7.198E+00  3.578E-01 
2.696E+00   7.236E+00  3.561E-01 
2.727E+00   7.275E+00  3.545E-01 
2.759E+00   7.313E+00  3.528E-01 
2.791E+00   7.352E+00  3.512E-01 
2.823E+00   7.391E+00  3.495E-01 
2.856E+00   7.431E+00  3.479E-01 
2.889E+00   7.470E+00  3.462E-01 
2.923E+00   7.510E+00  3.445E-01 
2.957E+00   7.550E+00  3.429E-01 
2.991E+00   7.590E+00  3.412E-01 
3.026E+00   7.631E+00  3.396E-01 
3.061E+00   7.671E+00  3.379E-01 
3.096E+00   7.712E+00  3.363E-01 
3.132E+00   7.753E+00  3.346E-01 
3.168E+00   7.795E+00  3.330E-01 
3.205E+00   7.836E+00  3.313E-01 
3.242E+00   7.878E+00  3.296E-01 
3.280E+00   7.920E+00  3.280E-01 
3.318E+00   7.962E+00  3.263E-01 
3.356E+00   8.005E+00  3.247E-01 
3.395E+00   8.048E+00  3.230E-01 
3.435E+00   8.091E+00  3.214E-01 
3.475E+00   8.134E+00  3.197E-01 
3.515E+00   8.177E+00  3.181E-01 
3.556E+00   8.221E+00  3.164E-01 
3.597E+00   8.265E+00  3.148E-01 
3.639E+00   8.309E+00  3.131E-01 
3.681E+00   8.353E+00  3.115E-01 
3.724E+00   8.398E+00  3.099E-01 
3.767E+00   8.443E+00  3.082E-01 
3.810E+00   8.488E+00  3.066E-01 
3.855E+00   8.533E+00  3.049E-01 
3.899E+00   8.579E+00  3.033E-01 
3.945E+00   8.625E+00  3.017E-01 
3.990E+00   8.671E+00  3.000E-01 
4.037E+00   8.717E+00  2.984E-01 
4.083E+00   8.764E+00  2.968E-01 
4.131E+00   8.811E+00  2.952E-01 
4.179E+00   8.858E+00  2.935E-01 
4.227E+00   8.905E+00  2.919E-01 
4.276E+00   8.953E+00  2.903E-01 
4.326E+00   9.001E+00  2.887E-01 
4.376E+00   9.049E+00  2.871E-01 
4.427E+00   9.097E+00  2.855E-01 
4.478E+00   9.146E+00  2.839E-01 
4.530E+00   9.194E+00  2.823E-01 
4.583E+00   9.244E+00  2.807E-01 
4.636E+00   9.293E+00  2.791E-01 
4.690E+00   9.343E+00  2.775E-01 
4.744E+00   9.392E+00  2.759E-01 
4.799E+00   9.442E+00  2.743E-01 
4.855E+00   9.493E+00  2.727E-01 
4.911E+00   9.543E+00  2.711E-01 
4.968E+00   9.594E+00  2.696E-01 
5.026E+00   9.645E+00  2.680E-01 
5.084E+00   9.697E+00  2.664E-01 
5.143E+00   9.749E+00  2.649E-01 
5.202E+00   9.800E+00  2.633E-01 
5.263E+00   9.853E+00  2.617E-01 
5.324E+00   9.905E+00  2.602E-01 
5.386E+00   9.958E+00  2.586E-01 
5.448E+00   1.001E+01  2.571E-01 
5.511E+00   1.006E+01  2.556E-01 
5.575E+00   1.012E+01  2.540E-01 
5.640E+00   1.017E+01  2.525E-01 
5.705E+00   1.022E+01  2.510E-01 
5.771E+00   1.028E+01  2.494E-01 
5.838E+00   1.033E+01  2.479E-01 
5.906E+00   1.039E+01  2.464E-01 
5.975E+00   1.044E+01  2.449E-01 
6.044E+00   1.050E+01  2.434E-01 
6.114E+00   1.055E+01  2.419E-01 
6.185E+00   1.061E+01  2.404E-01 
6.257E+00   1.067E+01  2.389E-01 
6.329E+00   1.072E+01  2.374E-01 
6.403E+00   1.078E+01  2.359E-01 
6.477E+00   1.083E+01  2.344E-01 
6.552E+00   1.089E+01  2.330E-01 
6.628E+00   1.095E+01  2.315E-01 
6.705E+00   1.101E+01  2.300E-01 
6.783E+00   1.106E+01  2.286E-01 
6.861E+00   1.112E+01  2.271E-01 
6.941E+00   1.118E+01  2.257E-01 
7.021E+00   1.124E+01  2.242E-01 
7.103E+00   1.130E+01  2.228E-01 
7.185E+00   1.136E+01  2.214E-01 
7.269E+00   1.141E+01  2.199E-01 
7.353E+00   1.147E+01  2.185E-01 
7.438E+00   1.153E+01  2.171E-01 
7.524E+00   1.159E+01  2.157E-01 
7.612E+00   1.165E+01  2.143E-01 
7.700E+00   1.171E+01  2.129E-01 
7.789E+00   1.177E+01  2.115E-01 
7.880E+00   1.184E+01  2.101E-01 
7.971E+00   1.190E+01  2.087E-01 
8.064E+00   1.196E+01  2.073E-01 
8.157E+00   1.202E+01  2.060E-01 
8.252E+00   1.208E+01  2.046E-01 
8.347E+00   1.214E+01  2.032E-01 
8.444E+00   1.220E+01  2.019E-01 
8.542E+00   1.227E+01  2.005E-01 
