Ion = Hydrogen    . Mass = 1.0079
Tgt = Si (Solid). Density = 2.3212 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.942E+00  4.735E-01 
1.012E+00   4.971E+00  4.725E-01 
1.023E+00   5.000E+00  4.716E-01 
1.035E+00   5.029E+00  4.706E-01 
1.047E+00   5.058E+00  4.696E-01 
1.059E+00   5.087E+00  4.686E-01 
1.072E+00   5.116E+00  4.676E-01 
1.084E+00   5.146E+00  4.666E-01 
1.097E+00   5.176E+00  4.656E-01 
1.109E+00   5.206E+00  4.645E-01 
1.122E+00   5.236E+00  4.635E-01 
1.135E+00   5.266E+00  4.624E-01 
1.148E+00   5.297E+00  4.614E-01 
1.162E+00   5.327E+00  4.603E-01 
1.175E+00   5.358E+00  4.592E-01 
1.189E+00   5.389E+00  4.581E-01 
1.203E+00   5.420E+00  4.570E-01 
1.217E+00   5.452E+00  4.559E-01 
1.231E+00   5.483E+00  4.548E-01 
1.245E+00   5.515E+00  4.537E-01 
1.259E+00   5.547E+00  4.526E-01 
1.274E+00   5.579E+00  4.514E-01 
1.289E+00   5.611E+00  4.503E-01 
1.304E+00   5.643E+00  4.491E-01 
1.319E+00   5.676E+00  4.479E-01 
1.334E+00   5.709E+00  4.468E-01 
1.350E+00   5.742E+00  4.456E-01 
1.365E+00   5.775E+00  4.444E-01 
1.381E+00   5.808E+00  4.432E-01 
1.397E+00   5.842E+00  4.420E-01 
1.413E+00   5.876E+00  4.408E-01 
1.430E+00   5.910E+00  4.395E-01 
1.446E+00   5.944E+00  4.383E-01 
1.463E+00   5.978E+00  4.371E-01 
1.480E+00   6.013E+00  4.358E-01 
1.497E+00   6.048E+00  4.346E-01 
1.515E+00   6.083E+00  4.333E-01 
1.532E+00   6.118E+00  4.320E-01 
1.550E+00   6.153E+00  4.307E-01 
1.568E+00   6.189E+00  4.294E-01 
1.586E+00   6.225E+00  4.282E-01 
1.605E+00   6.261E+00  4.269E-01 
1.623E+00   6.297E+00  4.255E-01 
1.642E+00   6.333E+00  4.242E-01 
1.661E+00   6.370E+00  4.229E-01 
1.680E+00   6.407E+00  4.216E-01 
1.700E+00   6.444E+00  4.202E-01 
1.719E+00   6.481E+00  4.189E-01 
1.739E+00   6.519E+00  4.176E-01 
1.760E+00   6.556E+00  4.162E-01 
1.780E+00   6.594E+00  4.148E-01 
1.801E+00   6.632E+00  4.135E-01 
1.822E+00   6.671E+00  4.121E-01 
1.843E+00   6.709E+00  4.107E-01 
