Ion = Hydrogen    . Mass = 1.0079
Tgt =  P (Solid). Density = 1.8219 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.531E+00  4.664E-01 
1.012E+00   4.557E+00  4.656E-01 
1.023E+00   4.583E+00  4.647E-01 
1.035E+00   4.610E+00  4.638E-01 
1.047E+00   4.636E+00  4.629E-01 
1.059E+00   4.663E+00  4.619E-01 
1.072E+00   4.690E+00  4.610E-01 
1.084E+00   4.717E+00  4.601E-01 
1.097E+00   4.745E+00  4.591E-01 
1.109E+00   4.772E+00  4.582E-01 
1.122E+00   4.800E+00  4.572E-01 
1.135E+00   4.827E+00  4.562E-01 
1.148E+00   4.855E+00  4.552E-01 
1.162E+00   4.883E+00  4.543E-01 
1.175E+00   4.912E+00  4.532E-01 
1.189E+00   4.940E+00  4.522E-01 
1.203E+00   4.969E+00  4.512E-01 
1.217E+00   4.997E+00  4.502E-01 
1.231E+00   5.026E+00  4.491E-01 
1.245E+00   5.055E+00  4.481E-01 
1.259E+00   5.085E+00  4.470E-01 
1.274E+00   5.114E+00  4.460E-01 
1.289E+00   5.143E+00  4.449E-01 
1.304E+00   5.173E+00  4.438E-01 
1.319E+00   5.203E+00  4.427E-01 
1.334E+00   5.233E+00  4.416E-01 
1.350E+00   5.263E+00  4.405E-01 
1.365E+00   5.294E+00  4.394E-01 
1.381E+00   5.325E+00  4.383E-01 
1.397E+00   5.355E+00  4.371E-01 
1.413E+00   5.386E+00  4.360E-01 
1.430E+00   5.417E+00  4.348E-01 
1.446E+00   5.449E+00  4.337E-01 
1.463E+00   5.480E+00  4.325E-01 
1.480E+00   5.512E+00  4.313E-01 
1.497E+00   5.544E+00  4.301E-01 
1.515E+00   5.576E+00  4.289E-01 
1.532E+00   5.608E+00  4.278E-01 
1.550E+00   5.641E+00  4.265E-01 
1.568E+00   5.673E+00  4.253E-01 
1.586E+00   5.706E+00  4.241E-01 
1.605E+00   5.739E+00  4.229E-01 
1.623E+00   5.772E+00  4.216E-01 
1.642E+00   5.806E+00  4.204E-01 
1.661E+00   5.839E+00  4.191E-01 
1.680E+00   5.873E+00  4.179E-01 
1.700E+00   5.907E+00  4.166E-01 
1.719E+00   5.941E+00  4.154E-01 
1.739E+00   5.975E+00  4.141E-01 
1.760E+00   6.010E+00  4.128E-01 
1.780E+00   6.045E+00  4.115E-01 
1.801E+00   6.080E+00  4.102E-01 
1.822E+00   6.115E+00  4.089E-01 
1.843E+00   6.150E+00  4.076E-01 
1.864E+00   6.186E+00  4.063E-01 
1.886E+00   6.222E+00  4.049E-01 
1.908E+00   6.257E+00  4.036E-01 
1.930E+00   6.294E+00  4.023E-01 
1.952E+00   6.330E+00  4.009E-01 
1.975E+00   6.367E+00  3.996E-01 
1.998E+00   6.403E+00  3.982E-01 
2.021E+00   6.439E+00  3.969E-01 
2.044E+00   6.467E+00  3.955E-01 
2.068E+00   6.496E+00  3.941E-01 
2.092E+00   6.526E+00  3.928E-01 
2.116E+00   6.555E+00  3.914E-01 
2.141E+00   6.585E+00  3.900E-01 
2.166E+00   6.615E+00  3.886E-01 
2.191E+00   6.645E+00  3.872E-01 
2.216E+00   6.676E+00  3.858E-01 
2.242E+00   6.706E+00  3.844E-01 
2.268E+00   6.737E+00  3.830E-01 
2.294E+00   6.769E+00  3.816E-01 
2.321E+00   6.800E+00  3.802E-01 
2.348E+00   6.832E+00  3.787E-01 
2.375E+00   6.864E+00  3.773E-01 
2.402E+00   6.897E+00  3.759E-01 
2.430E+00   6.929E+00  3.744E-01 
2.458E+00   6.962E+00  3.730E-01 
2.487E+00   6.995E+00  3.716E-01 
2.516E+00   7.029E+00  3.701E-01 
2.545E+00   7.063E+00  3.687E-01 
2.574E+00   7.097E+00  3.672E-01 
2.604E+00   7.131E+00  3.657E-01 
2.635E+00   7.166E+00  3.643E-01 
2.665E+00   7.201E+00  3.628E-01 
2.696E+00   7.237E+00  3.614E-01 
2.727E+00   7.272E+00  3.599E-01 
2.759E+00   7.308E+00  3.584E-01 
2.791E+00   7.345E+00  3.569E-01 
2.823E+00   7.381E+00  3.555E-01 
2.856E+00   7.419E+00  3.540E-01 
2.889E+00   7.456E+00  3.525E-01 
2.923E+00   7.494E+00  3.510E-01 
2.957E+00   7.532E+00  3.495E-01 
2.991E+00   7.571E+00  3.480E-01 
3.026E+00   7.609E+00  3.465E-01 
3.061E+00   7.649E+00  3.450E-01 
3.096E+00   7.689E+00  3.435E-01 
3.132E+00   7.729E+00  3.420E-01 
3.168E+00   7.769E+00  3.405E-01 
3.205E+00   7.810E+00  3.390E-01 
3.242E+00   7.851E+00  3.375E-01 
3.280E+00   7.893E+00  3.360E-01 
3.318E+00   7.935E+00  3.345E-01 
3.356E+00   7.978E+00  3.330E-01 
3.395E+00   8.021E+00  3.315E-01 
3.435E+00   8.065E+00  3.300E-01 
3.475E+00   8.109E+00  3.284E-01 
3.515E+00   8.153E+00  3.269E-01 
3.556E+00   8.198E+00  3.254E-01 
3.597E+00   8.244E+00  3.239E-01 
3.639E+00   8.290E+00  3.224E-01 
3.681E+00   8.336E+00  3.209E-01 
3.724E+00   8.383E+00  3.194E-01 
3.767E+00   8.430E+00  3.178E-01 
3.810E+00   8.478E+00  3.163E-01 
3.855E+00   8.527E+00  3.148E-01 
3.899E+00   8.576E+00  3.133E-01 
3.945E+00   8.625E+00  3.118E-01 
3.990E+00   8.675E+00  3.102E-01 
4.037E+00   8.726E+00  3.087E-01 
4.083E+00   8.777E+00  3.072E-01 
4.131E+00   8.829E+00  3.057E-01 
4.179E+00   8.881E+00  3.042E-01 
4.227E+00   8.934E+00  3.027E-01 
4.276E+00   8.988E+00  3.011E-01 
4.326E+00   9.042E+00  2.996E-01 
4.376E+00   9.097E+00  2.981E-01 
4.427E+00   9.152E+00  2.966E-01 
4.478E+00   9.208E+00  2.951E-01 
4.530E+00   9.264E+00  2.936E-01 
4.583E+00   9.321E+00  2.921E-01 
4.636E+00   9.379E+00  2.906E-01 
4.690E+00   9.438E+00  2.890E-01 
4.744E+00   9.497E+00  2.875E-01 
