Ion = Hydrogen    . Mass = 1.0079
Tgt =  S (Solid). Density = 2.0686 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.164E+00  4.920E-01 
1.012E+00   6.200E+00  4.911E-01 
1.023E+00   6.236E+00  4.903E-01 
1.035E+00   6.272E+00  4.894E-01 
1.047E+00   6.308E+00  4.885E-01 
1.059E+00   6.344E+00  4.875E-01 
1.072E+00   6.381E+00  4.866E-01 
1.084E+00   6.418E+00  4.857E-01 
1.097E+00   6.455E+00  4.847E-01 
1.109E+00   6.493E+00  4.838E-01 
1.122E+00   6.530E+00  4.828E-01 
1.135E+00   6.568E+00  4.818E-01 
1.148E+00   6.606E+00  4.808E-01 
1.162E+00   6.644E+00  4.798E-01 
1.175E+00   6.682E+00  4.788E-01 
1.189E+00   6.721E+00  4.778E-01 
1.203E+00   6.760E+00  4.768E-01 
1.217E+00   6.799E+00  4.757E-01 
1.231E+00   6.838E+00  4.747E-01 
1.245E+00   6.878E+00  4.736E-01 
1.259E+00   6.918E+00  4.726E-01 
1.274E+00   6.958E+00  4.715E-01 
1.289E+00   6.998E+00  4.704E-01 
1.304E+00   7.038E+00  4.693E-01 
1.319E+00   7.079E+00  4.682E-01 
1.334E+00   7.120E+00  4.671E-01 
1.350E+00   7.161E+00  4.660E-01 
1.365E+00   7.203E+00  4.648E-01 
1.381E+00   7.244E+00  4.637E-01 
1.397E+00   7.286E+00  4.625E-01 
1.413E+00   7.328E+00  4.614E-01 
1.430E+00   7.371E+00  4.602E-01 
1.446E+00   7.413E+00  4.590E-01 
1.463E+00   7.456E+00  4.579E-01 
1.480E+00   7.499E+00  4.567E-01 
1.497E+00   7.543E+00  4.555E-01 
1.515E+00   7.586E+00  4.542E-01 
1.532E+00   7.630E+00  4.530E-01 
1.550E+00   7.674E+00  4.518E-01 
1.568E+00   7.719E+00  4.506E-01 
1.586E+00   7.763E+00  4.493E-01 
1.605E+00   7.808E+00  4.481E-01 
1.623E+00   7.853E+00  4.468E-01 
1.642E+00   7.899E+00  4.455E-01 
1.661E+00   7.944E+00  4.443E-01 
1.680E+00   7.990E+00  4.430E-01 
1.700E+00   8.037E+00  4.417E-01 
1.719E+00   8.083E+00  4.404E-01 
1.739E+00   8.130E+00  4.391E-01 
1.760E+00   8.177E+00  4.378E-01 
1.780E+00   8.224E+00  4.364E-01 
1.801E+00   8.272E+00  4.351E-01 
1.822E+00   8.319E+00  4.338E-01 
1.843E+00   8.368E+00  4.324E-01 
1.864E+00   8.416E+00  4.311E-01 
1.886E+00   8.465E+00  4.297E-01 
1.908E+00   8.514E+00  4.283E-01 
1.930E+00   8.563E+00  4.270E-01 
1.952E+00   8.612E+00  4.256E-01 
1.975E+00   8.662E+00  4.242E-01 
1.998E+00   8.712E+00  4.228E-01 
2.021E+00   8.763E+00  4.214E-01 
2.044E+00   8.815E+00  4.200E-01 
2.068E+00   8.868E+00  4.186E-01 
2.092E+00   8.920E+00  4.172E-01 
2.116E+00   8.973E+00  4.158E-01 
2.141E+00   9.025E+00  4.144E-01 
2.166E+00   9.077E+00  4.129E-01 
2.191E+00   9.129E+00  4.115E-01 
2.216E+00   9.181E+00  4.100E-01 
2.242E+00   9.233E+00  4.086E-01 
2.268E+00   9.285E+00  4.071E-01 
2.294E+00   9.337E+00  4.057E-01 
2.321E+00   9.388E+00  4.042E-01 
2.348E+00   9.439E+00  4.027E-01 
2.375E+00   9.490E+00  4.013E-01 
2.402E+00   9.541E+00  3.998E-01 
2.430E+00   9.592E+00  3.983E-01 
2.458E+00   9.642E+00  3.968E-01 
2.487E+00   9.692E+00  3.953E-01 
2.516E+00   9.741E+00  3.938E-01 
