Ion = Hydrogen    . Mass = 1.0079
Tgt = Cl (Solid). Density = 1.8956 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.870E+00  4.818E-01 
1.012E+00   4.898E+00  4.810E-01 
1.023E+00   4.927E+00  4.802E-01 
1.035E+00   4.955E+00  4.794E-01 
1.047E+00   4.984E+00  4.786E-01 
1.059E+00   5.013E+00  4.777E-01 
1.072E+00   5.042E+00  4.768E-01 
1.084E+00   5.071E+00  4.760E-01 
1.097E+00   5.100E+00  4.751E-01 
1.109E+00   5.130E+00  4.742E-01 
1.122E+00   5.159E+00  4.733E-01 
1.135E+00   5.189E+00  4.724E-01 
1.148E+00   5.219E+00  4.715E-01 
1.162E+00   5.249E+00  4.705E-01 
1.175E+00   5.280E+00  4.696E-01 
1.189E+00   5.310E+00  4.687E-01 
1.203E+00   5.341E+00  4.677E-01 
1.217E+00   5.372E+00  4.667E-01 
1.231E+00   5.403E+00  4.657E-01 
1.245E+00   5.434E+00  4.648E-01 
1.259E+00   5.465E+00  4.638E-01 
1.274E+00   5.497E+00  4.628E-01 
1.289E+00   5.529E+00  4.617E-01 
1.304E+00   5.561E+00  4.607E-01 
1.319E+00   5.593E+00  4.597E-01 
1.334E+00   5.625E+00  4.586E-01 
1.350E+00   5.658E+00  4.576E-01 
1.365E+00   5.691E+00  4.565E-01 
1.381E+00   5.724E+00  4.554E-01 
1.397E+00   5.757E+00  4.544E-01 
1.413E+00   5.790E+00  4.533E-01 
1.430E+00   5.823E+00  4.522E-01 
1.446E+00   5.857E+00  4.511E-01 
1.463E+00   5.891E+00  4.499E-01 
1.480E+00   5.925E+00  4.488E-01 
1.497E+00   5.959E+00  4.477E-01 
1.515E+00   5.994E+00  4.465E-01 
1.532E+00   6.028E+00  4.454E-01 
1.550E+00   6.063E+00  4.442E-01 
1.568E+00   6.098E+00  4.431E-01 
1.586E+00   6.134E+00  4.419E-01 
1.605E+00   6.169E+00  4.407E-01 
1.623E+00   6.205E+00  4.395E-01 
1.642E+00   6.241E+00  4.383E-01 
1.661E+00   6.277E+00  4.371E-01 
1.680E+00   6.313E+00  4.359E-01 
1.700E+00   6.349E+00  4.347E-01 
1.719E+00   6.386E+00  4.334E-01 
1.739E+00   6.423E+00  4.322E-01 
1.760E+00   6.460E+00  4.309E-01 
1.780E+00   6.498E+00  4.297E-01 
1.801E+00   6.535E+00  4.284E-01 
1.822E+00   6.573E+00  4.271E-01 
1.843E+00   6.611E+00  4.259E-01 
1.864E+00   6.649E+00  4.246E-01 
1.886E+00   6.688E+00  4.233E-01 
1.908E+00   6.726E+00  4.220E-01 
1.930E+00   6.765E+00  4.207E-01 
1.952E+00   6.804E+00  4.194E-01 
1.975E+00   6.844E+00  4.181E-01 
1.998E+00   6.883E+00  4.167E-01 
2.021E+00   6.922E+00  4.154E-01 
2.044E+00   6.959E+00  4.141E-01 
2.068E+00   6.996E+00  4.127E-01 
2.092E+00   7.033E+00  4.114E-01 
2.116E+00   7.070E+00  4.100E-01 
2.141E+00   7.107E+00  4.086E-01 
2.166E+00   7.145E+00  4.073E-01 
2.191E+00   7.182E+00  4.059E-01 
2.216E+00   7.220E+00  4.045E-01 
2.242E+00   7.259E+00  4.031E-01 
2.268E+00   7.297E+00  4.017E-01 
2.294E+00   7.336E+00  4.003E-01 
2.321E+00   7.375E+00  3.989E-01 
2.348E+00   7.414E+00  3.975E-01 
2.375E+00   7.453E+00  3.961E-01 
2.402E+00   7.493E+00  3.947E-01 
2.430E+00   7.533E+00  3.933E-01 
2.458E+00   7.573E+00  3.919E-01 
2.487E+00   7.613E+00  3.904E-01 
2.516E+00   7.653E+00  3.890E-01 
