Ion = Hydrogen    . Mass = 1.0079
Tgt = Ar (Solid). Density = 1.6504 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.307E+00  4.513E-01 
1.012E+00   5.338E+00  4.506E-01 
1.023E+00   5.369E+00  4.500E-01 
1.035E+00   5.400E+00  4.492E-01 
1.047E+00   5.431E+00  4.485E-01 
1.059E+00   5.462E+00  4.478E-01 
1.072E+00   5.494E+00  4.471E-01 
1.084E+00   5.526E+00  4.463E-01 
1.097E+00   5.558E+00  4.456E-01 
1.109E+00   5.590E+00  4.448E-01 
1.122E+00   5.622E+00  4.440E-01 
1.135E+00   5.655E+00  4.433E-01 
1.148E+00   5.687E+00  4.425E-01 
1.162E+00   5.720E+00  4.417E-01 
1.175E+00   5.753E+00  4.409E-01 
1.189E+00   5.787E+00  4.400E-01 
1.203E+00   5.820E+00  4.392E-01 
1.217E+00   5.854E+00  4.384E-01 
1.231E+00   5.888E+00  4.375E-01 
1.245E+00   5.922E+00  4.367E-01 
1.259E+00   5.956E+00  4.358E-01 
1.274E+00   5.990E+00  4.349E-01 
1.289E+00   6.025E+00  4.340E-01 
1.304E+00   6.060E+00  4.331E-01 
1.319E+00   6.095E+00  4.322E-01 
1.334E+00   6.130E+00  4.313E-01 
1.350E+00   6.166E+00  4.304E-01 
1.365E+00   6.201E+00  4.295E-01 
1.381E+00   6.237E+00  4.285E-01 
1.397E+00   6.273E+00  4.276E-01 
1.413E+00   6.309E+00  4.266E-01 
1.430E+00   6.346E+00  4.256E-01 
1.446E+00   6.383E+00  4.247E-01 
1.463E+00   6.419E+00  4.237E-01 
1.480E+00   6.457E+00  4.227E-01 
1.497E+00   6.494E+00  4.217E-01 
1.515E+00   6.531E+00  4.207E-01 
1.532E+00   6.569E+00  4.197E-01 
1.550E+00   6.607E+00  4.186E-01 
1.568E+00   6.645E+00  4.176E-01 
1.586E+00   6.684E+00  4.166E-01 
1.605E+00   6.723E+00  4.155E-01 
1.623E+00   6.761E+00  4.145E-01 
1.642E+00   6.800E+00  4.134E-01 
1.661E+00   6.840E+00  4.123E-01 
1.680E+00   6.879E+00  4.112E-01 
1.700E+00   6.919E+00  4.102E-01 
1.719E+00   6.959E+00  4.091E-01 
1.739E+00   6.999E+00  4.080E-01 
1.760E+00   7.040E+00  4.068E-01 
1.780E+00   7.081E+00  4.057E-01 
1.801E+00   7.122E+00  4.046E-01 
1.822E+00   7.163E+00  4.035E-01 
1.843E+00   7.204E+00  4.023E-01 
1.864E+00   7.246E+00  4.012E-01 
1.886E+00   7.288E+00  4.000E-01 
1.908E+00   7.330E+00  3.989E-01 
1.930E+00   7.372E+00  3.977E-01 
1.952E+00   7.415E+00  3.965E-01 
1.975E+00   7.458E+00  3.953E-01 
1.998E+00   7.501E+00  3.941E-01 
2.021E+00   7.543E+00  3.929E-01 
2.044E+00   7.582E+00  3.917E-01 
2.068E+00   7.620E+00  3.905E-01 
2.092E+00   7.659E+00  3.893E-01 
2.116E+00   7.698E+00  3.881E-01 
2.141E+00   7.738E+00  3.869E-01 
2.166E+00   7.778E+00  3.856E-01 
2.191E+00   7.818E+00  3.844E-01 
2.216E+00   7.858E+00  3.831E-01 
2.242E+00   7.898E+00  3.819E-01 
2.268E+00   7.939E+00  3.806E-01 
2.294E+00   7.980E+00  3.794E-01 
2.321E+00   8.021E+00  3.781E-01 
2.348E+00   8.063E+00  3.768E-01 
2.375E+00   8.105E+00  3.755E-01 
2.402E+00   8.147E+00  3.743E-01 
2.430E+00   8.189E+00  3.730E-01 
2.458E+00   8.232E+00  3.717E-01 
2.487E+00   8.275E+00  3.704E-01 
2.516E+00   8.318E+00  3.691E-01 
