Ion = Hydrogen    . Mass = 1.0079
Tgt =  K (Solid). Density = .86318 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.502E+00  4.965E-01 
1.012E+00   4.528E+00  4.958E-01 
1.023E+00   4.554E+00  4.951E-01 
1.035E+00   4.580E+00  4.943E-01 
1.047E+00   4.607E+00  4.936E-01 
1.059E+00   4.633E+00  4.929E-01 
1.072E+00   4.660E+00  4.921E-01 
1.084E+00   4.687E+00  4.913E-01 
1.097E+00   4.714E+00  4.906E-01 
1.109E+00   4.742E+00  4.898E-01 
1.122E+00   4.769E+00  4.890E-01 
1.135E+00   4.797E+00  4.881E-01 
1.148E+00   4.824E+00  4.873E-01 
1.162E+00   4.852E+00  4.865E-01 
1.175E+00   4.880E+00  4.856E-01 
1.189E+00   4.908E+00  4.848E-01 
1.203E+00   4.937E+00  4.839E-01 
1.217E+00   4.965E+00  4.830E-01 
1.231E+00   4.994E+00  4.822E-01 
1.245E+00   5.023E+00  4.813E-01 
1.259E+00   5.052E+00  4.803E-01 
1.274E+00   5.081E+00  4.794E-01 
1.289E+00   5.111E+00  4.785E-01 
1.304E+00   5.140E+00  4.776E-01 
1.319E+00   5.170E+00  4.766E-01 
1.334E+00   5.200E+00  4.756E-01 
1.350E+00   5.230E+00  4.747E-01 
1.365E+00   5.260E+00  4.737E-01 
1.381E+00   5.291E+00  4.727E-01 
1.397E+00   5.321E+00  4.717E-01 
1.413E+00   5.352E+00  4.707E-01 
1.430E+00   5.383E+00  4.697E-01 
1.446E+00   5.414E+00  4.686E-01 
1.463E+00   5.445E+00  4.676E-01 
1.480E+00   5.477E+00  4.666E-01 
1.497E+00   5.508E+00  4.655E-01 
1.515E+00   5.540E+00  4.644E-01 
1.532E+00   5.572E+00  4.634E-01 
1.550E+00   5.605E+00  4.623E-01 
1.568E+00   5.637E+00  4.612E-01 
1.586E+00   5.670E+00  4.601E-01 
1.605E+00   5.702E+00  4.590E-01 
1.623E+00   5.735E+00  4.578E-01 
1.642E+00   5.768E+00  4.567E-01 
1.661E+00   5.802E+00  4.556E-01 
1.680E+00   5.835E+00  4.544E-01 
1.700E+00   5.869E+00  4.533E-01 
1.719E+00   5.903E+00  4.521E-01 
1.739E+00   5.937E+00  4.509E-01 
1.760E+00   5.972E+00  4.497E-01 
1.780E+00   6.006E+00  4.485E-01 
1.801E+00   6.041E+00  4.473E-01 
1.822E+00   6.076E+00  4.461E-01 
1.843E+00   6.111E+00  4.449E-01 
1.864E+00   6.146E+00  4.437E-01 
1.886E+00   6.182E+00  4.424E-01 
1.908E+00   6.218E+00  4.412E-01 
1.930E+00   6.253E+00  4.399E-01 
1.952E+00   6.290E+00  4.387E-01 
1.975E+00   6.326E+00  4.374E-01 
1.998E+00   6.363E+00  4.361E-01 
2.021E+00   6.397E+00  4.349E-01 
2.044E+00   6.423E+00  4.336E-01 
2.068E+00   6.449E+00  4.323E-01 
2.092E+00   6.475E+00  4.310E-01 
2.116E+00   6.502E+00  4.297E-01 
2.141E+00   6.529E+00  4.283E-01 
2.166E+00   6.556E+00  4.270E-01 
2.191E+00   6.583E+00  4.257E-01 
2.216E+00   6.611E+00  4.243E-01 
2.242E+00   6.638E+00  4.230E-01 
2.268E+00   6.666E+00  4.216E-01 
2.294E+00   6.695E+00  4.203E-01 
2.321E+00   6.723E+00  4.189E-01 
2.348E+00   6.752E+00  4.175E-01 
2.375E+00   6.781E+00  4.162E-01 
2.402E+00   6.810E+00  4.148E-01 
