Ion = Hydrogen    . Mass = 1.0079
Tgt = He (Solid). Density = .12588 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.904E-01  2.810E-01 
1.012E+00   1.915E-01  2.791E-01 
1.023E+00   1.927E-01  2.773E-01 
1.035E+00   1.938E-01  2.755E-01 
1.047E+00   1.949E-01  2.737E-01 
1.059E+00   1.960E-01  2.719E-01 
1.072E+00   1.972E-01  2.701E-01 
1.084E+00   1.983E-01  2.684E-01 
1.097E+00   1.994E-01  2.666E-01 
1.109E+00   2.006E-01  2.648E-01 
1.122E+00   2.018E-01  2.631E-01 
1.135E+00   2.029E-01  2.613E-01 
1.148E+00   2.041E-01  2.596E-01 
1.162E+00   2.053E-01  2.579E-01 
1.175E+00   2.065E-01  2.561E-01 
1.189E+00   2.077E-01  2.544E-01 
1.203E+00   2.089E-01  2.527E-01 
1.217E+00   2.101E-01  2.510E-01 
1.231E+00   2.113E-01  2.493E-01 
1.245E+00   2.125E-01  2.476E-01 
1.259E+00   2.137E-01  2.459E-01 
1.274E+00   2.150E-01  2.442E-01 
1.289E+00   2.162E-01  2.426E-01 
1.304E+00   2.175E-01  2.409E-01 
1.319E+00   2.187E-01  2.393E-01 
1.334E+00   2.200E-01  2.376E-01 
1.350E+00   2.213E-01  2.360E-01 
1.365E+00   2.225E-01  2.343E-01 
1.381E+00   2.238E-01  2.327E-01 
1.397E+00   2.251E-01  2.311E-01 
1.413E+00   2.264E-01  2.295E-01 
1.430E+00   2.277E-01  2.279E-01 
1.446E+00   2.290E-01  2.263E-01 
1.463E+00   2.304E-01  2.247E-01 
1.480E+00   2.317E-01  2.231E-01 
1.497E+00   2.330E-01  2.216E-01 
1.515E+00   2.344E-01  2.200E-01 
1.532E+00   2.357E-01  2.185E-01 
1.550E+00   2.371E-01  2.169E-01 
1.568E+00   2.385E-01  2.154E-01 
1.586E+00   2.399E-01  2.138E-01 
1.605E+00   2.412E-01  2.123E-01 
1.623E+00   2.426E-01  2.108E-01 
1.642E+00   2.440E-01  2.093E-01 
1.661E+00   2.454E-01  2.078E-01 
1.680E+00   2.469E-01  2.063E-01 
1.700E+00   2.483E-01  2.048E-01 
1.719E+00   2.497E-01  2.033E-01 
1.739E+00   2.512E-01  2.019E-01 
1.760E+00   2.526E-01  2.004E-01 
1.780E+00   2.541E-01  1.989E-01 
1.801E+00   2.556E-01  1.975E-01 
1.822E+00   2.570E-01  1.961E-01 
1.843E+00   2.585E-01  1.946E-01 
1.864E+00   2.600E-01  1.932E-01 
1.886E+00   2.615E-01  1.918E-01 
1.908E+00   2.630E-01  1.904E-01 
1.930E+00   2.646E-01  1.890E-01 
1.952E+00   2.661E-01  1.876E-01 
1.975E+00   2.676E-01  1.862E-01 
1.998E+00   2.692E-01  1.848E-01 
