Ion = Hydrogen    . Mass = 1.0079
Tgt = Ca (Solid). Density = 1.54 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.810E+00  5.154E-01 
1.012E+00   5.843E+00  5.148E-01 
1.023E+00   5.877E+00  5.141E-01 
1.035E+00   5.911E+00  5.134E-01 
1.047E+00   5.945E+00  5.127E-01 
1.059E+00   5.980E+00  5.120E-01 
1.072E+00   6.014E+00  5.113E-01 
1.084E+00   6.049E+00  5.106E-01 
1.097E+00   6.084E+00  5.098E-01 
1.109E+00   6.119E+00  5.091E-01 
1.122E+00   6.155E+00  5.083E-01 
1.135E+00   6.190E+00  5.075E-01 
1.148E+00   6.226E+00  5.068E-01 
1.162E+00   6.262E+00  5.060E-01 
1.175E+00   6.298E+00  5.051E-01 
1.189E+00   6.335E+00  5.043E-01 
1.203E+00   6.371E+00  5.035E-01 
1.217E+00   6.408E+00  5.026E-01 
1.231E+00   6.445E+00  5.018E-01 
1.245E+00   6.482E+00  5.009E-01 
1.259E+00   6.520E+00  5.000E-01 
1.274E+00   6.558E+00  4.992E-01 
1.289E+00   6.596E+00  4.983E-01 
1.304E+00   6.634E+00  4.973E-01 
1.319E+00   6.672E+00  4.964E-01 
1.334E+00   6.711E+00  4.955E-01 
1.350E+00   6.749E+00  4.946E-01 
1.365E+00   6.788E+00  4.936E-01 
1.381E+00   6.828E+00  4.926E-01 
1.397E+00   6.867E+00  4.917E-01 
1.413E+00   6.907E+00  4.907E-01 
1.430E+00   6.947E+00  4.897E-01 
1.446E+00   6.987E+00  4.887E-01 
1.463E+00   7.027E+00  4.876E-01 
1.480E+00   7.068E+00  4.866E-01 
1.497E+00   7.109E+00  4.856E-01 
1.515E+00   7.150E+00  4.845E-01 
1.532E+00   7.191E+00  4.835E-01 
1.550E+00   7.233E+00  4.824E-01 
1.568E+00   7.275E+00  4.813E-01 
1.586E+00   7.317E+00  4.802E-01 
1.605E+00   7.359E+00  4.791E-01 
1.623E+00   7.402E+00  4.780E-01 
1.642E+00   7.445E+00  4.769E-01 
1.661E+00   7.488E+00  4.758E-01 
1.680E+00   7.531E+00  4.746E-01 
1.700E+00   7.574E+00  4.735E-01 
1.719E+00   7.618E+00  4.723E-01 
1.739E+00   7.662E+00  4.711E-01 
1.760E+00   7.707E+00  4.700E-01 
1.780E+00   7.751E+00  4.688E-01 
1.801E+00   7.796E+00  4.676E-01 
1.822E+00   7.841E+00  4.664E-01 
1.843E+00   7.886E+00  4.652E-01 
1.864E+00   7.932E+00  4.639E-01 
1.886E+00   7.978E+00  4.627E-01 
1.908E+00   8.024E+00  4.615E-01 
1.930E+00   8.070E+00  4.602E-01 
1.952E+00   8.117E+00  4.590E-01 
1.975E+00   8.164E+00  4.577E-01 
1.998E+00   8.211E+00  4.564E-01 
2.021E+00   8.258E+00  4.551E-01 
2.044E+00   8.302E+00  4.538E-01 
2.068E+00   8.347E+00  4.525E-01 
2.092E+00   8.392E+00  4.512E-01 
2.116E+00   8.437E+00  4.499E-01 
2.141E+00   8.482E+00  4.486E-01 
2.166E+00   8.528E+00  4.473E-01 
2.191E+00   8.573E+00  4.459E-01 
2.216E+00   8.619E+00  4.446E-01 
2.242E+00   8.666E+00  4.432E-01 
2.268E+00   8.712E+00  4.418E-01 
2.294E+00   8.759E+00  4.405E-01 
2.321E+00   8.806E+00  4.391E-01 
2.348E+00   8.853E+00  4.377E-01 
2.375E+00   8.901E+00  4.363E-01 
2.402E+00   8.949E+00  4.349E-01 
2.430E+00   8.997E+00  4.335E-01 
2.458E+00   9.045E+00  4.321E-01 
2.487E+00   9.094E+00  4.307E-01 
2.516E+00   9.143E+00  4.293E-01 
2.545E+00   9.192E+00  4.278E-01 
2.574E+00   9.241E+00  4.264E-01 
2.604E+00   9.291E+00  4.249E-01 
2.635E+00   9.341E+00  4.235E-01 
2.665E+00   9.391E+00  4.220E-01 
2.696E+00   9.442E+00  4.206E-01 
2.727E+00   9.493E+00  4.191E-01 
2.759E+00   9.544E+00  4.176E-01 
2.791E+00   9.595E+00  4.161E-01 
2.823E+00   9.647E+00  4.147E-01 
2.856E+00   9.698E+00  4.132E-01 
2.889E+00   9.751E+00  4.117E-01 
2.923E+00   9.803E+00  4.102E-01 
2.957E+00   9.856E+00  4.087E-01 
2.991E+00   9.909E+00  4.071E-01 
3.026E+00   9.962E+00  4.056E-01 
3.061E+00   1.002E+01  4.041E-01 
3.096E+00   1.007E+01  4.026E-01 
3.132E+00   1.012E+01  4.011E-01 
3.168E+00   1.018E+01  3.995E-01 
3.205E+00   1.023E+01  3.980E-01 
3.242E+00   1.029E+01  3.964E-01 
3.280E+00   1.034E+01  3.949E-01 
3.318E+00   1.040E+01  3.933E-01 
3.356E+00   1.046E+01  3.918E-01 
3.395E+00   1.051E+01  3.902E-01 
3.435E+00   1.057E+01  3.887E-01 
3.475E+00   1.062E+01  3.871E-01 
3.515E+00   1.068E+01  3.855E-01 
3.556E+00   1.074E+01  3.839E-01 
3.597E+00   1.080E+01  3.824E-01 
3.639E+00   1.086E+01  3.808E-01 
3.681E+00   1.091E+01  3.792E-01 
3.724E+00   1.097E+01  3.776E-01 
3.767E+00   1.103E+01  3.760E-01 
3.810E+00   1.109E+01  3.744E-01 
3.855E+00   1.115E+01  3.728E-01 
3.899E+00   1.121E+01  3.712E-01 
3.945E+00   1.127E+01  3.696E-01 
3.990E+00   1.133E+01  3.680E-01 
4.037E+00   1.139E+01  3.664E-01 
4.083E+00   1.145E+01  3.648E-01 
4.131E+00   1.151E+01  3.632E-01 
4.179E+00   1.158E+01  3.616E-01 
4.227E+00   1.164E+01  3.600E-01 
4.276E+00   1.170E+01  3.584E-01 
4.326E+00   1.176E+01  3.568E-01 
4.376E+00   1.183E+01  3.552E-01 
4.427E+00   1.189E+01  3.535E-01 
4.478E+00   1.195E+01  3.519E-01 
4.530E+00   1.202E+01  3.503E-01 
4.583E+00   1.208E+01  3.487E-01 
4.636E+00   1.215E+01  3.471E-01 
4.690E+00   1.221E+01  3.454E-01 
4.744E+00   1.228E+01  3.438E-01 
4.799E+00   1.234E+01  3.422E-01 
4.855E+00   1.241E+01  3.406E-01 
4.911E+00   1.248E+01  3.389E-01 
4.968E+00   1.254E+01  3.373E-01 
5.026E+00   1.261E+01  3.357E-01 
5.084E+00   1.268E+01  3.341E-01 
5.143E+00   1.275E+01  3.324E-01 
5.202E+00   1.281E+01  3.308E-01 
5.263E+00   1.288E+01  3.292E-01 
5.324E+00   1.295E+01  3.276E-01 
5.386E+00   1.302E+01  3.259E-01 
5.448E+00   1.309E+01  3.243E-01 
5.511E+00   1.316E+01  3.227E-01 
5.575E+00   1.323E+01  3.211E-01 
5.640E+00   1.330E+01  3.195E-01 
5.705E+00   1.337E+01  3.178E-01 
5.771E+00   1.344E+01  3.162E-01 
5.838E+00   1.351E+01  3.146E-01 
5.906E+00   1.359E+01  3.130E-01 
5.975E+00   1.366E+01  3.114E-01 
6.044E+00   1.373E+01  3.098E-01 
6.114E+00   1.381E+01  3.081E-01 
6.185E+00   1.388E+01  3.065E-01 
6.257E+00   1.395E+01  3.049E-01 
6.329E+00   1.403E+01  3.033E-01 
6.403E+00   1.410E+01  3.017E-01 
6.477E+00   1.418E+01  3.001E-01 
6.552E+00   1.425E+01  2.985E-01 
6.628E+00   1.433E+01  2.969E-01 
6.705E+00   1.440E+01  2.953E-01 
6.783E+00   1.448E+01  2.937E-01 
6.861E+00   1.456E+01  2.921E-01 
6.941E+00   1.463E+01  2.905E-01 
7.021E+00   1.471E+01  2.889E-01 
7.103E+00   1.479E+01  2.873E-01 
7.185E+00   1.487E+01  2.857E-01 
7.269E+00   1.494E+01  2.842E-01 
7.353E+00   1.502E+01  2.826E-01 
7.438E+00   1.510E+01  2.810E-01 
7.524E+00   1.518E+01  2.794E-01 
7.612E+00   1.526E+01  2.779E-01 
7.700E+00   1.534E+01  2.763E-01 
7.789E+00   1.542E+01  2.747E-01 
7.880E+00   1.550E+01  2.732E-01 
7.971E+00   1.559E+01  2.716E-01 
8.064E+00   1.567E+01  2.700E-01 
8.157E+00   1.575E+01  2.685E-01 
8.252E+00   1.583E+01  2.669E-01 
8.347E+00   1.592E+01  2.654E-01 
8.444E+00   1.600E+01  2.639E-01 
8.542E+00   1.608E+01  2.623E-01 
8.641E+00   1.617E+01  2.608E-01 
8.741E+00   1.625E+01  2.593E-01 
8.843E+00   1.634E+01  2.577E-01 
8.945E+00   1.642E+01  2.562E-01 
9.049E+00   1.651E+01  2.547E-01 
9.154E+00   1.659E+01  2.532E-01 
9.260E+00   1.668E+01  2.517E-01 
9.368E+00   1.676E+01  2.502E-01 
9.476E+00   1.685E+01  2.486E-01 
9.586E+00   1.694E+01  2.471E-01 
9.698E+00   1.703E+01  2.457E-01 
9.810E+00   1.711E+01  2.442E-01 
9.924E+00   1.720E+01  2.427E-01 
1.004E+01   1.729E+01  2.412E-01 
1.016E+01   1.738E+01  2.397E-01 
1.027E+01   1.747E+01  2.382E-01 
1.039E+01   1.756E+01  2.368E-01 
1.051E+01   1.765E+01  2.353E-01 
1.063E+01   1.774E+01  2.339E-01 
1.076E+01   1.783E+01  2.324E-01 
1.088E+01   1.792E+01  2.309E-01 
1.101E+01   1.801E+01  2.295E-01 
1.114E+01   1.811E+01  2.281E-01 
1.127E+01   1.820E+01  2.266E-01 
1.140E+01   1.829E+01  2.252E-01 
1.153E+01   1.838E+01  2.238E-01 
1.166E+01   1.848E+01  2.223E-01 
1.180E+01   1.857E+01  2.209E-01 
1.193E+01   1.867E+01  2.195E-01 
1.207E+01   1.876E+01  2.181E-01 
1.221E+01   1.886E+01  2.167E-01 
1.235E+01   1.895E+01  2.153E-01 
1.250E+01   1.905E+01  2.139E-01 
