Ion = Hydrogen    . Mass = 1.0079
Tgt = Sc (Solid). Density = 2.989 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.704E+00  4.849E-01 
1.012E+00   5.737E+00  4.843E-01 
1.023E+00   5.771E+00  4.837E-01 
1.035E+00   5.804E+00  4.831E-01 
1.047E+00   5.838E+00  4.825E-01 
1.059E+00   5.871E+00  4.819E-01 
1.072E+00   5.905E+00  4.813E-01 
1.084E+00   5.939E+00  4.807E-01 
1.097E+00   5.974E+00  4.800E-01 
1.109E+00   6.008E+00  4.794E-01 
1.122E+00   6.043E+00  4.787E-01 
1.135E+00   6.078E+00  4.780E-01 
1.148E+00   6.113E+00  4.773E-01 
1.162E+00   6.149E+00  4.766E-01 
1.175E+00   6.184E+00  4.759E-01 
1.189E+00   6.220E+00  4.752E-01 
1.203E+00   6.256E+00  4.744E-01 
1.217E+00   6.292E+00  4.737E-01 
1.231E+00   6.328E+00  4.729E-01 
1.245E+00   6.365E+00  4.722E-01 
1.259E+00   6.402E+00  4.714E-01 
1.274E+00   6.439E+00  4.706E-01 
1.289E+00   6.476E+00  4.698E-01 
1.304E+00   6.513E+00  4.690E-01 
1.319E+00   6.551E+00  4.682E-01 
1.334E+00   6.589E+00  4.673E-01 
1.350E+00   6.627E+00  4.665E-01 
1.365E+00   6.665E+00  4.656E-01 
1.381E+00   6.704E+00  4.648E-01 
1.397E+00   6.743E+00  4.639E-01 
1.413E+00   6.782E+00  4.630E-01 
1.430E+00   6.821E+00  4.621E-01 
1.446E+00   6.860E+00  4.612E-01 
1.463E+00   6.900E+00  4.603E-01 
1.480E+00   6.940E+00  4.594E-01 
1.497E+00   6.980E+00  4.585E-01 
1.515E+00   7.021E+00  4.575E-01 
1.532E+00   7.061E+00  4.566E-01 
1.550E+00   7.102E+00  4.556E-01 
1.568E+00   7.143E+00  4.546E-01 
1.586E+00   7.184E+00  4.537E-01 
1.605E+00   7.226E+00  4.527E-01 
1.623E+00   7.268E+00  4.517E-01 
1.642E+00   7.310E+00  4.507E-01 
1.661E+00   7.352E+00  4.496E-01 
1.680E+00   7.394E+00  4.486E-01 
1.700E+00   7.437E+00  4.476E-01 
1.719E+00   7.480E+00  4.465E-01 
1.739E+00   7.523E+00  4.455E-01 
1.760E+00   7.567E+00  4.444E-01 
1.780E+00   7.611E+00  4.433E-01 
1.801E+00   7.655E+00  4.423E-01 
1.822E+00   7.699E+00  4.412E-01 
1.843E+00   7.744E+00  4.401E-01 
1.864E+00   7.788E+00  4.390E-01 
1.886E+00   7.833E+00  4.378E-01 
1.908E+00   7.879E+00  4.367E-01 
1.930E+00   7.924E+00  4.356E-01 
1.952E+00   7.970E+00  4.344E-01 
1.975E+00   8.016E+00  4.333E-01 
1.998E+00   8.062E+00  4.321E-01 
2.021E+00   8.109E+00  4.310E-01 
2.044E+00   8.154E+00  4.298E-01 
2.068E+00   8.200E+00  4.286E-01 
2.092E+00   8.246E+00  4.274E-01 
2.116E+00   8.292E+00  4.262E-01 
2.141E+00   8.339E+00  4.250E-01 
2.166E+00   8.386E+00  4.238E-01 
2.191E+00   8.433E+00  4.225E-01 
2.216E+00   8.480E+00  4.213E-01 
2.242E+00   8.528E+00  4.201E-01 
2.268E+00   8.575E+00  4.188E-01 
2.294E+00   8.623E+00  4.176E-01 
2.321E+00   8.672E+00  4.163E-01 
2.348E+00   8.721E+00  4.151E-01 
2.375E+00   8.769E+00  4.138E-01 
2.402E+00   8.819E+00  4.125E-01 
2.430E+00   8.868E+00  4.112E-01 
2.458E+00   8.918E+00  4.099E-01 
2.487E+00   8.968E+00  4.086E-01 
2.516E+00   9.018E+00  4.073E-01 
2.545E+00   9.069E+00  4.060E-01 
2.574E+00   9.120E+00  4.047E-01 
2.604E+00   9.171E+00  4.033E-01 
2.635E+00   9.223E+00  4.020E-01 
2.665E+00   9.274E+00  4.007E-01 
2.696E+00   9.326E+00  3.993E-01 
2.727E+00   9.379E+00  3.980E-01 
2.759E+00   9.431E+00  3.966E-01 
2.791E+00   9.484E+00  3.953E-01 
2.823E+00   9.538E+00  3.939E-01 
2.856E+00   9.591E+00  3.925E-01 
2.889E+00   9.645E+00  3.911E-01 
2.923E+00   9.699E+00  3.897E-01 
