Ion = Hydrogen    . Mass = 1.0079
Tgt = Ti (Solid). Density = 4.5189 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.939E+00  4.729E-01 
1.012E+00   4.968E+00  4.725E-01 
1.023E+00   4.997E+00  4.720E-01 
1.035E+00   5.026E+00  4.716E-01 
1.047E+00   5.055E+00  4.711E-01 
1.059E+00   5.084E+00  4.706E-01 
1.072E+00   5.113E+00  4.701E-01 
1.084E+00   5.143E+00  4.696E-01 
1.097E+00   5.173E+00  4.691E-01 
1.109E+00   5.202E+00  4.686E-01 
1.122E+00   5.233E+00  4.680E-01 
1.135E+00   5.263E+00  4.675E-01 
1.148E+00   5.293E+00  4.669E-01 
1.162E+00   5.324E+00  4.663E-01 
1.175E+00   5.355E+00  4.658E-01 
1.189E+00   5.386E+00  4.652E-01 
1.203E+00   5.417E+00  4.646E-01 
1.217E+00   5.448E+00  4.639E-01 
1.231E+00   5.480E+00  4.633E-01 
1.245E+00   5.511E+00  4.627E-01 
1.259E+00   5.543E+00  4.620E-01 
1.274E+00   5.575E+00  4.614E-01 
1.289E+00   5.607E+00  4.607E-01 
1.304E+00   5.640E+00  4.600E-01 
1.319E+00   5.672E+00  4.593E-01 
1.334E+00   5.705E+00  4.586E-01 
1.350E+00   5.738E+00  4.579E-01 
1.365E+00   5.771E+00  4.571E-01 
1.381E+00   5.805E+00  4.564E-01 
1.397E+00   5.838E+00  4.557E-01 
1.413E+00   5.872E+00  4.549E-01 
1.430E+00   5.906E+00  4.541E-01 
1.446E+00   5.940E+00  4.533E-01 
1.463E+00   5.975E+00  4.525E-01 
1.480E+00   6.009E+00  4.517E-01 
1.497E+00   6.044E+00  4.509E-01 
1.515E+00   6.079E+00  4.501E-01 
1.532E+00   6.114E+00  4.493E-01 
1.550E+00   6.149E+00  4.484E-01 
1.568E+00   6.185E+00  4.476E-01 
1.586E+00   6.221E+00  4.467E-01 
1.605E+00   6.257E+00  4.458E-01 
1.623E+00   6.293E+00  4.449E-01 
1.642E+00   6.329E+00  4.440E-01 
1.661E+00   6.366E+00  4.431E-01 
1.680E+00   6.403E+00  4.422E-01 
1.700E+00   6.440E+00  4.413E-01 
1.719E+00   6.477E+00  4.404E-01 
1.739E+00   6.514E+00  4.394E-01 
1.760E+00   6.552E+00  4.385E-01 
1.780E+00   6.590E+00  4.375E-01 
1.801E+00   6.628E+00  4.365E-01 
1.822E+00   6.666E+00  4.355E-01 
1.843E+00   6.705E+00  4.345E-01 
1.864E+00   6.744E+00  4.335E-01 
1.886E+00   6.783E+00  4.325E-01 
1.908E+00   6.822E+00  4.315E-01 
1.930E+00   6.861E+00  4.305E-01 
1.952E+00   6.901E+00  4.294E-01 
1.975E+00   6.941E+00  4.284E-01 
1.998E+00   6.981E+00  4.273E-01 
2.021E+00   7.021E+00  4.262E-01 
2.044E+00   7.061E+00  4.252E-01 
2.068E+00   7.102E+00  4.241E-01 
2.092E+00   7.142E+00  4.230E-01 
2.116E+00   7.183E+00  4.219E-01 
2.141E+00   7.224E+00  4.208E-01 
2.166E+00   7.265E+00  4.196E-01 
2.191E+00   7.306E+00  4.185E-01 
2.216E+00   7.348E+00  4.174E-01 
2.242E+00   7.390E+00  4.162E-01 
2.268E+00   7.432E+00  4.151E-01 
2.294E+00   7.475E+00  4.139E-01 
2.321E+00   7.517E+00  4.128E-01 
2.348E+00   7.560E+00  4.116E-01 
2.375E+00   7.603E+00  4.104E-01 
2.402E+00   7.646E+00  4.092E-01 
2.430E+00   7.690E+00  4.080E-01 
2.458E+00   7.734E+00  4.068E-01 
2.487E+00   7.778E+00  4.056E-01 
2.516E+00   7.822E+00  4.044E-01 
2.545E+00   7.867E+00  4.031E-01 
2.574E+00   7.912E+00  4.019E-01 
2.604E+00   7.957E+00  4.007E-01 
2.635E+00   8.002E+00  3.994E-01 
2.665E+00   8.047E+00  3.981E-01 
2.696E+00   8.093E+00  3.969E-01 
2.727E+00   8.139E+00  3.956E-01 
2.759E+00   8.186E+00  3.943E-01 
2.791E+00   8.232E+00  3.931E-01 
2.823E+00   8.279E+00  3.918E-01 
2.856E+00   8.326E+00  3.905E-01 
2.889E+00   8.374E+00  3.892E-01 
2.923E+00   8.421E+00  3.879E-01 
2.957E+00   8.469E+00  3.865E-01 
2.991E+00   8.517E+00  3.852E-01 
3.026E+00   8.566E+00  3.839E-01 
3.061E+00   8.614E+00  3.826E-01 
3.096E+00   8.663E+00  3.812E-01 
3.132E+00   8.712E+00  3.799E-01 
3.168E+00   8.762E+00  3.785E-01 
3.205E+00   8.812E+00  3.772E-01 
