Ion = Hydrogen    . Mass = 1.0079
Tgt =  V (Solid). Density = 5.96 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.454E+00  4.754E-01 
1.012E+00   4.480E+00  4.750E-01 
1.023E+00   4.505E+00  4.746E-01 
1.035E+00   4.531E+00  4.742E-01 
1.047E+00   4.558E+00  4.738E-01 
1.059E+00   4.584E+00  4.733E-01 
1.072E+00   4.611E+00  4.729E-01 
1.084E+00   4.637E+00  4.724E-01 
1.097E+00   4.664E+00  4.719E-01 
1.109E+00   4.691E+00  4.715E-01 
1.122E+00   4.718E+00  4.710E-01 
1.135E+00   4.745E+00  4.704E-01 
1.148E+00   4.773E+00  4.699E-01 
1.162E+00   4.800E+00  4.694E-01 
1.175E+00   4.828E+00  4.689E-01 
1.189E+00   4.856E+00  4.683E-01 
1.203E+00   4.884E+00  4.677E-01 
1.217E+00   4.912E+00  4.672E-01 
1.231E+00   4.941E+00  4.666E-01 
1.245E+00   4.969E+00  4.660E-01 
1.259E+00   4.998E+00  4.654E-01 
1.274E+00   5.027E+00  4.647E-01 
1.289E+00   5.056E+00  4.641E-01 
1.304E+00   5.085E+00  4.635E-01 
1.319E+00   5.115E+00  4.628E-01 
1.334E+00   5.144E+00  4.621E-01 
1.350E+00   5.174E+00  4.614E-01 
1.365E+00   5.204E+00  4.608E-01 
1.381E+00   5.234E+00  4.601E-01 
1.397E+00   5.264E+00  4.593E-01 
1.413E+00   5.295E+00  4.586E-01 
1.430E+00   5.325E+00  4.579E-01 
1.446E+00   5.356E+00  4.571E-01 
1.463E+00   5.387E+00  4.564E-01 
1.480E+00   5.418E+00  4.556E-01 
1.497E+00   5.450E+00  4.548E-01 
1.515E+00   5.481E+00  4.540E-01 
1.532E+00   5.513E+00  4.532E-01 
1.550E+00   5.545E+00  4.524E-01 
1.568E+00   5.577E+00  4.516E-01 
1.586E+00   5.609E+00  4.508E-01 
1.605E+00   5.642E+00  4.499E-01 
1.623E+00   5.674E+00  4.491E-01 
1.642E+00   5.707E+00  4.482E-01 
1.661E+00   5.740E+00  4.473E-01 
1.680E+00   5.773E+00  4.464E-01 
1.700E+00   5.807E+00  4.455E-01 
1.719E+00   5.840E+00  4.446E-01 
1.739E+00   5.874E+00  4.437E-01 
1.760E+00   5.908E+00  4.428E-01 
1.780E+00   5.942E+00  4.419E-01 
1.801E+00   5.976E+00  4.409E-01 
1.822E+00   6.011E+00  4.399E-01 
1.843E+00   6.046E+00  4.390E-01 
1.864E+00   6.081E+00  4.380E-01 
1.886E+00   6.116E+00  4.370E-01 
1.908E+00   6.151E+00  4.360E-01 
1.930E+00   6.187E+00  4.350E-01 
1.952E+00   6.223E+00  4.340E-01 
1.975E+00   6.259E+00  4.330E-01 
1.998E+00   6.295E+00  4.319E-01 
2.021E+00   6.331E+00  4.309E-01 
2.044E+00   6.366E+00  4.298E-01 
2.068E+00   6.401E+00  4.288E-01 
2.092E+00   6.437E+00  4.277E-01 
2.116E+00   6.472E+00  4.266E-01 
2.141E+00   6.508E+00  4.255E-01 
2.166E+00   6.544E+00  4.244E-01 
2.191E+00   6.580E+00  4.233E-01 
2.216E+00   6.617E+00  4.222E-01 
2.242E+00   6.653E+00  4.211E-01 
2.268E+00   6.690E+00  4.200E-01 
2.294E+00   6.727E+00  4.188E-01 
2.321E+00   6.764E+00  4.177E-01 
2.348E+00   6.802E+00  4.165E-01 
2.375E+00   6.840E+00  4.153E-01 
2.402E+00   6.877E+00  4.142E-01 
2.430E+00   6.916E+00  4.130E-01 
2.458E+00   6.954E+00  4.118E-01 
2.487E+00   6.992E+00  4.106E-01 
2.516E+00   7.031E+00  4.094E-01 
2.545E+00   7.070E+00  4.082E-01 
2.574E+00   7.109E+00  4.069E-01 
2.604E+00   7.149E+00  4.057E-01 
2.635E+00   7.188E+00  4.045E-01 
2.665E+00   7.228E+00  4.032E-01 
2.696E+00   7.268E+00  4.020E-01 
2.727E+00   7.309E+00  4.007E-01 
2.759E+00   7.349E+00  3.995E-01 
2.791E+00   7.390E+00  3.982E-01 
2.823E+00   7.431E+00  3.969E-01 
2.856E+00   7.472E+00  3.956E-01 
2.889E+00   7.514E+00  3.943E-01 
2.923E+00   7.555E+00  3.930E-01 
2.957E+00   7.597E+00  3.917E-01 
2.991E+00   7.639E+00  3.904E-01 
3.026E+00   7.682E+00  3.891E-01 
3.061E+00   7.724E+00  3.878E-01 
3.096E+00   7.767E+00  3.865E-01 
3.132E+00   7.810E+00  3.851E-01 
3.168E+00   7.854E+00  3.838E-01 
3.205E+00   7.897E+00  3.825E-01 
3.242E+00   7.941E+00  3.811E-01 
3.280E+00   7.985E+00  3.797E-01 
3.318E+00   8.030E+00  3.784E-01 
3.356E+00   8.074E+00  3.770E-01 
3.395E+00   8.119E+00  3.756E-01 
3.435E+00   8.164E+00  3.743E-01 
3.475E+00   8.209E+00  3.729E-01 
3.515E+00   8.255E+00  3.715E-01 
3.556E+00   8.301E+00  3.701E-01 
3.597E+00   8.347E+00  3.687E-01 
3.639E+00   8.393E+00  3.673E-01 
3.681E+00   8.440E+00  3.659E-01 
3.724E+00   8.487E+00  3.645E-01 
3.767E+00   8.534E+00  3.631E-01 
3.810E+00   8.581E+00  3.617E-01 
3.855E+00   8.629E+00  3.603E-01 
3.899E+00   8.677E+00  3.588E-01 
3.945E+00   8.725E+00  3.574E-01 
3.990E+00   8.773E+00  3.560E-01 
4.037E+00   8.822E+00  3.545E-01 
4.083E+00   8.871E+00  3.531E-01 
4.131E+00   8.920E+00  3.517E-01 
4.179E+00   8.970E+00  3.502E-01 
4.227E+00   9.020E+00  3.488E-01 
4.276E+00   9.070E+00  3.473E-01 
4.326E+00   9.120E+00  3.459E-01 
4.376E+00   9.171E+00  3.444E-01 
4.427E+00   9.222E+00  3.429E-01 
4.478E+00   9.273E+00  3.415E-01 
4.530E+00   9.324E+00  3.400E-01 
4.583E+00   9.376E+00  3.385E-01 
4.636E+00   9.428E+00  3.371E-01 
4.690E+00   9.480E+00  3.356E-01 
4.744E+00   9.533E+00  3.341E-01 
4.799E+00   9.586E+00  3.327E-01 
4.855E+00   9.639E+00  3.312E-01 
4.911E+00   9.692E+00  3.297E-01 
4.968E+00   9.746E+00  3.282E-01 
5.026E+00   9.800E+00  3.267E-01 
5.084E+00   9.855E+00  3.253E-01 
5.143E+00   9.909E+00  3.238E-01 
5.202E+00   9.964E+00  3.223E-01 
5.263E+00   1.002E+01  3.208E-01 
5.324E+00   1.007E+01  3.193E-01 
5.386E+00   1.013E+01  3.178E-01 
5.448E+00   1.019E+01  3.163E-01 
5.511E+00   1.024E+01  3.148E-01 
5.575E+00   1.030E+01  3.134E-01 
5.640E+00   1.036E+01  3.119E-01 
5.705E+00   1.041E+01  3.104E-01 
5.771E+00   1.047E+01  3.089E-01 
5.838E+00   1.053E+01  3.074E-01 
5.906E+00   1.059E+01  3.059E-01 
5.975E+00   1.065E+01  3.044E-01 
6.044E+00   1.071E+01  3.029E-01 
6.114E+00   1.077E+01  3.014E-01 
6.185E+00   1.082E+01  2.999E-01 
6.257E+00   1.088E+01  2.984E-01 
6.329E+00   1.094E+01  2.969E-01 
6.403E+00   1.101E+01  2.954E-01 
6.477E+00   1.107E+01  2.940E-01 
6.552E+00   1.113E+01  2.925E-01 
6.628E+00   1.119E+01  2.910E-01 
6.705E+00   1.125E+01  2.895E-01 
6.783E+00   1.131E+01  2.880E-01 
6.861E+00   1.138E+01  2.865E-01 
6.941E+00   1.144E+01  2.850E-01 
7.021E+00   1.150E+01  2.835E-01 
7.103E+00   1.156E+01  2.821E-01 
7.185E+00   1.163E+01  2.806E-01 
7.269E+00   1.169E+01  2.791E-01 
7.353E+00   1.176E+01  2.776E-01 
7.438E+00   1.182E+01  2.762E-01 
7.524E+00   1.189E+01  2.747E-01 
7.612E+00   1.195E+01  2.732E-01 
7.700E+00   1.202E+01  2.717E-01 
7.789E+00   1.208E+01  2.703E-01 
7.880E+00   1.215E+01  2.688E-01 
7.971E+00   1.222E+01  2.673E-01 
8.064E+00   1.228E+01  2.659E-01 
8.157E+00   1.235E+01  2.644E-01 
8.252E+00   1.242E+01  2.629E-01 
8.347E+00   1.249E+01  2.615E-01 
8.444E+00   1.256E+01  2.600E-01 
8.542E+00   1.263E+01  2.586E-01 
8.641E+00   1.269E+01  2.571E-01 
8.741E+00   1.276E+01  2.557E-01 
8.843E+00   1.283E+01  2.542E-01 
8.945E+00   1.290E+01  2.528E-01 
9.049E+00   1.298E+01  2.514E-01 
9.154E+00   1.305E+01  2.499E-01 
9.260E+00   1.312E+01  2.485E-01 
9.368E+00   1.319E+01  2.471E-01 
9.476E+00   1.326E+01  2.456E-01 
9.586E+00   1.333E+01  2.442E-01 
9.698E+00   1.341E+01  2.428E-01 
9.810E+00   1.348E+01  2.414E-01 
9.924E+00   1.355E+01  2.400E-01 
1.004E+01   1.363E+01  2.386E-01 
1.016E+01   1.370E+01  2.372E-01 
1.027E+01   1.378E+01  2.358E-01 
1.039E+01   1.385E+01  2.344E-01 
1.051E+01   1.393E+01  2.330E-01 
1.063E+01   1.400E+01  2.316E-01 
1.076E+01   1.408E+01  2.302E-01 
1.088E+01   1.415E+01  2.288E-01 
1.101E+01   1.423E+01  2.274E-01 
1.114E+01   1.431E+01  2.260E-01 
1.127E+01   1.439E+01  2.247E-01 
