Ion = Hydrogen    . Mass = 1.0079
Tgt = Cr (Solid). Density = 7.2 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.212E+00  4.749E-01 
1.012E+00   4.236E+00  4.745E-01 
1.023E+00   4.261E+00  4.742E-01 
1.035E+00   4.286E+00  4.738E-01 
1.047E+00   4.310E+00  4.734E-01 
1.059E+00   4.335E+00  4.731E-01 
1.072E+00   4.360E+00  4.727E-01 
1.084E+00   4.386E+00  4.723E-01 
1.097E+00   4.411E+00  4.718E-01 
1.109E+00   4.436E+00  4.714E-01 
1.122E+00   4.462E+00  4.710E-01 
1.135E+00   4.488E+00  4.705E-01 
1.148E+00   4.514E+00  4.700E-01 
1.162E+00   4.540E+00  4.695E-01 
1.175E+00   4.566E+00  4.691E-01 
1.189E+00   4.593E+00  4.686E-01 
1.203E+00   4.619E+00  4.680E-01 
1.217E+00   4.646E+00  4.675E-01 
1.231E+00   4.673E+00  4.670E-01 
1.245E+00   4.700E+00  4.664E-01 
1.259E+00   4.727E+00  4.659E-01 
1.274E+00   4.754E+00  4.653E-01 
1.289E+00   4.782E+00  4.647E-01 
1.304E+00   4.809E+00  4.641E-01 
1.319E+00   4.837E+00  4.635E-01 
1.334E+00   4.865E+00  4.629E-01 
1.350E+00   4.893E+00  4.623E-01 
1.365E+00   4.922E+00  4.617E-01 
1.381E+00   4.950E+00  4.610E-01 
1.397E+00   4.979E+00  4.604E-01 
1.413E+00   5.007E+00  4.597E-01 
1.430E+00   5.036E+00  4.590E-01 
1.446E+00   5.066E+00  4.583E-01 
1.463E+00   5.095E+00  4.576E-01 
1.480E+00   5.124E+00  4.569E-01 
1.497E+00   5.154E+00  4.562E-01 
1.515E+00   5.184E+00  4.554E-01 
1.532E+00   5.214E+00  4.547E-01 
1.550E+00   5.244E+00  4.539E-01 
1.568E+00   5.274E+00  4.532E-01 
1.586E+00   5.305E+00  4.524E-01 
1.605E+00   5.335E+00  4.516E-01 
1.623E+00   5.366E+00  4.508E-01 
1.642E+00   5.397E+00  4.500E-01 
1.661E+00   5.428E+00  4.492E-01 
1.680E+00   5.460E+00  4.483E-01 
1.700E+00   5.491E+00  4.475E-01 
1.719E+00   5.523E+00  4.466E-01 
1.739E+00   5.555E+00  4.458E-01 
1.760E+00   5.587E+00  4.449E-01 
1.780E+00   5.620E+00  4.440E-01 
1.801E+00   5.652E+00  4.431E-01 
1.822E+00   5.685E+00  4.422E-01 
1.843E+00   5.718E+00  4.413E-01 
1.864E+00   5.751E+00  4.404E-01 
1.886E+00   5.784E+00  4.395E-01 
1.908E+00   5.817E+00  4.385E-01 
1.930E+00   5.851E+00  4.376E-01 
1.952E+00   5.885E+00  4.366E-01 
1.975E+00   5.919E+00  4.356E-01 
1.998E+00   5.953E+00  4.347E-01 
2.021E+00   5.987E+00  4.337E-01 
2.044E+00   6.018E+00  4.327E-01 
2.068E+00   6.050E+00  4.317E-01 
2.092E+00   6.082E+00  4.306E-01 
2.116E+00   6.114E+00  4.296E-01 
2.141E+00   6.146E+00  4.286E-01 
2.166E+00   6.179E+00  4.275E-01 
2.191E+00   6.211E+00  4.265E-01 
2.216E+00   6.244E+00  4.254E-01 
2.242E+00   6.277E+00  4.243E-01 
2.268E+00   6.311E+00  4.233E-01 
2.294E+00   6.344E+00  4.222E-01 
2.321E+00   6.378E+00  4.211E-01 
2.348E+00   6.412E+00  4.200E-01 
2.375E+00   6.446E+00  4.189E-01 
2.402E+00   6.480E+00  4.177E-01 
2.430E+00   6.515E+00  4.166E-01 
2.458E+00   6.550E+00  4.155E-01 
2.487E+00   6.585E+00  4.143E-01 
2.516E+00   6.620E+00  4.132E-01 
2.545E+00   6.656E+00  4.120E-01 
2.574E+00   6.692E+00  4.108E-01 
2.604E+00   6.728E+00  4.096E-01 
2.635E+00   6.764E+00  4.084E-01 
2.665E+00   6.800E+00  4.073E-01 
2.696E+00   6.837E+00  4.061E-01 
2.727E+00   6.874E+00  4.048E-01 
2.759E+00   6.911E+00  4.036E-01 
2.791E+00   6.949E+00  4.024E-01 
2.823E+00   6.986E+00  4.012E-01 
2.856E+00   7.024E+00  3.999E-01 
2.889E+00   7.062E+00  3.987E-01 
2.923E+00   7.101E+00  3.974E-01 
2.957E+00   7.139E+00  3.962E-01 
2.991E+00   7.178E+00  3.949E-01 
3.026E+00   7.217E+00  3.936E-01 
3.061E+00   7.257E+00  3.924E-01 
3.096E+00   7.296E+00  3.911E-01 
3.132E+00   7.336E+00  3.898E-01 
3.168E+00   7.376E+00  3.885E-01 
3.205E+00   7.416E+00  3.872E-01 
3.242E+00   7.457E+00  3.859E-01 
3.280E+00   7.497E+00  3.846E-01 
3.318E+00   7.538E+00  3.832E-01 
3.356E+00   7.580E+00  3.819E-01 
3.395E+00   7.621E+00  3.806E-01 
3.435E+00   7.663E+00  3.792E-01 
3.475E+00   7.705E+00  3.779E-01 
3.515E+00   7.747E+00  3.765E-01 
3.556E+00   7.790E+00  3.752E-01 
3.597E+00   7.832E+00  3.738E-01 
3.639E+00   7.875E+00  3.725E-01 
3.681E+00   7.918E+00  3.711E-01 
3.724E+00   7.962E+00  3.697E-01 
3.767E+00   8.005E+00  3.683E-01 
3.810E+00   8.049E+00  3.670E-01 
3.855E+00   8.093E+00  3.656E-01 
3.899E+00   8.138E+00  3.642E-01 
3.945E+00   8.182E+00  3.628E-01 
3.990E+00   8.227E+00  3.614E-01 
4.037E+00   8.272E+00  3.600E-01 
4.083E+00   8.317E+00  3.586E-01 
4.131E+00   8.362E+00  3.572E-01 
4.179E+00   8.408E+00  3.558E-01 
4.227E+00   8.454E+00  3.543E-01 
4.276E+00   8.500E+00  3.529E-01 
4.326E+00   8.546E+00  3.515E-01 
4.376E+00   8.593E+00  3.501E-01 
4.427E+00   8.640E+00  3.486E-01 
4.478E+00   8.686E+00  3.472E-01 
4.530E+00   8.734E+00  3.458E-01 
4.583E+00   8.781E+00  3.443E-01 
4.636E+00   8.828E+00  3.429E-01 
4.690E+00   8.876E+00  3.414E-01 
4.744E+00   8.924E+00  3.400E-01 
4.799E+00   8.972E+00  3.385E-01 
4.855E+00   9.020E+00  3.371E-01 
4.911E+00   9.068E+00  3.356E-01 
4.968E+00   9.117E+00  3.342E-01 
5.026E+00   9.166E+00  3.327E-01 
5.084E+00   9.214E+00  3.312E-01 
5.143E+00   9.263E+00  3.298E-01 
5.202E+00   9.312E+00  3.283E-01 
5.263E+00   9.362E+00  3.268E-01 
5.324E+00   9.411E+00  3.254E-01 
5.386E+00   9.461E+00  3.239E-01 
5.448E+00   9.510E+00  3.224E-01 
5.511E+00   9.560E+00  3.210E-01 
5.575E+00   9.610E+00  3.195E-01 
5.640E+00   9.660E+00  3.180E-01 
5.705E+00   9.710E+00  3.165E-01 
5.771E+00   9.760E+00  3.151E-01 
5.838E+00   9.810E+00  3.136E-01 
5.906E+00   9.860E+00  3.121E-01 
5.975E+00   9.910E+00  3.106E-01 
6.044E+00   9.961E+00  3.091E-01 
6.114E+00   1.001E+01  3.077E-01 
6.185E+00   1.006E+01  3.062E-01 
6.257E+00   1.011E+01  3.047E-01 
6.329E+00   1.016E+01  3.032E-01 
6.403E+00   1.021E+01  3.017E-01 
