Ion = Hydrogen    . Mass = 1.0079
Tgt = Mn (Solid). Density = 7.4341 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.675E+00  4.673E-01 
1.012E+00   3.696E+00  4.670E-01 
1.023E+00   3.718E+00  4.667E-01 
1.035E+00   3.739E+00  4.664E-01 
1.047E+00   3.761E+00  4.661E-01 
1.059E+00   3.783E+00  4.658E-01 
1.072E+00   3.804E+00  4.654E-01 
1.084E+00   3.826E+00  4.651E-01 
1.097E+00   3.849E+00  4.647E-01 
1.109E+00   3.871E+00  4.643E-01 
1.122E+00   3.893E+00  4.640E-01 
1.135E+00   3.916E+00  4.636E-01 
1.148E+00   3.938E+00  4.632E-01 
1.162E+00   3.961E+00  4.627E-01 
1.175E+00   3.984E+00  4.623E-01 
1.189E+00   4.007E+00  4.619E-01 
1.203E+00   4.030E+00  4.614E-01 
1.217E+00   4.054E+00  4.609E-01 
1.231E+00   4.077E+00  4.605E-01 
1.245E+00   4.101E+00  4.600E-01 
1.259E+00   4.124E+00  4.595E-01 
1.274E+00   4.148E+00  4.590E-01 
1.289E+00   4.172E+00  4.584E-01 
1.304E+00   4.196E+00  4.579E-01 
1.319E+00   4.220E+00  4.573E-01 
1.334E+00   4.245E+00  4.568E-01 
1.350E+00   4.269E+00  4.562E-01 
1.365E+00   4.294E+00  4.556E-01 
1.381E+00   4.319E+00  4.551E-01 
1.397E+00   4.344E+00  4.545E-01 
1.413E+00   4.369E+00  4.538E-01 
1.430E+00   4.394E+00  4.532E-01 
1.446E+00   4.420E+00  4.526E-01 
1.463E+00   4.445E+00  4.519E-01 
1.480E+00   4.471E+00  4.513E-01 
1.497E+00   4.497E+00  4.506E-01 
1.515E+00   4.523E+00  4.500E-01 
1.532E+00   4.549E+00  4.493E-01 
1.550E+00   4.575E+00  4.486E-01 
1.568E+00   4.602E+00  4.479E-01 
1.586E+00   4.628E+00  4.471E-01 
1.605E+00   4.655E+00  4.464E-01 
1.623E+00   4.682E+00  4.457E-01 
1.642E+00   4.709E+00  4.449E-01 
1.661E+00   4.736E+00  4.442E-01 
1.680E+00   4.764E+00  4.434E-01 
1.700E+00   4.791E+00  4.426E-01 
1.719E+00   4.819E+00  4.418E-01 
1.739E+00   4.847E+00  4.410E-01 
1.760E+00   4.875E+00  4.402E-01 
1.780E+00   4.903E+00  4.394E-01 
1.801E+00   4.931E+00  4.385E-01 
1.822E+00   4.960E+00  4.377E-01 
1.843E+00   4.989E+00  4.368E-01 
1.864E+00   5.017E+00  4.360E-01 
1.886E+00   5.047E+00  4.351E-01 
1.908E+00   5.076E+00  4.342E-01 
1.930E+00   5.105E+00  4.333E-01 
1.952E+00   5.135E+00  4.324E-01 
1.975E+00   5.164E+00  4.315E-01 
1.998E+00   5.194E+00  4.306E-01 
2.021E+00   5.224E+00  4.296E-01 
2.044E+00   5.253E+00  4.287E-01 
2.068E+00   5.282E+00  4.277E-01 
2.092E+00   5.311E+00  4.268E-01 
2.116E+00   5.340E+00  4.258E-01 
2.141E+00   5.370E+00  4.248E-01 
2.166E+00   5.399E+00  4.238E-01 
2.191E+00   5.429E+00  4.228E-01 
2.216E+00   5.458E+00  4.218E-01 
2.242E+00   5.488E+00  4.208E-01 
2.268E+00   5.518E+00  4.198E-01 
2.294E+00   5.548E+00  4.188E-01 
2.321E+00   5.578E+00  4.177E-01 
2.348E+00   5.608E+00  4.167E-01 
2.375E+00   5.639E+00  4.156E-01 
2.402E+00   5.669E+00  4.145E-01 
2.430E+00   5.699E+00  4.135E-01 
2.458E+00   5.730E+00  4.124E-01 
2.487E+00   5.760E+00  4.113E-01 
2.516E+00   5.791E+00  4.102E-01 
2.545E+00   5.822E+00  4.091E-01 
2.574E+00   5.853E+00  4.079E-01 
2.604E+00   5.883E+00  4.068E-01 
2.635E+00   5.914E+00  4.057E-01 
2.665E+00   5.946E+00  4.045E-01 
2.696E+00   5.977E+00  4.034E-01 
2.727E+00   6.008E+00  4.022E-01 
2.759E+00   6.039E+00  4.011E-01 
2.791E+00   6.070E+00  3.999E-01 
2.823E+00   6.102E+00  3.987E-01 
2.856E+00   6.133E+00  3.975E-01 
2.889E+00   6.165E+00  3.963E-01 
2.923E+00   6.196E+00  3.951E-01 
2.957E+00   6.228E+00  3.939E-01 
2.991E+00   6.260E+00  3.927E-01 
3.026E+00   6.291E+00  3.915E-01 
3.061E+00   6.323E+00  3.903E-01 
3.096E+00   6.355E+00  3.890E-01 
3.132E+00   6.387E+00  3.878E-01 
3.168E+00   6.419E+00  3.865E-01 
3.205E+00   6.451E+00  3.853E-01 
3.242E+00   6.483E+00  3.840E-01 
3.280E+00   6.515E+00  3.827E-01 
3.318E+00   6.547E+00  3.815E-01 
3.356E+00   6.580E+00  3.802E-01 
3.395E+00   6.612E+00  3.789E-01 
3.435E+00   6.645E+00  3.776E-01 
3.475E+00   6.677E+00  3.763E-01 
3.515E+00   6.710E+00  3.750E-01 
3.556E+00   6.742E+00  3.737E-01 
3.597E+00   6.775E+00  3.724E-01 
3.639E+00   6.808E+00  3.711E-01 
3.681E+00   6.841E+00  3.697E-01 
3.724E+00   6.874E+00  3.684E-01 
3.767E+00   6.907E+00  3.671E-01 
3.810E+00   6.940E+00  3.657E-01 
3.855E+00   6.974E+00  3.644E-01 
3.899E+00   7.007E+00  3.631E-01 
3.945E+00   7.041E+00  3.617E-01 
3.990E+00   7.075E+00  3.603E-01 
4.037E+00   7.109E+00  3.590E-01 
4.083E+00   7.143E+00  3.576E-01 
4.131E+00   7.177E+00  3.562E-01 
4.179E+00   7.211E+00  3.549E-01 
4.227E+00   7.246E+00  3.535E-01 
4.276E+00   7.280E+00  3.521E-01 
4.326E+00   7.315E+00  3.507E-01 
4.376E+00   7.350E+00  3.493E-01 
4.427E+00   7.386E+00  3.479E-01 
4.478E+00   7.421E+00  3.465E-01 
4.530E+00   7.457E+00  3.451E-01 
4.583E+00   7.493E+00  3.437E-01 
4.636E+00   7.529E+00  3.423E-01 
4.690E+00   7.565E+00  3.409E-01 
4.744E+00   7.602E+00  3.395E-01 
4.799E+00   7.639E+00  3.381E-01 
4.855E+00   7.676E+00  3.367E-01 
4.911E+00   7.714E+00  3.353E-01 
4.968E+00   7.752E+00  3.338E-01 
5.026E+00   7.790E+00  3.324E-01 
5.084E+00   7.828E+00  3.310E-01 
5.143E+00   7.867E+00  3.296E-01 
5.202E+00   7.906E+00  3.281E-01 
5.263E+00   7.946E+00  3.267E-01 
5.324E+00   7.985E+00  3.253E-01 
5.386E+00   8.025E+00  3.238E-01 
5.448E+00   8.066E+00  3.224E-01 
5.511E+00   8.107E+00  3.209E-01 
5.575E+00   8.148E+00  3.195E-01 
5.640E+00   8.190E+00  3.181E-01 
5.705E+00   8.232E+00  3.166E-01 
5.771E+00   8.274E+00  3.152E-01 
