Ion = Hydrogen    . Mass = 1.0079
Tgt = Fe (Solid). Density = 7.8658 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.645E+00  4.728E-01 
1.012E+00   3.666E+00  4.726E-01 
1.023E+00   3.687E+00  4.724E-01 
1.035E+00   3.708E+00  4.721E-01 
1.047E+00   3.730E+00  4.719E-01 
1.059E+00   3.751E+00  4.716E-01 
1.072E+00   3.773E+00  4.713E-01 
1.084E+00   3.795E+00  4.711E-01 
1.097E+00   3.817E+00  4.708E-01 
1.109E+00   3.839E+00  4.705E-01 
1.122E+00   3.861E+00  4.701E-01 
1.135E+00   3.883E+00  4.698E-01 
1.148E+00   3.906E+00  4.695E-01 
1.162E+00   3.928E+00  4.691E-01 
1.175E+00   3.951E+00  4.687E-01 
1.189E+00   3.974E+00  4.684E-01 
1.203E+00   3.997E+00  4.680E-01 
1.217E+00   4.020E+00  4.676E-01 
1.231E+00   4.043E+00  4.672E-01 
1.245E+00   4.066E+00  4.668E-01 
1.259E+00   4.090E+00  4.663E-01 
1.274E+00   4.114E+00  4.659E-01 
1.289E+00   4.137E+00  4.654E-01 
1.304E+00   4.161E+00  4.649E-01 
1.319E+00   4.185E+00  4.645E-01 
1.334E+00   4.210E+00  4.640E-01 
1.350E+00   4.234E+00  4.635E-01 
1.365E+00   4.258E+00  4.630E-01 
1.381E+00   4.283E+00  4.624E-01 
1.397E+00   4.308E+00  4.619E-01 
1.413E+00   4.333E+00  4.613E-01 
1.430E+00   4.358E+00  4.608E-01 
1.446E+00   4.383E+00  4.602E-01 
1.463E+00   4.408E+00  4.596E-01 
1.480E+00   4.434E+00  4.590E-01 
1.497E+00   4.460E+00  4.584E-01 
1.515E+00   4.485E+00  4.578E-01 
1.532E+00   4.511E+00  4.572E-01 
1.550E+00   4.537E+00  4.565E-01 
1.568E+00   4.564E+00  4.559E-01 
1.586E+00   4.590E+00  4.552E-01 
1.605E+00   4.616E+00  4.546E-01 
1.623E+00   4.643E+00  4.539E-01 
1.642E+00   4.670E+00  4.532E-01 
1.661E+00   4.697E+00  4.525E-01 
1.680E+00   4.724E+00  4.518E-01 
1.700E+00   4.752E+00  4.510E-01 
1.719E+00   4.779E+00  4.503E-01 
1.739E+00   4.807E+00  4.495E-01 
