Ion = Hydrogen    . Mass = 1.0079
Tgt = Co (Solid). Density = 8.9 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.734E+00  4.527E-01 
1.012E+00   3.756E+00  4.525E-01 
1.023E+00   3.777E+00  4.524E-01 
1.035E+00   3.799E+00  4.522E-01 
1.047E+00   3.821E+00  4.520E-01 
1.059E+00   3.843E+00  4.518E-01 
1.072E+00   3.866E+00  4.516E-01 
1.084E+00   3.888E+00  4.514E-01 
1.097E+00   3.910E+00  4.511E-01 
1.109E+00   3.933E+00  4.509E-01 
1.122E+00   3.956E+00  4.506E-01 
1.135E+00   3.979E+00  4.504E-01 
1.148E+00   4.002E+00  4.501E-01 
1.162E+00   4.025E+00  4.498E-01 
1.175E+00   4.048E+00  4.495E-01 
1.189E+00   4.071E+00  4.492E-01 
1.203E+00   4.095E+00  4.489E-01 
1.217E+00   4.119E+00  4.486E-01 
1.231E+00   4.143E+00  4.482E-01 
1.245E+00   4.166E+00  4.479E-01 
1.259E+00   4.191E+00  4.475E-01 
1.274E+00   4.215E+00  4.471E-01 
1.289E+00   4.239E+00  4.467E-01 
1.304E+00   4.264E+00  4.463E-01 
1.319E+00   4.288E+00  4.459E-01 
1.334E+00   4.313E+00  4.455E-01 
1.350E+00   4.338E+00  4.451E-01 
1.365E+00   4.363E+00  4.446E-01 
1.381E+00   4.388E+00  4.442E-01 
1.397E+00   4.414E+00  4.437E-01 
1.413E+00   4.439E+00  4.433E-01 
1.430E+00   4.465E+00  4.428E-01 
1.446E+00   4.491E+00  4.423E-01 
1.463E+00   4.517E+00  4.418E-01 
1.480E+00   4.543E+00  4.413E-01 
1.497E+00   4.569E+00  4.407E-01 
1.515E+00   4.596E+00  4.402E-01 
1.532E+00   4.622E+00  4.396E-01 
1.550E+00   4.649E+00  4.391E-01 
1.568E+00   4.676E+00  4.385E-01 
1.586E+00   4.703E+00  4.379E-01 
1.605E+00   4.730E+00  4.374E-01 
1.623E+00   4.757E+00  4.367E-01 
1.642E+00   4.785E+00  4.361E-01 
1.661E+00   4.813E+00  4.355E-01 
1.680E+00   4.840E+00  4.349E-01 
1.700E+00   4.868E+00  4.342E-01 
1.719E+00   4.897E+00  4.336E-01 
