Ion = Hydrogen    . Mass = 1.0079
Tgt = Ni (Solid). Density = 8.8955 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.624E+00  4.582E-01 
1.012E+00   3.645E+00  4.580E-01 
1.023E+00   3.666E+00  4.579E-01 
1.035E+00   3.687E+00  4.577E-01 
1.047E+00   3.708E+00  4.575E-01 
1.059E+00   3.730E+00  4.573E-01 
1.072E+00   3.751E+00  4.571E-01 
1.084E+00   3.773E+00  4.569E-01 
1.097E+00   3.795E+00  4.567E-01 
1.109E+00   3.817E+00  4.565E-01 
1.122E+00   3.839E+00  4.563E-01 
1.135E+00   3.861E+00  4.560E-01 
1.148E+00   3.883E+00  4.558E-01 
1.162E+00   3.906E+00  4.555E-01 
1.175E+00   3.928E+00  4.552E-01 
1.189E+00   3.951E+00  4.549E-01 
1.203E+00   3.974E+00  4.546E-01 
1.217E+00   3.997E+00  4.543E-01 
1.231E+00   4.020E+00  4.540E-01 
1.245E+00   4.043E+00  4.536E-01 
1.259E+00   4.067E+00  4.533E-01 
1.274E+00   4.090E+00  4.530E-01 
1.289E+00   4.114E+00  4.526E-01 
1.304E+00   4.138E+00  4.522E-01 
1.319E+00   4.161E+00  4.518E-01 
1.334E+00   4.186E+00  4.514E-01 
1.350E+00   4.210E+00  4.510E-01 
1.365E+00   4.234E+00  4.506E-01 
1.381E+00   4.259E+00  4.502E-01 
1.397E+00   4.283E+00  4.497E-01 
1.413E+00   4.308E+00  4.493E-01 
1.430E+00   4.333E+00  4.488E-01 
1.446E+00   4.358E+00  4.484E-01 
1.463E+00   4.383E+00  4.479E-01 
1.480E+00   4.408E+00  4.474E-01 
1.497E+00   4.434E+00  4.469E-01 
1.515E+00   4.460E+00  4.464E-01 
1.532E+00   4.485E+00  4.459E-01 
1.550E+00   4.511E+00  4.453E-01 
1.568E+00   4.537E+00  4.448E-01 
1.586E+00   4.564E+00  4.442E-01 
1.605E+00   4.590E+00  4.437E-01 
1.623E+00   4.617E+00  4.431E-01 
1.642E+00   4.643E+00  4.425E-01 
1.661E+00   4.670E+00  4.419E-01 
1.680E+00   4.697E+00  4.413E-01 
1.700E+00   4.724E+00  4.407E-01 
1.719E+00   4.752E+00  4.401E-01 
1.739E+00   4.779E+00  4.394E-01 
1.760E+00   4.807E+00  4.388E-01 
1.780E+00   4.835E+00  4.381E-01 
1.801E+00   4.863E+00  4.375E-01 
1.822E+00   4.891E+00  4.368E-01 
1.843E+00   4.919E+00  4.361E-01 
1.864E+00   4.947E+00  4.354E-01 
1.886E+00   4.976E+00  4.347E-01 
1.908E+00   5.005E+00  4.340E-01 
1.930E+00   5.034E+00  4.332E-01 
1.952E+00   5.063E+00  4.325E-01 
1.975E+00   5.092E+00  4.318E-01 
1.998E+00   5.122E+00  4.310E-01 
2.021E+00   5.150E+00  4.302E-01 
2.044E+00   5.177E+00  4.295E-01 
2.068E+00   5.204E+00  4.287E-01 
2.092E+00   5.230E+00  4.279E-01 
2.116E+00   5.257E+00  4.271E-01 
2.141E+00   5.284E+00  4.262E-01 
2.166E+00   5.312E+00  4.254E-01 
2.191E+00   5.339E+00  4.246E-01 
2.216E+00   5.367E+00  4.237E-01 
2.242E+00   5.394E+00  4.229E-01 
2.268E+00   5.422E+00  4.220E-01 
2.294E+00   5.450E+00  4.212E-01 
2.321E+00   5.478E+00  4.203E-01 
2.348E+00   5.507E+00  4.194E-01 
2.375E+00   5.535E+00  4.185E-01 
2.402E+00   5.564E+00  4.176E-01 
2.430E+00   5.593E+00  4.167E-01 
2.458E+00   5.621E+00  4.157E-01 
2.487E+00   5.651E+00  4.148E-01 
2.516E+00   5.680E+00  4.138E-01 
2.545E+00   5.709E+00  4.129E-01 
2.574E+00   5.739E+00  4.119E-01 
2.604E+00   5.768E+00  4.110E-01 
2.635E+00   5.798E+00  4.100E-01 
2.665E+00   5.828E+00  4.090E-01 
2.696E+00   5.859E+00  4.080E-01 
2.727E+00   5.889E+00  4.070E-01 
2.759E+00   5.919E+00  4.060E-01 
2.791E+00   5.950E+00  4.050E-01 
2.823E+00   5.981E+00  4.039E-01 
2.856E+00   6.012E+00  4.029E-01 
2.889E+00   6.043E+00  4.018E-01 
2.923E+00   6.075E+00  4.008E-01 
2.957E+00   6.106E+00  3.997E-01 
2.991E+00   6.138E+00  3.987E-01 
3.026E+00   6.170E+00  3.976E-01 
3.061E+00   6.202E+00  3.965E-01 
3.096E+00   6.234E+00  3.954E-01 
3.132E+00   6.266E+00  3.943E-01 
3.168E+00   6.299E+00  3.932E-01 
3.205E+00   6.332E+00  3.921E-01 
3.242E+00   6.365E+00  3.910E-01 
3.280E+00   6.398E+00  3.898E-01 
3.318E+00   6.431E+00  3.887E-01 
3.356E+00   6.465E+00  3.875E-01 
3.395E+00   6.498E+00  3.864E-01 
3.435E+00   6.532E+00  3.852E-01 
3.475E+00   6.566E+00  3.841E-01 
3.515E+00   6.600E+00  3.829E-01 
3.556E+00   6.635E+00  3.817E-01 
3.597E+00   6.669E+00  3.805E-01 
3.639E+00   6.704E+00  3.793E-01 
3.681E+00   6.739E+00  3.781E-01 
3.724E+00   6.774E+00  3.769E-01 
3.767E+00   6.809E+00  3.757E-01 
3.810E+00   6.845E+00  3.745E-01 
3.855E+00   6.881E+00  3.733E-01 
3.899E+00   6.916E+00  3.721E-01 
3.945E+00   6.953E+00  3.708E-01 
3.990E+00   6.989E+00  3.696E-01 
4.037E+00   7.025E+00  3.684E-01 
4.083E+00   7.062E+00  3.671E-01 
4.131E+00   7.099E+00  3.659E-01 
4.179E+00   7.136E+00  3.646E-01 
4.227E+00   7.173E+00  3.633E-01 
4.276E+00   7.211E+00  3.621E-01 
4.326E+00   7.248E+00  3.608E-01 
4.376E+00   7.286E+00  3.595E-01 
4.427E+00   7.324E+00  3.582E-01 
4.478E+00   7.362E+00  3.569E-01 
4.530E+00   7.401E+00  3.556E-01 
4.583E+00   7.440E+00  3.543E-01 
4.636E+00   7.478E+00  3.530E-01 
4.690E+00   7.518E+00  3.517E-01 
4.744E+00   7.557E+00  3.504E-01 
4.799E+00   7.596E+00  3.491E-01 
4.855E+00   7.636E+00  3.478E-01 
4.911E+00   7.676E+00  3.464E-01 
4.968E+00   7.716E+00  3.451E-01 
5.026E+00   7.757E+00  3.438E-01 
5.084E+00   7.797E+00  3.424E-01 
5.143E+00   7.838E+00  3.411E-01 
5.202E+00   7.879E+00  3.398E-01 
5.263E+00   7.920E+00  3.384E-01 
5.324E+00   7.962E+00  3.371E-01 
5.386E+00   8.003E+00  3.357E-01 
5.448E+00   8.045E+00  3.343E-01 
5.511E+00   8.087E+00  3.330E-01 
5.575E+00   8.130E+00  3.316E-01 
5.640E+00   8.172E+00  3.303E-01 
5.705E+00   8.215E+00  3.289E-01 
5.771E+00   8.258E+00  3.275E-01 
5.838E+00   8.301E+00  3.261E-01 
5.906E+00   8.345E+00  3.248E-01 
5.975E+00   8.388E+00  3.234E-01 
6.044E+00   8.432E+00  3.220E-01 
6.114E+00   8.476E+00  3.206E-01 
6.185E+00   8.521E+00  3.192E-01 
6.257E+00   8.565E+00  3.178E-01 
6.329E+00   8.610E+00  3.165E-01 
6.403E+00   8.655E+00  3.151E-01 
6.477E+00   8.700E+00  3.137E-01 
6.552E+00   8.746E+00  3.123E-01 
6.628E+00   8.792E+00  3.109E-01 
6.705E+00   8.838E+00  3.095E-01 
6.783E+00   8.884E+00  3.081E-01 
6.861E+00   8.931E+00  3.067E-01 
6.941E+00   8.977E+00  3.053E-01 
7.021E+00   9.024E+00  3.039E-01 
7.103E+00   9.072E+00  3.025E-01 
7.185E+00   9.119E+00  3.011E-01 
7.269E+00   9.167E+00  2.997E-01 
7.353E+00   9.215E+00  2.983E-01 
7.438E+00   9.263E+00  2.969E-01 
7.524E+00   9.311E+00  2.955E-01 
7.612E+00   9.360E+00  2.941E-01 
7.700E+00   9.409E+00  2.926E-01 
7.789E+00   9.458E+00  2.912E-01 
7.880E+00   9.508E+00  2.898E-01 
7.971E+00   9.558E+00  2.884E-01 
8.064E+00   9.608E+00  2.870E-01 
8.157E+00   9.658E+00  2.856E-01 
8.252E+00   9.708E+00  2.842E-01 
8.347E+00   9.759E+00  2.828E-01 
8.444E+00   9.810E+00  2.814E-01 
8.542E+00   9.861E+00  2.800E-01 
8.641E+00   9.913E+00  2.786E-01 
8.741E+00   9.965E+00  2.772E-01 
8.843E+00   1.002E+01  2.758E-01 
8.945E+00   1.007E+01  2.744E-01 
9.049E+00   1.012E+01  2.730E-01 
9.154E+00   1.017E+01  2.716E-01 
9.260E+00   1.023E+01  2.702E-01 
9.368E+00   1.028E+01  2.688E-01 
9.476E+00   1.033E+01  2.674E-01 
9.586E+00   1.039E+01  2.660E-01 
9.698E+00   1.044E+01  2.646E-01 
9.810E+00   1.050E+01  2.632E-01 
9.924E+00   1.055E+01  2.618E-01 
1.004E+01   1.061E+01  2.604E-01 
1.016E+01   1.066E+01  2.590E-01 
1.027E+01   1.072E+01  2.576E-01 
1.039E+01   1.077E+01  2.562E-01 
1.051E+01   1.083E+01  2.548E-01 
1.063E+01   1.089E+01  2.535E-01 
1.076E+01   1.094E+01  2.521E-01 
1.088E+01   1.100E+01  2.507E-01 
1.101E+01   1.106E+01  2.493E-01 
1.114E+01   1.111E+01  2.480E-01 
1.127E+01   1.117E+01  2.466E-01 
1.140E+01   1.123E+01  2.452E-01 
1.153E+01   1.129E+01  2.438E-01 
1.166E+01   1.135E+01  2.425E-01 
1.180E+01   1.141E+01  2.411E-01 
1.193E+01   1.146E+01  2.398E-01 
1.207E+01   1.152E+01  2.384E-01 
1.221E+01   1.158E+01  2.370E-01 
1.235E+01   1.164E+01  2.357E-01 
1.250E+01   1.170E+01  2.343E-01 
1.264E+01   1.176E+01  2.330E-01 
1.279E+01   1.183E+01  2.317E-01 
1.294E+01   1.189E+01  2.303E-01 
1.309E+01   1.195E+01  2.290E-01 
1.324E+01   1.201E+01  2.276E-01 
1.339E+01   1.207E+01  2.263E-01 
1.355E+01   1.213E+01  2.250E-01 
1.371E+01   1.220E+01  2.237E-01 
1.387E+01   1.226E+01  2.223E-01 
1.403E+01   1.232E+01  2.210E-01 
1.419E+01   1.239E+01  2.197E-01 
1.435E+01   1.245E+01  2.184E-01 
1.452E+01   1.251E+01  2.171E-01 
1.469E+01   1.258E+01  2.158E-01 
1.486E+01   1.264E+01  2.145E-01 
1.503E+01   1.271E+01  2.132E-01 
1.521E+01   1.277E+01  2.119E-01 
1.538E+01   1.284E+01  2.106E-01 
1.556E+01   1.290E+01  2.093E-01 
1.574E+01   1.297E+01  2.080E-01 
1.592E+01   1.304E+01  2.068E-01 
1.611E+01   1.310E+01  2.055E-01 
1.629E+01   1.317E+01  2.042E-01 
1.648E+01   1.324E+01  2.030E-01 
1.667E+01   1.331E+01  2.017E-01 
1.687E+01   1.337E+01  2.004E-01 
1.706E+01   1.344E+01  1.992E-01 
1.726E+01   1.351E+01  1.979E-01 
1.746E+01   1.358E+01  1.967E-01 
1.766E+01   1.365E+01  1.954E-01 
1.787E+01   1.372E+01  1.942E-01 
1.808E+01   1.379E+01  1.930E-01 
1.829E+01   1.386E+01  1.917E-01 
1.850E+01   1.393E+01  1.905E-01 
1.871E+01   1.400E+01  1.893E-01 
1.893E+01   1.407E+01  1.881E-01 
1.915E+01   1.414E+01  1.869E-01 
1.937E+01   1.421E+01  1.857E-01 
1.960E+01   1.428E+01  1.845E-01 
1.982E+01   1.435E+01  1.833E-01 
2.005E+01   1.442E+01  1.821E-01 
2.029E+01   1.450E+01  1.809E-01 
2.052E+01   1.457E+01  1.797E-01 
2.076E+01   1.464E+01  1.785E-01 
2.100E+01   1.471E+01  1.773E-01 
2.124E+01   1.479E+01  1.762E-01 
2.149E+01   1.486E+01  1.750E-01 
2.174E+01   1.493E+01  1.738E-01 
2.199E+01   1.501E+01  1.727E-01 
2.225E+01   1.508E+01  1.715E-01 
2.250E+01   1.516E+01  1.704E-01 
2.277E+01   1.523E+01  1.693E-01 
2.303E+01   1.531E+01  1.681E-01 
2.330E+01   1.538E+01  1.670E-01 
2.357E+01   1.546E+01  1.659E-01 
2.384E+01   1.554E+01  1.647E-01 
2.412E+01   1.561E+01  1.636E-01 
2.440E+01   1.569E+01  1.625E-01 
2.468E+01   1.576E+01  1.614E-01 
2.497E+01   1.584E+01  1.603E-01 
2.526E+01   1.592E+01  1.592E-01 
2.555E+01   1.600E+01  1.581E-01 
2.584E+01   1.607E+01  1.570E-01 
2.614E+01   1.615E+01  1.559E-01 
2.645E+01   1.623E+01  1.549E-01 
2.675E+01   1.631E+01  1.538E-01 
2.707E+01   1.639E+01  1.527E-01 
2.738E+01   1.646E+01  1.517E-01 
2.770E+01   1.654E+01  1.506E-01 
2.802E+01   1.662E+01  1.495E-01 
2.834E+01   1.670E+01  1.485E-01 
2.867E+01   1.678E+01  1.475E-01 
2.900E+01   1.686E+01  1.464E-01 
2.934E+01   1.694E+01  1.454E-01 
2.968E+01   1.702E+01  1.444E-01 
