Ion = Hydrogen    . Mass = 1.0079
Tgt = Li (Solid). Density = .534 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.273E+00  2.926E-01 
1.012E+00   2.286E+00  2.910E-01 
1.023E+00   2.299E+00  2.893E-01 
1.035E+00   2.313E+00  2.876E-01 
1.047E+00   2.326E+00  2.859E-01 
1.059E+00   2.339E+00  2.843E-01 
1.072E+00   2.353E+00  2.826E-01 
1.084E+00   2.367E+00  2.810E-01 
1.097E+00   2.380E+00  2.793E-01 
1.109E+00   2.394E+00  2.777E-01 
1.122E+00   2.408E+00  2.760E-01 
1.135E+00   2.422E+00  2.744E-01 
1.148E+00   2.436E+00  2.727E-01 
1.162E+00   2.450E+00  2.711E-01 
1.175E+00   2.464E+00  2.695E-01 
1.189E+00   2.478E+00  2.678E-01 
1.203E+00   2.493E+00  2.662E-01 
1.217E+00   2.507E+00  2.646E-01 
1.231E+00   2.521E+00  2.630E-01 
1.245E+00   2.536E+00  2.614E-01 
1.259E+00   2.551E+00  2.598E-01 
1.274E+00   2.565E+00  2.582E-01 
1.289E+00   2.580E+00  2.566E-01 
1.304E+00   2.595E+00  2.550E-01 
1.319E+00   2.610E+00  2.534E-01 
1.334E+00   2.625E+00  2.519E-01 
1.350E+00   2.641E+00  2.503E-01 
1.365E+00   2.656E+00  2.487E-01 
1.381E+00   2.671E+00  2.472E-01 
1.397E+00   2.687E+00  2.456E-01 
1.413E+00   2.702E+00  2.440E-01 
1.430E+00   2.718E+00  2.425E-01 
1.446E+00   2.733E+00  2.410E-01 
1.463E+00   2.749E+00  2.394E-01 
1.480E+00   2.765E+00  2.379E-01 
1.497E+00   2.781E+00  2.364E-01 
1.515E+00   2.797E+00  2.348E-01 
1.532E+00   2.813E+00  2.333E-01 
1.550E+00   2.830E+00  2.318E-01 
1.568E+00   2.846E+00  2.303E-01 
1.586E+00   2.863E+00  2.288E-01 
1.605E+00   2.879E+00  2.273E-01 
1.623E+00   2.896E+00  2.259E-01 
1.642E+00   2.912E+00  2.244E-01 
1.661E+00   2.929E+00  2.229E-01 
1.680E+00   2.946E+00  2.214E-01 
1.700E+00   2.963E+00  2.200E-01 
1.719E+00   2.980E+00  2.185E-01 
1.739E+00   2.998E+00  2.171E-01 
1.760E+00   3.015E+00  2.156E-01 
1.780E+00   3.032E+00  2.142E-01 
1.801E+00   3.050E+00  2.127E-01 
1.822E+00   3.068E+00  2.113E-01 
1.843E+00   3.085E+00  2.099E-01 
1.864E+00   3.103E+00  2.085E-01 
1.886E+00   3.121E+00  2.071E-01 
