Ion = Hydrogen    . Mass = 1.0079
Tgt = Zn (Solid). Density = 7.14 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.472E+00  4.253E-01 
1.012E+00   4.498E+00  4.252E-01 
1.023E+00   4.524E+00  4.252E-01 
1.035E+00   4.550E+00  4.252E-01 
1.047E+00   4.576E+00  4.251E-01 
1.059E+00   4.603E+00  4.250E-01 
1.072E+00   4.629E+00  4.250E-01 
1.084E+00   4.656E+00  4.249E-01 
1.097E+00   4.683E+00  4.248E-01 
1.109E+00   4.710E+00  4.247E-01 
1.122E+00   4.737E+00  4.245E-01 
1.135E+00   4.765E+00  4.244E-01 
1.148E+00   4.792E+00  4.243E-01 
1.162E+00   4.820E+00  4.241E-01 
1.175E+00   4.848E+00  4.240E-01 
1.189E+00   4.876E+00  4.238E-01 
1.203E+00   4.904E+00  4.236E-01 
1.217E+00   4.932E+00  4.235E-01 
1.231E+00   4.961E+00  4.233E-01 
1.245E+00   4.989E+00  4.231E-01 
1.259E+00   5.018E+00  4.228E-01 
1.274E+00   5.047E+00  4.226E-01 
1.289E+00   5.077E+00  4.224E-01 
1.304E+00   5.106E+00  4.221E-01 
1.319E+00   5.135E+00  4.219E-01 
1.334E+00   5.165E+00  4.216E-01 
1.350E+00   5.195E+00  4.214E-01 
1.365E+00   5.225E+00  4.211E-01 
1.381E+00   5.255E+00  4.208E-01 
1.397E+00   5.286E+00  4.205E-01 
1.413E+00   5.316E+00  4.202E-01 
1.430E+00   5.347E+00  4.198E-01 
1.446E+00   5.378E+00  4.195E-01 
1.463E+00   5.409E+00  4.192E-01 
1.480E+00   5.440E+00  4.188E-01 
1.497E+00   5.472E+00  4.185E-01 
1.515E+00   5.503E+00  4.181E-01 
1.532E+00   5.535E+00  4.177E-01 
1.550E+00   5.567E+00  4.173E-01 
1.568E+00   5.599E+00  4.169E-01 
1.586E+00   5.632E+00  4.165E-01 
1.605E+00   5.664E+00  4.161E-01 
1.623E+00   5.697E+00  4.156E-01 
1.642E+00   5.730E+00  4.152E-01 
1.661E+00   5.763E+00  4.147E-01 
1.680E+00   5.796E+00  4.143E-01 
1.700E+00   5.830E+00  4.138E-01 
1.719E+00   5.864E+00  4.133E-01 
1.739E+00   5.898E+00  4.128E-01 
1.760E+00   5.932E+00  4.123E-01 
1.780E+00   5.966E+00  4.118E-01 
1.801E+00   6.001E+00  4.113E-01 
1.822E+00   6.035E+00  4.108E-01 
1.843E+00   6.070E+00  4.102E-01 
1.864E+00   6.105E+00  4.097E-01 
1.886E+00   6.141E+00  4.091E-01 
1.908E+00   6.176E+00  4.086E-01 
1.930E+00   6.212E+00  4.080E-01 
1.952E+00   6.248E+00  4.074E-01 
1.975E+00   6.284E+00  4.068E-01 
1.998E+00   6.320E+00  4.062E-01 
2.021E+00   6.357E+00  4.056E-01 
2.044E+00   6.395E+00  4.049E-01 
2.068E+00   6.434E+00  4.043E-01 
2.092E+00   6.473E+00  4.037E-01 
2.116E+00   6.512E+00  4.030E-01 
2.141E+00   6.551E+00  4.023E-01 
2.166E+00   6.591E+00  4.017E-01 
2.191E+00   6.631E+00  4.010E-01 
2.216E+00   6.671E+00  4.003E-01 
2.242E+00   6.711E+00  3.996E-01 
2.268E+00   6.751E+00  3.989E-01 
2.294E+00   6.792E+00  3.982E-01 
2.321E+00   6.833E+00  3.974E-01 
2.348E+00   6.874E+00  3.967E-01 
2.375E+00   6.916E+00  3.959E-01 
2.402E+00   6.958E+00  3.952E-01 
2.430E+00   6.999E+00  3.944E-01 
2.458E+00   7.042E+00  3.936E-01 
2.487E+00   7.084E+00  3.929E-01 
2.516E+00   7.127E+00  3.921E-01 
2.545E+00   7.170E+00  3.913E-01 
2.574E+00   7.213E+00  3.905E-01 
2.604E+00   7.256E+00  3.896E-01 
2.635E+00   7.300E+00  3.888E-01 
2.665E+00   7.344E+00  3.880E-01 
2.696E+00   7.388E+00  3.871E-01 
2.727E+00   7.433E+00  3.863E-01 
2.759E+00   7.478E+00  3.854E-01 
2.791E+00   7.523E+00  3.846E-01 
2.823E+00   7.568E+00  3.837E-01 
2.856E+00   7.613E+00  3.828E-01 
2.889E+00   7.659E+00  3.819E-01 
2.923E+00   7.705E+00  3.810E-01 
2.957E+00   7.751E+00  3.801E-01 
2.991E+00   7.798E+00  3.792E-01 
3.026E+00   7.845E+00  3.782E-01 
3.061E+00   7.892E+00  3.773E-01 
3.096E+00   7.939E+00  3.764E-01 
3.132E+00   7.986E+00  3.754E-01 
3.168E+00   8.034E+00  3.745E-01 
3.205E+00   8.082E+00  3.735E-01 
3.242E+00   8.130E+00  3.725E-01 
3.280E+00   8.179E+00  3.715E-01 
3.318E+00   8.228E+00  3.706E-01 
3.356E+00   8.277E+00  3.696E-01 
3.395E+00   8.326E+00  3.686E-01 
3.435E+00   8.376E+00  3.676E-01 
3.475E+00   8.425E+00  3.665E-01 
3.515E+00   8.476E+00  3.655E-01 
