Ion = Hydrogen    . Mass = 1.0079
Tgt = Ga (Solid). Density = 5.904 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.066E+00  4.049E-01 
1.012E+00   4.089E+00  4.049E-01 
1.023E+00   4.113E+00  4.049E-01 
1.035E+00   4.137E+00  4.048E-01 
1.047E+00   4.161E+00  4.048E-01 
1.059E+00   4.185E+00  4.048E-01 
1.072E+00   4.209E+00  4.047E-01 
1.084E+00   4.233E+00  4.047E-01 
1.097E+00   4.258E+00  4.046E-01 
1.109E+00   4.282E+00  4.045E-01 
1.122E+00   4.307E+00  4.044E-01 
1.135E+00   4.332E+00  4.043E-01 
1.148E+00   4.357E+00  4.042E-01 
1.162E+00   4.382E+00  4.041E-01 
1.175E+00   4.408E+00  4.040E-01 
1.189E+00   4.433E+00  4.039E-01 
1.203E+00   4.459E+00  4.037E-01 
1.217E+00   4.485E+00  4.036E-01 
1.231E+00   4.511E+00  4.034E-01 
1.245E+00   4.537E+00  4.033E-01 
1.259E+00   4.563E+00  4.031E-01 
1.274E+00   4.589E+00  4.029E-01 
1.289E+00   4.616E+00  4.027E-01 
1.304E+00   4.642E+00  4.025E-01 
1.319E+00   4.669E+00  4.023E-01 
1.334E+00   4.696E+00  4.021E-01 
1.350E+00   4.723E+00  4.018E-01 
1.365E+00   4.751E+00  4.016E-01 
1.381E+00   4.778E+00  4.013E-01 
1.397E+00   4.806E+00  4.011E-01 
1.413E+00   4.834E+00  4.008E-01 
1.430E+00   4.862E+00  4.005E-01 
1.446E+00   4.890E+00  4.003E-01 
1.463E+00   4.918E+00  4.000E-01 
1.480E+00   4.946E+00  3.997E-01 
1.497E+00   4.975E+00  3.993E-01 
1.515E+00   5.004E+00  3.990E-01 
1.532E+00   5.033E+00  3.987E-01 
1.550E+00   5.062E+00  3.983E-01 
1.568E+00   5.091E+00  3.980E-01 
1.586E+00   5.121E+00  3.976E-01 
1.605E+00   5.150E+00  3.973E-01 
1.623E+00   5.180E+00  3.969E-01 
1.642E+00   5.210E+00  3.965E-01 
1.661E+00   5.240E+00  3.961E-01 
1.680E+00   5.270E+00  3.957E-01 
1.700E+00   5.301E+00  3.953E-01 
1.719E+00   5.331E+00  3.948E-01 
1.739E+00   5.362E+00  3.944E-01 
1.760E+00   5.393E+00  3.940E-01 
1.780E+00   5.425E+00  3.935E-01 
1.801E+00   5.456E+00  3.930E-01 
1.822E+00   5.487E+00  3.926E-01 
1.843E+00   5.519E+00  3.921E-01 
1.864E+00   5.551E+00  3.916E-01 
1.886E+00   5.583E+00  3.911E-01 
1.908E+00   5.615E+00  3.906E-01 
1.930E+00   5.648E+00  3.901E-01 
1.952E+00   5.681E+00  3.895E-01 
1.975E+00   5.713E+00  3.890E-01 
1.998E+00   5.746E+00  3.885E-01 
2.021E+00   5.778E+00  3.879E-01 
2.044E+00   5.803E+00  3.873E-01 
2.068E+00   5.828E+00  3.868E-01 
2.092E+00   5.853E+00  3.862E-01 
2.116E+00   5.879E+00  3.856E-01 
2.141E+00   5.905E+00  3.850E-01 
2.166E+00   5.931E+00  3.844E-01 
2.191E+00   5.958E+00  3.838E-01 
2.216E+00   5.985E+00  3.831E-01 
2.242E+00   6.012E+00  3.825E-01 
2.268E+00   6.039E+00  3.819E-01 
2.294E+00   6.066E+00  3.812E-01 
2.321E+00   6.094E+00  3.806E-01 
2.348E+00   6.122E+00  3.799E-01 
2.375E+00   6.151E+00  3.792E-01 
2.402E+00   6.179E+00  3.785E-01 
2.430E+00   6.208E+00  3.778E-01 
2.458E+00   6.237E+00  3.771E-01 
2.487E+00   6.267E+00  3.764E-01 
2.516E+00   6.297E+00  3.757E-01 
2.545E+00   6.327E+00  3.750E-01 
2.574E+00   6.357E+00  3.742E-01 
2.604E+00   6.388E+00  3.735E-01 
2.635E+00   6.419E+00  3.727E-01 
2.665E+00   6.450E+00  3.720E-01 
2.696E+00   6.481E+00  3.712E-01 
2.727E+00   6.513E+00  3.704E-01 
2.759E+00   6.545E+00  3.696E-01 
2.791E+00   6.578E+00  3.688E-01 
2.823E+00   6.610E+00  3.680E-01 
2.856E+00   6.643E+00  3.672E-01 
2.889E+00   6.676E+00  3.664E-01 
2.923E+00   6.710E+00  3.656E-01 
2.957E+00   6.744E+00  3.647E-01 
2.991E+00   6.778E+00  3.639E-01 
3.026E+00   6.813E+00  3.630E-01 
3.061E+00   6.847E+00  3.622E-01 
3.096E+00   6.883E+00  3.613E-01 
3.132E+00   6.918E+00  3.604E-01 
3.168E+00   6.954E+00  3.596E-01 
3.205E+00   6.990E+00  3.587E-01 
3.242E+00   7.026E+00  3.578E-01 
3.280E+00   7.063E+00  3.569E-01 
3.318E+00   7.100E+00  3.560E-01 
3.356E+00   7.137E+00  3.550E-01 
3.395E+00   7.175E+00  3.541E-01 
3.435E+00   7.212E+00  3.532E-01 
3.475E+00   7.251E+00  3.522E-01 
3.515E+00   7.289E+00  3.513E-01 
3.556E+00   7.328E+00  3.504E-01 
3.597E+00   7.367E+00  3.494E-01 
3.639E+00   7.407E+00  3.484E-01 
3.681E+00   7.446E+00  3.475E-01 
3.724E+00   7.487E+00  3.465E-01 
3.767E+00   7.527E+00  3.455E-01 
3.810E+00   7.568E+00  3.445E-01 
3.855E+00   7.609E+00  3.435E-01 
3.899E+00   7.650E+00  3.425E-01 
3.945E+00   7.692E+00  3.415E-01 
3.990E+00   7.734E+00  3.405E-01 
4.037E+00   7.776E+00  3.395E-01 
4.083E+00   7.819E+00  3.384E-01 
4.131E+00   7.862E+00  3.374E-01 
4.179E+00   7.905E+00  3.364E-01 
4.227E+00   7.948E+00  3.353E-01 
4.276E+00   7.992E+00  3.343E-01 
4.326E+00   8.036E+00  3.332E-01 
4.376E+00   8.081E+00  3.321E-01 
4.427E+00   8.126E+00  3.311E-01 
4.478E+00   8.171E+00  3.300E-01 
4.530E+00   8.216E+00  3.289E-01 
4.583E+00   8.262E+00  3.278E-01 
4.636E+00   8.308E+00  3.267E-01 
4.690E+00   8.354E+00  3.257E-01 
4.744E+00   8.400E+00  3.246E-01 
4.799E+00   8.447E+00  3.235E-01 
4.855E+00   8.494E+00  3.223E-01 
4.911E+00   8.542E+00  3.212E-01 
4.968E+00   8.590E+00  3.201E-01 
5.026E+00   8.638E+00  3.190E-01 
5.084E+00   8.686E+00  3.179E-01 
5.143E+00   8.735E+00  3.167E-01 
5.202E+00   8.783E+00  3.156E-01 
5.263E+00   8.833E+00  3.145E-01 
5.324E+00   8.882E+00  3.133E-01 
5.386E+00   8.932E+00  3.122E-01 
5.448E+00   8.982E+00  3.110E-01 
5.511E+00   9.032E+00  3.099E-01 
5.575E+00   9.083E+00  3.087E-01 
5.640E+00   9.133E+00  3.075E-01 
5.705E+00   9.185E+00  3.064E-01 
5.771E+00   9.236E+00  3.052E-01 
5.838E+00   9.288E+00  3.040E-01 
5.906E+00   9.339E+00  3.029E-01 
5.975E+00   9.392E+00  3.017E-01 
6.044E+00   9.444E+00  3.005E-01 
6.114E+00   9.497E+00  2.993E-01 
6.185E+00   9.550E+00  2.981E-01 
6.257E+00   9.603E+00  2.969E-01 
6.329E+00   9.656E+00  2.957E-01 
6.403E+00   9.710E+00  2.945E-01 
6.477E+00   9.764E+00  2.933E-01 
6.552E+00   9.819E+00  2.921E-01 
6.628E+00   9.873E+00  2.909E-01 
6.705E+00   9.928E+00  2.897E-01 
6.783E+00   9.983E+00  2.885E-01 
6.861E+00   1.004E+01  2.873E-01 
6.941E+00   1.009E+01  2.861E-01 
7.021E+00   1.015E+01  2.849E-01 
7.103E+00   1.021E+01  2.837E-01 
7.185E+00   1.026E+01  2.824E-01 
7.269E+00   1.032E+01  2.812E-01 
7.353E+00   1.038E+01  2.800E-01 
7.438E+00   1.043E+01  2.788E-01 
7.524E+00   1.049E+01  2.775E-01 
7.612E+00   1.055E+01  2.763E-01 
7.700E+00   1.061E+01  2.751E-01 
7.789E+00   1.066E+01  2.738E-01 
7.880E+00   1.072E+01  2.726E-01 
7.971E+00   1.078E+01  2.714E-01 
8.064E+00   1.084E+01  2.701E-01 
8.157E+00   1.090E+01  2.689E-01 
8.252E+00   1.096E+01  2.677E-01 
8.347E+00   1.102E+01  2.664E-01 
8.444E+00   1.108E+01  2.652E-01 
8.542E+00   1.114E+01  2.640E-01 
8.641E+00   1.120E+01  2.627E-01 
8.741E+00   1.126E+01  2.615E-01 
