Ion = Hydrogen    . Mass = 1.0079
Tgt = Ge (Solid). Density = 5.35 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.882E+00  3.932E-01 
1.012E+00   5.916E+00  3.932E-01 
1.023E+00   5.950E+00  3.933E-01 
1.035E+00   5.984E+00  3.933E-01 
1.047E+00   6.019E+00  3.933E-01 
1.059E+00   6.054E+00  3.933E-01 
1.072E+00   6.089E+00  3.933E-01 
1.084E+00   6.124E+00  3.933E-01 
1.097E+00   6.159E+00  3.933E-01 
1.109E+00   6.195E+00  3.932E-01 
1.122E+00   6.231E+00  3.932E-01 
1.135E+00   6.267E+00  3.931E-01 
1.148E+00   6.303E+00  3.931E-01 
1.162E+00   6.339E+00  3.930E-01 
1.175E+00   6.376E+00  3.929E-01 
1.189E+00   6.413E+00  3.929E-01 
1.203E+00   6.450E+00  3.928E-01 
1.217E+00   6.487E+00  3.927E-01 
1.231E+00   6.525E+00  3.926E-01 
1.245E+00   6.563E+00  3.924E-01 
1.259E+00   6.601E+00  3.923E-01 
1.274E+00   6.639E+00  3.922E-01 
1.289E+00   6.677E+00  3.920E-01 
1.304E+00   6.716E+00  3.919E-01 
1.319E+00   6.755E+00  3.917E-01 
1.334E+00   6.794E+00  3.915E-01 
1.350E+00   6.833E+00  3.914E-01 
1.365E+00   6.872E+00  3.912E-01 
1.381E+00   6.912E+00  3.910E-01 
1.397E+00   6.952E+00  3.908E-01 
1.413E+00   6.992E+00  3.905E-01 
1.430E+00   7.033E+00  3.903E-01 
1.446E+00   7.073E+00  3.901E-01 
1.463E+00   7.114E+00  3.898E-01 
1.480E+00   7.156E+00  3.896E-01 
1.497E+00   7.197E+00  3.893E-01 
1.515E+00   7.239E+00  3.891E-01 
1.532E+00   7.280E+00  3.888E-01 
1.550E+00   7.322E+00  3.885E-01 
1.568E+00   7.365E+00  3.882E-01 
1.586E+00   7.407E+00  3.879E-01 
1.605E+00   7.450E+00  3.876E-01 
1.623E+00   7.493E+00  3.872E-01 
1.642E+00   7.537E+00  3.869E-01 
1.661E+00   7.580E+00  3.866E-01 
1.680E+00   7.624E+00  3.862E-01 
1.700E+00   7.668E+00  3.858E-01 
1.719E+00   7.713E+00  3.855E-01 
1.739E+00   7.757E+00  3.851E-01 
1.760E+00   7.802E+00  3.847E-01 
1.780E+00   7.847E+00  3.843E-01 
1.801E+00   7.892E+00  3.839E-01 
1.822E+00   7.938E+00  3.835E-01 
1.843E+00   7.984E+00  3.831E-01 
1.864E+00   8.030E+00  3.826E-01 
1.886E+00   8.077E+00  3.822E-01 
1.908E+00   8.123E+00  3.817E-01 
1.930E+00   8.170E+00  3.813E-01 
1.952E+00   8.218E+00  3.808E-01 
1.975E+00   8.265E+00  3.803E-01 
1.998E+00   8.313E+00  3.798E-01 
2.021E+00   8.360E+00  3.793E-01 
2.044E+00   8.405E+00  3.788E-01 
2.068E+00   8.449E+00  3.783E-01 
2.092E+00   8.494E+00  3.778E-01 
2.116E+00   8.540E+00  3.772E-01 
2.141E+00   8.585E+00  3.767E-01 
2.166E+00   8.631E+00  3.762E-01 
2.191E+00   8.677E+00  3.756E-01 
2.216E+00   8.723E+00  3.750E-01 
2.242E+00   8.770E+00  3.745E-01 
2.268E+00   8.817E+00  3.739E-01 
2.294E+00   8.864E+00  3.733E-01 
2.321E+00   8.911E+00  3.727E-01 
2.348E+00   8.959E+00  3.721E-01 
2.375E+00   9.007E+00  3.714E-01 
2.402E+00   9.055E+00  3.708E-01 
2.430E+00   9.104E+00  3.702E-01 
