Ion = Hydrogen    . Mass = 1.0079
Tgt = As (Solid). Density = 5.727 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.109E+00  3.808E-01 
1.012E+00   6.144E+00  3.808E-01 
1.023E+00   6.180E+00  3.809E-01 
1.035E+00   6.216E+00  3.809E-01 
1.047E+00   6.252E+00  3.810E-01 
1.059E+00   6.288E+00  3.810E-01 
1.072E+00   6.324E+00  3.810E-01 
1.084E+00   6.361E+00  3.810E-01 
1.097E+00   6.397E+00  3.810E-01 
1.109E+00   6.434E+00  3.810E-01 
1.122E+00   6.472E+00  3.810E-01 
1.135E+00   6.509E+00  3.810E-01 
1.148E+00   6.547E+00  3.810E-01 
1.162E+00   6.585E+00  3.809E-01 
1.175E+00   6.623E+00  3.809E-01 
1.189E+00   6.661E+00  3.808E-01 
1.203E+00   6.700E+00  3.808E-01 
1.217E+00   6.738E+00  3.807E-01 
1.231E+00   6.777E+00  3.806E-01 
1.245E+00   6.816E+00  3.805E-01 
1.259E+00   6.856E+00  3.804E-01 
1.274E+00   6.895E+00  3.803E-01 
1.289E+00   6.935E+00  3.802E-01 
1.304E+00   6.975E+00  3.801E-01 
1.319E+00   7.016E+00  3.800E-01 
1.334E+00   7.056E+00  3.798E-01 
1.350E+00   7.097E+00  3.797E-01 
1.365E+00   7.138E+00  3.795E-01 
1.381E+00   7.180E+00  3.794E-01 
1.397E+00   7.221E+00  3.792E-01 
1.413E+00   7.263E+00  3.790E-01 
1.430E+00   7.305E+00  3.788E-01 
1.446E+00   7.347E+00  3.786E-01 
1.463E+00   7.390E+00  3.784E-01 
1.480E+00   7.432E+00  3.782E-01 
1.497E+00   7.475E+00  3.780E-01 
1.515E+00   7.518E+00  3.778E-01 
1.532E+00   7.562E+00  3.775E-01 
1.550E+00   7.606E+00  3.773E-01 
1.568E+00   7.650E+00  3.770E-01 
1.586E+00   7.694E+00  3.768E-01 
1.605E+00   7.738E+00  3.765E-01 
1.623E+00   7.783E+00  3.762E-01 
1.642E+00   7.828E+00  3.759E-01 
1.661E+00   7.873E+00  3.756E-01 
1.680E+00   7.919E+00  3.753E-01 
1.700E+00   7.965E+00  3.750E-01 
1.719E+00   8.011E+00  3.747E-01 
1.739E+00   8.057E+00  3.743E-01 
1.760E+00   8.104E+00  3.740E-01 
1.780E+00   8.151E+00  3.736E-01 
1.801E+00   8.198E+00  3.733E-01 
1.822E+00   8.245E+00  3.729E-01 
1.843E+00   8.293E+00  3.725E-01 
1.864E+00   8.341E+00  3.722E-01 
1.886E+00   8.389E+00  3.718E-01 
1.908E+00   8.437E+00  3.714E-01 
1.930E+00   8.486E+00  3.710E-01 
1.952E+00   8.535E+00  3.705E-01 
1.975E+00   8.585E+00  3.701E-01 
1.998E+00   8.634E+00  3.697E-01 
2.021E+00   8.683E+00  3.692E-01 
2.044E+00   8.727E+00  3.688E-01 
2.068E+00   8.771E+00  3.683E-01 
2.092E+00   8.815E+00  3.678E-01 
2.116E+00   8.860E+00  3.674E-01 
2.141E+00   8.905E+00  3.669E-01 
2.166E+00   8.950E+00  3.664E-01 
2.191E+00   8.996E+00  3.659E-01 
2.216E+00   9.042E+00  3.654E-01 
2.242E+00   9.088E+00  3.648E-01 
2.268E+00   9.135E+00  3.643E-01 
2.294E+00   9.181E+00  3.638E-01 
2.321E+00   9.229E+00  3.632E-01 
2.348E+00   9.276E+00  3.627E-01 
2.375E+00   9.324E+00  3.621E-01 
2.402E+00   9.372E+00  3.615E-01 
2.430E+00   9.421E+00  3.609E-01 
2.458E+00   9.469E+00  3.604E-01 
2.487E+00   9.518E+00  3.598E-01 
2.516E+00   9.568E+00  3.592E-01 
2.545E+00   9.618E+00  3.585E-01 
2.574E+00   9.668E+00  3.579E-01 
2.604E+00   9.718E+00  3.573E-01 
2.635E+00   9.769E+00  3.567E-01 
2.665E+00   9.820E+00  3.560E-01 
2.696E+00   9.872E+00  3.554E-01 
2.727E+00   9.924E+00  3.547E-01 
2.759E+00   9.976E+00  3.540E-01 
2.791E+00   1.003E+01  3.534E-01 
2.823E+00   1.008E+01  3.527E-01 
2.856E+00   1.013E+01  3.520E-01 
2.889E+00   1.019E+01  3.513E-01 
2.923E+00   1.024E+01  3.506E-01 
2.957E+00   1.030E+01  3.499E-01 
2.991E+00   1.035E+01  3.491E-01 
3.026E+00   1.041E+01  3.484E-01 
3.061E+00   1.046E+01  3.477E-01 
3.096E+00   1.052E+01  3.469E-01 
3.132E+00   1.058E+01  3.462E-01 
3.168E+00   1.063E+01  3.454E-01 
3.205E+00   1.069E+01  3.446E-01 
3.242E+00   1.075E+01  3.439E-01 
3.280E+00   1.080E+01  3.431E-01 
3.318E+00   1.086E+01  3.423E-01 
3.356E+00   1.092E+01  3.415E-01 
3.395E+00   1.098E+01  3.407E-01 
3.435E+00   1.104E+01  3.399E-01 
3.475E+00   1.110E+01  3.391E-01 
3.515E+00   1.116E+01  3.382E-01 
3.556E+00   1.122E+01  3.374E-01 
3.597E+00   1.128E+01  3.366E-01 
3.639E+00   1.134E+01  3.357E-01 
3.681E+00   1.141E+01  3.349E-01 
3.724E+00   1.147E+01  3.340E-01 
3.767E+00   1.153E+01  3.331E-01 
3.810E+00   1.160E+01  3.323E-01 
3.855E+00   1.166E+01  3.314E-01 
3.899E+00   1.172E+01  3.305E-01 
3.945E+00   1.179E+01  3.296E-01 
3.990E+00   1.185E+01  3.287E-01 
4.037E+00   1.192E+01  3.278E-01 
4.083E+00   1.199E+01  3.269E-01 
4.131E+00   1.205E+01  3.260E-01 
4.179E+00   1.212E+01  3.251E-01 
4.227E+00   1.219E+01  3.241E-01 
4.276E+00   1.226E+01  3.232E-01 
4.326E+00   1.232E+01  3.223E-01 
4.376E+00   1.239E+01  3.213E-01 
4.427E+00   1.246E+01  3.204E-01 
4.478E+00   1.253E+01  3.194E-01 
4.530E+00   1.260E+01  3.184E-01 
4.583E+00   1.267E+01  3.175E-01 
4.636E+00   1.275E+01  3.165E-01 
4.690E+00   1.282E+01  3.155E-01 
4.744E+00   1.289E+01  3.145E-01 
4.799E+00   1.296E+01  3.136E-01 
4.855E+00   1.304E+01  3.126E-01 
4.911E+00   1.311E+01  3.116E-01 
4.968E+00   1.319E+01  3.106E-01 
5.026E+00   1.326E+01  3.095E-01 
5.084E+00   1.334E+01  3.085E-01 
5.143E+00   1.341E+01  3.075E-01 
5.202E+00   1.349E+01  3.065E-01 
5.263E+00   1.357E+01  3.055E-01 
5.324E+00   1.365E+01  3.044E-01 
5.386E+00   1.372E+01  3.034E-01 
5.448E+00   1.380E+01  3.023E-01 
5.511E+00   1.388E+01  3.013E-01 
5.575E+00   1.396E+01  3.002E-01 
5.640E+00   1.404E+01  2.992E-01 
5.705E+00   1.413E+01  2.981E-01 
5.771E+00   1.421E+01  2.971E-01 
5.838E+00   1.429E+01  2.960E-01 
5.906E+00   1.437E+01  2.949E-01 
5.975E+00   1.446E+01  2.939E-01 
6.044E+00   1.454E+01  2.928E-01 
6.114E+00   1.463E+01  2.917E-01 
6.185E+00   1.471E+01  2.906E-01 
6.257E+00   1.480E+01  2.895E-01 
6.329E+00   1.488E+01  2.884E-01 
6.403E+00   1.497E+01  2.873E-01 
6.477E+00   1.506E+01  2.862E-01 
6.552E+00   1.515E+01  2.851E-01 
6.628E+00   1.524E+01  2.840E-01 
6.705E+00   1.533E+01  2.829E-01 
6.783E+00   1.542E+01  2.818E-01 
6.861E+00   1.551E+01  2.807E-01 
6.941E+00   1.560E+01  2.796E-01 
7.021E+00   1.569E+01  2.785E-01 
7.103E+00   1.578E+01  2.773E-01 
7.185E+00   1.588E+01  2.762E-01 
7.269E+00   1.597E+01  2.751E-01 
7.353E+00   1.607E+01  2.740E-01 
7.438E+00   1.616E+01  2.728E-01 
7.524E+00   1.626E+01  2.717E-01 
7.612E+00   1.635E+01  2.706E-01 
7.700E+00   1.645E+01  2.694E-01 
7.789E+00   1.655E+01  2.683E-01 
7.880E+00   1.665E+01  2.671E-01 
7.971E+00   1.675E+01  2.660E-01 
8.064E+00   1.685E+01  2.648E-01 
8.157E+00   1.695E+01  2.637E-01 
8.252E+00   1.705E+01  2.626E-01 
8.347E+00   1.715E+01  2.614E-01 
8.444E+00   1.725E+01  2.602E-01 
8.542E+00   1.736E+01  2.591E-01 
8.641E+00   1.746E+01  2.579E-01 
8.741E+00   1.756E+01  2.568E-01 
8.843E+00   1.767E+01  2.556E-01 
8.945E+00   1.778E+01  2.545E-01 
9.049E+00   1.788E+01  2.533E-01 
9.154E+00   1.799E+01  2.522E-01 
9.260E+00   1.810E+01  2.510E-01 
9.368E+00   1.821E+01  2.498E-01 
9.476E+00   1.832E+01  2.487E-01 
9.586E+00   1.842E+01  2.475E-01 
9.698E+00   1.854E+01  2.463E-01 
9.810E+00   1.865E+01  2.452E-01 
9.924E+00   1.876E+01  2.440E-01 
1.004E+01   1.887E+01  2.429E-01 
1.016E+01   1.898E+01  2.417E-01 
1.027E+01   1.910E+01  2.405E-01 
1.039E+01   1.921E+01  2.394E-01 
1.051E+01   1.933E+01  2.382E-01 
1.063E+01   1.944E+01  2.370E-01 
1.076E+01   1.956E+01  2.359E-01 
1.088E+01   1.967E+01  2.347E-01 
1.101E+01   1.979E+01  2.335E-01 
1.114E+01   1.991E+01  2.324E-01 
1.127E+01   2.003E+01  2.312E-01 
1.140E+01   2.015E+01  2.301E-01 
1.153E+01   2.027E+01  2.289E-01 
1.166E+01   2.039E+01  2.277E-01 
1.180E+01   2.051E+01  2.266E-01 
1.193E+01   2.063E+01  2.254E-01 
1.207E+01   2.075E+01  2.243E-01 
1.221E+01   2.087E+01  2.231E-01 
1.235E+01   2.100E+01  2.219E-01 
1.250E+01   2.112E+01  2.208E-01 
1.264E+01   2.125E+01  2.196E-01 
1.279E+01   2.137E+01  2.185E-01 
1.294E+01   2.150E+01  2.173E-01 
1.309E+01   2.162E+01  2.162E-01 
1.324E+01   2.175E+01  2.150E-01 
1.339E+01   2.187E+01  2.139E-01 
1.355E+01   2.200E+01  2.127E-01 
1.371E+01   2.213E+01  2.116E-01 
1.387E+01   2.226E+01  2.104E-01 
