Ion = Hydrogen    . Mass = 1.0079
Tgt = Se (Solid). Density = 4.81 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.745E+00  3.659E-01 
1.012E+00   5.779E+00  3.660E-01 
1.023E+00   5.812E+00  3.660E-01 
1.035E+00   5.846E+00  3.660E-01 
1.047E+00   5.879E+00  3.661E-01 
1.059E+00   5.913E+00  3.661E-01 
1.072E+00   5.948E+00  3.661E-01 
1.084E+00   5.982E+00  3.661E-01 
1.097E+00   6.017E+00  3.661E-01 
1.109E+00   6.051E+00  3.661E-01 
1.122E+00   6.086E+00  3.660E-01 
1.135E+00   6.121E+00  3.660E-01 
1.148E+00   6.157E+00  3.660E-01 
1.162E+00   6.192E+00  3.659E-01 
1.175E+00   6.228E+00  3.659E-01 
1.189E+00   6.264E+00  3.658E-01 
1.203E+00   6.301E+00  3.657E-01 
1.217E+00   6.337E+00  3.657E-01 
1.231E+00   6.374E+00  3.656E-01 
1.245E+00   6.410E+00  3.655E-01 
1.259E+00   6.448E+00  3.654E-01 
1.274E+00   6.485E+00  3.653E-01 
1.289E+00   6.522E+00  3.652E-01 
1.304E+00   6.560E+00  3.651E-01 
1.319E+00   6.598E+00  3.649E-01 
1.334E+00   6.636E+00  3.648E-01 
1.350E+00   6.675E+00  3.646E-01 
1.365E+00   6.713E+00  3.645E-01 
1.381E+00   6.752E+00  3.643E-01 
1.397E+00   6.791E+00  3.642E-01 
1.413E+00   6.830E+00  3.640E-01 
1.430E+00   6.870E+00  3.638E-01 
1.446E+00   6.909E+00  3.636E-01 
1.463E+00   6.949E+00  3.634E-01 
1.480E+00   6.990E+00  3.632E-01 
1.497E+00   7.030E+00  3.630E-01 
1.515E+00   7.071E+00  3.628E-01 
1.532E+00   7.112E+00  3.626E-01 
1.550E+00   7.153E+00  3.623E-01 
1.568E+00   7.194E+00  3.621E-01 
1.586E+00   7.236E+00  3.618E-01 
1.605E+00   7.278E+00  3.616E-01 
1.623E+00   7.320E+00  3.613E-01 
1.642E+00   7.362E+00  3.610E-01 
1.661E+00   7.405E+00  3.607E-01 
1.680E+00   7.447E+00  3.604E-01 
1.700E+00   7.490E+00  3.601E-01 
1.719E+00   7.534E+00  3.598E-01 
1.739E+00   7.577E+00  3.595E-01 
1.760E+00   7.621E+00  3.592E-01 
1.780E+00   7.665E+00  3.589E-01 
1.801E+00   7.709E+00  3.585E-01 
1.822E+00   7.754E+00  3.582E-01 
1.843E+00   7.799E+00  3.578E-01 
1.864E+00   7.844E+00  3.574E-01 
1.886E+00   7.889E+00  3.571E-01 
1.908E+00   7.935E+00  3.567E-01 
1.930E+00   7.981E+00  3.563E-01 
1.952E+00   8.027E+00  3.559E-01 
1.975E+00   8.073E+00  3.555E-01 
1.998E+00   8.120E+00  3.551E-01 
2.021E+00   8.167E+00  3.547E-01 
2.044E+00   8.214E+00  3.543E-01 
2.068E+00   8.261E+00  3.538E-01 
2.092E+00   8.308E+00  3.534E-01 
2.116E+00   8.356E+00  3.529E-01 
2.141E+00   8.404E+00  3.525E-01 
2.166E+00   8.452E+00  3.520E-01 
