Ion = Hydrogen    . Mass = 1.0079
Tgt = Br (Solid). Density = 3.199 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.116E+00  3.710E-01 
1.012E+00   5.146E+00  3.710E-01 
1.023E+00   5.175E+00  3.710E-01 
1.035E+00   5.205E+00  3.711E-01 
1.047E+00   5.235E+00  3.711E-01 
1.059E+00   5.266E+00  3.711E-01 
1.072E+00   5.296E+00  3.711E-01 
1.084E+00   5.327E+00  3.711E-01 
1.097E+00   5.358E+00  3.711E-01 
1.109E+00   5.389E+00  3.710E-01 
1.122E+00   5.420E+00  3.710E-01 
1.135E+00   5.451E+00  3.710E-01 
1.148E+00   5.483E+00  3.709E-01 
1.162E+00   5.514E+00  3.709E-01 
1.175E+00   5.546E+00  3.708E-01 
1.189E+00   5.578E+00  3.707E-01 
1.203E+00   5.611E+00  3.707E-01 
1.217E+00   5.643E+00  3.706E-01 
1.231E+00   5.676E+00  3.705E-01 
1.245E+00   5.708E+00  3.704E-01 
1.259E+00   5.741E+00  3.703E-01 
1.274E+00   5.775E+00  3.702E-01 
1.289E+00   5.808E+00  3.700E-01 
1.304E+00   5.842E+00  3.699E-01 
1.319E+00   5.875E+00  3.698E-01 
1.334E+00   5.909E+00  3.696E-01 
1.350E+00   5.944E+00  3.695E-01 
1.365E+00   5.978E+00  3.693E-01 
1.381E+00   6.013E+00  3.692E-01 
1.397E+00   6.047E+00  3.690E-01 
1.413E+00   6.082E+00  3.688E-01 
1.430E+00   6.117E+00  3.686E-01 
1.446E+00   6.153E+00  3.684E-01 
1.463E+00   6.188E+00  3.682E-01 
1.480E+00   6.224E+00  3.680E-01 
1.497E+00   6.260E+00  3.678E-01 
1.515E+00   6.296E+00  3.676E-01 
1.532E+00   6.333E+00  3.673E-01 
1.550E+00   6.369E+00  3.671E-01 
1.568E+00   6.406E+00  3.669E-01 
1.586E+00   6.443E+00  3.666E-01 
1.605E+00   6.481E+00  3.663E-01 
1.623E+00   6.518E+00  3.661E-01 
1.642E+00   6.556E+00  3.658E-01 
1.661E+00   6.594E+00  3.655E-01 
1.680E+00   6.632E+00  3.652E-01 
1.700E+00   6.670E+00  3.649E-01 
1.719E+00   6.709E+00  3.646E-01 
1.739E+00   6.747E+00  3.643E-01 
1.760E+00   6.787E+00  3.639E-01 
1.780E+00   6.826E+00  3.636E-01 
1.801E+00   6.865E+00  3.633E-01 
1.822E+00   6.905E+00  3.629E-01 
1.843E+00   6.945E+00  3.626E-01 
1.864E+00   6.985E+00  3.622E-01 
1.886E+00   7.025E+00  3.618E-01 
1.908E+00   7.066E+00  3.614E-01 
1.930E+00   7.107E+00  3.611E-01 
1.952E+00   7.148E+00  3.607E-01 
1.975E+00   7.189E+00  3.603E-01 
1.998E+00   7.231E+00  3.598E-01 
2.021E+00   7.272E+00  3.594E-01 
2.044E+00   7.310E+00  3.590E-01 
2.068E+00   7.348E+00  3.586E-01 
2.092E+00   7.386E+00  3.581E-01 
2.116E+00   7.425E+00  3.577E-01 
2.141E+00   7.464E+00  3.572E-01 
2.166E+00   7.503E+00  3.568E-01 
