Ion = Hydrogen    . Mass = 1.0079
Tgt = Kr (Solid). Density = 2.6021 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.476E+00  3.608E-01 
1.012E+00   6.513E+00  3.609E-01 
1.023E+00   6.551E+00  3.609E-01 
1.035E+00   6.589E+00  3.609E-01 
1.047E+00   6.627E+00  3.609E-01 
1.059E+00   6.665E+00  3.610E-01 
1.072E+00   6.704E+00  3.610E-01 
1.084E+00   6.743E+00  3.610E-01 
1.097E+00   6.781E+00  3.610E-01 
1.109E+00   6.821E+00  3.609E-01 
1.122E+00   6.860E+00  3.609E-01 
1.135E+00   6.900E+00  3.609E-01 
1.148E+00   6.940E+00  3.609E-01 
1.162E+00   6.980E+00  3.608E-01 
1.175E+00   7.020E+00  3.608E-01 
1.189E+00   7.061E+00  3.607E-01 
1.203E+00   7.102E+00  3.607E-01 
1.217E+00   7.143E+00  3.606E-01 
1.231E+00   7.184E+00  3.605E-01 
1.245E+00   7.226E+00  3.604E-01 
1.259E+00   7.267E+00  3.603E-01 
1.274E+00   7.309E+00  3.602E-01 
1.289E+00   7.352E+00  3.601E-01 
1.304E+00   7.394E+00  3.600E-01 
1.319E+00   7.437E+00  3.599E-01 
1.334E+00   7.480E+00  3.598E-01 
1.350E+00   7.523E+00  3.597E-01 
1.365E+00   7.567E+00  3.595E-01 
1.381E+00   7.610E+00  3.594E-01 
1.397E+00   7.654E+00  3.592E-01 
1.413E+00   7.699E+00  3.590E-01 
1.430E+00   7.743E+00  3.589E-01 
1.446E+00   7.788E+00  3.587E-01 
1.463E+00   7.833E+00  3.585E-01 
1.480E+00   7.878E+00  3.583E-01 
1.497E+00   7.924E+00  3.581E-01 
1.515E+00   7.970E+00  3.579E-01 
1.532E+00   8.016E+00  3.577E-01 
1.550E+00   8.062E+00  3.575E-01 
1.568E+00   8.109E+00  3.573E-01 
1.586E+00   8.156E+00  3.570E-01 
1.605E+00   8.203E+00  3.568E-01 
