Ion = Hydrogen    . Mass = 1.0079
Tgt = Rb (Solid). Density = 1.532 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.764E+00  3.673E-01 
1.012E+00   7.809E+00  3.674E-01 
1.023E+00   7.855E+00  3.674E-01 
1.035E+00   7.900E+00  3.675E-01 
1.047E+00   7.946E+00  3.675E-01 
1.059E+00   7.992E+00  3.676E-01 
1.072E+00   8.038E+00  3.676E-01 
1.084E+00   8.084E+00  3.676E-01 
1.097E+00   8.131E+00  3.676E-01 
1.109E+00   8.178E+00  3.676E-01 
1.122E+00   8.225E+00  3.676E-01 
1.135E+00   8.273E+00  3.676E-01 
1.148E+00   8.321E+00  3.676E-01 
1.162E+00   8.369E+00  3.676E-01 
1.175E+00   8.417E+00  3.676E-01 
1.189E+00   8.466E+00  3.675E-01 
1.203E+00   8.515E+00  3.675E-01 
1.217E+00   8.564E+00  3.674E-01 
1.231E+00   8.614E+00  3.674E-01 
1.245E+00   8.663E+00  3.673E-01 
1.259E+00   8.714E+00  3.672E-01 
1.274E+00   8.764E+00  3.672E-01 
1.289E+00   8.815E+00  3.671E-01 
1.304E+00   8.866E+00  3.670E-01 
1.319E+00   8.917E+00  3.669E-01 
1.334E+00   8.968E+00  3.668E-01 
1.350E+00   9.020E+00  3.667E-01 
1.365E+00   9.072E+00  3.665E-01 
1.381E+00   9.125E+00  3.664E-01 
1.397E+00   9.178E+00  3.663E-01 
1.413E+00   9.231E+00  3.661E-01 
1.430E+00   9.284E+00  3.660E-01 
1.446E+00   9.338E+00  3.658E-01 
1.463E+00   9.392E+00  3.656E-01 
1.480E+00   9.446E+00  3.655E-01 
1.497E+00   9.501E+00  3.653E-01 
1.515E+00   9.556E+00  3.651E-01 
1.532E+00   9.611E+00  3.649E-01 
1.550E+00   9.667E+00  3.647E-01 
1.568E+00   9.722E+00  3.645E-01 
1.586E+00   9.779E+00  3.643E-01 
1.605E+00   9.835E+00  3.640E-01 
1.623E+00   9.892E+00  3.638E-01 
1.642E+00   9.949E+00  3.635E-01 
1.661E+00   1.001E+01  3.633E-01 
1.680E+00   1.006E+01  3.630E-01 
1.700E+00   1.012E+01  3.628E-01 
1.719E+00   1.018E+01  3.625E-01 
1.739E+00   1.024E+01  3.622E-01 
1.760E+00   1.030E+01  3.619E-01 
1.780E+00   1.036E+01  3.616E-01 
1.801E+00   1.042E+01  3.613E-01 
1.822E+00   1.048E+01  3.610E-01 
1.843E+00   1.054E+01  3.607E-01 
1.864E+00   1.060E+01  3.604E-01 
1.886E+00   1.066E+01  3.600E-01 
1.908E+00   1.072E+01  3.597E-01 
1.930E+00   1.079E+01  3.593E-01 
1.952E+00   1.085E+01  3.590E-01 
1.975E+00   1.091E+01  3.586E-01 
1.998E+00   1.097E+01  3.582E-01 
2.021E+00   1.104E+01  3.578E-01 
2.044E+00   1.109E+01  3.575E-01 
2.068E+00   1.114E+01  3.571E-01 
2.092E+00   1.120E+01  3.567E-01 
2.116E+00   1.125E+01  3.562E-01 
2.141E+00   1.130E+01  3.558E-01 
2.166E+00   1.136E+01  3.554E-01 
2.191E+00   1.142E+01  3.550E-01 
2.216E+00   1.147E+01  3.545E-01 
2.242E+00   1.153E+01  3.541E-01 
2.268E+00   1.158E+01  3.536E-01 
2.294E+00   1.164E+01  3.531E-01 
2.321E+00   1.170E+01  3.527E-01 
2.348E+00   1.176E+01  3.522E-01 
2.375E+00   1.181E+01  3.517E-01 
2.402E+00   1.187E+01  3.512E-01 
2.430E+00   1.193E+01  3.507E-01 
2.458E+00   1.199E+01  3.502E-01 
2.487E+00   1.205E+01  3.497E-01 
2.516E+00   1.211E+01  3.492E-01 
2.545E+00   1.217E+01  3.486E-01 
2.574E+00   1.223E+01  3.481E-01 
2.604E+00   1.229E+01  3.475E-01 
2.635E+00   1.235E+01  3.470E-01 
2.665E+00   1.241E+01  3.464E-01 
2.696E+00   1.248E+01  3.458E-01 
2.727E+00   1.254E+01  3.453E-01 
2.759E+00   1.260E+01  3.447E-01 
2.791E+00   1.266E+01  3.441E-01 
2.823E+00   1.273E+01  3.435E-01 
2.856E+00   1.279E+01  3.429E-01 
2.889E+00   1.285E+01  3.423E-01 
2.923E+00   1.292E+01  3.417E-01 
2.957E+00   1.298E+01  3.410E-01 
2.991E+00   1.305E+01  3.404E-01 
3.026E+00   1.311E+01  3.397E-01 
3.061E+00   1.317E+01  3.391E-01 
3.096E+00   1.324E+01  3.384E-01 
3.132E+00   1.331E+01  3.378E-01 
3.168E+00   1.337E+01  3.371E-01 
3.205E+00   1.344E+01  3.364E-01 
3.242E+00   1.350E+01  3.357E-01 
3.280E+00   1.357E+01  3.351E-01 
3.318E+00   1.363E+01  3.344E-01 
3.356E+00   1.370E+01  3.337E-01 
3.395E+00   1.377E+01  3.329E-01 
3.435E+00   1.383E+01  3.322E-01 
3.475E+00   1.390E+01  3.315E-01 
3.515E+00   1.397E+01  3.308E-01 
3.556E+00   1.403E+01  3.300E-01 
3.597E+00   1.410E+01  3.293E-01 
3.639E+00   1.417E+01  3.285E-01 
3.681E+00   1.423E+01  3.278E-01 
3.724E+00   1.430E+01  3.270E-01 
3.767E+00   1.437E+01  3.262E-01 
3.810E+00   1.443E+01  3.255E-01 
3.855E+00   1.450E+01  3.247E-01 
3.899E+00   1.457E+01  3.239E-01 
3.945E+00   1.463E+01  3.231E-01 
3.990E+00   1.470E+01  3.223E-01 
4.037E+00   1.476E+01  3.215E-01 
4.083E+00   1.483E+01  3.207E-01 
4.131E+00   1.489E+01  3.199E-01 
4.179E+00   1.496E+01  3.190E-01 
4.227E+00   1.502E+01  3.182E-01 
4.276E+00   1.509E+01  3.174E-01 
4.326E+00   1.515E+01  3.165E-01 
4.376E+00   1.522E+01  3.157E-01 
4.427E+00   1.528E+01  3.148E-01 
4.478E+00   1.535E+01  3.139E-01 
4.530E+00   1.541E+01  3.131E-01 
4.583E+00   1.547E+01  3.122E-01 
4.636E+00   1.553E+01  3.113E-01 
4.690E+00   1.560E+01  3.104E-01 
4.744E+00   1.566E+01  3.096E-01 
4.799E+00   1.572E+01  3.087E-01 
4.855E+00   1.578E+01  3.078E-01 
4.911E+00   1.584E+01  3.069E-01 
4.968E+00   1.590E+01  3.059E-01 
5.026E+00   1.596E+01  3.050E-01 
5.084E+00   1.603E+01  3.041E-01 
5.143E+00   1.609E+01  3.032E-01 
5.202E+00   1.614E+01  3.023E-01 
5.263E+00   1.620E+01  3.013E-01 
5.324E+00   1.626E+01  3.004E-01 
5.386E+00   1.632E+01  2.994E-01 
5.448E+00   1.638E+01  2.985E-01 
5.511E+00   1.644E+01  2.975E-01 
5.575E+00   1.650E+01  2.966E-01 
5.640E+00   1.656E+01  2.956E-01 
5.705E+00   1.662E+01  2.947E-01 
5.771E+00   1.667E+01  2.937E-01 
5.838E+00   1.673E+01  2.927E-01 
5.906E+00   1.679E+01  2.917E-01 
5.975E+00   1.685E+01  2.907E-01 
6.044E+00   1.691E+01  2.898E-01 
6.114E+00   1.697E+01  2.888E-01 
6.185E+00   1.703E+01  2.878E-01 
6.257E+00   1.709E+01  2.868E-01 
6.329E+00   1.715E+01  2.858E-01 
6.403E+00   1.721E+01  2.848E-01 
6.477E+00   1.727E+01  2.837E-01 
6.552E+00   1.734E+01  2.827E-01 
6.628E+00   1.740E+01  2.817E-01 
6.705E+00   1.746E+01  2.807E-01 
6.783E+00   1.753E+01  2.797E-01 
6.861E+00   1.760E+01  2.786E-01 
6.941E+00   1.766E+01  2.776E-01 
7.021E+00   1.773E+01  2.766E-01 
7.103E+00   1.780E+01  2.755E-01 
7.185E+00   1.787E+01  2.745E-01 
7.269E+00   1.795E+01  2.735E-01 
7.353E+00   1.802E+01  2.724E-01 
7.438E+00   1.810E+01  2.714E-01 
7.524E+00   1.817E+01  2.703E-01 
7.612E+00   1.825E+01  2.692E-01 
7.700E+00   1.833E+01  2.682E-01 
7.789E+00   1.842E+01  2.671E-01 
7.880E+00   1.850E+01  2.661E-01 
7.971E+00   1.859E+01  2.650E-01 
8.064E+00   1.868E+01  2.639E-01 
8.157E+00   1.877E+01  2.629E-01 
8.252E+00   1.886E+01  2.618E-01 
8.347E+00   1.895E+01  2.607E-01 
8.444E+00   1.905E+01  2.596E-01 
8.542E+00   1.915E+01  2.586E-01 
8.641E+00   1.925E+01  2.575E-01 
8.741E+00   1.935E+01  2.564E-01 
8.843E+00   1.946E+01  2.553E-01 
8.945E+00   1.957E+01  2.542E-01 
9.049E+00   1.968E+01  2.531E-01 
9.154E+00   1.979E+01  2.521E-01 
9.260E+00   1.991E+01  2.510E-01 
9.368E+00   2.002E+01  2.499E-01 
9.476E+00   2.014E+01  2.488E-01 
9.586E+00   2.027E+01  2.477E-01 
9.698E+00   2.039E+01  2.466E-01 
9.810E+00   2.052E+01  2.455E-01 
9.924E+00   2.065E+01  2.444E-01 
1.004E+01   2.078E+01  2.433E-01 
1.016E+01   2.092E+01  2.422E-01 
1.027E+01   2.105E+01  2.411E-01 
1.039E+01   2.119E+01  2.400E-01 
1.051E+01   2.134E+01  2.389E-01 
1.063E+01   2.148E+01  2.378E-01 
1.076E+01   2.163E+01  2.367E-01 
1.088E+01   2.178E+01  2.356E-01 
1.101E+01   2.193E+01  2.345E-01 
1.114E+01   2.209E+01  2.334E-01 
1.127E+01   2.224E+01  2.323E-01 
1.140E+01   2.240E+01  2.312E-01 
1.153E+01   2.256E+01  2.301E-01 
1.166E+01   2.273E+01  2.290E-01 
1.180E+01   2.289E+01  2.279E-01 
1.193E+01   2.306E+01  2.268E-01 
1.207E+01   2.323E+01  2.257E-01 
1.221E+01   2.341E+01  2.246E-01 
1.235E+01   2.358E+01  2.234E-01 
1.250E+01   2.376E+01  2.223E-01 
1.264E+01   2.394E+01  2.212E-01 
1.279E+01   2.412E+01  2.201E-01 
1.294E+01   2.430E+01  2.190E-01 
1.309E+01   2.449E+01  2.179E-01 
1.324E+01   2.468E+01  2.168E-01 
1.339E+01   2.487E+01  2.157E-01 
1.355E+01   2.506E+01  2.146E-01 
1.371E+01   2.525E+01  2.135E-01 
1.387E+01   2.545E+01  2.124E-01 
1.403E+01   2.564E+01  2.113E-01 
1.419E+01   2.584E+01  2.102E-01 
1.435E+01   2.604E+01  2.091E-01 
1.452E+01   2.625E+01  2.080E-01 
1.469E+01   2.645E+01  2.070E-01 
1.486E+01   2.666E+01  2.059E-01 
1.503E+01   2.687E+01  2.048E-01 
1.521E+01   2.708E+01  2.037E-01 
1.538E+01   2.729E+01  2.026E-01 
1.556E+01   2.750E+01  2.015E-01 
1.574E+01   2.771E+01  2.004E-01 
1.592E+01   2.793E+01  1.993E-01 
1.611E+01   2.815E+01  1.982E-01 
1.629E+01   2.836E+01  1.972E-01 
1.648E+01   2.858E+01  1.961E-01 
1.667E+01   2.880E+01  1.950E-01 
1.687E+01   2.903E+01  1.939E-01 
1.706E+01   2.925E+01  1.929E-01 
1.726E+01   2.947E+01  1.918E-01 
1.746E+01   2.970E+01  1.907E-01 
1.766E+01   2.992E+01  1.896E-01 
1.787E+01   3.015E+01  1.886E-01 
1.808E+01   3.038E+01  1.875E-01 
1.829E+01   3.061E+01  1.865E-01 
1.850E+01   3.084E+01  1.854E-01 
1.871E+01   3.107E+01  1.843E-01 
1.893E+01   3.130E+01  1.833E-01 
1.915E+01   3.153E+01  1.822E-01 
1.937E+01   3.177E+01  1.812E-01 
1.960E+01   3.200E+01  1.801E-01 
1.982E+01   3.223E+01  1.791E-01 
2.005E+01   3.247E+01  1.780E-01 
2.029E+01   3.270E+01  1.770E-01 
2.052E+01   3.294E+01  1.760E-01 
2.076E+01   3.317E+01  1.749E-01 
2.100E+01   3.341E+01  1.739E-01 
2.124E+01   3.365E+01  1.729E-01 
2.149E+01   3.388E+01  1.718E-01 
2.174E+01   3.412E+01  1.708E-01 
2.199E+01   3.435E+01  1.698E-01 
2.225E+01   3.459E+01  1.688E-01 
2.250E+01   3.482E+01  1.677E-01 
2.277E+01   3.506E+01  1.667E-01 
2.303E+01   3.529E+01  1.657E-01 
2.330E+01   3.553E+01  1.647E-01 
2.357E+01   3.576E+01  1.637E-01 
2.384E+01   3.600E+01  1.627E-01 
2.412E+01   3.623E+01  1.617E-01 
2.440E+01   3.646E+01  1.607E-01 
2.468E+01   3.670E+01  1.597E-01 
2.497E+01   3.693E+01  1.587E-01 
2.526E+01   3.716E+01  1.577E-01 
2.555E+01   3.739E+01  1.567E-01 
