Ion = Hydrogen    . Mass = 1.0079
Tgt = Sr (Solid). Density = 2.6 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   8.383E+00  3.671E-01 
1.012E+00   8.432E+00  3.672E-01 
1.023E+00   8.480E+00  3.673E-01 
1.035E+00   8.529E+00  3.674E-01 
1.047E+00   8.579E+00  3.674E-01 
1.059E+00   8.628E+00  3.675E-01 
1.072E+00   8.678E+00  3.675E-01 
1.084E+00   8.728E+00  3.676E-01 
1.097E+00   8.779E+00  3.676E-01 
1.109E+00   8.830E+00  3.676E-01 
1.122E+00   8.881E+00  3.676E-01 
1.135E+00   8.932E+00  3.677E-01 
1.148E+00   8.984E+00  3.677E-01 
1.162E+00   9.036E+00  3.677E-01 
1.175E+00   9.088E+00  3.677E-01 
1.189E+00   9.140E+00  3.676E-01 
1.203E+00   9.193E+00  3.676E-01 
1.217E+00   9.246E+00  3.676E-01 
1.231E+00   9.300E+00  3.676E-01 
1.245E+00   9.354E+00  3.675E-01 
1.259E+00   9.408E+00  3.675E-01 
1.274E+00   9.462E+00  3.674E-01 
1.289E+00   9.517E+00  3.673E-01 
1.304E+00   9.572E+00  3.673E-01 
1.319E+00   9.627E+00  3.672E-01 
1.334E+00   9.683E+00  3.671E-01 
1.350E+00   9.739E+00  3.670E-01 
1.365E+00   9.795E+00  3.669E-01 
1.381E+00   9.852E+00  3.668E-01 
1.397E+00   9.909E+00  3.667E-01 
1.413E+00   9.966E+00  3.665E-01 
1.430E+00   1.002E+01  3.664E-01 
1.446E+00   1.008E+01  3.663E-01 
1.463E+00   1.014E+01  3.661E-01 
1.480E+00   1.020E+01  3.660E-01 
1.497E+00   1.026E+01  3.658E-01 
1.515E+00   1.032E+01  3.656E-01 
1.532E+00   1.038E+01  3.655E-01 
1.550E+00   1.044E+01  3.653E-01 
1.568E+00   1.050E+01  3.651E-01 
1.586E+00   1.056E+01  3.649E-01 
1.605E+00   1.062E+01  3.647E-01 
1.623E+00   1.068E+01  3.645E-01 
1.642E+00   1.074E+01  3.642E-01 
1.661E+00   1.080E+01  3.640E-01 
1.680E+00   1.087E+01  3.638E-01 
1.700E+00   1.093E+01  3.635E-01 
1.719E+00   1.099E+01  3.633E-01 
1.739E+00   1.106E+01  3.630E-01 
1.760E+00   1.112E+01  3.627E-01 
1.780E+00   1.118E+01  3.625E-01 
1.801E+00   1.125E+01  3.622E-01 
1.822E+00   1.131E+01  3.619E-01 
1.843E+00   1.138E+01  3.616E-01 
1.864E+00   1.145E+01  3.613E-01 
1.886E+00   1.151E+01  3.610E-01 
1.908E+00   1.158E+01  3.606E-01 
1.930E+00   1.165E+01  3.603E-01 
1.952E+00   1.171E+01  3.600E-01 
1.975E+00   1.178E+01  3.596E-01 
1.998E+00   1.185E+01  3.593E-01 
2.021E+00   1.192E+01  3.589E-01 
2.044E+00   1.199E+01  3.585E-01 
2.068E+00   1.206E+01  3.582E-01 
2.092E+00   1.213E+01  3.578E-01 
2.116E+00   1.220E+01  3.574E-01 
2.141E+00   1.227E+01  3.570E-01 
2.166E+00   1.235E+01  3.566E-01 
2.191E+00   1.242E+01  3.562E-01 
2.216E+00   1.249E+01  3.557E-01 
2.242E+00   1.257E+01  3.553E-01 
2.268E+00   1.264E+01  3.549E-01 
2.294E+00   1.272E+01  3.544E-01 
2.321E+00   1.279E+01  3.540E-01 
2.348E+00   1.287E+01  3.535E-01 
2.375E+00   1.294E+01  3.531E-01 
2.402E+00   1.302E+01  3.526E-01 
2.430E+00   1.310E+01  3.521E-01 
2.458E+00   1.318E+01  3.516E-01 
2.487E+00   1.325E+01  3.511E-01 
2.516E+00   1.333E+01  3.506E-01 
2.545E+00   1.341E+01  3.501E-01 
2.574E+00   1.349E+01  3.496E-01 
2.604E+00   1.357E+01  3.490E-01 
2.635E+00   1.365E+01  3.485E-01 
2.665E+00   1.373E+01  3.480E-01 
2.696E+00   1.381E+01  3.474E-01 
2.727E+00   1.389E+01  3.468E-01 
2.759E+00   1.398E+01  3.463E-01 
2.791E+00   1.406E+01  3.457E-01 
2.823E+00   1.414E+01  3.451E-01 
2.856E+00   1.423E+01  3.445E-01 
2.889E+00   1.431E+01  3.439E-01 
2.923E+00   1.440E+01  3.433E-01 
2.957E+00   1.448E+01  3.427E-01 
2.991E+00   1.457E+01  3.421E-01 
3.026E+00   1.465E+01  3.415E-01 
3.061E+00   1.474E+01  3.409E-01 
3.096E+00   1.483E+01  3.402E-01 
3.132E+00   1.491E+01  3.396E-01 
3.168E+00   1.500E+01  3.389E-01 
3.205E+00   1.509E+01  3.383E-01 
3.242E+00   1.518E+01  3.376E-01 
3.280E+00   1.527E+01  3.369E-01 
3.318E+00   1.536E+01  3.363E-01 
3.356E+00   1.545E+01  3.356E-01 
3.395E+00   1.554E+01  3.349E-01 
3.435E+00   1.563E+01  3.342E-01 
3.475E+00   1.572E+01  3.335E-01 
3.515E+00   1.582E+01  3.327E-01 
3.556E+00   1.591E+01  3.320E-01 
3.597E+00   1.600E+01  3.313E-01 
3.639E+00   1.610E+01  3.306E-01 
3.681E+00   1.619E+01  3.298E-01 
3.724E+00   1.629E+01  3.291E-01 
3.767E+00   1.638E+01  3.283E-01 
3.810E+00   1.648E+01  3.276E-01 
3.855E+00   1.658E+01  3.268E-01 
3.899E+00   1.667E+01  3.260E-01 
3.945E+00   1.677E+01  3.252E-01 
3.990E+00   1.687E+01  3.245E-01 
4.037E+00   1.697E+01  3.237E-01 
4.083E+00   1.707E+01  3.229E-01 
4.131E+00   1.717E+01  3.221E-01 
4.179E+00   1.727E+01  3.212E-01 
4.227E+00   1.737E+01  3.204E-01 
4.276E+00   1.747E+01  3.196E-01 
4.326E+00   1.757E+01  3.188E-01 
4.376E+00   1.768E+01  3.179E-01 
4.427E+00   1.778E+01  3.171E-01 
4.478E+00   1.788E+01  3.163E-01 
4.530E+00   1.799E+01  3.154E-01 
4.583E+00   1.809E+01  3.145E-01 
4.636E+00   1.820E+01  3.137E-01 
4.690E+00   1.831E+01  3.128E-01 
4.744E+00   1.841E+01  3.119E-01 
4.799E+00   1.852E+01  3.111E-01 
4.855E+00   1.863E+01  3.102E-01 
4.911E+00   1.874E+01  3.093E-01 
4.968E+00   1.885E+01  3.084E-01 
5.026E+00   1.896E+01  3.075E-01 
