Ion = Hydrogen    . Mass = 1.0079
Tgt =  Y (Solid). Density = 4.469 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.788E+00  3.749E-01 
1.012E+00   7.833E+00  3.751E-01 
1.023E+00   7.878E+00  3.752E-01 
1.035E+00   7.924E+00  3.753E-01 
1.047E+00   7.970E+00  3.754E-01 
1.059E+00   8.016E+00  3.755E-01 
1.072E+00   8.062E+00  3.755E-01 
1.084E+00   8.109E+00  3.756E-01 
1.097E+00   8.156E+00  3.757E-01 
1.109E+00   8.203E+00  3.758E-01 
1.122E+00   8.250E+00  3.758E-01 
1.135E+00   8.298E+00  3.759E-01 
1.148E+00   8.346E+00  3.759E-01 
1.162E+00   8.394E+00  3.759E-01 
1.175E+00   8.443E+00  3.760E-01 
1.189E+00   8.492E+00  3.760E-01 
1.203E+00   8.541E+00  3.760E-01 
1.217E+00   8.590E+00  3.760E-01 
1.231E+00   8.640E+00  3.760E-01 
1.245E+00   8.690E+00  3.760E-01 
1.259E+00   8.740E+00  3.759E-01 
1.274E+00   8.791E+00  3.759E-01 
1.289E+00   8.841E+00  3.759E-01 
1.304E+00   8.893E+00  3.758E-01 
1.319E+00   8.944E+00  3.758E-01 
1.334E+00   8.996E+00  3.757E-01 
1.350E+00   9.048E+00  3.757E-01 
1.365E+00   9.100E+00  3.756E-01 
1.381E+00   9.153E+00  3.755E-01 
1.397E+00   9.206E+00  3.754E-01 
1.413E+00   9.259E+00  3.753E-01 
1.430E+00   9.312E+00  3.752E-01 
1.446E+00   9.366E+00  3.751E-01 
1.463E+00   9.420E+00  3.750E-01 
1.480E+00   9.475E+00  3.749E-01 
1.497E+00   9.530E+00  3.747E-01 
1.515E+00   9.585E+00  3.746E-01 
1.532E+00   9.640E+00  3.744E-01 
1.550E+00   9.696E+00  3.743E-01 
1.568E+00   9.752E+00  3.741E-01 
1.586E+00   9.808E+00  3.739E-01 
1.605E+00   9.865E+00  3.738E-01 
1.623E+00   9.922E+00  3.736E-01 
1.642E+00   9.980E+00  3.734E-01 
1.661E+00   1.004E+01  3.732E-01 
1.680E+00   1.010E+01  3.729E-01 
1.700E+00   1.015E+01  3.727E-01 
1.719E+00   1.021E+01  3.725E-01 
1.739E+00   1.027E+01  3.722E-01 
1.760E+00   1.033E+01  3.720E-01 
1.780E+00   1.039E+01  3.717E-01 
1.801E+00   1.045E+01  3.715E-01 
1.822E+00   1.051E+01  3.712E-01 
1.843E+00   1.057E+01  3.709E-01 
1.864E+00   1.063E+01  3.706E-01 
1.886E+00   1.069E+01  3.704E-01 
1.908E+00   1.076E+01  3.700E-01 
1.930E+00   1.082E+01  3.697E-01 
1.952E+00   1.088E+01  3.694E-01 
1.975E+00   1.094E+01  3.691E-01 
1.998E+00   1.101E+01  3.688E-01 
2.021E+00   1.107E+01  3.684E-01 
2.044E+00   1.112E+01  3.681E-01 
2.068E+00   1.117E+01  3.677E-01 
