Ion = Hydrogen    . Mass = 1.0079
Tgt = Be (Solid). Density = 1.848 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.236E+00  3.406E-01 
1.012E+00   2.249E+00  3.388E-01 
1.023E+00   2.262E+00  3.371E-01 
1.035E+00   2.276E+00  3.353E-01 
1.047E+00   2.289E+00  3.336E-01 
1.059E+00   2.302E+00  3.318E-01 
1.072E+00   2.315E+00  3.301E-01 
1.084E+00   2.329E+00  3.283E-01 
1.097E+00   2.342E+00  3.266E-01 
1.109E+00   2.356E+00  3.248E-01 
1.122E+00   2.369E+00  3.231E-01 
1.135E+00   2.383E+00  3.213E-01 
1.148E+00   2.397E+00  3.196E-01 
1.162E+00   2.411E+00  3.178E-01 
1.175E+00   2.425E+00  3.161E-01 
1.189E+00   2.439E+00  3.144E-01 
1.203E+00   2.453E+00  3.127E-01 
1.217E+00   2.467E+00  3.109E-01 
1.231E+00   2.481E+00  3.092E-01 
1.245E+00   2.495E+00  3.075E-01 
1.259E+00   2.510E+00  3.058E-01 
1.274E+00   2.524E+00  3.040E-01 
1.289E+00   2.539E+00  3.023E-01 
1.304E+00   2.554E+00  3.006E-01 
1.319E+00   2.568E+00  2.989E-01 
1.334E+00   2.583E+00  2.972E-01 
1.350E+00   2.598E+00  2.955E-01 
1.365E+00   2.613E+00  2.938E-01 
1.381E+00   2.628E+00  2.921E-01 
1.397E+00   2.644E+00  2.904E-01 
1.413E+00   2.659E+00  2.887E-01 
1.430E+00   2.674E+00  2.871E-01 
1.446E+00   2.690E+00  2.854E-01 
1.463E+00   2.705E+00  2.837E-01 
1.480E+00   2.721E+00  2.820E-01 
1.497E+00   2.737E+00  2.804E-01 
1.515E+00   2.752E+00  2.787E-01 
1.532E+00   2.768E+00  2.771E-01 
1.550E+00   2.784E+00  2.754E-01 
1.568E+00   2.800E+00  2.738E-01 
1.586E+00   2.817E+00  2.721E-01 
1.605E+00   2.833E+00  2.705E-01 
1.623E+00   2.849E+00  2.688E-01 
1.642E+00   2.866E+00  2.672E-01 
1.661E+00   2.882E+00  2.656E-01 
1.680E+00   2.899E+00  2.640E-01 
1.700E+00   2.916E+00  2.623E-01 
1.719E+00   2.933E+00  2.607E-01 
1.739E+00   2.950E+00  2.591E-01 
1.760E+00   2.967E+00  2.575E-01 
1.780E+00   2.984E+00  2.559E-01 
1.801E+00   3.001E+00  2.543E-01 
1.822E+00   3.018E+00  2.527E-01 
1.843E+00   3.036E+00  2.512E-01 
1.864E+00   3.053E+00  2.496E-01 
1.886E+00   3.071E+00  2.480E-01 
1.908E+00   3.089E+00  2.465E-01 
1.930E+00   3.107E+00  2.449E-01 
1.952E+00   3.125E+00  2.433E-01 
1.975E+00   3.143E+00  2.418E-01 
1.998E+00   3.161E+00  2.402E-01 
2.021E+00   3.179E+00  2.387E-01 
2.044E+00   3.196E+00  2.372E-01 
2.068E+00   3.213E+00  2.356E-01 
2.092E+00   3.231E+00  2.341E-01 
2.116E+00   3.248E+00  2.326E-01 
2.141E+00   3.266E+00  2.311E-01 
2.166E+00   3.284E+00  2.296E-01 
2.191E+00   3.301E+00  2.281E-01 
2.216E+00   3.319E+00  2.266E-01 
2.242E+00   3.337E+00  2.251E-01 
2.268E+00   3.355E+00  2.236E-01 
2.294E+00   3.373E+00  2.222E-01 
2.321E+00   3.392E+00  2.207E-01 
2.348E+00   3.410E+00  2.192E-01 
2.375E+00   3.429E+00  2.178E-01 
2.402E+00   3.447E+00  2.163E-01 
2.430E+00   3.466E+00  2.149E-01 
2.458E+00   3.485E+00  2.134E-01 
2.487E+00   3.504E+00  2.120E-01 
2.516E+00   3.523E+00  2.106E-01 
2.545E+00   3.542E+00  2.091E-01 
2.574E+00   3.561E+00  2.077E-01 
2.604E+00   3.580E+00  2.063E-01 
2.635E+00   3.600E+00  2.049E-01 
2.665E+00   3.619E+00  2.035E-01 
2.696E+00   3.639E+00  2.021E-01 
2.727E+00   3.658E+00  2.007E-01 
2.759E+00   3.678E+00  1.994E-01 
2.791E+00   3.698E+00  1.980E-01 
2.823E+00   3.718E+00  1.966E-01 
2.856E+00   3.738E+00  1.953E-01 
2.889E+00   3.759E+00  1.939E-01 
2.923E+00   3.779E+00  1.926E-01 
2.957E+00   3.800E+00  1.912E-01 
2.991E+00   3.820E+00  1.899E-01 
3.026E+00   3.841E+00  1.886E-01 
3.061E+00   3.862E+00  1.872E-01 
3.096E+00   3.883E+00  1.859E-01 
3.132E+00   3.904E+00  1.846E-01 
3.168E+00   3.925E+00  1.833E-01 
3.205E+00   3.946E+00  1.820E-01 
3.242E+00   3.968E+00  1.807E-01 
3.280E+00   3.989E+00  1.794E-01 
3.318E+00   4.011E+00  1.782E-01 
3.356E+00   4.033E+00  1.769E-01 
3.395E+00   4.054E+00  1.756E-01 
3.435E+00   4.076E+00  1.744E-01 
3.475E+00   4.098E+00  1.731E-01 
3.515E+00   4.121E+00  1.719E-01 
3.556E+00   4.143E+00  1.706E-01 
3.597E+00   4.165E+00  1.694E-01 
3.639E+00   4.188E+00  1.682E-01 
3.681E+00   4.211E+00  1.670E-01 
3.724E+00   4.234E+00  1.657E-01 
3.767E+00   4.256E+00  1.645E-01 
3.810E+00   4.279E+00  1.633E-01 
3.855E+00   4.303E+00  1.622E-01 
3.899E+00   4.326E+00  1.610E-01 
3.945E+00   4.349E+00  1.598E-01 
3.990E+00   4.373E+00  1.586E-01 
4.037E+00   4.397E+00  1.574E-01 
4.083E+00   4.420E+00  1.563E-01 
4.131E+00   4.444E+00  1.551E-01 
4.179E+00   4.468E+00  1.540E-01 
4.227E+00   4.492E+00  1.528E-01 
4.276E+00   4.517E+00  1.517E-01 
4.326E+00   4.541E+00  1.506E-01 
4.376E+00   4.566E+00  1.495E-01 
4.427E+00   4.590E+00  1.483E-01 
4.478E+00   4.615E+00  1.472E-01 
4.530E+00   4.640E+00  1.461E-01 
4.583E+00   4.665E+00  1.450E-01 
4.636E+00   4.690E+00  1.439E-01 
4.690E+00   4.715E+00  1.429E-01 
4.744E+00   4.741E+00  1.418E-01 
4.799E+00   4.766E+00  1.407E-01 
4.855E+00   4.792E+00  1.396E-01 
4.911E+00   4.818E+00  1.386E-01 
4.968E+00   4.844E+00  1.375E-01 
5.026E+00   4.870E+00  1.365E-01 
5.084E+00   4.896E+00  1.354E-01 
5.143E+00   4.922E+00  1.344E-01 
5.202E+00   4.948E+00  1.334E-01 
5.263E+00   4.975E+00  1.324E-01 
5.324E+00   5.002E+00  1.313E-01 
5.386E+00   5.029E+00  1.303E-01 
5.448E+00   5.055E+00  1.293E-01 
5.511E+00   5.083E+00  1.283E-01 
5.575E+00   5.110E+00  1.273E-01 
5.640E+00   5.137E+00  1.264E-01 
5.705E+00   5.165E+00  1.254E-01 
5.771E+00   5.192E+00  1.244E-01 
5.838E+00   5.220E+00  1.234E-01 
5.906E+00   5.248E+00  1.225E-01 
5.975E+00   5.276E+00  1.215E-01 
6.044E+00   5.304E+00  1.206E-01 
6.114E+00   5.332E+00  1.196E-01 
6.185E+00   5.360E+00  1.187E-01 
6.257E+00   5.389E+00  1.178E-01 
6.329E+00   5.418E+00  1.168E-01 
6.403E+00   5.446E+00  1.159E-01 
6.477E+00   5.475E+00  1.150E-01 
6.552E+00   5.504E+00  1.141E-01 
6.628E+00   5.533E+00  1.132E-01 
6.705E+00   5.563E+00  1.123E-01 
6.783E+00   5.592E+00  1.114E-01 
6.861E+00   5.622E+00  1.105E-01 
6.941E+00   5.651E+00  1.097E-01 
7.021E+00   5.681E+00  1.088E-01 
7.103E+00   5.711E+00  1.079E-01 
7.185E+00   5.741E+00  1.071E-01 
7.269E+00   5.771E+00  1.062E-01 
7.353E+00   5.802E+00  1.054E-01 
7.438E+00   5.832E+00  1.045E-01 
7.524E+00   5.863E+00  1.037E-01 
7.612E+00   5.893E+00  1.028E-01 
7.700E+00   5.924E+00  1.020E-01 
7.789E+00   5.955E+00  1.012E-01 
7.880E+00   5.986E+00  1.004E-01 
7.971E+00   6.017E+00  9.957E-02 
8.064E+00   6.049E+00  9.877E-02 
8.157E+00   6.080E+00  9.797E-02 
8.252E+00   6.112E+00  9.717E-02 
8.347E+00   6.143E+00  9.639E-02 
8.444E+00   6.175E+00  9.560E-02 
8.542E+00   6.207E+00  9.483E-02 
8.641E+00   6.239E+00  9.406E-02 
8.741E+00   6.271E+00  9.329E-02 
8.843E+00   6.304E+00  9.253E-02 
8.945E+00   6.336E+00  9.177E-02 
9.049E+00   6.369E+00  9.102E-02 
9.154E+00   6.401E+00  9.028E-02 
9.260E+00   6.434E+00  8.954E-02 
9.368E+00   6.467E+00  8.880E-02 
9.476E+00   6.500E+00  8.807E-02 
9.586E+00   6.533E+00  8.735E-02 
9.698E+00   6.566E+00  8.663E-02 
9.810E+00   6.600E+00  8.085E-02 
9.924E+00   6.633E+00  8.020E-02 
1.004E+01   6.667E+00  7.955E-02 
1.016E+01   6.700E+00  7.890E-02 
1.027E+01   6.734E+00  7.825E-02 
1.039E+01   6.768E+00  7.761E-02 
1.051E+01   6.802E+00  7.698E-02 
1.063E+01   6.836E+00  7.635E-02 
1.076E+01   6.870E+00  7.572E-02 
1.088E+01   6.905E+00  7.510E-02 
1.101E+01   6.939E+00  7.449E-02 
1.114E+01   6.973E+00  7.387E-02 
1.127E+01   7.008E+00  7.326E-02 
1.140E+01   7.043E+00  7.266E-02 
1.153E+01   7.077E+00  7.206E-02 
1.166E+01   7.112E+00  7.146E-02 
1.180E+01   7.147E+00  7.087E-02 
1.193E+01   7.182E+00  7.028E-02 
1.207E+01   7.217E+00  6.970E-02 
1.221E+01   7.252E+00  6.912E-02 
1.235E+01   7.288E+00  6.854E-02 
1.250E+01   7.323E+00  6.797E-02 
1.264E+01   7.358E+00  6.741E-02 
1.279E+01   7.394E+00  6.684E-02 
1.294E+01   7.429E+00  6.628E-02 
1.309E+01   7.465E+00  6.573E-02 
1.324E+01   7.500E+00  6.518E-02 
1.339E+01   7.536E+00  6.463E-02 
1.355E+01   7.572E+00  6.409E-02 
1.371E+01   7.608E+00  6.355E-02 
1.387E+01   7.644E+00  6.301E-02 
1.403E+01   7.680E+00  6.248E-02 
1.419E+01   7.715E+00  6.196E-02 
1.435E+01   7.751E+00  6.143E-02 
1.452E+01   7.788E+00  6.091E-02 
1.469E+01   7.824E+00  6.040E-02 
1.486E+01   7.860E+00  5.989E-02 
1.503E+01   7.896E+00  5.938E-02 
1.521E+01   7.932E+00  5.887E-02 
1.538E+01   7.968E+00  5.837E-02 
1.556E+01   8.004E+00  5.788E-02 
1.574E+01   8.041E+00  5.738E-02 
1.592E+01   8.077E+00  5.689E-02 
1.611E+01   8.113E+00  5.641E-02 
1.629E+01   8.149E+00  5.593E-02 
1.648E+01   8.186E+00  5.545E-02 
1.667E+01   8.222E+00  5.497E-02 
1.687E+01   8.258E+00  5.450E-02 
1.706E+01   8.294E+00  5.403E-02 
1.726E+01   8.330E+00  5.357E-02 
1.746E+01   8.367E+00  5.311E-02 
1.766E+01   8.403E+00  5.265E-02 
1.787E+01   8.439E+00  5.220E-02 
1.808E+01   8.475E+00  5.175E-02 
1.829E+01   8.511E+00  5.130E-02 
1.850E+01   8.547E+00  5.086E-02 
1.871E+01   8.583E+00  5.042E-02 
1.893E+01   8.619E+00  4.998E-02 
1.915E+01   8.655E+00  4.955E-02 
1.937E+01   8.690E+00  4.912E-02 
1.960E+01   8.726E+00  4.869E-02 
1.982E+01   8.762E+00  4.827E-02 
2.005E+01   8.797E+00  4.785E-02 
2.029E+01   8.832E+00  4.743E-02 
2.052E+01   8.868E+00  4.702E-02 
2.076E+01   8.903E+00  4.661E-02 
2.100E+01   8.938E+00  4.621E-02 
2.124E+01   8.973E+00  4.580E-02 
2.149E+01   9.008E+00  4.540E-02 
2.174E+01   9.043E+00  4.500E-02 
2.199E+01   9.077E+00  4.461E-02 
2.225E+01   9.112E+00  4.422E-02 
2.250E+01   9.146E+00  4.383E-02 
2.277E+01   9.180E+00  4.345E-02 
2.303E+01   9.214E+00  4.307E-02 
2.330E+01   9.248E+00  4.269E-02 
2.357E+01   9.281E+00  4.231E-02 
2.384E+01   9.315E+00  4.194E-02 
2.412E+01   9.348E+00  4.157E-02 
2.440E+01   9.381E+00  4.120E-02 
2.468E+01   9.414E+00  4.084E-02 
2.497E+01   9.447E+00  4.048E-02 
2.526E+01   9.479E+00  4.012E-02 
2.555E+01   9.511E+00  3.977E-02 
2.584E+01   9.543E+00  3.941E-02 
2.614E+01   9.575E+00  3.906E-02 
2.645E+01   9.606E+00  3.872E-02 
2.675E+01   9.637E+00  3.837E-02 
2.707E+01   9.668E+00  3.803E-02 
2.738E+01   9.699E+00  3.769E-02 
2.770E+01   9.729E+00  3.736E-02 
2.802E+01   9.759E+00  3.703E-02 
2.834E+01   9.789E+00  3.670E-02 
2.867E+01   9.819E+00  3.637E-02 
2.900E+01   9.848E+00  3.605E-02 
2.934E+01   9.877E+00  3.572E-02 
2.968E+01   9.905E+00  3.540E-02 
3.003E+01   9.933E+00  3.509E-02 
3.037E+01   9.961E+00  3.477E-02 
3.073E+01   9.989E+00  3.446E-02 
3.108E+01   1.002E+01  3.415E-02 
3.144E+01   1.004E+01  3.385E-02 
3.181E+01   1.007E+01  3.354E-02 
3.218E+01   1.009E+01  3.324E-02 
3.255E+01   1.012E+01  3.294E-02 
3.293E+01   1.015E+01  3.265E-02 
3.331E+01   1.017E+01  3.235E-02 
3.370E+01   1.019E+01  3.206E-02 
3.409E+01   1.022E+01  3.177E-02 
3.448E+01   1.024E+01  3.149E-02 
3.488E+01   1.026E+01  3.120E-02 
3.529E+01   1.029E+01  3.092E-02 
3.570E+01   1.031E+01  3.064E-02 
3.611E+01   1.033E+01  3.037E-02 
3.653E+01   1.035E+01  3.009E-02 
3.695E+01   1.037E+01  2.982E-02 
3.738E+01   1.039E+01  2.955E-02 
3.781E+01   1.041E+01  2.928E-02 
3.825E+01   1.043E+01  2.901E-02 
3.870E+01   1.045E+01  2.875E-02 
3.915E+01   1.047E+01  2.849E-02 
3.960E+01   1.048E+01  2.823E-02 
4.006E+01   1.050E+01  2.797E-02 
4.052E+01   1.052E+01  2.772E-02 
4.099E+01   1.053E+01  2.747E-02 
4.147E+01   1.055E+01  2.722E-02 
4.195E+01   1.056E+01  2.697E-02 
4.244E+01   1.058E+01  2.672E-02 
4.293E+01   1.059E+01  2.648E-02 
4.343E+01   1.060E+01  2.624E-02 
4.393E+01   1.062E+01  2.600E-02 
4.444E+01   1.063E+01  2.576E-02 
4.496E+01   1.064E+01  2.552E-02 
4.548E+01   1.065E+01  2.529E-02 
4.600E+01   1.066E+01  2.506E-02 
4.654E+01   1.067E+01  2.483E-02 
4.708E+01   1.068E+01  2.460E-02 
4.762E+01   1.069E+01  2.438E-02 
4.818E+01   1.069E+01  2.415E-02 
4.873E+01   1.070E+01  2.393E-02 
4.930E+01   1.071E+01  2.371E-02 
4.987E+01   1.071E+01  2.349E-02 
5.045E+01   1.072E+01  2.328E-02 
5.104E+01   1.072E+01  2.306E-02 
5.163E+01   1.072E+01  2.285E-02 
5.223E+01   1.073E+01  2.264E-02 
5.283E+01   1.073E+01  2.243E-02 
5.344E+01   1.073E+01  2.222E-02 
5.406E+01   1.073E+01  2.202E-02 
5.469E+01   1.073E+01  2.181E-02 
5.533E+01   1.073E+01  2.161E-02 
5.597E+01   1.073E+01  2.141E-02 
5.662E+01   1.073E+01  2.122E-02 
5.727E+01   1.072E+01  2.102E-02 
5.794E+01   1.072E+01  2.082E-02 
5.861E+01   1.072E+01  2.063E-02 
5.929E+01   1.071E+01  2.044E-02 
5.998E+01   1.071E+01  2.025E-02 
6.067E+01   1.070E+01  2.006E-02 
6.138E+01   1.069E+01  1.988E-02 
6.209E+01   1.069E+01  1.969E-02 
6.281E+01   1.068E+01  1.951E-02 
6.354E+01   1.067E+01  1.933E-02 
6.427E+01   1.066E+01  1.915E-02 
6.502E+01   1.065E+01  1.897E-02 
6.577E+01   1.064E+01  1.879E-02 
6.654E+01   1.063E+01  1.862E-02 
6.731E+01   1.062E+01  1.844E-02 
6.809E+01   1.061E+01  1.827E-02 
6.888E+01   1.059E+01  1.810E-02 
6.968E+01   1.058E+01  1.793E-02 
7.049E+01   1.057E+01  1.776E-02 
7.130E+01   1.055E+01  1.760E-02 
7.213E+01   1.053E+01  1.743E-02 
7.297E+01   1.052E+01  1.727E-02 
7.381E+01   1.050E+01  1.711E-02 
7.467E+01   1.049E+01  1.695E-02 
7.554E+01   1.047E+01  1.679E-02 
7.641E+01   1.045E+01  1.663E-02 
7.730E+01   1.043E+01  1.648E-02 
7.820E+01   1.041E+01  1.632E-02 
7.910E+01   1.039E+01  1.617E-02 
8.002E+01   1.037E+01  1.602E-02 
8.095E+01   1.035E+01  1.587E-02 
8.189E+01   1.033E+01  1.572E-02 
8.284E+01   1.031E+01  1.557E-02 
8.380E+01   1.028E+01  1.542E-02 
8.477E+01   1.026E+01  1.528E-02 
8.575E+01   1.024E+01  1.513E-02 
8.675E+01   1.021E+01  1.499E-02 
8.775E+01   1.019E+01  1.485E-02 
8.877E+01   1.016E+01  1.471E-02 
8.980E+01   1.014E+01  1.457E-02 
9.084E+01   1.011E+01  1.443E-02 
9.190E+01   1.008E+01  1.430E-02 
9.296E+01   1.006E+01  1.416E-02 
9.404E+01   1.003E+01  1.403E-02 
9.513E+01   1.000E+01  1.390E-02 
9.624E+01   9.974E+00  1.376E-02 
9.735E+01   9.946E+00  1.363E-02 
9.848E+01   9.917E+00  1.350E-02 
9.962E+01   9.888E+00  1.338E-02 
1.008E+02   9.859E+00  1.325E-02 
1.019E+02   9.829E+00  1.312E-02 
1.031E+02   9.798E+00  1.300E-02 
1.043E+02   9.768E+00  1.288E-02 
1.055E+02   9.737E+00  1.275E-02 
1.068E+02   9.706E+00  1.263E-02 
1.080E+02   9.674E+00  1.251E-02 
1.093E+02   9.643E+00  1.239E-02 
1.105E+02   9.611E+00  1.228E-02 
1.118E+02   9.578E+00  1.216E-02 
1.131E+02   9.546E+00  1.204E-02 
1.144E+02   9.513E+00  1.193E-02 
1.157E+02   9.480E+00  1.182E-02 
1.171E+02   9.446E+00  1.170E-02 
1.184E+02   9.413E+00  1.159E-02 
1.198E+02   9.379E+00  1.148E-02 
1.212E+02   9.345E+00  1.137E-02 
1.226E+02   9.311E+00  1.126E-02 
1.240E+02   9.276E+00  1.116E-02 
1.255E+02   9.242E+00  1.105E-02 
1.269E+02   9.207E+00  1.094E-02 
1.284E+02   9.172E+00  1.084E-02 
1.299E+02   9.137E+00  1.074E-02 
1.314E+02   9.102E+00  1.063E-02 
1.329E+02   9.066E+00  1.053E-02 
1.345E+02   9.031E+00  1.043E-02 
1.360E+02   8.995E+00  1.033E-02 
1.376E+02   8.959E+00  1.023E-02 
1.392E+02   8.923E+00  1.013E-02 
1.408E+02   8.887E+00  1.004E-02 
1.424E+02   8.851E+00  9.940E-03 
1.441E+02   8.814E+00  9.845E-03 
1.458E+02   8.778E+00  9.750E-03 
1.475E+02   8.741E+00  9.657E-03 
1.492E+02   8.705E+00  9.564E-03 
1.509E+02   8.668E+00  9.472E-03 
1.526E+02   8.631E+00  9.381E-03 
1.544E+02   8.594E+00  9.291E-03 
1.562E+02   8.558E+00  9.202E-03 
1.580E+02   8.521E+00  9.113E-03 
1.598E+02   8.484E+00  9.025E-03 
1.617E+02   8.446E+00  8.939E-03 
1.636E+02   8.409E+00  8.852E-03 
1.655E+02   8.372E+00  8.767E-03 
1.674E+02   8.335E+00  8.683E-03 
1.693E+02   8.298E+00  8.599E-03 
1.713E+02   8.260E+00  8.516E-03 
1.733E+02   8.223E+00  8.434E-03 
1.753E+02   8.186E+00  8.353E-03 
1.773E+02   8.148E+00  8.272E-03 
1.794E+02   8.111E+00  8.192E-03 
1.815E+02   8.073E+00  8.113E-03 
1.836E+02   8.036E+00  8.034E-03 
1.857E+02   7.999E+00  7.957E-03 
1.879E+02   7.961E+00  7.880E-03 
1.900E+02   7.924E+00  7.804E-03 
1.922E+02   7.886E+00  7.728E-03 
1.945E+02   7.849E+00  7.653E-03 
1.967E+02   7.811E+00  7.579E-03 
1.990E+02   7.774E+00  7.506E-03 
2.013E+02   7.737E+00  7.433E-03 
2.036E+02   7.699E+00  7.361E-03 
2.060E+02   7.662E+00  7.290E-03 
2.084E+02   7.625E+00  7.219E-03 
2.108E+02   7.587E+00  7.149E-03 
2.133E+02   7.550E+00  7.079E-03 
2.157E+02   7.513E+00  7.011E-03 
2.182E+02   7.476E+00  6.943E-03 
2.208E+02   7.438E+00  6.875E-03 
2.233E+02   7.401E+00  6.808E-03 
2.259E+02   7.364E+00  6.742E-03 
2.285E+02   7.327E+00  6.677E-03 
2.312E+02   7.290E+00  6.612E-03 
2.339E+02   7.253E+00  6.547E-03 
2.366E+02   7.216E+00  6.484E-03 
2.393E+02   7.179E+00  6.421E-03 
2.421E+02   7.142E+00  6.358E-03 
2.449E+02   7.106E+00  6.296E-03 
2.478E+02   7.069E+00  6.235E-03 
2.506E+02   7.032E+00  6.174E-03 
2.535E+02   6.995E+00  6.114E-03 
2.565E+02   6.959E+00  6.054E-03 
2.595E+02   6.922E+00  5.995E-03 
2.625E+02   6.886E+00  5.936E-03 
2.655E+02   6.850E+00  5.879E-03 
2.686E+02   6.813E+00  5.821E-03 
2.717E+02   6.777E+00  5.764E-03 
2.749E+02   6.741E+00  5.708E-03 
2.780E+02   6.705E+00  5.652E-03 
2.813E+02   6.668E+00  5.597E-03 
2.845E+02   6.632E+00  5.542E-03 
2.878E+02   6.597E+00  5.488E-03 
2.912E+02   6.561E+00  5.434E-03 
2.945E+02   6.525E+00  5.381E-03 
2.980E+02   6.489E+00  5.328E-03 
3.014E+02   6.454E+00  5.276E-03 
3.049E+02   6.418E+00  5.224E-03 
3.085E+02   6.382E+00  5.173E-03 
3.120E+02   6.347E+00  5.123E-03 
3.156E+02   6.312E+00  5.072E-03 
3.193E+02   6.276E+00  5.023E-03 
3.230E+02   6.241E+00  4.973E-03 
3.268E+02   6.206E+00  4.924E-03 
3.306E+02   6.171E+00  4.876E-03 
3.344E+02   6.136E+00  4.828E-03 
3.383E+02   6.102E+00  4.781E-03 
3.422E+02   6.067E+00  4.734E-03 
3.462E+02   6.032E+00  4.687E-03 
3.502E+02   5.998E+00  4.641E-03 
3.542E+02   5.963E+00  4.596E-03 
3.583E+02   5.929E+00  4.550E-03 
3.625E+02   5.894E+00  4.506E-03 
3.667E+02   5.860E+00  4.461E-03 
3.710E+02   5.826E+00  4.417E-03 
3.753E+02   5.792E+00  4.374E-03 
3.796E+02   5.758E+00  4.331E-03 
3.840E+02   5.724E+00  4.288E-03 
3.885E+02   5.691E+00  4.246E-03 
3.930E+02   5.657E+00  4.204E-03 
3.975E+02   5.624E+00  4.163E-03 
4.021E+02   5.590E+00  4.121E-03 
4.068E+02   5.557E+00  4.081E-03 
4.115E+02   5.524E+00  4.041E-03 
4.163E+02   5.491E+00  4.001E-03 
4.211E+02   5.458E+00  3.961E-03 
4.260E+02   5.425E+00  3.922E-03 
4.310E+02   5.392E+00  3.883E-03 
4.360E+02   5.359E+00  3.845E-03 
4.410E+02   5.327E+00  3.807E-03 
4.461E+02   5.294E+00  3.769E-03 
4.513E+02   5.262E+00  3.732E-03 
4.565E+02   5.230E+00  3.695E-03 
4.618E+02   5.198E+00  3.659E-03 
4.672E+02   5.166E+00  3.622E-03 
4.726E+02   5.134E+00  3.586E-03 
4.781E+02   5.102E+00  3.551E-03 
4.836E+02   5.070E+00  3.516E-03 
4.892E+02   5.039E+00  3.481E-03 
