Ion = Hydrogen    . Mass = 1.0079
Tgt = Zr (Solid). Density = 6.49 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.031E+00  3.761E-01 
1.012E+00   7.071E+00  3.762E-01 
1.023E+00   7.112E+00  3.763E-01 
1.035E+00   7.153E+00  3.764E-01 
1.047E+00   7.195E+00  3.765E-01 
1.059E+00   7.236E+00  3.767E-01 
1.072E+00   7.278E+00  3.767E-01 
1.084E+00   7.320E+00  3.768E-01 
1.097E+00   7.363E+00  3.769E-01 
1.109E+00   7.405E+00  3.770E-01 
1.122E+00   7.448E+00  3.771E-01 
1.135E+00   7.491E+00  3.771E-01 
1.148E+00   7.534E+00  3.772E-01 
1.162E+00   7.578E+00  3.772E-01 
1.175E+00   7.622E+00  3.773E-01 
1.189E+00   7.666E+00  3.773E-01 
1.203E+00   7.710E+00  3.773E-01 
1.217E+00   7.755E+00  3.773E-01 
1.231E+00   7.800E+00  3.773E-01 
1.245E+00   7.845E+00  3.773E-01 
1.259E+00   7.890E+00  3.773E-01 
1.274E+00   7.936E+00  3.773E-01 
1.289E+00   7.982E+00  3.773E-01 
1.304E+00   8.028E+00  3.773E-01 
1.319E+00   8.074E+00  3.772E-01 
1.334E+00   8.121E+00  3.772E-01 
1.350E+00   8.168E+00  3.771E-01 
1.365E+00   8.215E+00  3.771E-01 
1.381E+00   8.263E+00  3.770E-01 
1.397E+00   8.310E+00  3.769E-01 
1.413E+00   8.358E+00  3.768E-01 
1.430E+00   8.407E+00  3.767E-01 
1.446E+00   8.455E+00  3.766E-01 
1.463E+00   8.504E+00  3.765E-01 
1.480E+00   8.553E+00  3.764E-01 
1.497E+00   8.603E+00  3.763E-01 
1.515E+00   8.653E+00  3.762E-01 
1.532E+00   8.703E+00  3.760E-01 
1.550E+00   8.753E+00  3.759E-01 
1.568E+00   8.804E+00  3.757E-01 
1.586E+00   8.855E+00  3.756E-01 
1.605E+00   8.906E+00  3.754E-01 
1.623E+00   8.957E+00  3.752E-01 
1.642E+00   9.009E+00  3.750E-01 
1.661E+00   9.061E+00  3.748E-01 
1.680E+00   9.114E+00  3.746E-01 
1.700E+00   9.166E+00  3.744E-01 
1.719E+00   9.219E+00  3.742E-01 
1.739E+00   9.273E+00  3.740E-01 
1.760E+00   9.326E+00  3.738E-01 
1.780E+00   9.380E+00  3.735E-01 
1.801E+00   9.434E+00  3.733E-01 
1.822E+00   9.489E+00  3.730E-01 
1.843E+00   9.544E+00  3.727E-01 
1.864E+00   9.599E+00  3.725E-01 
1.886E+00   9.655E+00  3.722E-01 
1.908E+00   9.710E+00  3.719E-01 
1.930E+00   9.767E+00  3.716E-01 
1.952E+00   9.823E+00  3.713E-01 
1.975E+00   9.880E+00  3.710E-01 
1.998E+00   9.937E+00  3.707E-01 
2.021E+00   9.993E+00  3.703E-01 
2.044E+00   1.004E+01  3.700E-01 
2.068E+00   1.010E+01  3.696E-01 
2.092E+00   1.015E+01  3.693E-01 
2.116E+00   1.020E+01  3.689E-01 
2.141E+00   1.025E+01  3.685E-01 
2.166E+00   1.030E+01  3.682E-01 
2.191E+00   1.036E+01  3.678E-01 
2.216E+00   1.041E+01  3.674E-01 
2.242E+00   1.046E+01  3.670E-01 
2.268E+00   1.052E+01  3.666E-01 
2.294E+00   1.057E+01  3.662E-01 
2.321E+00   1.062E+01  3.657E-01 
2.348E+00   1.068E+01  3.653E-01 
2.375E+00   1.073E+01  3.648E-01 
2.402E+00   1.079E+01  3.644E-01 
2.430E+00   1.084E+01  3.639E-01 
2.458E+00   1.090E+01  3.635E-01 
2.487E+00   1.096E+01  3.630E-01 
2.516E+00   1.101E+01  3.625E-01 
2.545E+00   1.107E+01  3.620E-01 
2.574E+00   1.113E+01  3.615E-01 
2.604E+00   1.118E+01  3.610E-01 
2.635E+00   1.124E+01  3.605E-01 
2.665E+00   1.130E+01  3.600E-01 
2.696E+00   1.136E+01  3.594E-01 
2.727E+00   1.141E+01  3.589E-01 
2.759E+00   1.147E+01  3.584E-01 
2.791E+00   1.153E+01  3.578E-01 
2.823E+00   1.159E+01  3.572E-01 
2.856E+00   1.165E+01  3.567E-01 
2.889E+00   1.171E+01  3.561E-01 
2.923E+00   1.177E+01  3.555E-01 
2.957E+00   1.183E+01  3.549E-01 
2.991E+00   1.189E+01  3.543E-01 
3.026E+00   1.195E+01  3.537E-01 
3.061E+00   1.202E+01  3.531E-01 
3.096E+00   1.208E+01  3.525E-01 
3.132E+00   1.214E+01  3.518E-01 
3.168E+00   1.220E+01  3.512E-01 
3.205E+00   1.227E+01  3.505E-01 
3.242E+00   1.233E+01  3.499E-01 
3.280E+00   1.239E+01  3.492E-01 
3.318E+00   1.246E+01  3.486E-01 
3.356E+00   1.252E+01  3.479E-01 
3.395E+00   1.259E+01  3.472E-01 
3.435E+00   1.265E+01  3.465E-01 
3.475E+00   1.272E+01  3.458E-01 
3.515E+00   1.278E+01  3.451E-01 
3.556E+00   1.285E+01  3.444E-01 
3.597E+00   1.291E+01  3.437E-01 
3.639E+00   1.298E+01  3.429E-01 
3.681E+00   1.305E+01  3.422E-01 
3.724E+00   1.312E+01  3.415E-01 
3.767E+00   1.318E+01  3.407E-01 
3.810E+00   1.325E+01  3.400E-01 
3.855E+00   1.332E+01  3.392E-01 
3.899E+00   1.339E+01  3.384E-01 
3.945E+00   1.346E+01  3.377E-01 
3.990E+00   1.353E+01  3.369E-01 
4.037E+00   1.360E+01  3.361E-01 
4.083E+00   1.367E+01  3.353E-01 
4.131E+00   1.374E+01  3.345E-01 
4.179E+00   1.381E+01  3.337E-01 
