Ion = Hydrogen    . Mass = 1.0079
Tgt = Nb (Solid). Density = 8.57 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.349E+00  3.745E-01 
1.012E+00   6.385E+00  3.746E-01 
1.023E+00   6.422E+00  3.747E-01 
1.035E+00   6.459E+00  3.749E-01 
1.047E+00   6.497E+00  3.750E-01 
1.059E+00   6.534E+00  3.751E-01 
1.072E+00   6.572E+00  3.752E-01 
1.084E+00   6.610E+00  3.753E-01 
1.097E+00   6.648E+00  3.754E-01 
1.109E+00   6.687E+00  3.755E-01 
1.122E+00   6.725E+00  3.756E-01 
1.135E+00   6.764E+00  3.757E-01 
1.148E+00   6.803E+00  3.757E-01 
1.162E+00   6.843E+00  3.758E-01 
1.175E+00   6.882E+00  3.758E-01 
1.189E+00   6.922E+00  3.759E-01 
1.203E+00   6.962E+00  3.759E-01 
1.217E+00   7.002E+00  3.759E-01 
1.231E+00   7.043E+00  3.760E-01 
1.245E+00   7.084E+00  3.760E-01 
1.259E+00   7.125E+00  3.760E-01 
1.274E+00   7.166E+00  3.760E-01 
1.289E+00   7.207E+00  3.760E-01 
1.304E+00   7.249E+00  3.760E-01 
1.319E+00   7.291E+00  3.760E-01 
1.334E+00   7.333E+00  3.759E-01 
1.350E+00   7.375E+00  3.759E-01 
1.365E+00   7.418E+00  3.758E-01 
1.381E+00   7.461E+00  3.758E-01 
1.397E+00   7.504E+00  3.757E-01 
1.413E+00   7.548E+00  3.757E-01 
1.430E+00   7.591E+00  3.756E-01 
1.446E+00   7.635E+00  3.755E-01 
1.463E+00   7.679E+00  3.754E-01 
1.480E+00   7.724E+00  3.753E-01 
1.497E+00   7.768E+00  3.752E-01 
1.515E+00   7.813E+00  3.751E-01 
1.532E+00   7.858E+00  3.750E-01 
1.550E+00   7.904E+00  3.749E-01 
1.568E+00   7.950E+00  3.747E-01 
1.586E+00   7.996E+00  3.746E-01 
1.605E+00   8.042E+00  3.744E-01 
1.623E+00   8.088E+00  3.743E-01 
1.642E+00   8.135E+00  3.741E-01 
1.661E+00   8.182E+00  3.739E-01 
1.680E+00   8.229E+00  3.737E-01 
1.700E+00   8.277E+00  3.735E-01 
1.719E+00   8.325E+00  3.733E-01 
1.739E+00   8.373E+00  3.731E-01 
1.760E+00   8.421E+00  3.729E-01 
1.780E+00   8.470E+00  3.727E-01 
1.801E+00   8.519E+00  3.725E-01 
1.822E+00   8.568E+00  3.722E-01 
1.843E+00   8.618E+00  3.720E-01 
1.864E+00   8.668E+00  3.717E-01 
1.886E+00   8.718E+00  3.715E-01 
1.908E+00   8.768E+00  3.712E-01 
1.930E+00   8.819E+00  3.709E-01 
1.952E+00   8.870E+00  3.706E-01 
1.975E+00   8.921E+00  3.703E-01 
1.998E+00   8.973E+00  3.700E-01 
2.021E+00   9.024E+00  3.697E-01 
2.044E+00   9.072E+00  3.694E-01 
2.068E+00   9.120E+00  3.691E-01 
2.092E+00   9.168E+00  3.688E-01 
2.116E+00   9.218E+00  3.684E-01 
2.141E+00   9.267E+00  3.681E-01 
2.166E+00   9.317E+00  3.677E-01 
2.191E+00   9.367E+00  3.673E-01 
2.216E+00   9.418E+00  3.670E-01 
2.242E+00   9.469E+00  3.666E-01 
2.268E+00   9.521E+00  3.662E-01 
2.294E+00   9.573E+00  3.658E-01 
2.321E+00   9.625E+00  3.654E-01 
2.348E+00   9.678E+00  3.650E-01 
2.375E+00   9.732E+00  3.646E-01 
2.402E+00   9.786E+00  3.641E-01 
2.430E+00   9.840E+00  3.637E-01 
2.458E+00   9.895E+00  3.632E-01 
2.487E+00   9.950E+00  3.628E-01 
2.516E+00   1.001E+01  3.623E-01 
2.545E+00   1.006E+01  3.619E-01 
2.574E+00   1.012E+01  3.614E-01 
2.604E+00   1.018E+01  3.609E-01 
2.635E+00   1.023E+01  3.604E-01 
2.665E+00   1.029E+01  3.599E-01 
2.696E+00   1.035E+01  3.594E-01 
2.727E+00   1.041E+01  3.589E-01 
2.759E+00   1.047E+01  3.583E-01 
2.791E+00   1.053E+01  3.578E-01 
2.823E+00   1.059E+01  3.573E-01 
2.856E+00   1.065E+01  3.567E-01 
2.889E+00   1.072E+01  3.562E-01 
2.923E+00   1.078E+01  3.556E-01 
2.957E+00   1.084E+01  3.550E-01 
2.991E+00   1.091E+01  3.545E-01 
3.026E+00   1.097E+01  3.539E-01 
3.061E+00   1.104E+01  3.533E-01 
3.096E+00   1.110E+01  3.527E-01 
3.132E+00   1.117E+01  3.521E-01 
3.168E+00   1.123E+01  3.515E-01 
3.205E+00   1.130E+01  3.508E-01 
3.242E+00   1.137E+01  3.502E-01 
3.280E+00   1.144E+01  3.496E-01 
3.318E+00   1.151E+01  3.489E-01 
3.356E+00   1.158E+01  3.483E-01 
3.395E+00   1.165E+01  3.476E-01 
3.435E+00   1.172E+01  3.469E-01 
3.475E+00   1.179E+01  3.463E-01 
3.515E+00   1.186E+01  3.456E-01 
3.556E+00   1.193E+01  3.449E-01 
3.597E+00   1.201E+01  3.442E-01 
3.639E+00   1.208E+01  3.435E-01 
3.681E+00   1.216E+01  3.428E-01 
3.724E+00   1.223E+01  3.420E-01 
3.767E+00   1.231E+01  3.413E-01 
3.810E+00   1.239E+01  3.406E-01 
3.855E+00   1.246E+01  3.398E-01 
3.899E+00   1.254E+01  3.391E-01 
3.945E+00   1.262E+01  3.383E-01 
3.990E+00   1.270E+01  3.376E-01 
4.037E+00   1.278E+01  3.368E-01 
4.083E+00   1.286E+01  3.360E-01 
4.131E+00   1.295E+01  3.353E-01 
4.179E+00   1.303E+01  3.345E-01 
4.227E+00   1.311E+01  3.337E-01 
4.276E+00   1.320E+01  3.329E-01 
4.326E+00   1.328E+01  3.321E-01 
4.376E+00   1.337E+01  3.313E-01 
4.427E+00   1.346E+01  3.304E-01 
4.478E+00   1.354E+01  3.296E-01 
4.530E+00   1.363E+01  3.288E-01 
4.583E+00   1.372E+01  3.279E-01 
4.636E+00   1.381E+01  3.271E-01 
4.690E+00   1.390E+01  3.262E-01 
4.744E+00   1.399E+01  3.254E-01 
4.799E+00   1.408E+01  3.245E-01 
4.855E+00   1.418E+01  3.236E-01 
4.911E+00   1.427E+01  3.228E-01 
4.968E+00   1.437E+01  3.219E-01 
5.026E+00   1.446E+01  3.210E-01 
5.084E+00   1.456E+01  3.201E-01 
5.143E+00   1.466E+01  3.192E-01 
5.202E+00   1.475E+01  3.183E-01 
5.263E+00   1.485E+01  3.174E-01 
5.324E+00   1.495E+01  3.165E-01 
5.386E+00   1.505E+01  3.156E-01 
5.448E+00   1.515E+01  3.146E-01 
5.511E+00   1.526E+01  3.137E-01 
5.575E+00   1.536E+01  3.128E-01 
5.640E+00   1.546E+01  3.118E-01 
5.705E+00   1.557E+01  3.109E-01 
5.771E+00   1.567E+01  3.099E-01 
5.838E+00   1.578E+01  3.090E-01 
5.906E+00   1.589E+01  3.080E-01 
5.975E+00   1.600E+01  3.070E-01 
6.044E+00   1.611E+01  3.061E-01 
6.114E+00   1.622E+01  3.051E-01 
6.185E+00   1.633E+01  3.041E-01 
6.257E+00   1.644E+01  3.031E-01 
6.329E+00   1.655E+01  3.021E-01 
6.403E+00   1.667E+01  3.011E-01 
6.477E+00   1.678E+01  3.001E-01 
6.552E+00   1.690E+01  2.991E-01 
6.628E+00   1.701E+01  2.981E-01 
6.705E+00   1.713E+01  2.971E-01 
6.783E+00   1.725E+01  2.961E-01 
