Ion = Hydrogen    . Mass = 1.0079
Tgt = Mo (Solid). Density = 10.206 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.750E+00  3.640E-01 
1.012E+00   5.784E+00  3.642E-01 
1.023E+00   5.817E+00  3.644E-01 
1.035E+00   5.851E+00  3.645E-01 
1.047E+00   5.884E+00  3.646E-01 
1.059E+00   5.918E+00  3.648E-01 
1.072E+00   5.953E+00  3.649E-01 
1.084E+00   5.987E+00  3.650E-01 
1.097E+00   6.022E+00  3.651E-01 
1.109E+00   6.057E+00  3.652E-01 
1.122E+00   6.092E+00  3.653E-01 
1.135E+00   6.127E+00  3.654E-01 
1.148E+00   6.162E+00  3.655E-01 
1.162E+00   6.198E+00  3.656E-01 
1.175E+00   6.234E+00  3.656E-01 
1.189E+00   6.270E+00  3.657E-01 
1.203E+00   6.306E+00  3.657E-01 
1.217E+00   6.342E+00  3.658E-01 
1.231E+00   6.379E+00  3.658E-01 
1.245E+00   6.416E+00  3.659E-01 
1.259E+00   6.453E+00  3.659E-01 
1.274E+00   6.490E+00  3.659E-01 
1.289E+00   6.528E+00  3.659E-01 
1.304E+00   6.566E+00  3.659E-01 
1.319E+00   6.604E+00  3.659E-01 
1.334E+00   6.642E+00  3.659E-01 
1.350E+00   6.680E+00  3.659E-01 
1.365E+00   6.719E+00  3.659E-01 
1.381E+00   6.758E+00  3.658E-01 
1.397E+00   6.797E+00  3.658E-01 
1.413E+00   6.836E+00  3.658E-01 
1.430E+00   6.876E+00  3.657E-01 
1.446E+00   6.915E+00  3.656E-01 
1.463E+00   6.955E+00  3.656E-01 
1.480E+00   6.996E+00  3.655E-01 
1.497E+00   7.036E+00  3.654E-01 
1.515E+00   7.077E+00  3.653E-01 
1.532E+00   7.118E+00  3.652E-01 
1.550E+00   7.159E+00  3.651E-01 
1.568E+00   7.200E+00  3.650E-01 
1.586E+00   7.242E+00  3.649E-01 
1.605E+00   7.284E+00  3.648E-01 
1.623E+00   7.326E+00  3.646E-01 
1.642E+00   7.368E+00  3.645E-01 
1.661E+00   7.411E+00  3.643E-01 
1.680E+00   7.454E+00  3.642E-01 
1.700E+00   7.497E+00  3.640E-01 
1.719E+00   7.540E+00  3.639E-01 
1.739E+00   7.584E+00  3.637E-01 
1.760E+00   7.628E+00  3.635E-01 
1.780E+00   7.672E+00  3.633E-01 
1.801E+00   7.716E+00  3.631E-01 
1.822E+00   7.761E+00  3.629E-01 
1.843E+00   7.806E+00  3.627E-01 
1.864E+00   7.851E+00  3.624E-01 
1.886E+00   7.896E+00  3.622E-01 
1.908E+00   7.942E+00  3.620E-01 
1.930E+00   7.988E+00  3.617E-01 
1.952E+00   8.034E+00  3.615E-01 
1.975E+00   8.080E+00  3.612E-01 
1.998E+00   8.127E+00  3.609E-01 
