Ion = Hydrogen    . Mass = 1.0079
Tgt = Tc (Solid). Density = 11.5 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.419E+00  3.724E-01 
1.012E+00   7.462E+00  3.726E-01 
1.023E+00   7.505E+00  3.727E-01 
1.035E+00   7.549E+00  3.729E-01 
1.047E+00   7.592E+00  3.730E-01 
1.059E+00   7.636E+00  3.732E-01 
1.072E+00   7.681E+00  3.733E-01 
1.084E+00   7.725E+00  3.734E-01 
1.097E+00   7.770E+00  3.735E-01 
1.109E+00   7.815E+00  3.736E-01 
1.122E+00   7.860E+00  3.737E-01 
1.135E+00   7.905E+00  3.738E-01 
1.148E+00   7.951E+00  3.739E-01 
1.162E+00   7.997E+00  3.740E-01 
1.175E+00   8.043E+00  3.741E-01 
1.189E+00   8.090E+00  3.741E-01 
1.203E+00   8.136E+00  3.742E-01 
1.217E+00   8.183E+00  3.742E-01 
1.231E+00   8.231E+00  3.743E-01 
1.245E+00   8.278E+00  3.743E-01 
1.259E+00   8.326E+00  3.743E-01 
1.274E+00   8.374E+00  3.744E-01 
1.289E+00   8.423E+00  3.744E-01 
1.304E+00   8.472E+00  3.744E-01 
1.319E+00   8.521E+00  3.744E-01 
1.334E+00   8.570E+00  3.744E-01 
1.350E+00   8.619E+00  3.744E-01 
1.365E+00   8.669E+00  3.743E-01 
1.381E+00   8.719E+00  3.743E-01 
1.397E+00   8.770E+00  3.743E-01 
1.413E+00   8.820E+00  3.742E-01 
1.430E+00   8.871E+00  3.742E-01 
1.446E+00   8.923E+00  3.741E-01 
1.463E+00   8.974E+00  3.741E-01 
1.480E+00   9.026E+00  3.740E-01 
1.497E+00   9.078E+00  3.739E-01 
1.515E+00   9.131E+00  3.738E-01 
1.532E+00   9.184E+00  3.737E-01 
1.550E+00   9.237E+00  3.736E-01 
1.568E+00   9.290E+00  3.735E-01 
1.586E+00   9.344E+00  3.734E-01 
1.605E+00   9.398E+00  3.733E-01 
1.623E+00   9.452E+00  3.731E-01 
1.642E+00   9.507E+00  3.730E-01 
1.661E+00   9.562E+00  3.728E-01 
1.680E+00   9.617E+00  3.727E-01 
1.700E+00   9.673E+00  3.725E-01 
1.719E+00   9.729E+00  3.724E-01 
1.739E+00   9.785E+00  3.722E-01 
1.760E+00   9.842E+00  3.720E-01 
1.780E+00   9.899E+00  3.718E-01 
1.801E+00   9.956E+00  3.716E-01 
1.822E+00   1.001E+01  3.714E-01 
1.843E+00   1.007E+01  3.712E-01 
1.864E+00   1.013E+01  3.709E-01 
1.886E+00   1.019E+01  3.707E-01 
1.908E+00   1.025E+01  3.705E-01 
1.930E+00   1.031E+01  3.702E-01 
1.952E+00   1.037E+01  3.700E-01 
1.975E+00   1.043E+01  3.697E-01 
1.998E+00   1.049E+01  3.694E-01 
2.021E+00   1.054E+01  3.691E-01 
2.044E+00   1.059E+01  3.689E-01 
2.068E+00   1.064E+01  3.686E-01 
2.092E+00   1.068E+01  3.683E-01 
2.116E+00   1.073E+01  3.679E-01 
2.141E+00   1.077E+01  3.676E-01 
