Ion = Hydrogen    . Mass = 1.0079
Tgt = Rh (Solid). Density = 12.399 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.376E+00  3.594E-01 
1.012E+00   4.401E+00  3.596E-01 
1.023E+00   4.426E+00  3.597E-01 
1.035E+00   4.452E+00  3.599E-01 
1.047E+00   4.478E+00  3.600E-01 
1.059E+00   4.504E+00  3.602E-01 
1.072E+00   4.530E+00  3.603E-01 
1.084E+00   4.556E+00  3.604E-01 
1.097E+00   4.582E+00  3.605E-01 
1.109E+00   4.609E+00  3.607E-01 
1.122E+00   4.635E+00  3.608E-01 
1.135E+00   4.662E+00  3.609E-01 
1.148E+00   4.689E+00  3.610E-01 
1.162E+00   4.716E+00  3.610E-01 
1.175E+00   4.743E+00  3.611E-01 
1.189E+00   4.771E+00  3.612E-01 
1.203E+00   4.798E+00  3.613E-01 
1.217E+00   4.826E+00  3.613E-01 
1.231E+00   4.854E+00  3.614E-01 
1.245E+00   4.882E+00  3.614E-01 
1.259E+00   4.910E+00  3.615E-01 
1.274E+00   4.939E+00  3.615E-01 
1.289E+00   4.967E+00  3.615E-01 
1.304E+00   4.996E+00  3.616E-01 
1.319E+00   5.025E+00  3.616E-01 
1.334E+00   5.054E+00  3.616E-01 
1.350E+00   5.083E+00  3.616E-01 
1.365E+00   5.113E+00  3.616E-01 
1.381E+00   5.142E+00  3.616E-01 
1.397E+00   5.172E+00  3.616E-01 
1.413E+00   5.202E+00  3.615E-01 
1.430E+00   5.232E+00  3.615E-01 
1.446E+00   5.262E+00  3.615E-01 
1.463E+00   5.293E+00  3.614E-01 
1.480E+00   5.323E+00  3.614E-01 
1.497E+00   5.354E+00  3.613E-01 
1.515E+00   5.385E+00  3.612E-01 
1.532E+00   5.416E+00  3.612E-01 
1.550E+00   5.448E+00  3.611E-01 
1.568E+00   5.479E+00  3.610E-01 
1.586E+00   5.511E+00  3.609E-01 
1.605E+00   5.543E+00  3.608E-01 
1.623E+00   5.575E+00  3.607E-01 
1.642E+00   5.607E+00  3.606E-01 
1.661E+00   5.639E+00  3.604E-01 
1.680E+00   5.672E+00  3.603E-01 
1.700E+00   5.705E+00  3.602E-01 
1.719E+00   5.738E+00  3.600E-01 
1.739E+00   5.771E+00  3.599E-01 
1.760E+00   5.804E+00  3.597E-01 
1.780E+00   5.838E+00  3.596E-01 
1.801E+00   5.872E+00  3.594E-01 
1.822E+00   5.906E+00  3.592E-01 
1.843E+00   5.940E+00  3.590E-01 
1.864E+00   5.974E+00  3.588E-01 
1.886E+00   6.009E+00  3.586E-01 
1.908E+00   6.043E+00  3.584E-01 
1.930E+00   6.078E+00  3.582E-01 
1.952E+00   6.113E+00  3.580E-01 
1.975E+00   6.149E+00  3.577E-01 
1.998E+00   6.184E+00  3.575E-01 
2.021E+00   6.219E+00  3.573E-01 
2.044E+00   6.250E+00  3.570E-01 
2.068E+00   6.282E+00  3.568E-01 
2.092E+00   6.313E+00  3.565E-01 
2.116E+00   6.345E+00  3.562E-01 
2.141E+00   6.377E+00  3.559E-01 
2.166E+00   6.410E+00  3.556E-01 
2.191E+00   6.442E+00  3.553E-01 
2.216E+00   6.475E+00  3.550E-01 
2.242E+00   6.508E+00  3.547E-01 
2.268E+00   6.542E+00  3.544E-01 
2.294E+00   6.575E+00  3.541E-01 
2.321E+00   6.609E+00  3.538E-01 
2.348E+00   6.643E+00  3.534E-01 
2.375E+00   6.677E+00  3.531E-01 
2.402E+00   6.712E+00  3.527E-01 
2.430E+00   6.747E+00  3.523E-01 
