Ion = Hydrogen    . Mass = 1.0079
Tgt = Cd (Solid). Density = 8.642 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.876E+00  3.497E-01 
1.012E+00   5.910E+00  3.500E-01 
1.023E+00   5.944E+00  3.502E-01 
1.035E+00   5.978E+00  3.504E-01 
1.047E+00   6.013E+00  3.506E-01 
1.059E+00   6.048E+00  3.509E-01 
1.072E+00   6.083E+00  3.511E-01 
1.084E+00   6.118E+00  3.513E-01 
1.097E+00   6.153E+00  3.514E-01 
1.109E+00   6.189E+00  3.516E-01 
1.122E+00   6.225E+00  3.518E-01 
1.135E+00   6.261E+00  3.520E-01 
1.148E+00   6.297E+00  3.521E-01 
1.162E+00   6.333E+00  3.523E-01 
1.175E+00   6.370E+00  3.525E-01 
1.189E+00   6.407E+00  3.526E-01 
1.203E+00   6.444E+00  3.527E-01 
1.217E+00   6.481E+00  3.529E-01 
1.231E+00   6.518E+00  3.530E-01 
1.245E+00   6.556E+00  3.531E-01 
1.259E+00   6.594E+00  3.532E-01 
1.274E+00   6.632E+00  3.533E-01 
1.289E+00   6.670E+00  3.534E-01 
1.304E+00   6.709E+00  3.535E-01 
1.319E+00   6.748E+00  3.536E-01 
1.334E+00   6.787E+00  3.537E-01 
1.350E+00   6.826E+00  3.538E-01 
1.365E+00   6.866E+00  3.538E-01 
1.381E+00   6.905E+00  3.539E-01 
1.397E+00   6.945E+00  3.540E-01 
1.413E+00   6.985E+00  3.540E-01 
1.430E+00   7.026E+00  3.540E-01 
1.446E+00   7.066E+00  3.541E-01 
1.463E+00   7.107E+00  3.541E-01 
1.480E+00   7.148E+00  3.541E-01 
1.497E+00   7.190E+00  3.541E-01 
1.515E+00   7.231E+00  3.541E-01 
1.532E+00   7.273E+00  3.541E-01 
1.550E+00   7.315E+00  3.541E-01 
1.568E+00   7.357E+00  3.541E-01 
1.586E+00   7.400E+00  3.541E-01 
1.605E+00   7.443E+00  3.541E-01 
1.623E+00   7.486E+00  3.540E-01 
1.642E+00   7.529E+00  3.540E-01 
1.661E+00   7.573E+00  3.539E-01 
1.680E+00   7.616E+00  3.539E-01 
1.700E+00   7.661E+00  3.538E-01 
1.719E+00   7.705E+00  3.537E-01 
1.739E+00   7.749E+00  3.537E-01 
1.760E+00   7.794E+00  3.536E-01 
1.780E+00   7.839E+00  3.535E-01 
1.801E+00   7.885E+00  3.534E-01 
1.822E+00   7.930E+00  3.533E-01 
1.843E+00   7.976E+00  3.531E-01 
1.864E+00   8.022E+00  3.530E-01 
1.886E+00   8.069E+00  3.529E-01 
1.908E+00   8.115E+00  3.528E-01 
1.930E+00   8.162E+00  3.526E-01 
1.952E+00   8.209E+00  3.525E-01 
1.975E+00   8.257E+00  3.523E-01 
1.998E+00   8.305E+00  3.521E-01 
2.021E+00   8.352E+00  3.520E-01 
2.044E+00   8.397E+00  3.518E-01 
2.068E+00   8.442E+00  3.516E-01 
2.092E+00   8.488E+00  3.514E-01 
2.116E+00   8.534E+00  3.512E-01 
2.141E+00   8.580E+00  3.510E-01 
2.166E+00   8.626E+00  3.508E-01 
2.191E+00   8.672E+00  3.505E-01 
2.216E+00   8.719E+00  3.503E-01 
2.242E+00   8.766E+00  3.501E-01 
2.268E+00   8.814E+00  3.498E-01 
2.294E+00   8.861E+00  3.496E-01 
2.321E+00   8.909E+00  3.493E-01 
2.348E+00   8.957E+00  3.490E-01 
2.375E+00   9.005E+00  3.487E-01 
2.402E+00   9.054E+00  3.485E-01 
2.430E+00   9.102E+00  3.482E-01 
2.458E+00   9.151E+00  3.479E-01 
2.487E+00   9.201E+00  3.475E-01 
2.516E+00   9.250E+00  3.472E-01 
2.545E+00   9.300E+00  3.469E-01 
2.574E+00   9.350E+00  3.466E-01 
2.604E+00   9.400E+00  3.462E-01 
2.635E+00   9.451E+00  3.459E-01 
2.665E+00   9.502E+00  3.455E-01 
2.696E+00   9.553E+00  3.452E-01 
2.727E+00   9.604E+00  3.448E-01 
2.759E+00   9.656E+00  3.444E-01 
2.791E+00   9.708E+00  3.441E-01 
2.823E+00   9.760E+00  3.437E-01 
2.856E+00   9.812E+00  3.433E-01 
2.889E+00   9.865E+00  3.429E-01 
2.923E+00   9.918E+00  3.424E-01 
2.957E+00   9.971E+00  3.420E-01 
2.991E+00   1.002E+01  3.416E-01 
3.026E+00   1.008E+01  3.412E-01 
3.061E+00   1.013E+01  3.407E-01 
3.096E+00   1.019E+01  3.403E-01 
3.132E+00   1.024E+01  3.398E-01 
3.168E+00   1.030E+01  3.393E-01 
3.205E+00   1.035E+01  3.389E-01 
3.242E+00   1.041E+01  3.384E-01 
3.280E+00   1.046E+01  3.379E-01 
3.318E+00   1.052E+01  3.374E-01 
