Ion = Hydrogen    . Mass = 1.0079
Tgt = In (Solid). Density = 7.3 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.061E+00  3.500E-01 
1.012E+00   6.096E+00  3.502E-01 
1.023E+00   6.131E+00  3.504E-01 
1.035E+00   6.167E+00  3.507E-01 
1.047E+00   6.202E+00  3.509E-01 
1.059E+00   6.238E+00  3.511E-01 
1.072E+00   6.274E+00  3.513E-01 
1.084E+00   6.310E+00  3.515E-01 
1.097E+00   6.347E+00  3.517E-01 
1.109E+00   6.384E+00  3.519E-01 
1.122E+00   6.421E+00  3.521E-01 
1.135E+00   6.458E+00  3.523E-01 
1.148E+00   6.495E+00  3.525E-01 
1.162E+00   6.533E+00  3.526E-01 
1.175E+00   6.570E+00  3.528E-01 
1.189E+00   6.608E+00  3.530E-01 
1.203E+00   6.647E+00  3.531E-01 
1.217E+00   6.685E+00  3.532E-01 
1.231E+00   6.724E+00  3.534E-01 
1.245E+00   6.763E+00  3.535E-01 
1.259E+00   6.802E+00  3.536E-01 
1.274E+00   6.841E+00  3.538E-01 
1.289E+00   6.881E+00  3.539E-01 
1.304E+00   6.920E+00  3.540E-01 
1.319E+00   6.960E+00  3.541E-01 
1.334E+00   7.001E+00  3.542E-01 
1.350E+00   7.041E+00  3.542E-01 
1.365E+00   7.082E+00  3.543E-01 
1.381E+00   7.123E+00  3.544E-01 
1.397E+00   7.164E+00  3.544E-01 
1.413E+00   7.205E+00  3.545E-01 
1.430E+00   7.247E+00  3.546E-01 
1.446E+00   7.289E+00  3.546E-01 
1.463E+00   7.331E+00  3.546E-01 
1.480E+00   7.373E+00  3.547E-01 
1.497E+00   7.416E+00  3.547E-01 
1.515E+00   7.459E+00  3.547E-01 
1.532E+00   7.502E+00  3.547E-01 
1.550E+00   7.546E+00  3.547E-01 
1.568E+00   7.589E+00  3.547E-01 
1.586E+00   7.633E+00  3.547E-01 
1.605E+00   7.677E+00  3.547E-01 
1.623E+00   7.722E+00  3.546E-01 
1.642E+00   7.766E+00  3.546E-01 
1.661E+00   7.811E+00  3.546E-01 
1.680E+00   7.856E+00  3.545E-01 
1.700E+00   7.902E+00  3.545E-01 
1.719E+00   7.947E+00  3.544E-01 
1.739E+00   7.993E+00  3.543E-01 
1.760E+00   8.040E+00  3.543E-01 
1.780E+00   8.086E+00  3.542E-01 
1.801E+00   8.133E+00  3.541E-01 
1.822E+00   8.180E+00  3.540E-01 
1.843E+00   8.227E+00  3.539E-01 
1.864E+00   8.275E+00  3.538E-01 
1.886E+00   8.323E+00  3.536E-01 
1.908E+00   8.371E+00  3.535E-01 
1.930E+00   8.419E+00  3.534E-01 
1.952E+00   8.468E+00  3.532E-01 
1.975E+00   8.517E+00  3.531E-01 
1.998E+00   8.566E+00  3.529E-01 
2.021E+00   8.613E+00  3.528E-01 
2.044E+00   8.653E+00  3.526E-01 
2.068E+00   8.692E+00  3.524E-01 
2.092E+00   8.732E+00  3.522E-01 
2.116E+00   8.772E+00  3.520E-01 
2.141E+00   8.812E+00  3.518E-01 
2.166E+00   8.853E+00  3.516E-01 
2.191E+00   8.894E+00  3.514E-01 
2.216E+00   8.935E+00  3.512E-01 
2.242E+00   8.976E+00  3.510E-01 
2.268E+00   9.018E+00  3.507E-01 
2.294E+00   9.060E+00  3.505E-01 
2.321E+00   9.102E+00  3.502E-01 
2.348E+00   9.144E+00  3.500E-01 
2.375E+00   9.187E+00  3.497E-01 
2.402E+00   9.230E+00  3.494E-01 
2.430E+00   9.273E+00  3.491E-01 
2.458E+00   9.316E+00  3.489E-01 
2.487E+00   9.360E+00  3.486E-01 
2.516E+00   9.404E+00  3.482E-01 
2.545E+00   9.449E+00  3.479E-01 
2.574E+00   9.493E+00  3.476E-01 
