Ion = Hydrogen    . Mass = 1.0079
Tgt =  B (Solid). Density = 2.3502 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.586E+00  3.967E-01 
1.012E+00   2.601E+00  3.948E-01 
1.023E+00   2.616E+00  3.929E-01 
1.035E+00   2.631E+00  3.911E-01 
1.047E+00   2.646E+00  3.892E-01 
1.059E+00   2.662E+00  3.873E-01 
1.072E+00   2.677E+00  3.854E-01 
1.084E+00   2.692E+00  3.836E-01 
1.097E+00   2.708E+00  3.817E-01 
1.109E+00   2.724E+00  3.798E-01 
1.122E+00   2.739E+00  3.780E-01 
1.135E+00   2.755E+00  3.761E-01 
1.148E+00   2.771E+00  3.742E-01 
1.162E+00   2.787E+00  3.723E-01 
1.175E+00   2.803E+00  3.705E-01 
1.189E+00   2.820E+00  3.686E-01 
1.203E+00   2.836E+00  3.667E-01 
1.217E+00   2.852E+00  3.649E-01 
1.231E+00   2.869E+00  3.630E-01 
1.245E+00   2.885E+00  3.611E-01 
1.259E+00   2.902E+00  3.593E-01 
1.274E+00   2.919E+00  3.574E-01 
1.289E+00   2.936E+00  3.556E-01 
1.304E+00   2.953E+00  3.537E-01 
1.319E+00   2.970E+00  3.518E-01 
1.334E+00   2.987E+00  3.500E-01 
1.350E+00   3.004E+00  3.481E-01 
1.365E+00   3.022E+00  3.463E-01 
1.381E+00   3.039E+00  3.444E-01 
1.397E+00   3.057E+00  3.426E-01 
1.413E+00   3.074E+00  3.407E-01 
1.430E+00   3.092E+00  3.389E-01 
1.446E+00   3.110E+00  3.370E-01 
1.463E+00   3.128E+00  3.352E-01 
1.480E+00   3.146E+00  3.334E-01 
1.497E+00   3.164E+00  3.315E-01 
1.515E+00   3.182E+00  3.297E-01 
1.532E+00   3.201E+00  3.279E-01 
1.550E+00   3.219E+00  3.261E-01 
1.568E+00   3.238E+00  3.242E-01 
1.586E+00   3.257E+00  3.224E-01 
1.605E+00   3.276E+00  3.206E-01 
1.623E+00   3.294E+00  3.188E-01 
1.642E+00   3.314E+00  3.170E-01 
1.661E+00   3.333E+00  3.152E-01 
1.680E+00   3.352E+00  3.134E-01 
1.700E+00   3.371E+00  3.116E-01 
1.719E+00   3.391E+00  3.098E-01 
1.739E+00   3.410E+00  3.080E-01 
1.760E+00   3.430E+00  3.062E-01 
1.780E+00   3.450E+00  3.044E-01 
1.801E+00   3.470E+00  3.027E-01 
1.822E+00   3.490E+00  3.009E-01 
1.843E+00   3.510E+00  2.991E-01 
1.864E+00   3.531E+00  2.973E-01 
1.886E+00   3.551E+00  2.956E-01 
1.908E+00   3.571E+00  2.938E-01 
1.930E+00   3.592E+00  2.921E-01 
1.952E+00   3.613E+00  2.903E-01 
1.975E+00   3.634E+00  2.886E-01 
1.998E+00   3.655E+00  2.869E-01 
2.021E+00   3.675E+00  2.851E-01 
2.044E+00   3.694E+00  2.834E-01 
2.068E+00   3.712E+00  2.817E-01 
2.092E+00   3.731E+00  2.800E-01 
2.116E+00   3.750E+00  2.782E-01 
2.141E+00   3.769E+00  2.765E-01 
2.166E+00   3.788E+00  2.748E-01 
2.191E+00   3.808E+00  2.731E-01 
2.216E+00   3.827E+00  2.714E-01 
2.242E+00   3.847E+00  2.698E-01 
2.268E+00   3.867E+00  2.681E-01 
2.294E+00   3.887E+00  2.664E-01 
2.321E+00   3.907E+00  2.647E-01 
2.348E+00   3.927E+00  2.631E-01 
2.375E+00   3.947E+00  2.614E-01 
2.402E+00   3.968E+00  2.598E-01 
2.430E+00   3.989E+00  2.581E-01 
2.458E+00   4.009E+00  2.565E-01 
2.487E+00   4.031E+00  2.548E-01 
2.516E+00   4.052E+00  2.532E-01 
2.545E+00   4.073E+00  2.516E-01 
2.574E+00   4.095E+00  2.500E-01 
2.604E+00   4.116E+00  2.483E-01 
2.635E+00   4.138E+00  2.467E-01 
2.665E+00   4.160E+00  2.451E-01 
2.696E+00   4.182E+00  2.435E-01 
2.727E+00   4.205E+00  2.419E-01 
2.759E+00   4.227E+00  2.404E-01 
2.791E+00   4.250E+00  2.388E-01 
2.823E+00   4.272E+00  2.372E-01 
2.856E+00   4.295E+00  2.357E-01 
2.889E+00   4.319E+00  2.341E-01 
2.923E+00   4.342E+00  2.325E-01 
2.957E+00   4.365E+00  2.310E-01 
2.991E+00   4.389E+00  2.295E-01 
3.026E+00   4.413E+00  2.279E-01 
3.061E+00   4.437E+00  2.264E-01 
3.096E+00   4.461E+00  2.249E-01 
3.132E+00   4.485E+00  2.234E-01 
3.168E+00   4.509E+00  2.219E-01 
3.205E+00   4.534E+00  2.204E-01 
3.242E+00   4.559E+00  2.189E-01 
3.280E+00   4.584E+00  2.174E-01 
3.318E+00   4.609E+00  2.159E-01 
3.356E+00   4.634E+00  2.144E-01 
3.395E+00   4.659E+00  2.130E-01 
3.435E+00   4.685E+00  2.115E-01 
3.475E+00   4.711E+00  2.100E-01 
3.515E+00   4.737E+00  2.086E-01 
3.556E+00   4.763E+00  2.071E-01 
3.597E+00   4.789E+00  2.057E-01 
3.639E+00   4.815E+00  2.043E-01 
3.681E+00   4.842E+00  2.029E-01 
3.724E+00   4.868E+00  2.015E-01 
3.767E+00   4.895E+00  2.000E-01 
3.810E+00   4.922E+00  1.986E-01 
3.855E+00   4.949E+00  1.972E-01 
3.899E+00   4.977E+00  1.959E-01 
3.945E+00   5.004E+00  1.945E-01 
3.990E+00   5.032E+00  1.931E-01 
4.037E+00   5.059E+00  1.917E-01 
4.083E+00   5.087E+00  1.904E-01 
4.131E+00   5.115E+00  1.890E-01 
4.179E+00   5.144E+00  1.877E-01 
4.227E+00   5.172E+00  1.863E-01 
4.276E+00   5.200E+00  1.850E-01 
4.326E+00   5.229E+00  1.837E-01 
4.376E+00   5.258E+00  1.824E-01 
4.427E+00   5.287E+00  1.810E-01 
4.478E+00   5.316E+00  1.797E-01 
4.530E+00   5.345E+00  1.784E-01 
4.583E+00   5.374E+00  1.772E-01 
4.636E+00   5.403E+00  1.759E-01 
4.690E+00   5.433E+00  1.746E-01 
4.744E+00   5.463E+00  1.733E-01 
4.799E+00   5.492E+00  1.721E-01 
4.855E+00   5.522E+00  1.708E-01 
4.911E+00   5.552E+00  1.695E-01 
4.968E+00   5.583E+00  1.683E-01 
5.026E+00   5.613E+00  1.671E-01 
5.084E+00   5.643E+00  1.658E-01 
5.143E+00   5.674E+00  1.646E-01 
5.202E+00   5.704E+00  1.634E-01 
5.263E+00   5.735E+00  1.622E-01 
5.324E+00   5.766E+00  1.610E-01 
5.386E+00   5.797E+00  1.598E-01 
5.448E+00   5.828E+00  1.586E-01 
5.511E+00   5.859E+00  1.574E-01 
5.575E+00   5.890E+00  1.562E-01 
5.640E+00   5.922E+00  1.551E-01 
5.705E+00   5.953E+00  1.539E-01 
5.771E+00   5.985E+00  1.527E-01 
5.838E+00   6.016E+00  1.516E-01 
5.906E+00   6.048E+00  1.504E-01 
5.975E+00   6.080E+00  1.493E-01 
6.044E+00   6.112E+00  1.482E-01 
6.114E+00   6.144E+00  1.471E-01 
6.185E+00   6.176E+00  1.459E-01 
6.257E+00   6.209E+00  1.448E-01 
6.329E+00   6.241E+00  1.437E-01 
6.403E+00   6.273E+00  1.426E-01 
6.477E+00   6.306E+00  1.415E-01 
6.552E+00   6.338E+00  1.405E-01 
6.628E+00   6.371E+00  1.394E-01 
6.705E+00   6.404E+00  1.383E-01 
6.783E+00   6.437E+00  1.372E-01 
6.861E+00   6.470E+00  1.362E-01 
6.941E+00   6.503E+00  1.351E-01 
7.021E+00   6.536E+00  1.341E-01 
7.103E+00   6.570E+00  1.331E-01 
7.185E+00   6.603E+00  1.320E-01 
7.269E+00   6.637E+00  1.310E-01 
7.353E+00   6.670E+00  1.300E-01 
7.438E+00   6.704E+00  1.290E-01 
7.524E+00   6.738E+00  1.280E-01 
7.612E+00   6.772E+00  1.270E-01 
7.700E+00   6.806E+00  1.260E-01 
7.789E+00   6.841E+00  1.250E-01 
7.880E+00   6.875E+00  1.240E-01 
7.971E+00   6.910E+00  1.230E-01 
8.064E+00   6.944E+00  1.221E-01 
8.157E+00   6.979E+00  1.211E-01 
8.252E+00   7.014E+00  1.201E-01 
8.347E+00   7.049E+00  1.192E-01 
8.444E+00   7.085E+00  1.183E-01 
8.542E+00   7.120E+00  1.173E-01 
8.641E+00   7.156E+00  1.164E-01 
8.741E+00   7.192E+00  1.155E-01 
8.843E+00   7.228E+00  1.145E-01 
8.945E+00   7.264E+00  1.136E-01 
9.049E+00   7.300E+00  1.127E-01 
9.154E+00   7.337E+00  1.118E-01 
9.260E+00   7.373E+00  1.109E-01 
9.368E+00   7.410E+00  1.100E-01 
9.476E+00   7.447E+00  1.092E-01 
9.586E+00   7.485E+00  1.083E-01 
9.698E+00   7.522E+00  1.074E-01 
9.810E+00   7.560E+00  1.065E-01 
9.924E+00   7.598E+00  1.057E-01 
1.004E+01   7.636E+00  1.048E-01 
1.016E+01   7.674E+00  1.040E-01 
1.027E+01   7.713E+00  1.031E-01 
1.039E+01   7.752E+00  1.023E-01 
1.051E+01   7.791E+00  1.015E-01 
1.063E+01   7.830E+00  1.007E-01 
1.076E+01   7.870E+00  9.983E-02 
1.088E+01   7.910E+00  9.902E-02 
1.101E+01   7.950E+00  9.821E-02 
1.114E+01   7.990E+00  9.741E-02 
1.127E+01   8.031E+00  9.661E-02 
1.140E+01   8.072E+00  9.582E-02 
1.153E+01   8.113E+00  9.504E-02 
1.166E+01   8.154E+00  9.426E-02 
1.180E+01   8.196E+00  9.348E-02 
1.193E+01   8.238E+00  9.271E-02 
1.207E+01   8.280E+00  9.195E-02 
1.221E+01   8.322E+00  9.119E-02 
1.235E+01   8.365E+00  8.348E-02 
1.250E+01   8.408E+00  8.281E-02 
1.264E+01   8.451E+00  8.213E-02 
1.279E+01   8.495E+00  8.146E-02 
1.294E+01   8.539E+00  8.080E-02 
1.309E+01   8.583E+00  8.014E-02 
1.324E+01   8.627E+00  7.949E-02 
1.339E+01   8.672E+00  7.884E-02 
1.355E+01   8.717E+00  7.819E-02 
1.371E+01   8.762E+00  7.755E-02 
1.387E+01   8.807E+00  7.691E-02 
1.403E+01   8.853E+00  7.628E-02 
1.419E+01   8.899E+00  7.565E-02 
1.435E+01   8.945E+00  7.503E-02 
1.452E+01   8.991E+00  7.441E-02 
1.469E+01   9.038E+00  7.379E-02 
1.486E+01   9.085E+00  7.318E-02 
1.503E+01   9.132E+00  7.257E-02 
1.521E+01   9.179E+00  7.197E-02 
1.538E+01   9.227E+00  7.137E-02 
1.556E+01   9.275E+00  7.078E-02 
1.574E+01   9.323E+00  7.019E-02 
1.592E+01   9.371E+00  6.961E-02 
1.611E+01   9.420E+00  6.902E-02 
1.629E+01   9.468E+00  6.845E-02 
1.648E+01   9.517E+00  6.787E-02 
1.667E+01   9.566E+00  6.731E-02 
1.687E+01   9.616E+00  6.674E-02 
1.706E+01   9.665E+00  6.618E-02 
1.726E+01   9.715E+00  6.563E-02 
1.746E+01   9.764E+00  6.507E-02 
1.766E+01   9.814E+00  6.452E-02 
1.787E+01   9.864E+00  6.398E-02 
