Ion = Hydrogen    . Mass = 1.0079
Tgt = Sn (Solid). Density = 7.2816 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.993E+00  3.305E-01 
1.012E+00   6.027E+00  3.307E-01 
1.023E+00   6.062E+00  3.310E-01 
1.035E+00   6.097E+00  3.312E-01 
1.047E+00   6.132E+00  3.314E-01 
1.059E+00   6.168E+00  3.316E-01 
1.072E+00   6.204E+00  3.319E-01 
1.084E+00   6.239E+00  3.321E-01 
1.097E+00   6.276E+00  3.323E-01 
1.109E+00   6.312E+00  3.325E-01 
1.122E+00   6.348E+00  3.327E-01 
1.135E+00   6.385E+00  3.329E-01 
1.148E+00   6.422E+00  3.331E-01 
1.162E+00   6.459E+00  3.332E-01 
1.175E+00   6.496E+00  3.334E-01 
1.189E+00   6.534E+00  3.336E-01 
1.203E+00   6.572E+00  3.337E-01 
1.217E+00   6.610E+00  3.339E-01 
1.231E+00   6.648E+00  3.340E-01 
1.245E+00   6.686E+00  3.342E-01 
1.259E+00   6.725E+00  3.343E-01 
1.274E+00   6.764E+00  3.344E-01 
1.289E+00   6.803E+00  3.346E-01 
1.304E+00   6.842E+00  3.347E-01 
1.319E+00   6.882E+00  3.348E-01 
1.334E+00   6.922E+00  3.349E-01 
1.350E+00   6.962E+00  3.350E-01 
1.365E+00   7.002E+00  3.351E-01 
1.381E+00   7.043E+00  3.352E-01 
1.397E+00   7.083E+00  3.353E-01 
1.413E+00   7.124E+00  3.354E-01 
1.430E+00   7.166E+00  3.354E-01 
1.446E+00   7.207E+00  3.355E-01 
1.463E+00   7.249E+00  3.355E-01 
1.480E+00   7.291E+00  3.356E-01 
1.497E+00   7.333E+00  3.356E-01 
1.515E+00   7.375E+00  3.357E-01 
1.532E+00   7.418E+00  3.357E-01 
1.550E+00   7.461E+00  3.357E-01 
1.568E+00   7.504E+00  3.358E-01 
1.586E+00   7.547E+00  3.358E-01 
1.605E+00   7.591E+00  3.358E-01 
1.623E+00   7.635E+00  3.358E-01 
1.642E+00   7.679E+00  3.358E-01 
1.661E+00   7.723E+00  3.358E-01 
1.680E+00   7.768E+00  3.357E-01 
1.700E+00   7.813E+00  3.357E-01 
1.719E+00   7.858E+00  3.357E-01 
1.739E+00   7.904E+00  3.356E-01 
1.760E+00   7.949E+00  3.356E-01 
1.780E+00   7.995E+00  3.356E-01 
1.801E+00   8.041E+00  3.355E-01 
1.822E+00   8.088E+00  3.354E-01 
1.843E+00   8.135E+00  3.354E-01 
1.864E+00   8.182E+00  3.353E-01 
1.886E+00   8.229E+00  3.352E-01 
1.908E+00   8.277E+00  3.351E-01 
1.930E+00   8.324E+00  3.350E-01 
1.952E+00   8.373E+00  3.349E-01 
1.975E+00   8.421E+00  3.348E-01 
1.998E+00   8.470E+00  3.347E-01 
2.021E+00   8.519E+00  3.345E-01 
2.044E+00   8.568E+00  3.344E-01 
2.068E+00   8.618E+00  3.343E-01 
2.092E+00   8.668E+00  3.341E-01 
2.116E+00   8.718E+00  3.340E-01 
2.141E+00   8.769E+00  3.338E-01 
2.166E+00   8.819E+00  3.336E-01 
2.191E+00   8.870E+00  3.335E-01 
2.216E+00   8.922E+00  3.333E-01 
2.242E+00   8.974E+00  3.331E-01 
2.268E+00   9.026E+00  3.329E-01 
2.294E+00   9.078E+00  3.327E-01 
2.321E+00   9.131E+00  3.325E-01 
2.348E+00   9.184E+00  3.323E-01 
2.375E+00   9.237E+00  3.320E-01 
2.402E+00   9.290E+00  3.318E-01 
2.430E+00   9.344E+00  3.316E-01 
2.458E+00   9.399E+00  3.313E-01 
2.487E+00   9.453E+00  3.311E-01 
2.516E+00   9.508E+00  3.308E-01 
2.545E+00   9.563E+00  3.306E-01 
2.574E+00   9.619E+00  3.303E-01 
2.604E+00   9.674E+00  3.300E-01 
2.635E+00   9.730E+00  3.297E-01 
2.665E+00   9.787E+00  3.294E-01 
2.696E+00   9.844E+00  3.291E-01 
2.727E+00   9.901E+00  3.288E-01 
2.759E+00   9.958E+00  3.285E-01 
2.791E+00   1.002E+01  3.282E-01 
2.823E+00   1.007E+01  3.279E-01 
2.856E+00   1.013E+01  3.275E-01 
2.889E+00   1.019E+01  3.272E-01 
2.923E+00   1.025E+01  3.268E-01 
2.957E+00   1.031E+01  3.265E-01 
2.991E+00   1.037E+01  3.261E-01 
3.026E+00   1.043E+01  3.258E-01 
3.061E+00   1.049E+01  3.254E-01 
3.096E+00   1.055E+01  3.250E-01 
3.132E+00   1.061E+01  3.246E-01 
