Ion = Hydrogen    . Mass = 1.0079
Tgt = Sb (Solid). Density = 6.684 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.943E+00  3.272E-01 
1.012E+00   7.989E+00  3.275E-01 
1.023E+00   8.035E+00  3.277E-01 
1.035E+00   8.082E+00  3.280E-01 
1.047E+00   8.129E+00  3.283E-01 
1.059E+00   8.176E+00  3.285E-01 
1.072E+00   8.223E+00  3.288E-01 
1.084E+00   8.270E+00  3.290E-01 
1.097E+00   8.318E+00  3.293E-01 
1.109E+00   8.366E+00  3.295E-01 
1.122E+00   8.415E+00  3.297E-01 
1.135E+00   8.463E+00  3.300E-01 
1.148E+00   8.512E+00  3.302E-01 
1.162E+00   8.562E+00  3.304E-01 
1.175E+00   8.611E+00  3.306E-01 
1.189E+00   8.661E+00  3.308E-01 
1.203E+00   8.711E+00  3.310E-01 
1.217E+00   8.761E+00  3.312E-01 
1.231E+00   8.812E+00  3.314E-01 
1.245E+00   8.863E+00  3.316E-01 
1.259E+00   8.914E+00  3.317E-01 
1.274E+00   8.966E+00  3.319E-01 
1.289E+00   9.018E+00  3.321E-01 
1.304E+00   9.070E+00  3.322E-01 
1.319E+00   9.122E+00  3.324E-01 
1.334E+00   9.175E+00  3.325E-01 
1.350E+00   9.228E+00  3.326E-01 
1.365E+00   9.281E+00  3.328E-01 
1.381E+00   9.335E+00  3.329E-01 
1.397E+00   9.389E+00  3.330E-01 
1.413E+00   9.443E+00  3.331E-01 
1.430E+00   9.498E+00  3.332E-01 
1.446E+00   9.553E+00  3.333E-01 
1.463E+00   9.608E+00  3.334E-01 
1.480E+00   9.664E+00  3.335E-01 
1.497E+00   9.719E+00  3.336E-01 
1.515E+00   9.776E+00  3.337E-01 
1.532E+00   9.832E+00  3.337E-01 
1.550E+00   9.889E+00  3.338E-01 
1.568E+00   9.946E+00  3.338E-01 
1.586E+00   1.000E+01  3.339E-01 
1.605E+00   1.006E+01  3.339E-01 
1.623E+00   1.012E+01  3.340E-01 
1.642E+00   1.018E+01  3.340E-01 
