Ion = Hydrogen    . Mass = 1.0079
Tgt =  I (Solid). Density = 4.9373 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.272E+00  3.238E-01 
1.012E+00   7.314E+00  3.241E-01 
1.023E+00   7.356E+00  3.244E-01 
1.035E+00   7.399E+00  3.247E-01 
1.047E+00   7.442E+00  3.250E-01 
1.059E+00   7.485E+00  3.253E-01 
1.072E+00   7.528E+00  3.256E-01 
1.084E+00   7.572E+00  3.259E-01 
1.097E+00   7.615E+00  3.261E-01 
1.109E+00   7.659E+00  3.264E-01 
1.122E+00   7.704E+00  3.267E-01 
1.135E+00   7.748E+00  3.269E-01 
1.148E+00   7.793E+00  3.272E-01 
1.162E+00   7.838E+00  3.274E-01 
1.175E+00   7.884E+00  3.276E-01 
1.189E+00   7.929E+00  3.279E-01 
1.203E+00   7.975E+00  3.281E-01 
1.217E+00   8.021E+00  3.283E-01 
1.231E+00   8.067E+00  3.285E-01 
1.245E+00   8.114E+00  3.287E-01 
1.259E+00   8.161E+00  3.289E-01 
1.274E+00   8.208E+00  3.291E-01 
1.289E+00   8.256E+00  3.293E-01 
1.304E+00   8.303E+00  3.295E-01 
1.319E+00   8.351E+00  3.297E-01 
1.334E+00   8.400E+00  3.299E-01 
1.350E+00   8.448E+00  3.300E-01 
1.365E+00   8.497E+00  3.302E-01 
1.381E+00   8.546E+00  3.304E-01 
1.397E+00   8.596E+00  3.305E-01 
1.413E+00   8.645E+00  3.306E-01 
1.430E+00   8.695E+00  3.308E-01 
1.446E+00   8.746E+00  3.309E-01 
1.463E+00   8.796E+00  3.310E-01 
1.480E+00   8.847E+00  3.312E-01 
1.497E+00   8.898E+00  3.313E-01 
1.515E+00   8.950E+00  3.314E-01 
1.532E+00   9.002E+00  3.315E-01 
1.550E+00   9.054E+00  3.316E-01 
1.568E+00   9.106E+00  3.317E-01 
1.586E+00   9.159E+00  3.317E-01 
1.605E+00   9.212E+00  3.318E-01 
1.623E+00   9.265E+00  3.319E-01 
1.642E+00   9.318E+00  3.319E-01 
1.661E+00   9.372E+00  3.320E-01 
1.680E+00   9.427E+00  3.320E-01 
1.700E+00   9.481E+00  3.321E-01 
1.719E+00   9.536E+00  3.321E-01 
1.739E+00   9.591E+00  3.321E-01 
1.760E+00   9.646E+00  3.322E-01 
1.780E+00   9.702E+00  3.322E-01 
1.801E+00   9.758E+00  3.322E-01 
1.822E+00   9.815E+00  3.322E-01 
1.843E+00   9.872E+00  3.322E-01 
1.864E+00   9.929E+00  3.322E-01 
1.886E+00   9.986E+00  3.322E-01 
1.908E+00   1.004E+01  3.321E-01 
1.930E+00   1.010E+01  3.321E-01 
1.952E+00   1.016E+01  3.321E-01 
1.975E+00   1.022E+01  3.320E-01 
1.998E+00   1.028E+01  3.320E-01 
2.021E+00   1.034E+01  3.319E-01 
2.044E+00   1.039E+01  3.318E-01 
2.068E+00   1.044E+01  3.318E-01 
2.092E+00   1.049E+01  3.317E-01 
2.116E+00   1.054E+01  3.316E-01 
2.141E+00   1.060E+01  3.315E-01 
2.166E+00   1.065E+01  3.314E-01 
2.191E+00   1.070E+01  3.313E-01 
2.216E+00   1.076E+01  3.312E-01 
2.242E+00   1.081E+01  3.311E-01 
2.268E+00   1.087E+01  3.309E-01 
2.294E+00   1.092E+01  3.308E-01 
2.321E+00   1.098E+01  3.307E-01 
2.348E+00   1.103E+01  3.305E-01 
2.375E+00   1.109E+01  3.304E-01 
2.402E+00   1.114E+01  3.302E-01 
2.430E+00   1.120E+01  3.300E-01 
2.458E+00   1.125E+01  3.298E-01 
2.487E+00   1.131E+01  3.297E-01 
2.516E+00   1.137E+01  3.295E-01 
2.545E+00   1.143E+01  3.293E-01 
2.574E+00   1.148E+01  3.291E-01 
2.604E+00   1.154E+01  3.288E-01 
