Ion = Hydrogen    . Mass = 1.0079
Tgt = Xe (Solid). Density = 3.0589 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   8.267E+00  3.174E-01 
1.012E+00   8.315E+00  3.177E-01 
1.023E+00   8.363E+00  3.180E-01 
1.035E+00   8.411E+00  3.182E-01 
1.047E+00   8.460E+00  3.185E-01 
1.059E+00   8.509E+00  3.188E-01 
1.072E+00   8.558E+00  3.191E-01 
1.084E+00   8.608E+00  3.193E-01 
1.097E+00   8.657E+00  3.196E-01 
1.109E+00   8.707E+00  3.198E-01 
1.122E+00   8.758E+00  3.201E-01 
1.135E+00   8.808E+00  3.203E-01 
1.148E+00   8.859E+00  3.205E-01 
1.162E+00   8.911E+00  3.208E-01 
1.175E+00   8.962E+00  3.210E-01 
1.189E+00   9.014E+00  3.212E-01 
1.203E+00   9.066E+00  3.214E-01 
1.217E+00   9.118E+00  3.216E-01 
1.231E+00   9.171E+00  3.218E-01 
1.245E+00   9.224E+00  3.220E-01 
1.259E+00   9.278E+00  3.222E-01 
1.274E+00   9.331E+00  3.224E-01 
1.289E+00   9.385E+00  3.226E-01 
1.304E+00   9.439E+00  3.227E-01 
1.319E+00   9.494E+00  3.229E-01 
1.334E+00   9.549E+00  3.231E-01 
1.350E+00   9.604E+00  3.232E-01 
1.365E+00   9.660E+00  3.234E-01 
1.381E+00   9.716E+00  3.235E-01 
1.397E+00   9.772E+00  3.237E-01 
1.413E+00   9.828E+00  3.238E-01 
1.430E+00   9.885E+00  3.239E-01 
1.446E+00   9.942E+00  3.240E-01 
1.463E+00   1.000E+01  3.242E-01 
1.480E+00   1.006E+01  3.243E-01 
1.497E+00   1.012E+01  3.244E-01 
1.515E+00   1.017E+01  3.245E-01 
1.532E+00   1.023E+01  3.246E-01 
1.550E+00   1.029E+01  3.247E-01 
1.568E+00   1.035E+01  3.247E-01 
1.586E+00   1.041E+01  3.248E-01 
1.605E+00   1.047E+01  3.249E-01 
1.623E+00   1.053E+01  3.249E-01 
1.642E+00   1.059E+01  3.250E-01 
1.661E+00   1.065E+01  3.250E-01 
1.680E+00   1.072E+01  3.251E-01 
1.700E+00   1.078E+01  3.251E-01 
1.719E+00   1.084E+01  3.251E-01 
1.739E+00   1.090E+01  3.252E-01 
1.760E+00   1.097E+01  3.252E-01 
1.780E+00   1.103E+01  3.252E-01 
1.801E+00   1.109E+01  3.252E-01 
1.822E+00   1.116E+01  3.252E-01 
1.843E+00   1.122E+01  3.252E-01 
1.864E+00   1.129E+01  3.252E-01 
1.886E+00   1.135E+01  3.251E-01 
1.908E+00   1.142E+01  3.251E-01 
1.930E+00   1.148E+01  3.251E-01 
1.952E+00   1.155E+01  3.250E-01 
1.975E+00   1.162E+01  3.250E-01 
1.998E+00   1.168E+01  3.249E-01 
2.021E+00   1.175E+01  3.249E-01 
2.044E+00   1.181E+01  3.248E-01 
2.068E+00   1.187E+01  3.247E-01 
2.092E+00   1.193E+01  3.247E-01 
2.116E+00   1.200E+01  3.246E-01 
2.141E+00   1.206E+01  3.245E-01 
2.166E+00   1.212E+01  3.244E-01 
2.191E+00   1.218E+01  3.243E-01 
2.216E+00   1.225E+01  3.242E-01 
