Ion = Hydrogen    . Mass = 1.0079
Tgt = Cs (Solid). Density = 1.8785 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   9.425E+00  3.174E-01 
1.012E+00   9.480E+00  3.177E-01 
1.023E+00   9.535E+00  3.180E-01 
1.035E+00   9.590E+00  3.183E-01 
1.047E+00   9.645E+00  3.186E-01 
1.059E+00   9.701E+00  3.189E-01 
1.072E+00   9.757E+00  3.192E-01 
1.084E+00   9.814E+00  3.195E-01 
1.097E+00   9.870E+00  3.197E-01 
1.109E+00   9.928E+00  3.200E-01 
1.122E+00   9.985E+00  3.203E-01 
1.135E+00   1.004E+01  3.205E-01 
1.148E+00   1.010E+01  3.208E-01 
1.162E+00   1.016E+01  3.210E-01 
1.175E+00   1.022E+01  3.213E-01 
1.189E+00   1.028E+01  3.215E-01 
1.203E+00   1.034E+01  3.218E-01 
1.217E+00   1.040E+01  3.220E-01 
1.231E+00   1.046E+01  3.222E-01 
1.245E+00   1.052E+01  3.224E-01 
1.259E+00   1.058E+01  3.226E-01 
1.274E+00   1.064E+01  3.228E-01 
1.289E+00   1.070E+01  3.230E-01 
1.304E+00   1.076E+01  3.232E-01 
1.319E+00   1.082E+01  3.234E-01 
1.334E+00   1.089E+01  3.236E-01 
1.350E+00   1.095E+01  3.238E-01 
1.365E+00   1.101E+01  3.240E-01 
1.381E+00   1.108E+01  3.241E-01 
1.397E+00   1.114E+01  3.243E-01 
1.413E+00   1.121E+01  3.244E-01 
1.430E+00   1.127E+01  3.246E-01 
1.446E+00   1.134E+01  3.247E-01 
1.463E+00   1.140E+01  3.249E-01 
1.480E+00   1.147E+01  3.250E-01 
1.497E+00   1.153E+01  3.251E-01 
1.515E+00   1.160E+01  3.252E-01 
1.532E+00   1.167E+01  3.254E-01 
1.550E+00   1.173E+01  3.255E-01 
1.568E+00   1.180E+01  3.256E-01 
1.586E+00   1.187E+01  3.257E-01 
1.605E+00   1.194E+01  3.257E-01 
1.623E+00   1.201E+01  3.258E-01 
1.642E+00   1.208E+01  3.259E-01 
1.661E+00   1.215E+01  3.260E-01 
1.680E+00   1.222E+01  3.260E-01 
1.700E+00   1.229E+01  3.261E-01 
1.719E+00   1.236E+01  3.261E-01 
1.739E+00   1.243E+01  3.262E-01 
1.760E+00   1.250E+01  3.262E-01 
1.780E+00   1.258E+01  3.263E-01 
1.801E+00   1.265E+01  3.263E-01 
1.822E+00   1.272E+01  3.263E-01 
1.843E+00   1.279E+01  3.263E-01 
