Ion = Hydrogen    . Mass = 1.0079
Tgt = Ba (Solid). Density = 3.51 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   9.253E+00  3.093E-01 
1.012E+00   9.307E+00  3.097E-01 
1.023E+00   9.361E+00  3.100E-01 
1.035E+00   9.415E+00  3.103E-01 
1.047E+00   9.469E+00  3.106E-01 
1.059E+00   9.524E+00  3.109E-01 
1.072E+00   9.579E+00  3.112E-01 
1.084E+00   9.635E+00  3.115E-01 
1.097E+00   9.690E+00  3.118E-01 
1.109E+00   9.746E+00  3.121E-01 
1.122E+00   9.803E+00  3.123E-01 
1.135E+00   9.859E+00  3.126E-01 
1.148E+00   9.916E+00  3.129E-01 
1.162E+00   9.974E+00  3.131E-01 
1.175E+00   1.003E+01  3.134E-01 
1.189E+00   1.009E+01  3.137E-01 
1.203E+00   1.015E+01  3.139E-01 
1.217E+00   1.021E+01  3.141E-01 
1.231E+00   1.027E+01  3.144E-01 
1.245E+00   1.032E+01  3.146E-01 
1.259E+00   1.038E+01  3.148E-01 
1.274E+00   1.044E+01  3.150E-01 
1.289E+00   1.050E+01  3.153E-01 
1.304E+00   1.057E+01  3.155E-01 
1.319E+00   1.063E+01  3.157E-01 
1.334E+00   1.069E+01  3.159E-01 
1.350E+00   1.075E+01  3.161E-01 
1.365E+00   1.081E+01  3.162E-01 
1.381E+00   1.087E+01  3.164E-01 
1.397E+00   1.094E+01  3.166E-01 
1.413E+00   1.100E+01  3.168E-01 
1.430E+00   1.106E+01  3.169E-01 
1.446E+00   1.113E+01  3.171E-01 
1.463E+00   1.119E+01  3.172E-01 
1.480E+00   1.126E+01  3.174E-01 
1.497E+00   1.132E+01  3.175E-01 
1.515E+00   1.139E+01  3.177E-01 
1.532E+00   1.145E+01  3.178E-01 
1.550E+00   1.152E+01  3.179E-01 
1.568E+00   1.159E+01  3.180E-01 
1.586E+00   1.165E+01  3.181E-01 
1.605E+00   1.172E+01  3.182E-01 
1.623E+00   1.179E+01  3.183E-01 
1.642E+00   1.186E+01  3.184E-01 
1.661E+00   1.193E+01  3.185E-01 
1.680E+00   1.199E+01  3.186E-01 
1.700E+00   1.206E+01  3.187E-01 
1.719E+00   1.213E+01  3.187E-01 
1.739E+00   1.220E+01  3.188E-01 
1.760E+00   1.227E+01  3.189E-01 
1.780E+00   1.235E+01  3.189E-01 
1.801E+00   1.242E+01  3.190E-01 
1.822E+00   1.249E+01  3.190E-01 
1.843E+00   1.256E+01  3.190E-01 
1.864E+00   1.263E+01  3.190E-01 
1.886E+00   1.271E+01  3.191E-01 
1.908E+00   1.278E+01  3.191E-01 
1.930E+00   1.285E+01  3.191E-01 
1.952E+00   1.293E+01  3.191E-01 
1.975E+00   1.300E+01  3.191E-01 
1.998E+00   1.308E+01  3.191E-01 
2.021E+00   1.315E+01  3.190E-01 
2.044E+00   1.322E+01  3.190E-01 
2.068E+00   1.328E+01  3.190E-01 
2.092E+00   1.335E+01  3.189E-01 
2.116E+00   1.342E+01  3.189E-01 
2.141E+00   1.348E+01  3.188E-01 
2.166E+00   1.355E+01  3.188E-01 
2.191E+00   1.362E+01  3.187E-01 
2.216E+00   1.369E+01  3.186E-01 
2.242E+00   1.376E+01  3.186E-01 
2.268E+00   1.383E+01  3.185E-01 
2.294E+00   1.390E+01  3.184E-01 
2.321E+00   1.397E+01  3.183E-01 
2.348E+00   1.404E+01  3.182E-01 
2.375E+00   1.411E+01  3.181E-01 
2.402E+00   1.418E+01  3.180E-01 
2.430E+00   1.425E+01  3.178E-01 
2.458E+00   1.432E+01  3.177E-01 
2.487E+00   1.440E+01  3.176E-01 
2.516E+00   1.447E+01  3.174E-01 
2.545E+00   1.454E+01  3.173E-01 
2.574E+00   1.462E+01  3.171E-01 
