Ion = Hydrogen    . Mass = 1.0079
Tgt = La (Solid). Density = 6.1738 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.890E+00  3.089E-01 
1.012E+00   7.935E+00  3.092E-01 
1.023E+00   7.981E+00  3.095E-01 
1.035E+00   8.027E+00  3.098E-01 
1.047E+00   8.074E+00  3.101E-01 
1.059E+00   8.121E+00  3.104E-01 
1.072E+00   8.168E+00  3.107E-01 
1.084E+00   8.215E+00  3.109E-01 
1.097E+00   8.262E+00  3.112E-01 
1.109E+00   8.310E+00  3.115E-01 
1.122E+00   8.358E+00  3.118E-01 
1.135E+00   8.406E+00  3.120E-01 
1.148E+00   8.455E+00  3.123E-01 
1.162E+00   8.504E+00  3.125E-01 
1.175E+00   8.553E+00  3.128E-01 
1.189E+00   8.603E+00  3.130E-01 
1.203E+00   8.652E+00  3.133E-01 
1.217E+00   8.702E+00  3.135E-01 
1.231E+00   8.753E+00  3.137E-01 
1.245E+00   8.803E+00  3.140E-01 
1.259E+00   8.854E+00  3.142E-01 
1.274E+00   8.905E+00  3.144E-01 
1.289E+00   8.957E+00  3.146E-01 
1.304E+00   9.009E+00  3.148E-01 
1.319E+00   9.061E+00  3.150E-01 
1.334E+00   9.113E+00  3.152E-01 
1.350E+00   9.166E+00  3.154E-01 
1.365E+00   9.219E+00  3.155E-01 
1.381E+00   9.272E+00  3.157E-01 
1.397E+00   9.326E+00  3.159E-01 
1.413E+00   9.380E+00  3.161E-01 
1.430E+00   9.434E+00  3.162E-01 
1.446E+00   9.489E+00  3.164E-01 
1.463E+00   9.543E+00  3.165E-01 
1.480E+00   9.599E+00  3.167E-01 
1.497E+00   9.654E+00  3.168E-01 
1.515E+00   9.710E+00  3.169E-01 
1.532E+00   9.766E+00  3.170E-01 
1.550E+00   9.823E+00  3.172E-01 
1.568E+00   9.879E+00  3.173E-01 
1.586E+00   9.937E+00  3.174E-01 
1.605E+00   9.994E+00  3.175E-01 
1.623E+00   1.005E+01  3.176E-01 
1.642E+00   1.011E+01  3.177E-01 
1.661E+00   1.017E+01  3.178E-01 
1.680E+00   1.023E+01  3.178E-01 
1.700E+00   1.029E+01  3.179E-01 
1.719E+00   1.035E+01  3.180E-01 
1.739E+00   1.041E+01  3.180E-01 
1.760E+00   1.047E+01  3.181E-01 
1.780E+00   1.053E+01  3.181E-01 
1.801E+00   1.059E+01  3.182E-01 
1.822E+00   1.065E+01  3.182E-01 
1.843E+00   1.071E+01  3.182E-01 
1.864E+00   1.077E+01  3.183E-01 
1.886E+00   1.083E+01  3.183E-01 
1.908E+00   1.090E+01  3.183E-01 
1.930E+00   1.096E+01  3.183E-01 
1.952E+00   1.102E+01  3.183E-01 
1.975E+00   1.109E+01  3.183E-01 
1.998E+00   1.115E+01  3.183E-01 
2.021E+00   1.121E+01  3.183E-01 
2.044E+00   1.127E+01  3.182E-01 
2.068E+00   1.132E+01  3.182E-01 
2.092E+00   1.138E+01  3.182E-01 
2.116E+00   1.143E+01  3.181E-01 
2.141E+00   1.149E+01  3.181E-01 
2.166E+00   1.155E+01  3.180E-01 
2.191E+00   1.160E+01  3.179E-01 
2.216E+00   1.166E+01  3.179E-01 
2.242E+00   1.172E+01  3.178E-01 
2.268E+00   1.178E+01  3.177E-01 
2.294E+00   1.184E+01  3.176E-01 
2.321E+00   1.189E+01  3.175E-01 
2.348E+00   1.195E+01  3.174E-01 
2.375E+00   1.201E+01  3.173E-01 
2.402E+00   1.207E+01  3.172E-01 
2.430E+00   1.213E+01  3.171E-01 
2.458E+00   1.219E+01  3.169E-01 
2.487E+00   1.225E+01  3.168E-01 
2.516E+00   1.232E+01  3.167E-01 
2.545E+00   1.238E+01  3.165E-01 
2.574E+00   1.244E+01  3.164E-01 
2.604E+00   1.250E+01  3.162E-01 
2.635E+00   1.257E+01  3.160E-01 
2.665E+00   1.263E+01  3.158E-01 
2.696E+00   1.269E+01  3.157E-01 
2.727E+00   1.276E+01  3.155E-01 
2.759E+00   1.282E+01  3.153E-01 
2.791E+00   1.289E+01  3.151E-01 
2.823E+00   1.295E+01  3.149E-01 
2.856E+00   1.302E+01  3.147E-01 
2.889E+00   1.308E+01  3.144E-01 
2.923E+00   1.315E+01  3.142E-01 
2.957E+00   1.322E+01  3.140E-01 
2.991E+00   1.328E+01  3.137E-01 
3.026E+00   1.335E+01  3.135E-01 
3.061E+00   1.342E+01  3.132E-01 
3.096E+00   1.349E+01  3.130E-01 
3.132E+00   1.356E+01  3.127E-01 
3.168E+00   1.363E+01  3.124E-01 
3.205E+00   1.370E+01  3.121E-01 
3.242E+00   1.377E+01  3.118E-01 
3.280E+00   1.384E+01  3.115E-01 
3.318E+00   1.391E+01  3.112E-01 
3.356E+00   1.398E+01  3.109E-01 
3.395E+00   1.406E+01  3.106E-01 
3.435E+00   1.413E+01  3.103E-01 
3.475E+00   1.420E+01  3.100E-01 
3.515E+00   1.428E+01  3.096E-01 
3.556E+00   1.435E+01  3.093E-01 
3.597E+00   1.442E+01  3.089E-01 
3.639E+00   1.450E+01  3.086E-01 
3.681E+00   1.458E+01  3.082E-01 
3.724E+00   1.465E+01  3.078E-01 
3.767E+00   1.473E+01  3.075E-01 
3.810E+00   1.481E+01  3.071E-01 
3.855E+00   1.488E+01  3.067E-01 
3.899E+00   1.496E+01  3.063E-01 
3.945E+00   1.504E+01  3.059E-01 
3.990E+00   1.512E+01  3.055E-01 
4.037E+00   1.520E+01  3.051E-01 
4.083E+00   1.528E+01  3.046E-01 
4.131E+00   1.536E+01  3.042E-01 
4.179E+00   1.544E+01  3.038E-01 
4.227E+00   1.552E+01  3.033E-01 
4.276E+00   1.561E+01  3.029E-01 
4.326E+00   1.569E+01  3.024E-01 
4.376E+00   1.577E+01  3.019E-01 
4.427E+00   1.586E+01  3.015E-01 
4.478E+00   1.594E+01  3.010E-01 
4.530E+00   1.603E+01  3.005E-01 
4.583E+00   1.611E+01  3.000E-01 
4.636E+00   1.620E+01  2.995E-01 
4.690E+00   1.628E+01  2.990E-01 
4.744E+00   1.637E+01  2.985E-01 
4.799E+00   1.646E+01  2.980E-01 
4.855E+00   1.655E+01  2.975E-01 
4.911E+00   1.664E+01  2.969E-01 
4.968E+00   1.673E+01  2.964E-01 
5.026E+00   1.682E+01  2.959E-01 
5.084E+00   1.691E+01  2.953E-01 
5.143E+00   1.700E+01  2.948E-01 
5.202E+00   1.709E+01  2.942E-01 
5.263E+00   1.718E+01  2.936E-01 
5.324E+00   1.728E+01  2.931E-01 
5.386E+00   1.737E+01  2.925E-01 
5.448E+00   1.746E+01  2.919E-01 
5.511E+00   1.756E+01  2.913E-01 
5.575E+00   1.765E+01  2.907E-01 
5.640E+00   1.775E+01  2.901E-01 
5.705E+00   1.785E+01  2.895E-01 
5.771E+00   1.795E+01  2.889E-01 
5.838E+00   1.804E+01  2.883E-01 
5.906E+00   1.814E+01  2.876E-01 
5.975E+00   1.824E+01  2.870E-01 
6.044E+00   1.834E+01  2.864E-01 
6.114E+00   1.844E+01  2.857E-01 
6.185E+00   1.854E+01  2.851E-01 
6.257E+00   1.865E+01  2.844E-01 
6.329E+00   1.875E+01  2.838E-01 
6.403E+00   1.885E+01  2.831E-01 
6.477E+00   1.896E+01  2.824E-01 
6.552E+00   1.906E+01  2.817E-01 
6.628E+00   1.917E+01  2.811E-01 
6.705E+00   1.927E+01  2.804E-01 
6.783E+00   1.938E+01  2.797E-01 
6.861E+00   1.949E+01  2.790E-01 
6.941E+00   1.960E+01  2.783E-01 
7.021E+00   1.971E+01  2.776E-01 
7.103E+00   1.982E+01  2.768E-01 
7.185E+00   1.993E+01  2.761E-01 
7.269E+00   2.004E+01  2.754E-01 
7.353E+00   2.015E+01  2.747E-01 
7.438E+00   2.026E+01  2.739E-01 
7.524E+00   2.038E+01  2.732E-01 
7.612E+00   2.049E+01  2.724E-01 
7.700E+00   2.061E+01  2.717E-01 
7.789E+00   2.072E+01  2.709E-01 
7.880E+00   2.084E+01  2.702E-01 
7.971E+00   2.096E+01  2.694E-01 
8.064E+00   2.107E+01  2.686E-01 
8.157E+00   2.119E+01  2.678E-01 
8.252E+00   2.131E+01  2.671E-01 
8.347E+00   2.143E+01  2.663E-01 
8.444E+00   2.155E+01  2.655E-01 
8.542E+00   2.168E+01  2.647E-01 
8.641E+00   2.180E+01  2.639E-01 
8.741E+00   2.192E+01  2.631E-01 
8.843E+00   2.205E+01  2.623E-01 
8.945E+00   2.217E+01  2.615E-01 
9.049E+00   2.230E+01  2.607E-01 
9.154E+00   2.243E+01  2.598E-01 
9.260E+00   2.256E+01  2.590E-01 
9.368E+00   2.268E+01  2.582E-01 
9.476E+00   2.281E+01  2.574E-01 
9.586E+00   2.294E+01  2.565E-01 
9.698E+00   2.308E+01  2.557E-01 
9.810E+00   2.321E+01  2.548E-01 
9.924E+00   2.334E+01  2.540E-01 
1.004E+01   2.348E+01  2.531E-01 
1.016E+01   2.361E+01  2.523E-01 
1.027E+01   2.375E+01  2.514E-01 
1.039E+01   2.388E+01  2.506E-01 
1.051E+01   2.402E+01  2.497E-01 
1.063E+01   2.416E+01  2.488E-01 
1.076E+01   2.430E+01  2.479E-01 
1.088E+01   2.444E+01  2.471E-01 
1.101E+01   2.458E+01  2.462E-01 
1.114E+01   2.472E+01  2.453E-01 
1.127E+01   2.487E+01  2.444E-01 
1.140E+01   2.501E+01  2.435E-01 
1.153E+01   2.516E+01  2.426E-01 
1.166E+01   2.530E+01  2.418E-01 
1.180E+01   2.545E+01  2.409E-01 
1.193E+01   2.560E+01  2.400E-01 
1.207E+01   2.575E+01  2.391E-01 
1.221E+01   2.590E+01  2.381E-01 
1.235E+01   2.605E+01  2.372E-01 
1.250E+01   2.620E+01  2.363E-01 
1.264E+01   2.635E+01  2.354E-01 
1.279E+01   2.651E+01  2.345E-01 
1.294E+01   2.666E+01  2.336E-01 
1.309E+01   2.682E+01  2.327E-01 
1.324E+01   2.697E+01  2.317E-01 
1.339E+01   2.713E+01  2.308E-01 
1.355E+01   2.729E+01  2.299E-01 
1.371E+01   2.745E+01  2.290E-01 
1.387E+01   2.761E+01  2.280E-01 
1.403E+01   2.777E+01  2.271E-01 
1.419E+01   2.794E+01  2.262E-01 
1.435E+01   2.810E+01  2.252E-01 
1.452E+01   2.826E+01  2.243E-01 
1.469E+01   2.843E+01  2.234E-01 
1.486E+01   2.860E+01  2.224E-01 
1.503E+01   2.877E+01  2.215E-01 
1.521E+01   2.893E+01  2.205E-01 
1.538E+01   2.911E+01  2.196E-01 
1.556E+01   2.928E+01  2.186E-01 
1.574E+01   2.945E+01  2.177E-01 
1.592E+01   2.962E+01  2.167E-01 
1.611E+01   2.980E+01  2.158E-01 
1.629E+01   2.997E+01  2.148E-01 
1.648E+01   3.015E+01  2.139E-01 
1.667E+01   3.033E+01  2.129E-01 
1.687E+01   3.050E+01  2.120E-01 
1.706E+01   3.068E+01  2.110E-01 
1.726E+01   3.087E+01  2.101E-01 
1.746E+01   3.105E+01  2.091E-01 
1.766E+01   3.123E+01  2.081E-01 
1.787E+01   3.141E+01  2.072E-01 
1.808E+01   3.160E+01  2.062E-01 
1.829E+01   3.178E+01  2.053E-01 
1.850E+01   3.197E+01  2.043E-01 
1.871E+01   3.216E+01  2.034E-01 
1.893E+01   3.235E+01  2.024E-01 
1.915E+01   3.254E+01  2.014E-01 
1.937E+01   3.273E+01  2.005E-01 
1.960E+01   3.292E+01  1.995E-01 
1.982E+01   3.312E+01  1.985E-01 
2.005E+01   3.331E+01  1.976E-01 
2.029E+01   3.351E+01  1.966E-01 
2.052E+01   3.370E+01  1.957E-01 
2.076E+01   3.390E+01  1.947E-01 
2.100E+01   3.410E+01  1.937E-01 
2.124E+01   3.430E+01  1.928E-01 
2.149E+01   3.450E+01  1.918E-01 
2.174E+01   3.470E+01  1.909E-01 
2.199E+01   3.490E+01  1.899E-01 
2.225E+01   3.511E+01  1.889E-01 
2.250E+01   3.531E+01  1.880E-01 
2.277E+01   3.552E+01  1.870E-01 
