Ion = Hydrogen    . Mass = 1.0079
Tgt = Ce (Solid). Density = 6.6724 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.998E+00  3.118E-01 
1.012E+00   8.045E+00  3.121E-01 
1.023E+00   8.091E+00  3.124E-01 
1.035E+00   8.138E+00  3.128E-01 
1.047E+00   8.185E+00  3.131E-01 
1.059E+00   8.232E+00  3.134E-01 
1.072E+00   8.280E+00  3.137E-01 
1.084E+00   8.328E+00  3.140E-01 
1.097E+00   8.376E+00  3.143E-01 
1.109E+00   8.424E+00  3.145E-01 
1.122E+00   8.473E+00  3.148E-01 
1.135E+00   8.522E+00  3.151E-01 
1.148E+00   8.571E+00  3.154E-01 
1.162E+00   8.621E+00  3.156E-01 
1.175E+00   8.671E+00  3.159E-01 
1.189E+00   8.721E+00  3.161E-01 
1.203E+00   8.771E+00  3.164E-01 
1.217E+00   8.822E+00  3.166E-01 
1.231E+00   8.873E+00  3.169E-01 
1.245E+00   8.924E+00  3.171E-01 
1.259E+00   8.976E+00  3.173E-01 
1.274E+00   9.028E+00  3.175E-01 
1.289E+00   9.080E+00  3.178E-01 
1.304E+00   9.133E+00  3.180E-01 
1.319E+00   9.185E+00  3.182E-01 
1.334E+00   9.239E+00  3.184E-01 
1.350E+00   9.292E+00  3.186E-01 
1.365E+00   9.346E+00  3.188E-01 
1.381E+00   9.400E+00  3.189E-01 
1.397E+00   9.454E+00  3.191E-01 
1.413E+00   9.509E+00  3.193E-01 
1.430E+00   9.564E+00  3.195E-01 
1.446E+00   9.619E+00  3.196E-01 
1.463E+00   9.675E+00  3.198E-01 
1.480E+00   9.731E+00  3.199E-01 
1.497E+00   9.787E+00  3.201E-01 
1.515E+00   9.844E+00  3.202E-01 
1.532E+00   9.900E+00  3.204E-01 
1.550E+00   9.958E+00  3.205E-01 
1.568E+00   1.002E+01  3.206E-01 
1.586E+00   1.007E+01  3.207E-01 
1.605E+00   1.013E+01  3.208E-01 
1.623E+00   1.019E+01  3.209E-01 
1.642E+00   1.025E+01  3.210E-01 
1.661E+00   1.031E+01  3.211E-01 
1.680E+00   1.037E+01  3.212E-01 
1.700E+00   1.043E+01  3.213E-01 
1.719E+00   1.049E+01  3.214E-01 
1.739E+00   1.055E+01  3.214E-01 
1.760E+00   1.061E+01  3.215E-01 
1.780E+00   1.067E+01  3.215E-01 
1.801E+00   1.073E+01  3.216E-01 
1.822E+00   1.079E+01  3.216E-01 
1.843E+00   1.086E+01  3.217E-01 
1.864E+00   1.092E+01  3.217E-01 
1.886E+00   1.098E+01  3.217E-01 
1.908E+00   1.105E+01  3.218E-01 
1.930E+00   1.111E+01  3.218E-01 
1.952E+00   1.117E+01  3.218E-01 
1.975E+00   1.124E+01  3.218E-01 
1.998E+00   1.130E+01  3.218E-01 
2.021E+00   1.137E+01  3.218E-01 
2.044E+00   1.142E+01  3.217E-01 
2.068E+00   1.147E+01  3.217E-01 
2.092E+00   1.153E+01  3.217E-01 
2.116E+00   1.158E+01  3.216E-01 
2.141E+00   1.164E+01  3.216E-01 
2.166E+00   1.169E+01  3.215E-01 
2.191E+00   1.175E+01  3.215E-01 
2.216E+00   1.180E+01  3.214E-01 
2.242E+00   1.186E+01  3.214E-01 
2.268E+00   1.192E+01  3.213E-01 
2.294E+00   1.197E+01  3.212E-01 
2.321E+00   1.203E+01  3.211E-01 
2.348E+00   1.209E+01  3.210E-01 
2.375E+00   1.215E+01  3.209E-01 
2.402E+00   1.220E+01  3.208E-01 
2.430E+00   1.226E+01  3.207E-01 
2.458E+00   1.232E+01  3.206E-01 
2.487E+00   1.238E+01  3.204E-01 
2.516E+00   1.244E+01  3.203E-01 
2.545E+00   1.250E+01  3.201E-01 
2.574E+00   1.256E+01  3.200E-01 
2.604E+00   1.262E+01  3.198E-01 
2.635E+00   1.268E+01  3.197E-01 
2.665E+00   1.274E+01  3.195E-01 
2.696E+00   1.281E+01  3.193E-01 
2.727E+00   1.287E+01  3.191E-01 
2.759E+00   1.293E+01  3.190E-01 
2.791E+00   1.299E+01  3.188E-01 
2.823E+00   1.306E+01  3.186E-01 
2.856E+00   1.312E+01  3.184E-01 
2.889E+00   1.319E+01  3.181E-01 
2.923E+00   1.325E+01  3.179E-01 
2.957E+00   1.332E+01  3.177E-01 
2.991E+00   1.338E+01  3.174E-01 
3.026E+00   1.345E+01  3.172E-01 
3.061E+00   1.351E+01  3.169E-01 
3.096E+00   1.358E+01  3.167E-01 
3.132E+00   1.365E+01  3.164E-01 
3.168E+00   1.371E+01  3.162E-01 
3.205E+00   1.378E+01  3.159E-01 
3.242E+00   1.385E+01  3.156E-01 
3.280E+00   1.392E+01  3.153E-01 
3.318E+00   1.399E+01  3.150E-01 
3.356E+00   1.406E+01  3.147E-01 
3.395E+00   1.413E+01  3.144E-01 
3.435E+00   1.420E+01  3.141E-01 
3.475E+00   1.427E+01  3.137E-01 
3.515E+00   1.434E+01  3.134E-01 
3.556E+00   1.441E+01  3.131E-01 
3.597E+00   1.448E+01  3.127E-01 
3.639E+00   1.455E+01  3.124E-01 
3.681E+00   1.463E+01  3.120E-01 
3.724E+00   1.470E+01  3.116E-01 
3.767E+00   1.477E+01  3.113E-01 
3.810E+00   1.485E+01  3.109E-01 
3.855E+00   1.492E+01  3.105E-01 
3.899E+00   1.500E+01  3.101E-01 
3.945E+00   1.507E+01  3.097E-01 
3.990E+00   1.515E+01  3.093E-01 
4.037E+00   1.523E+01  3.089E-01 
4.083E+00   1.530E+01  3.085E-01 
4.131E+00   1.538E+01  3.080E-01 
4.179E+00   1.546E+01  3.076E-01 
4.227E+00   1.554E+01  3.072E-01 
4.276E+00   1.562E+01  3.067E-01 
4.326E+00   1.569E+01  3.063E-01 
4.376E+00   1.577E+01  3.058E-01 
4.427E+00   1.585E+01  3.053E-01 
4.478E+00   1.594E+01  3.049E-01 
4.530E+00   1.602E+01  3.044E-01 
4.583E+00   1.610E+01  3.039E-01 
4.636E+00   1.618E+01  3.034E-01 
4.690E+00   1.626E+01  3.029E-01 
4.744E+00   1.635E+01  3.024E-01 
4.799E+00   1.643E+01  3.019E-01 
4.855E+00   1.651E+01  3.014E-01 
4.911E+00   1.660E+01  3.008E-01 
4.968E+00   1.668E+01  3.003E-01 
5.026E+00   1.677E+01  2.998E-01 
5.084E+00   1.686E+01  2.992E-01 
5.143E+00   1.694E+01  2.987E-01 
5.202E+00   1.703E+01  2.981E-01 
5.263E+00   1.712E+01  2.975E-01 
5.324E+00   1.721E+01  2.970E-01 
5.386E+00   1.730E+01  2.964E-01 
5.448E+00   1.738E+01  2.958E-01 
5.511E+00   1.747E+01  2.952E-01 
5.575E+00   1.756E+01  2.946E-01 
5.640E+00   1.766E+01  2.940E-01 
