Ion = Hydrogen    . Mass = 1.0079
Tgt = Pr (Solid). Density = 6.773 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.774E+00  3.087E-01 
1.012E+00   7.819E+00  3.090E-01 
1.023E+00   7.864E+00  3.093E-01 
1.035E+00   7.910E+00  3.096E-01 
1.047E+00   7.955E+00  3.099E-01 
1.059E+00   8.001E+00  3.102E-01 
1.072E+00   8.048E+00  3.105E-01 
1.084E+00   8.094E+00  3.107E-01 
1.097E+00   8.141E+00  3.110E-01 
1.109E+00   8.188E+00  3.113E-01 
1.122E+00   8.235E+00  3.116E-01 
1.135E+00   8.283E+00  3.118E-01 
1.148E+00   8.331E+00  3.121E-01 
1.162E+00   8.379E+00  3.124E-01 
1.175E+00   8.427E+00  3.126E-01 
1.189E+00   8.476E+00  3.128E-01 
1.203E+00   8.525E+00  3.131E-01 
1.217E+00   8.574E+00  3.133E-01 
1.231E+00   8.624E+00  3.136E-01 
1.245E+00   8.674E+00  3.138E-01 
1.259E+00   8.724E+00  3.140E-01 
1.274E+00   8.775E+00  3.142E-01 
1.289E+00   8.825E+00  3.144E-01 
1.304E+00   8.876E+00  3.146E-01 
1.319E+00   8.928E+00  3.148E-01 
1.334E+00   8.979E+00  3.150E-01 
1.350E+00   9.031E+00  3.152E-01 
1.365E+00   9.083E+00  3.154E-01 
1.381E+00   9.136E+00  3.156E-01 
1.397E+00   9.189E+00  3.157E-01 
1.413E+00   9.242E+00  3.159E-01 
1.430E+00   9.295E+00  3.161E-01 
1.446E+00   9.349E+00  3.162E-01 
1.463E+00   9.403E+00  3.164E-01 
1.480E+00   9.458E+00  3.165E-01 
1.497E+00   9.512E+00  3.167E-01 
1.515E+00   9.567E+00  3.168E-01 
1.532E+00   9.623E+00  3.169E-01 
1.550E+00   9.678E+00  3.171E-01 
1.568E+00   9.734E+00  3.172E-01 
1.586E+00   9.791E+00  3.173E-01 
1.605E+00   9.847E+00  3.174E-01 
1.623E+00   9.904E+00  3.175E-01 
1.642E+00   9.961E+00  3.176E-01 
1.661E+00   1.002E+01  3.177E-01 
1.680E+00   1.008E+01  3.178E-01 
1.700E+00   1.014E+01  3.179E-01 
1.719E+00   1.019E+01  3.179E-01 
1.739E+00   1.025E+01  3.180E-01 
1.760E+00   1.031E+01  3.181E-01 
1.780E+00   1.037E+01  3.181E-01 
1.801E+00   1.043E+01  3.182E-01 
1.822E+00   1.049E+01  3.182E-01 
1.843E+00   1.055E+01  3.182E-01 
1.864E+00   1.061E+01  3.183E-01 
1.886E+00   1.068E+01  3.183E-01 
1.908E+00   1.074E+01  3.183E-01 
1.930E+00   1.080E+01  3.183E-01 
1.952E+00   1.086E+01  3.183E-01 
1.975E+00   1.092E+01  3.183E-01 
1.998E+00   1.099E+01  3.183E-01 
2.021E+00   1.105E+01  3.183E-01 
2.044E+00   1.110E+01  3.183E-01 
2.068E+00   1.116E+01  3.183E-01 
2.092E+00   1.122E+01  3.183E-01 
2.116E+00   1.127E+01  3.182E-01 
2.141E+00   1.133E+01  3.182E-01 
2.166E+00   1.139E+01  3.181E-01 
2.191E+00   1.145E+01  3.181E-01 
2.216E+00   1.150E+01  3.180E-01 
2.242E+00   1.156E+01  3.180E-01 
2.268E+00   1.162E+01  3.179E-01 
2.294E+00   1.168E+01  3.178E-01 
2.321E+00   1.174E+01  3.177E-01 
2.348E+00   1.180E+01  3.176E-01 
2.375E+00   1.186E+01  3.176E-01 
2.402E+00   1.192E+01  3.174E-01 
2.430E+00   1.198E+01  3.173E-01 
2.458E+00   1.204E+01  3.172E-01 
2.487E+00   1.211E+01  3.171E-01 
2.516E+00   1.217E+01  3.170E-01 
2.545E+00   1.223E+01  3.168E-01 
2.574E+00   1.229E+01  3.167E-01 
2.604E+00   1.236E+01  3.166E-01 
2.635E+00   1.242E+01  3.164E-01 
2.665E+00   1.249E+01  3.162E-01 
2.696E+00   1.255E+01  3.161E-01 
2.727E+00   1.262E+01  3.159E-01 
2.759E+00   1.268E+01  3.157E-01 
