Ion = Hydrogen    . Mass = 1.0079
Tgt =  C (Solid). Density = 2.253 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.775E+00  4.664E-01 
1.012E+00   2.791E+00  4.644E-01 
1.023E+00   2.807E+00  4.624E-01 
1.035E+00   2.823E+00  4.603E-01 
1.047E+00   2.839E+00  4.583E-01 
1.059E+00   2.856E+00  4.562E-01 
1.072E+00   2.872E+00  4.542E-01 
1.084E+00   2.889E+00  4.521E-01 
1.097E+00   2.906E+00  4.501E-01 
1.109E+00   2.922E+00  4.480E-01 
1.122E+00   2.939E+00  4.459E-01 
1.135E+00   2.956E+00  4.439E-01 
1.148E+00   2.973E+00  4.418E-01 
1.162E+00   2.991E+00  4.398E-01 
1.175E+00   3.008E+00  4.377E-01 
1.189E+00   3.025E+00  4.356E-01 
1.203E+00   3.043E+00  4.336E-01 
1.217E+00   3.060E+00  4.315E-01 
1.231E+00   3.078E+00  4.294E-01 
1.245E+00   3.096E+00  4.274E-01 
1.259E+00   3.114E+00  4.253E-01 
1.274E+00   3.132E+00  4.232E-01 
1.289E+00   3.150E+00  4.211E-01 
1.304E+00   3.168E+00  4.191E-01 
1.319E+00   3.186E+00  4.170E-01 
1.334E+00   3.205E+00  4.149E-01 
1.350E+00   3.223E+00  4.129E-01 
1.365E+00   3.242E+00  4.108E-01 
1.381E+00   3.261E+00  4.087E-01 
1.397E+00   3.280E+00  4.067E-01 
1.413E+00   3.299E+00  4.046E-01 
1.430E+00   3.318E+00  4.025E-01 
1.446E+00   3.337E+00  4.005E-01 
1.463E+00   3.356E+00  3.984E-01 
1.480E+00   3.375E+00  3.963E-01 
1.497E+00   3.395E+00  3.943E-01 
1.515E+00   3.415E+00  3.922E-01 
1.532E+00   3.434E+00  3.902E-01 
1.550E+00   3.454E+00  3.881E-01 
1.568E+00   3.474E+00  3.860E-01 
1.586E+00   3.494E+00  3.840E-01 
1.605E+00   3.515E+00  3.819E-01 
1.623E+00   3.535E+00  3.799E-01 
1.642E+00   3.555E+00  3.779E-01 
1.661E+00   3.576E+00  3.758E-01 
1.680E+00   3.597E+00  3.738E-01 
1.700E+00   3.617E+00  3.717E-01 
1.719E+00   3.638E+00  3.697E-01 
1.739E+00   3.659E+00  3.677E-01 
1.760E+00   3.680E+00  3.656E-01 
1.780E+00   3.702E+00  3.636E-01 
1.801E+00   3.723E+00  3.616E-01 
1.822E+00   3.745E+00  3.596E-01 
1.843E+00   3.766E+00  3.576E-01 
1.864E+00   3.788E+00  3.556E-01 
1.886E+00   3.810E+00  3.536E-01 
1.908E+00   3.832E+00  3.515E-01 
1.930E+00   3.854E+00  3.495E-01 
1.952E+00   3.876E+00  3.476E-01 
1.975E+00   3.899E+00  3.456E-01 
1.998E+00   3.921E+00  3.436E-01 
2.021E+00   3.944E+00  3.416E-01 
2.044E+00   3.965E+00  3.396E-01 
2.068E+00   3.986E+00  3.376E-01 
2.092E+00   4.008E+00  3.357E-01 
2.116E+00   4.029E+00  3.337E-01 
2.141E+00   4.051E+00  3.317E-01 
2.166E+00   4.072E+00  3.298E-01 
2.191E+00   4.094E+00  3.278E-01 
2.216E+00   4.116E+00  3.259E-01 
2.242E+00   4.138E+00  3.240E-01 
2.268E+00   4.161E+00  3.220E-01 
2.294E+00   4.183E+00  3.201E-01 
2.321E+00   4.206E+00  3.182E-01 
2.348E+00   4.228E+00  3.162E-01 
2.375E+00   4.251E+00  3.143E-01 
2.402E+00   4.274E+00  3.124E-01 
2.430E+00   4.297E+00  3.105E-01 
2.458E+00   4.320E+00  3.086E-01 
2.487E+00   4.343E+00  3.067E-01 
2.516E+00   4.367E+00  3.048E-01 
2.545E+00   4.390E+00  3.030E-01 
2.574E+00   4.414E+00  3.011E-01 
2.604E+00   4.437E+00  2.992E-01 
2.635E+00   4.461E+00  2.973E-01 
2.665E+00   4.485E+00  2.955E-01 
2.696E+00   4.510E+00  2.936E-01 
2.727E+00   4.534E+00  2.918E-01 
2.759E+00   4.558E+00  2.899E-01 
2.791E+00   4.583E+00  2.881E-01 
2.823E+00   4.608E+00  2.863E-01 
2.856E+00   4.632E+00  2.845E-01 
2.889E+00   4.657E+00  2.826E-01 
2.923E+00   4.682E+00  2.808E-01 
2.957E+00   4.708E+00  2.790E-01 
2.991E+00   4.733E+00  2.772E-01 
3.026E+00   4.759E+00  2.755E-01 
3.061E+00   4.784E+00  2.737E-01 
3.096E+00   4.810E+00  2.719E-01 
3.132E+00   4.836E+00  2.701E-01 
3.168E+00   4.862E+00  2.684E-01 
3.205E+00   4.888E+00  2.666E-01 
3.242E+00   4.915E+00  2.649E-01 
3.280E+00   4.941E+00  2.631E-01 
3.318E+00   4.968E+00  2.614E-01 
3.356E+00   4.995E+00  2.597E-01 
3.395E+00   5.022E+00  2.579E-01 
3.435E+00   5.049E+00  2.562E-01 
3.475E+00   5.076E+00  2.545E-01 
3.515E+00   5.103E+00  2.528E-01 
