Ion = Hydrogen    . Mass = 1.0079
Tgt = Nd (Solid). Density = 7.008 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.336E+00  3.084E-01 
1.012E+00   7.379E+00  3.088E-01 
1.023E+00   7.421E+00  3.091E-01 
1.035E+00   7.464E+00  3.094E-01 
1.047E+00   7.507E+00  3.097E-01 
1.059E+00   7.551E+00  3.101E-01 
1.072E+00   7.594E+00  3.104E-01 
1.084E+00   7.638E+00  3.107E-01 
1.097E+00   7.683E+00  3.110E-01 
1.109E+00   7.727E+00  3.113E-01 
1.122E+00   7.772E+00  3.116E-01 
1.135E+00   7.817E+00  3.119E-01 
1.148E+00   7.862E+00  3.122E-01 
1.162E+00   7.907E+00  3.124E-01 
1.175E+00   7.953E+00  3.127E-01 
1.189E+00   7.999E+00  3.130E-01 
1.203E+00   8.045E+00  3.133E-01 
1.217E+00   8.092E+00  3.135E-01 
1.231E+00   8.139E+00  3.138E-01 
1.245E+00   8.186E+00  3.140E-01 
1.259E+00   8.233E+00  3.143E-01 
1.274E+00   8.281E+00  3.145E-01 
1.289E+00   8.328E+00  3.148E-01 
1.304E+00   8.377E+00  3.150E-01 
1.319E+00   8.425E+00  3.152E-01 
1.334E+00   8.474E+00  3.154E-01 
1.350E+00   8.523E+00  3.156E-01 
1.365E+00   8.572E+00  3.158E-01 
1.381E+00   8.622E+00  3.161E-01 
1.397E+00   8.672E+00  3.162E-01 
1.413E+00   8.722E+00  3.164E-01 
1.430E+00   8.772E+00  3.166E-01 
1.446E+00   8.823E+00  3.168E-01 
1.463E+00   8.874E+00  3.170E-01 
1.480E+00   8.925E+00  3.172E-01 
1.497E+00   8.977E+00  3.173E-01 
1.515E+00   9.029E+00  3.175E-01 
1.532E+00   9.081E+00  3.176E-01 
1.550E+00   9.133E+00  3.178E-01 
1.568E+00   9.186E+00  3.179E-01 
1.586E+00   9.239E+00  3.181E-01 
1.605E+00   9.293E+00  3.182E-01 
1.623E+00   9.347E+00  3.183E-01 
1.642E+00   9.401E+00  3.184E-01 
1.661E+00   9.455E+00  3.186E-01 
1.680E+00   9.510E+00  3.187E-01 
1.700E+00   9.565E+00  3.188E-01 
1.719E+00   9.620E+00  3.189E-01 
1.739E+00   9.676E+00  3.190E-01 
1.760E+00   9.731E+00  3.190E-01 
1.780E+00   9.788E+00  3.191E-01 
1.801E+00   9.844E+00  3.192E-01 
1.822E+00   9.901E+00  3.193E-01 
1.843E+00   9.959E+00  3.193E-01 
1.864E+00   1.002E+01  3.194E-01 
1.886E+00   1.007E+01  3.194E-01 
1.908E+00   1.013E+01  3.195E-01 
1.930E+00   1.019E+01  3.195E-01 
1.952E+00   1.025E+01  3.195E-01 
1.975E+00   1.031E+01  3.195E-01 
1.998E+00   1.037E+01  3.196E-01 
2.021E+00   1.043E+01  3.196E-01 
2.044E+00   1.048E+01  3.196E-01 
2.068E+00   1.053E+01  3.196E-01 
2.092E+00   1.059E+01  3.196E-01 
2.116E+00   1.064E+01  3.196E-01 
2.141E+00   1.070E+01  3.195E-01 
2.166E+00   1.075E+01  3.195E-01 
2.191E+00   1.081E+01  3.195E-01 
2.216E+00   1.086E+01  3.194E-01 
2.242E+00   1.092E+01  3.194E-01 
2.268E+00   1.097E+01  3.193E-01 
2.294E+00   1.103E+01  3.193E-01 
2.321E+00   1.109E+01  3.192E-01 
2.348E+00   1.115E+01  3.192E-01 
2.375E+00   1.120E+01  3.191E-01 
2.402E+00   1.126E+01  3.190E-01 
2.430E+00   1.132E+01  3.189E-01 
2.458E+00   1.138E+01  3.188E-01 
2.487E+00   1.144E+01  3.187E-01 
2.516E+00   1.150E+01  3.186E-01 
2.545E+00   1.156E+01  3.185E-01 
2.574E+00   1.162E+01  3.184E-01 
2.604E+00   1.168E+01  3.182E-01 
2.635E+00   1.174E+01  3.181E-01 
2.665E+00   1.181E+01  3.179E-01 
2.696E+00   1.187E+01  3.178E-01 
2.727E+00   1.193E+01  3.176E-01 
2.759E+00   1.200E+01  3.175E-01 
2.791E+00   1.206E+01  3.173E-01 
2.823E+00   1.212E+01  3.171E-01 
2.856E+00   1.219E+01  3.170E-01 
2.889E+00   1.225E+01  3.168E-01 
2.923E+00   1.232E+01  3.166E-01 
2.957E+00   1.239E+01  3.164E-01 
2.991E+00   1.245E+01  3.162E-01 
3.026E+00   1.252E+01  3.159E-01 
3.061E+00   1.259E+01  3.157E-01 
3.096E+00   1.265E+01  3.155E-01 
3.132E+00   1.272E+01  3.152E-01 
3.168E+00   1.279E+01  3.150E-01 
3.205E+00   1.286E+01  3.148E-01 
3.242E+00   1.293E+01  3.145E-01 
3.280E+00   1.300E+01  3.142E-01 
3.318E+00   1.307E+01  3.140E-01 
3.356E+00   1.314E+01  3.137E-01 
3.395E+00   1.322E+01  3.134E-01 
3.435E+00   1.329E+01  3.131E-01 
3.475E+00   1.336E+01  3.128E-01 
3.515E+00   1.343E+01  3.125E-01 
3.556E+00   1.351E+01  3.122E-01 
3.597E+00   1.358E+01  3.119E-01 
3.639E+00   1.366E+01  3.116E-01 
3.681E+00   1.373E+01  3.112E-01 
3.724E+00   1.381E+01  3.109E-01 
3.767E+00   1.388E+01  3.105E-01 
3.810E+00   1.396E+01  3.102E-01 
3.855E+00   1.404E+01  3.098E-01 
3.899E+00   1.411E+01  3.095E-01 
3.945E+00   1.419E+01  3.091E-01 
3.990E+00   1.427E+01  3.087E-01 
4.037E+00   1.435E+01  3.083E-01 
4.083E+00   1.443E+01  3.079E-01 
4.131E+00   1.451E+01  3.075E-01 
4.179E+00   1.459E+01  3.071E-01 
4.227E+00   1.467E+01  3.067E-01 
4.276E+00   1.476E+01  3.063E-01 
4.326E+00   1.484E+01  3.059E-01 
4.376E+00   1.492E+01  3.055E-01 
4.427E+00   1.500E+01  3.050E-01 
4.478E+00   1.509E+01  3.046E-01 
4.530E+00   1.517E+01  3.041E-01 
4.583E+00   1.526E+01  3.037E-01 
4.636E+00   1.534E+01  3.032E-01 
4.690E+00   1.543E+01  3.027E-01 
4.744E+00   1.552E+01  3.022E-01 
4.799E+00   1.561E+01  3.018E-01 
4.855E+00   1.569E+01  3.013E-01 
4.911E+00   1.578E+01  3.008E-01 
4.968E+00   1.587E+01  3.003E-01 
5.026E+00   1.596E+01  2.998E-01 
5.084E+00   1.605E+01  2.992E-01 
5.143E+00   1.614E+01  2.987E-01 
5.202E+00   1.623E+01  2.982E-01 
5.263E+00   1.633E+01  2.976E-01 
5.324E+00   1.642E+01  2.971E-01 
5.386E+00   1.651E+01  2.966E-01 
5.448E+00   1.661E+01  2.960E-01 
