Ion = Hydrogen    . Mass = 1.0079
Tgt = Pm (Solid). Density = 6.475 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.979E+00  3.020E-01 
1.012E+00   8.025E+00  3.023E-01 
1.023E+00   8.072E+00  3.027E-01 
1.035E+00   8.119E+00  3.030E-01 
1.047E+00   8.165E+00  3.033E-01 
1.059E+00   8.213E+00  3.037E-01 
1.072E+00   8.260E+00  3.040E-01 
1.084E+00   8.308E+00  3.043E-01 
1.097E+00   8.356E+00  3.046E-01 
1.109E+00   8.404E+00  3.049E-01 
1.122E+00   8.453E+00  3.052E-01 
1.135E+00   8.502E+00  3.055E-01 
1.148E+00   8.551E+00  3.058E-01 
1.162E+00   8.600E+00  3.061E-01 
1.175E+00   8.650E+00  3.064E-01 
1.189E+00   8.700E+00  3.067E-01 
1.203E+00   8.751E+00  3.069E-01 
1.217E+00   8.801E+00  3.072E-01 
1.231E+00   8.852E+00  3.075E-01 
1.245E+00   8.903E+00  3.077E-01 
1.259E+00   8.955E+00  3.080E-01 
1.274E+00   9.006E+00  3.082E-01 
1.289E+00   9.059E+00  3.085E-01 
1.304E+00   9.111E+00  3.087E-01 
1.319E+00   9.164E+00  3.090E-01 
1.334E+00   9.217E+00  3.092E-01 
1.350E+00   9.270E+00  3.094E-01 
1.365E+00   9.324E+00  3.096E-01 
1.381E+00   9.377E+00  3.098E-01 
1.397E+00   9.432E+00  3.101E-01 
1.413E+00   9.486E+00  3.103E-01 
1.430E+00   9.541E+00  3.105E-01 
1.446E+00   9.596E+00  3.107E-01 
1.463E+00   9.652E+00  3.108E-01 
1.480E+00   9.708E+00  3.110E-01 
1.497E+00   9.764E+00  3.112E-01 
1.515E+00   9.820E+00  3.114E-01 
1.532E+00   9.877E+00  3.115E-01 
1.550E+00   9.934E+00  3.117E-01 
1.568E+00   9.991E+00  3.119E-01 
1.586E+00   1.005E+01  3.120E-01 
