Ion = Hydrogen    . Mass = 1.0079
Tgt = Sm (Solid). Density = 7.52 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.758E+00  3.009E-01 
1.012E+00   7.803E+00  3.012E-01 
1.023E+00   7.848E+00  3.016E-01 
1.035E+00   7.893E+00  3.020E-01 
1.047E+00   7.939E+00  3.023E-01 
1.059E+00   7.985E+00  3.027E-01 
1.072E+00   8.031E+00  3.030E-01 
1.084E+00   8.078E+00  3.033E-01 
1.097E+00   8.124E+00  3.037E-01 
1.109E+00   8.171E+00  3.040E-01 
1.122E+00   8.218E+00  3.043E-01 
1.135E+00   8.266E+00  3.046E-01 
1.148E+00   8.314E+00  3.050E-01 
1.162E+00   8.362E+00  3.053E-01 
1.175E+00   8.410E+00  3.056E-01 
1.189E+00   8.459E+00  3.059E-01 
1.203E+00   8.508E+00  3.062E-01 
1.217E+00   8.557E+00  3.065E-01 
1.231E+00   8.606E+00  3.067E-01 
1.245E+00   8.656E+00  3.070E-01 
1.259E+00   8.706E+00  3.073E-01 
1.274E+00   8.757E+00  3.076E-01 
1.289E+00   8.807E+00  3.078E-01 
1.304E+00   8.858E+00  3.081E-01 
1.319E+00   8.909E+00  3.084E-01 
1.334E+00   8.961E+00  3.086E-01 
1.350E+00   9.013E+00  3.088E-01 
1.365E+00   9.065E+00  3.091E-01 
1.381E+00   9.117E+00  3.093E-01 
1.397E+00   9.170E+00  3.096E-01 
1.413E+00   9.223E+00  3.098E-01 
1.430E+00   9.276E+00  3.100E-01 
1.446E+00   9.330E+00  3.102E-01 
1.463E+00   9.384E+00  3.104E-01 
1.480E+00   9.438E+00  3.106E-01 
1.497E+00   9.493E+00  3.108E-01 
1.515E+00   9.548E+00  3.110E-01 
1.532E+00   9.603E+00  3.112E-01 
1.550E+00   9.659E+00  3.114E-01 
1.568E+00   9.714E+00  3.116E-01 
1.586E+00   9.771E+00  3.117E-01 
1.605E+00   9.827E+00  3.119E-01 
1.623E+00   9.884E+00  3.121E-01 
1.642E+00   9.941E+00  3.122E-01 
1.661E+00   9.999E+00  3.124E-01 
1.680E+00   1.006E+01  3.125E-01 
1.700E+00   1.011E+01  3.126E-01 
1.719E+00   1.017E+01  3.128E-01 
1.739E+00   1.023E+01  3.129E-01 
1.760E+00   1.029E+01  3.130E-01 
1.780E+00   1.035E+01  3.131E-01 
1.801E+00   1.041E+01  3.132E-01 
1.822E+00   1.047E+01  3.133E-01 
1.843E+00   1.053E+01  3.134E-01 
1.864E+00   1.059E+01  3.135E-01 
1.886E+00   1.065E+01  3.136E-01 
1.908E+00   1.071E+01  3.137E-01 
1.930E+00   1.078E+01  3.138E-01 
1.952E+00   1.084E+01  3.138E-01 
1.975E+00   1.090E+01  3.139E-01 
1.998E+00   1.096E+01  3.139E-01 
2.021E+00   1.103E+01  3.140E-01 
2.044E+00   1.108E+01  3.140E-01 
2.068E+00   1.113E+01  3.141E-01 
2.092E+00   1.119E+01  3.141E-01 
2.116E+00   1.124E+01  3.141E-01 
2.141E+00   1.130E+01  3.141E-01 
2.166E+00   1.135E+01  3.141E-01 
2.191E+00   1.141E+01  3.141E-01 
2.216E+00   1.147E+01  3.141E-01 
2.242E+00   1.152E+01  3.141E-01 
2.268E+00   1.158E+01  3.141E-01 
