Ion = Hydrogen    . Mass = 1.0079
Tgt = Eu (Solid). Density = 5.244 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.057E+00  2.969E-01 
1.012E+00   7.097E+00  2.973E-01 
1.023E+00   7.138E+00  2.976E-01 
1.035E+00   7.180E+00  2.980E-01 
1.047E+00   7.221E+00  2.983E-01 
1.059E+00   7.263E+00  2.987E-01 
1.072E+00   7.305E+00  2.990E-01 
1.084E+00   7.347E+00  2.994E-01 
1.097E+00   7.390E+00  2.997E-01 
1.109E+00   7.433E+00  3.001E-01 
1.122E+00   7.476E+00  3.004E-01 
1.135E+00   7.519E+00  3.007E-01 
1.148E+00   7.562E+00  3.010E-01 
1.162E+00   7.606E+00  3.013E-01 
1.175E+00   7.650E+00  3.016E-01 
1.189E+00   7.694E+00  3.019E-01 
1.203E+00   7.739E+00  3.022E-01 
1.217E+00   7.783E+00  3.025E-01 
1.231E+00   7.828E+00  3.028E-01 
1.245E+00   7.874E+00  3.031E-01 
1.259E+00   7.919E+00  3.034E-01 
1.274E+00   7.965E+00  3.037E-01 
1.289E+00   8.011E+00  3.039E-01 
1.304E+00   8.057E+00  3.042E-01 
1.319E+00   8.104E+00  3.045E-01 
1.334E+00   8.151E+00  3.047E-01 
1.350E+00   8.198E+00  3.050E-01 
1.365E+00   8.245E+00  3.052E-01 
1.381E+00   8.293E+00  3.055E-01 
1.397E+00   8.341E+00  3.057E-01 
1.413E+00   8.389E+00  3.059E-01 
1.430E+00   8.438E+00  3.062E-01 
1.446E+00   8.487E+00  3.064E-01 
1.463E+00   8.536E+00  3.066E-01 
1.480E+00   8.585E+00  3.068E-01 
1.497E+00   8.635E+00  3.070E-01 
1.515E+00   8.685E+00  3.072E-01 
1.532E+00   8.735E+00  3.074E-01 
1.550E+00   8.785E+00  3.076E-01 
1.568E+00   8.836E+00  3.078E-01 
1.586E+00   8.887E+00  3.080E-01 
1.605E+00   8.939E+00  3.081E-01 
1.623E+00   8.990E+00  3.083E-01 
1.642E+00   9.042E+00  3.085E-01 
1.661E+00   9.095E+00  3.086E-01 
1.680E+00   9.147E+00  3.088E-01 
1.700E+00   9.200E+00  3.089E-01 
1.719E+00   9.253E+00  3.091E-01 
1.739E+00   9.307E+00  3.092E-01 
1.760E+00   9.361E+00  3.093E-01 
1.780E+00   9.415E+00  3.094E-01 
1.801E+00   9.469E+00  3.096E-01 
1.822E+00   9.524E+00  3.097E-01 
1.843E+00   9.579E+00  3.098E-01 
1.864E+00   9.634E+00  3.099E-01 
1.886E+00   9.690E+00  3.100E-01 
1.908E+00   9.746E+00  3.101E-01 
1.930E+00   9.803E+00  3.102E-01 
1.952E+00   9.859E+00  3.102E-01 
1.975E+00   9.916E+00  3.103E-01 
1.998E+00   9.974E+00  3.104E-01 
2.021E+00   1.003E+01  3.104E-01 
2.044E+00   1.008E+01  3.105E-01 
2.068E+00   1.013E+01  3.105E-01 
2.092E+00   1.018E+01  3.106E-01 
2.116E+00   1.023E+01  3.106E-01 
2.141E+00   1.029E+01  3.106E-01 
2.166E+00   1.034E+01  3.107E-01 
2.191E+00   1.039E+01  3.107E-01 
2.216E+00   1.044E+01  3.107E-01 
2.242E+00   1.050E+01  3.107E-01 
2.268E+00   1.055E+01  3.107E-01 
2.294E+00   1.060E+01  3.107E-01 
2.321E+00   1.066E+01  3.107E-01 
2.348E+00   1.071E+01  3.107E-01 
2.375E+00   1.077E+01  3.106E-01 
2.402E+00   1.082E+01  3.106E-01 
2.430E+00   1.088E+01  3.106E-01 
2.458E+00   1.093E+01  3.105E-01 
2.487E+00   1.099E+01  3.105E-01 
2.516E+00   1.104E+01  3.104E-01 
2.545E+00   1.110E+01  3.104E-01 
2.574E+00   1.116E+01  3.103E-01 
2.604E+00   1.122E+01  3.102E-01 
2.635E+00   1.127E+01  3.101E-01 
2.665E+00   1.133E+01  3.100E-01 
2.696E+00   1.139E+01  3.099E-01 
2.727E+00   1.145E+01  3.098E-01 
2.759E+00   1.151E+01  3.097E-01 
2.791E+00   1.157E+01  3.096E-01 
2.823E+00   1.163E+01  3.095E-01 
2.856E+00   1.168E+01  3.094E-01 
2.889E+00   1.175E+01  3.092E-01 
2.923E+00   1.181E+01  3.091E-01 
2.957E+00   1.187E+01  3.090E-01 
2.991E+00   1.193E+01  3.088E-01 
3.026E+00   1.199E+01  3.086E-01 
3.061E+00   1.205E+01  3.085E-01 
3.096E+00   1.211E+01  3.083E-01 
3.132E+00   1.218E+01  3.081E-01 
3.168E+00   1.224E+01  3.079E-01 
3.205E+00   1.230E+01  3.077E-01 
3.242E+00   1.237E+01  3.075E-01 
3.280E+00   1.243E+01  3.073E-01 
3.318E+00   1.249E+01  3.071E-01 
