Ion = Hydrogen    . Mass = 1.0079
Tgt = Gd (Solid). Density = 7.901 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.622E+00  2.890E-01 
1.012E+00   7.666E+00  2.894E-01 
1.023E+00   7.710E+00  2.897E-01 
1.035E+00   7.755E+00  2.901E-01 
1.047E+00   7.800E+00  2.904E-01 
1.059E+00   7.845E+00  2.908E-01 
1.072E+00   7.890E+00  2.911E-01 
1.084E+00   7.936E+00  2.914E-01 
1.097E+00   7.982E+00  2.918E-01 
1.109E+00   8.028E+00  2.921E-01 
1.122E+00   8.074E+00  2.924E-01 
1.135E+00   8.121E+00  2.927E-01 
1.148E+00   8.168E+00  2.930E-01 
1.162E+00   8.215E+00  2.933E-01 
1.175E+00   8.263E+00  2.936E-01 
1.189E+00   8.310E+00  2.939E-01 
1.203E+00   8.358E+00  2.942E-01 
1.217E+00   8.407E+00  2.945E-01 
1.231E+00   8.455E+00  2.948E-01 
1.245E+00   8.504E+00  2.951E-01 
1.259E+00   8.553E+00  2.954E-01 
1.274E+00   8.603E+00  2.956E-01 
1.289E+00   8.653E+00  2.959E-01 
1.304E+00   8.703E+00  2.962E-01 
1.319E+00   8.753E+00  2.964E-01 
1.334E+00   8.804E+00  2.967E-01 
1.350E+00   8.855E+00  2.969E-01 
1.365E+00   8.906E+00  2.972E-01 
1.381E+00   8.957E+00  2.974E-01 
1.397E+00   9.009E+00  2.976E-01 
1.413E+00   9.061E+00  2.979E-01 
1.430E+00   9.114E+00  2.981E-01 
1.446E+00   9.166E+00  2.983E-01 
1.463E+00   9.219E+00  2.985E-01 
1.480E+00   9.273E+00  2.987E-01 
1.497E+00   9.326E+00  2.990E-01 
1.515E+00   9.380E+00  2.992E-01 
1.532E+00   9.434E+00  2.993E-01 
1.550E+00   9.489E+00  2.995E-01 
1.568E+00   9.544E+00  2.997E-01 
1.586E+00   9.599E+00  2.999E-01 
1.605E+00   9.654E+00  3.001E-01 
1.623E+00   9.710E+00  3.002E-01 
1.642E+00   9.766E+00  3.004E-01 
1.661E+00   9.823E+00  3.006E-01 
1.680E+00   9.880E+00  3.007E-01 
1.700E+00   9.937E+00  3.009E-01 
1.719E+00   9.994E+00  3.010E-01 
1.739E+00   1.005E+01  3.011E-01 
1.760E+00   1.011E+01  3.013E-01 
1.780E+00   1.017E+01  3.014E-01 
1.801E+00   1.023E+01  3.015E-01 
1.822E+00   1.029E+01  3.016E-01 
1.843E+00   1.035E+01  3.017E-01 
1.864E+00   1.041E+01  3.018E-01 
1.886E+00   1.047E+01  3.019E-01 
1.908E+00   1.053E+01  3.020E-01 
1.930E+00   1.059E+01  3.021E-01 
1.952E+00   1.065E+01  3.022E-01 
1.975E+00   1.071E+01  3.023E-01 
1.998E+00   1.077E+01  3.024E-01 
2.021E+00   1.083E+01  3.024E-01 
2.044E+00   1.088E+01  3.025E-01 
2.068E+00   1.094E+01  3.025E-01 
2.092E+00   1.099E+01  3.026E-01 
2.116E+00   1.104E+01  3.026E-01 
2.141E+00   1.109E+01  3.027E-01 
2.166E+00   1.115E+01  3.027E-01 
2.191E+00   1.120E+01  3.027E-01 
2.216E+00   1.125E+01  3.027E-01 
2.242E+00   1.131E+01  3.027E-01 
2.268E+00   1.136E+01  3.028E-01 
2.294E+00   1.141E+01  3.028E-01 
2.321E+00   1.147E+01  3.027E-01 
2.348E+00   1.152E+01  3.027E-01 
2.375E+00   1.158E+01  3.027E-01 
2.402E+00   1.163E+01  3.027E-01 
2.430E+00   1.169E+01  3.027E-01 
2.458E+00   1.175E+01  3.026E-01 
2.487E+00   1.180E+01  3.026E-01 
2.516E+00   1.186E+01  3.025E-01 
2.545E+00   1.192E+01  3.025E-01 
2.574E+00   1.197E+01  3.024E-01 
2.604E+00   1.203E+01  3.024E-01 
2.635E+00   1.209E+01  3.023E-01 
2.665E+00   1.215E+01  3.022E-01 
2.696E+00   1.220E+01  3.021E-01 
2.727E+00   1.226E+01  3.020E-01 
2.759E+00   1.232E+01  3.019E-01 
2.791E+00   1.238E+01  3.018E-01 
2.823E+00   1.244E+01  3.017E-01 
2.856E+00   1.250E+01  3.016E-01 
2.889E+00   1.256E+01  3.015E-01 
2.923E+00   1.262E+01  3.014E-01 
2.957E+00   1.268E+01  3.012E-01 
2.991E+00   1.274E+01  3.011E-01 
3.026E+00   1.280E+01  3.009E-01 
3.061E+00   1.286E+01  3.008E-01 
3.096E+00   1.293E+01  3.006E-01 
3.132E+00   1.299E+01  3.005E-01 
3.168E+00   1.305E+01  3.003E-01 
3.205E+00   1.311E+01  3.001E-01 
3.242E+00   1.318E+01  2.999E-01 
3.280E+00   1.324E+01  2.997E-01 
3.318E+00   1.330E+01  2.995E-01 
3.356E+00   1.337E+01  2.993E-01 
3.395E+00   1.343E+01  2.991E-01 
3.435E+00   1.350E+01  2.989E-01 
3.475E+00   1.356E+01  2.987E-01 
3.515E+00   1.363E+01  2.985E-01 
3.556E+00   1.369E+01  2.982E-01 
3.597E+00   1.376E+01  2.980E-01 
3.639E+00   1.382E+01  2.977E-01 
3.681E+00   1.389E+01  2.975E-01 
3.724E+00   1.396E+01  2.972E-01 
3.767E+00   1.402E+01  2.969E-01 
3.810E+00   1.409E+01  2.967E-01 
3.855E+00   1.416E+01  2.964E-01 
3.899E+00   1.423E+01  2.961E-01 
3.945E+00   1.430E+01  2.958E-01 
3.990E+00   1.437E+01  2.955E-01 
4.037E+00   1.444E+01  2.952E-01 
4.083E+00   1.451E+01  2.949E-01 
4.131E+00   1.458E+01  2.946E-01 
4.179E+00   1.465E+01  2.942E-01 
4.227E+00   1.472E+01  2.939E-01 
4.276E+00   1.479E+01  2.936E-01 
4.326E+00   1.486E+01  2.932E-01 
4.376E+00   1.493E+01  2.929E-01 
4.427E+00   1.500E+01  2.925E-01 
4.478E+00   1.507E+01  2.921E-01 
4.530E+00   1.515E+01  2.918E-01 
4.583E+00   1.522E+01  2.914E-01 
4.636E+00   1.529E+01  2.910E-01 
4.690E+00   1.537E+01  2.906E-01 
4.744E+00   1.544E+01  2.902E-01 
4.799E+00   1.552E+01  2.898E-01 
4.855E+00   1.559E+01  2.894E-01 
4.911E+00   1.567E+01  2.890E-01 
4.968E+00   1.574E+01  2.886E-01 
5.026E+00   1.582E+01  2.881E-01 
5.084E+00   1.590E+01  2.877E-01 
5.143E+00   1.597E+01  2.873E-01 
5.202E+00   1.605E+01  2.868E-01 
5.263E+00   1.613E+01  2.864E-01 
5.324E+00   1.621E+01  2.859E-01 
5.386E+00   1.628E+01  2.854E-01 
5.448E+00   1.636E+01  2.850E-01 
5.511E+00   1.644E+01  2.845E-01 
5.575E+00   1.652E+01  2.840E-01 
5.640E+00   1.660E+01  2.835E-01 
5.705E+00   1.668E+01  2.830E-01 
5.771E+00   1.676E+01  2.825E-01 
5.838E+00   1.684E+01  2.820E-01 
5.906E+00   1.692E+01  2.815E-01 
5.975E+00   1.701E+01  2.810E-01 
6.044E+00   1.709E+01  2.804E-01 
6.114E+00   1.717E+01  2.799E-01 
6.185E+00   1.725E+01  2.794E-01 
6.257E+00   1.734E+01  2.788E-01 
6.329E+00   1.742E+01  2.783E-01 
6.403E+00   1.751E+01  2.777E-01 
6.477E+00   1.759E+01  2.772E-01 
