Ion = Hydrogen    . Mass = 1.0079
Tgt = Tb (Solid). Density = 8.23 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.474E+00  2.854E-01 
1.012E+00   7.518E+00  2.857E-01 
1.023E+00   7.561E+00  2.861E-01 
1.035E+00   7.605E+00  2.864E-01 
1.047E+00   7.649E+00  2.868E-01 
1.059E+00   7.693E+00  2.871E-01 
1.072E+00   7.738E+00  2.874E-01 
1.084E+00   7.782E+00  2.878E-01 
1.097E+00   7.827E+00  2.881E-01 
1.109E+00   7.873E+00  2.884E-01 
1.122E+00   7.918E+00  2.887E-01 
1.135E+00   7.964E+00  2.890E-01 
1.148E+00   8.010E+00  2.893E-01 
1.162E+00   8.056E+00  2.896E-01 
1.175E+00   8.103E+00  2.899E-01 
1.189E+00   8.150E+00  2.902E-01 
1.203E+00   8.197E+00  2.905E-01 
1.217E+00   8.244E+00  2.908E-01 
1.231E+00   8.292E+00  2.911E-01 
1.245E+00   8.340E+00  2.914E-01 
1.259E+00   8.388E+00  2.916E-01 
1.274E+00   8.437E+00  2.919E-01 
1.289E+00   8.485E+00  2.922E-01 
1.304E+00   8.534E+00  2.924E-01 
1.319E+00   8.584E+00  2.927E-01 
1.334E+00   8.633E+00  2.929E-01 
1.350E+00   8.683E+00  2.932E-01 
1.365E+00   8.734E+00  2.934E-01 
1.381E+00   8.784E+00  2.936E-01 
1.397E+00   8.835E+00  2.939E-01 
1.413E+00   8.886E+00  2.941E-01 
1.430E+00   8.937E+00  2.943E-01 
1.446E+00   8.989E+00  2.945E-01 
1.463E+00   9.041E+00  2.947E-01 
1.480E+00   9.093E+00  2.950E-01 
1.497E+00   9.146E+00  2.952E-01 
1.515E+00   9.199E+00  2.953E-01 
1.532E+00   9.252E+00  2.955E-01 
1.550E+00   9.305E+00  2.957E-01 
1.568E+00   9.359E+00  2.959E-01 
1.586E+00   9.413E+00  2.961E-01 
1.605E+00   9.468E+00  2.963E-01 
1.623E+00   9.523E+00  2.964E-01 
1.642E+00   9.578E+00  2.966E-01 
1.661E+00   9.633E+00  2.967E-01 
1.680E+00   9.689E+00  2.969E-01 
1.700E+00   9.745E+00  2.970E-01 
1.719E+00   9.801E+00  2.972E-01 
1.739E+00   9.858E+00  2.973E-01 
1.760E+00   9.915E+00  2.974E-01 
1.780E+00   9.972E+00  2.976E-01 
1.801E+00   1.003E+01  2.977E-01 
1.822E+00   1.009E+01  2.978E-01 
1.843E+00   1.015E+01  2.979E-01 
1.864E+00   1.020E+01  2.980E-01 
1.886E+00   1.026E+01  2.981E-01 
1.908E+00   1.032E+01  2.982E-01 
1.930E+00   1.038E+01  2.983E-01 
1.952E+00   1.044E+01  2.984E-01 
1.975E+00   1.050E+01  2.985E-01 
1.998E+00   1.056E+01  2.985E-01 
2.021E+00   1.062E+01  2.986E-01 
2.044E+00   1.067E+01  2.987E-01 
2.068E+00   1.072E+01  2.987E-01 
2.092E+00   1.077E+01  2.988E-01 
2.116E+00   1.082E+01  2.988E-01 
2.141E+00   1.087E+01  2.988E-01 
2.166E+00   1.092E+01  2.989E-01 
2.191E+00   1.097E+01  2.989E-01 
2.216E+00   1.103E+01  2.989E-01 
2.242E+00   1.108E+01  2.989E-01 
2.268E+00   1.113E+01  2.989E-01 
2.294E+00   1.118E+01  2.989E-01 
2.321E+00   1.123E+01  2.989E-01 
2.348E+00   1.129E+01  2.989E-01 
2.375E+00   1.134E+01  2.989E-01 
2.402E+00   1.139E+01  2.989E-01 
2.430E+00   1.145E+01  2.989E-01 
2.458E+00   1.150E+01  2.988E-01 
2.487E+00   1.156E+01  2.988E-01 
2.516E+00   1.161E+01  2.988E-01 
2.545E+00   1.167E+01  2.987E-01 
2.574E+00   1.172E+01  2.987E-01 
2.604E+00   1.178E+01  2.986E-01 
2.635E+00   1.183E+01  2.985E-01 
2.665E+00   1.189E+01  2.985E-01 
2.696E+00   1.195E+01  2.984E-01 
2.727E+00   1.200E+01  2.983E-01 
2.759E+00   1.206E+01  2.982E-01 
2.791E+00   1.212E+01  2.981E-01 
2.823E+00   1.217E+01  2.980E-01 
2.856E+00   1.223E+01  2.979E-01 
2.889E+00   1.229E+01  2.978E-01 
2.923E+00   1.235E+01  2.977E-01 
2.957E+00   1.241E+01  2.975E-01 
2.991E+00   1.247E+01  2.974E-01 
3.026E+00   1.253E+01  2.973E-01 
3.061E+00   1.259E+01  2.971E-01 
3.096E+00   1.265E+01  2.970E-01 
3.132E+00   1.271E+01  2.968E-01 
3.168E+00   1.277E+01  2.967E-01 
3.205E+00   1.283E+01  2.965E-01 
3.242E+00   1.289E+01  2.963E-01 
3.280E+00   1.295E+01  2.961E-01 
3.318E+00   1.302E+01  2.959E-01 
3.356E+00   1.308E+01  2.958E-01 
3.395E+00   1.314E+01  2.956E-01 
3.435E+00   1.320E+01  2.953E-01 
3.475E+00   1.327E+01  2.951E-01 
3.515E+00   1.333E+01  2.949E-01 
3.556E+00   1.340E+01  2.947E-01 
3.597E+00   1.346E+01  2.945E-01 
3.639E+00   1.353E+01  2.942E-01 
3.681E+00   1.359E+01  2.940E-01 
3.724E+00   1.366E+01  2.937E-01 
3.767E+00   1.372E+01  2.935E-01 
3.810E+00   1.379E+01  2.932E-01 
3.855E+00   1.386E+01  2.929E-01 
3.899E+00   1.392E+01  2.927E-01 
3.945E+00   1.399E+01  2.924E-01 
3.990E+00   1.406E+01  2.921E-01 
4.037E+00   1.413E+01  2.918E-01 
4.083E+00   1.420E+01  2.915E-01 
4.131E+00   1.426E+01  2.912E-01 
4.179E+00   1.433E+01  2.909E-01 
4.227E+00   1.440E+01  2.906E-01 
4.276E+00   1.447E+01  2.902E-01 
4.326E+00   1.454E+01  2.899E-01 
4.376E+00   1.462E+01  2.896E-01 
4.427E+00   1.469E+01  2.892E-01 
4.478E+00   1.476E+01  2.889E-01 
4.530E+00   1.483E+01  2.885E-01 
4.583E+00   1.490E+01  2.882E-01 
4.636E+00   1.498E+01  2.878E-01 
4.690E+00   1.505E+01  2.874E-01 
4.744E+00   1.512E+01  2.870E-01 
4.799E+00   1.520E+01  2.866E-01 
4.855E+00   1.527E+01  2.862E-01 
4.911E+00   1.535E+01  2.858E-01 
4.968E+00   1.542E+01  2.854E-01 
5.026E+00   1.550E+01  2.850E-01 
5.084E+00   1.557E+01  2.846E-01 
5.143E+00   1.565E+01  2.842E-01 
5.202E+00   1.573E+01  2.838E-01 
5.263E+00   1.580E+01  2.833E-01 
5.324E+00   1.588E+01  2.829E-01 
5.386E+00   1.596E+01  2.824E-01 
5.448E+00   1.604E+01  2.820E-01 
5.511E+00   1.612E+01  2.815E-01 
5.575E+00   1.619E+01  2.810E-01 
5.640E+00   1.627E+01  2.806E-01 
5.705E+00   1.635E+01  2.801E-01 
5.771E+00   1.643E+01  2.796E-01 
5.838E+00   1.652E+01  2.791E-01 
5.906E+00   1.660E+01  2.786E-01 
5.975E+00   1.668E+01  2.781E-01 
6.044E+00   1.676E+01  2.776E-01 
6.114E+00   1.684E+01  2.771E-01 
6.185E+00   1.693E+01  2.766E-01 
6.257E+00   1.701E+01  2.761E-01 
6.329E+00   1.709E+01  2.755E-01 
6.403E+00   1.718E+01  2.750E-01 
6.477E+00   1.726E+01  2.744E-01 
6.552E+00   1.735E+01  2.739E-01 
6.628E+00   1.744E+01  2.733E-01 
