Ion = Hydrogen    . Mass = 1.0079
Tgt = Dy (Solid). Density = 8.551 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.968E+00  2.824E-01 
1.012E+00   6.003E+00  2.827E-01 
1.023E+00   6.037E+00  2.831E-01 
1.035E+00   6.072E+00  2.834E-01 
1.047E+00   6.108E+00  2.838E-01 
1.059E+00   6.143E+00  2.841E-01 
1.072E+00   6.178E+00  2.844E-01 
1.084E+00   6.214E+00  2.848E-01 
1.097E+00   6.250E+00  2.851E-01 
1.109E+00   6.286E+00  2.854E-01 
1.122E+00   6.323E+00  2.857E-01 
1.135E+00   6.359E+00  2.860E-01 
1.148E+00   6.396E+00  2.863E-01 
1.162E+00   6.433E+00  2.866E-01 
1.175E+00   6.470E+00  2.869E-01 
1.189E+00   6.507E+00  2.872E-01 
1.203E+00   6.545E+00  2.875E-01 
1.217E+00   6.583E+00  2.878E-01 
1.231E+00   6.621E+00  2.881E-01 
1.245E+00   6.659E+00  2.884E-01 
1.259E+00   6.698E+00  2.887E-01 
1.274E+00   6.737E+00  2.889E-01 
1.289E+00   6.775E+00  2.892E-01 
1.304E+00   6.815E+00  2.894E-01 
1.319E+00   6.854E+00  2.897E-01 
1.334E+00   6.894E+00  2.900E-01 
1.350E+00   6.934E+00  2.902E-01 
1.365E+00   6.974E+00  2.904E-01 
1.381E+00   7.014E+00  2.907E-01 
1.397E+00   7.055E+00  2.909E-01 
1.413E+00   7.095E+00  2.911E-01 
1.430E+00   7.136E+00  2.914E-01 
1.446E+00   7.178E+00  2.916E-01 
1.463E+00   7.219E+00  2.918E-01 
1.480E+00   7.261E+00  2.920E-01 
1.497E+00   7.303E+00  2.922E-01 
1.515E+00   7.345E+00  2.924E-01 
1.532E+00   7.388E+00  2.926E-01 
1.550E+00   7.430E+00  2.928E-01 
1.568E+00   7.473E+00  2.930E-01 
1.586E+00   7.516E+00  2.932E-01 
1.605E+00   7.560E+00  2.933E-01 
1.623E+00   7.604E+00  2.935E-01 
1.642E+00   7.648E+00  2.937E-01 
1.661E+00   7.692E+00  2.938E-01 
1.680E+00   7.736E+00  2.940E-01 
1.700E+00   7.781E+00  2.941E-01 
1.719E+00   7.826E+00  2.943E-01 
1.739E+00   7.871E+00  2.944E-01 
1.760E+00   7.917E+00  2.946E-01 
1.780E+00   7.963E+00  2.947E-01 
1.801E+00   8.009E+00  2.948E-01 
1.822E+00   8.055E+00  2.949E-01 
1.843E+00   8.102E+00  2.950E-01 
1.864E+00   8.148E+00  2.952E-01 
1.886E+00   8.196E+00  2.953E-01 
1.908E+00   8.243E+00  2.954E-01 
1.930E+00   8.291E+00  2.954E-01 
1.952E+00   8.339E+00  2.955E-01 
1.975E+00   8.387E+00  2.956E-01 
1.998E+00   8.435E+00  2.957E-01 
2.021E+00   8.482E+00  2.958E-01 
2.044E+00   8.524E+00  2.958E-01 
2.068E+00   8.566E+00  2.959E-01 
2.092E+00   8.608E+00  2.959E-01 
2.116E+00   8.650E+00  2.960E-01 
2.141E+00   8.693E+00  2.960E-01 
2.166E+00   8.735E+00  2.961E-01 
2.191E+00   8.778E+00  2.961E-01 
2.216E+00   8.822E+00  2.961E-01 
2.242E+00   8.865E+00  2.962E-01 
2.268E+00   8.909E+00  2.962E-01 
2.294E+00   8.953E+00  2.962E-01 
2.321E+00   8.997E+00  2.962E-01 
2.348E+00   9.041E+00  2.962E-01 
2.375E+00   9.086E+00  2.962E-01 
2.402E+00   9.131E+00  2.962E-01 
2.430E+00   9.176E+00  2.962E-01 
2.458E+00   9.222E+00  2.961E-01 
2.487E+00   9.267E+00  2.961E-01 
2.516E+00   9.313E+00  2.961E-01 
2.545E+00   9.360E+00  2.960E-01 
2.574E+00   9.406E+00  2.960E-01 
2.604E+00   9.453E+00  2.959E-01 
2.635E+00   9.500E+00  2.959E-01 
2.665E+00   9.547E+00  2.958E-01 
2.696E+00   9.594E+00  2.957E-01 
2.727E+00   9.642E+00  2.957E-01 
2.759E+00   9.690E+00  2.956E-01 
2.791E+00   9.739E+00  2.955E-01 
2.823E+00   9.787E+00  2.954E-01 
2.856E+00   9.836E+00  2.953E-01 
2.889E+00   9.885E+00  2.952E-01 
2.923E+00   9.934E+00  2.951E-01 
2.957E+00   9.984E+00  2.950E-01 
2.991E+00   1.003E+01  2.949E-01 
3.026E+00   1.008E+01  2.947E-01 
3.061E+00   1.013E+01  2.946E-01 
3.096E+00   1.019E+01  2.944E-01 
3.132E+00   1.024E+01  2.943E-01 
3.168E+00   1.029E+01  2.941E-01 
3.205E+00   1.034E+01  2.940E-01 
3.242E+00   1.039E+01  2.938E-01 
3.280E+00   1.044E+01  2.936E-01 
3.318E+00   1.050E+01  2.935E-01 
3.356E+00   1.055E+01  2.933E-01 
3.395E+00   1.060E+01  2.931E-01 
3.435E+00   1.065E+01  2.929E-01 
3.475E+00   1.071E+01  2.927E-01 
3.515E+00   1.076E+01  2.925E-01 
3.556E+00   1.082E+01  2.923E-01 
3.597E+00   1.087E+01  2.921E-01 
3.639E+00   1.093E+01  2.918E-01 
3.681E+00   1.098E+01  2.916E-01 
3.724E+00   1.104E+01  2.914E-01 
3.767E+00   1.109E+01  2.911E-01 
3.810E+00   1.115E+01  2.909E-01 
3.855E+00   1.120E+01  2.906E-01 
3.899E+00   1.126E+01  2.903E-01 
3.945E+00   1.132E+01  2.901E-01 
3.990E+00   1.138E+01  2.898E-01 
4.037E+00   1.143E+01  2.895E-01 
4.083E+00   1.149E+01  2.892E-01 
4.131E+00   1.155E+01  2.889E-01 
4.179E+00   1.161E+01  2.886E-01 
4.227E+00   1.167E+01  2.883E-01 
4.276E+00   1.173E+01  2.880E-01 
4.326E+00   1.178E+01  2.877E-01 
4.376E+00   1.184E+01  2.874E-01 
4.427E+00   1.190E+01  2.870E-01 
4.478E+00   1.196E+01  2.867E-01 
4.530E+00   1.203E+01  2.863E-01 
4.583E+00   1.209E+01  2.860E-01 
4.636E+00   1.215E+01  2.856E-01 
4.690E+00   1.221E+01  2.853E-01 
4.744E+00   1.227E+01  2.849E-01 
4.799E+00   1.233E+01  2.845E-01 
4.855E+00   1.240E+01  2.841E-01 
4.911E+00   1.246E+01  2.838E-01 
4.968E+00   1.252E+01  2.834E-01 
5.026E+00   1.259E+01  2.830E-01 
5.084E+00   1.265E+01  2.826E-01 
5.143E+00   1.272E+01  2.821E-01 
5.202E+00   1.278E+01  2.817E-01 
5.263E+00   1.285E+01  2.813E-01 
5.324E+00   1.291E+01  2.809E-01 
5.386E+00   1.298E+01  2.804E-01 
5.448E+00   1.304E+01  2.800E-01 
5.511E+00   1.311E+01  2.795E-01 
5.575E+00   1.318E+01  2.791E-01 
5.640E+00   1.324E+01  2.786E-01 
5.705E+00   1.331E+01  2.782E-01 
5.771E+00   1.338E+01  2.777E-01 
5.838E+00   1.345E+01  2.772E-01 
5.906E+00   1.352E+01  2.767E-01 
5.975E+00   1.359E+01  2.762E-01 
6.044E+00   1.366E+01  2.757E-01 
6.114E+00   1.373E+01  2.752E-01 
6.185E+00   1.380E+01  2.747E-01 
6.257E+00   1.387E+01  2.742E-01 
6.329E+00   1.394E+01  2.737E-01 
6.403E+00   1.401E+01  2.732E-01 
6.477E+00   1.408E+01  2.727E-01 
6.552E+00   1.415E+01  2.721E-01 
6.628E+00   1.423E+01  2.716E-01 
6.705E+00   1.430E+01  2.710E-01 
6.783E+00   1.437E+01  2.705E-01 
6.861E+00   1.445E+01  2.699E-01 
6.941E+00   1.452E+01  2.694E-01 
7.021E+00   1.459E+01  2.688E-01 
7.103E+00   1.467E+01  2.682E-01 
7.185E+00   1.474E+01  2.676E-01 
7.269E+00   1.482E+01  2.670E-01 
7.353E+00   1.490E+01  2.665E-01 
7.438E+00   1.497E+01  2.659E-01 
7.524E+00   1.505E+01  2.653E-01 
7.612E+00   1.513E+01  2.647E-01 
7.700E+00   1.520E+01  2.640E-01 
7.789E+00   1.528E+01  2.634E-01 
7.880E+00   1.536E+01  2.628E-01 
7.971E+00   1.544E+01  2.622E-01 
8.064E+00   1.552E+01  2.615E-01 
8.157E+00   1.560E+01  2.609E-01 
8.252E+00   1.568E+01  2.603E-01 
8.347E+00   1.576E+01  2.596E-01 
8.444E+00   1.584E+01  2.590E-01 
8.542E+00   1.592E+01  2.583E-01 
8.641E+00   1.600E+01  2.576E-01 
8.741E+00   1.608E+01  2.570E-01 
8.843E+00   1.617E+01  2.563E-01 
8.945E+00   1.625E+01  2.556E-01 
9.049E+00   1.633E+01  2.549E-01 
9.154E+00   1.642E+01  2.543E-01 
9.260E+00   1.650E+01  2.536E-01 
9.368E+00   1.659E+01  2.529E-01 
9.476E+00   1.667E+01  2.522E-01 
9.586E+00   1.676E+01  2.515E-01 
9.698E+00   1.684E+01  2.508E-01 
9.810E+00   1.693E+01  2.500E-01 
9.924E+00   1.701E+01  2.493E-01 
1.004E+01   1.710E+01  2.486E-01 
1.016E+01   1.719E+01  2.479E-01 
1.027E+01   1.728E+01  2.471E-01 
1.039E+01   1.737E+01  2.464E-01 
1.051E+01   1.746E+01  2.457E-01 
1.063E+01   1.754E+01  2.449E-01 
1.076E+01   1.763E+01  2.442E-01 
1.088E+01   1.772E+01  2.434E-01 
1.101E+01   1.782E+01  2.427E-01 
1.114E+01   1.791E+01  2.419E-01 
1.127E+01   1.800E+01  2.412E-01 
1.140E+01   1.809E+01  2.404E-01 
1.153E+01   1.818E+01  2.396E-01 
1.166E+01   1.828E+01  2.388E-01 
1.180E+01   1.837E+01  2.381E-01 
1.193E+01   1.846E+01  2.373E-01 
1.207E+01   1.856E+01  2.365E-01 
1.221E+01   1.865E+01  2.357E-01 
1.235E+01   1.875E+01  2.349E-01 
1.250E+01   1.884E+01  2.341E-01 
1.264E+01   1.894E+01  2.333E-01 
1.279E+01   1.903E+01  2.325E-01 
1.294E+01   1.913E+01  2.317E-01 
1.309E+01   1.923E+01  2.309E-01 
1.324E+01   1.933E+01  2.301E-01 
1.339E+01   1.943E+01  2.293E-01 
1.355E+01   1.952E+01  2.285E-01 
1.371E+01   1.962E+01  2.277E-01 
1.387E+01   1.972E+01  2.268E-01 
1.403E+01   1.982E+01  2.260E-01 
