Ion = Hydrogen    . Mass = 1.0079
Tgt = Ho (Solid). Density = 8.795 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.668E+00  2.760E-01 
1.012E+00   5.701E+00  2.763E-01 
1.023E+00   5.734E+00  2.766E-01 
1.035E+00   5.767E+00  2.769E-01 
1.047E+00   5.801E+00  2.772E-01 
1.059E+00   5.834E+00  2.776E-01 
1.072E+00   5.868E+00  2.779E-01 
1.084E+00   5.902E+00  2.782E-01 
1.097E+00   5.936E+00  2.785E-01 
1.109E+00   5.970E+00  2.788E-01 
1.122E+00   6.005E+00  2.791E-01 
1.135E+00   6.040E+00  2.793E-01 
1.148E+00   6.074E+00  2.796E-01 
1.162E+00   6.110E+00  2.799E-01 
1.175E+00   6.145E+00  2.802E-01 
1.189E+00   6.180E+00  2.804E-01 
1.203E+00   6.216E+00  2.807E-01 
1.217E+00   6.252E+00  2.810E-01 
1.231E+00   6.288E+00  2.812E-01 
1.245E+00   6.325E+00  2.815E-01 
1.259E+00   6.361E+00  2.817E-01 
1.274E+00   6.398E+00  2.820E-01 
1.289E+00   6.435E+00  2.822E-01 
1.304E+00   6.472E+00  2.825E-01 
1.319E+00   6.510E+00  2.827E-01 
1.334E+00   6.547E+00  2.829E-01 
1.350E+00   6.585E+00  2.832E-01 
1.365E+00   6.623E+00  2.834E-01 
1.381E+00   6.662E+00  2.836E-01 
1.397E+00   6.700E+00  2.838E-01 
1.413E+00   6.739E+00  2.840E-01 
1.430E+00   6.778E+00  2.842E-01 
1.446E+00   6.817E+00  2.844E-01 
1.463E+00   6.856E+00  2.846E-01 
1.480E+00   6.896E+00  2.848E-01 
1.497E+00   6.936E+00  2.850E-01 
1.515E+00   6.976E+00  2.852E-01 
1.532E+00   7.016E+00  2.853E-01 
1.550E+00   7.057E+00  2.855E-01 
1.568E+00   7.098E+00  2.857E-01 
1.586E+00   7.139E+00  2.858E-01 
1.605E+00   7.180E+00  2.860E-01 
1.623E+00   7.222E+00  2.862E-01 
1.642E+00   7.263E+00  2.863E-01 
1.661E+00   7.305E+00  2.865E-01 
