Ion = Hydrogen    . Mass = 1.0079
Tgt = Er (Solid). Density = 9.066 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.313E+00  2.753E-01 
1.012E+00   6.349E+00  2.756E-01 
1.023E+00   6.386E+00  2.760E-01 
1.035E+00   6.423E+00  2.763E-01 
1.047E+00   6.460E+00  2.766E-01 
1.059E+00   6.497E+00  2.769E-01 
1.072E+00   6.535E+00  2.772E-01 
1.084E+00   6.573E+00  2.775E-01 
1.097E+00   6.611E+00  2.778E-01 
1.109E+00   6.649E+00  2.781E-01 
1.122E+00   6.687E+00  2.784E-01 
1.135E+00   6.726E+00  2.787E-01 
1.148E+00   6.765E+00  2.790E-01 
1.162E+00   6.804E+00  2.793E-01 
1.175E+00   6.844E+00  2.796E-01 
1.189E+00   6.883E+00  2.798E-01 
1.203E+00   6.923E+00  2.801E-01 
1.217E+00   6.963E+00  2.804E-01 
1.231E+00   7.003E+00  2.806E-01 
1.245E+00   7.044E+00  2.809E-01 
1.259E+00   7.084E+00  2.812E-01 
1.274E+00   7.125E+00  2.814E-01 
1.289E+00   7.167E+00  2.816E-01 
1.304E+00   7.208E+00  2.819E-01 
1.319E+00   7.250E+00  2.821E-01 
1.334E+00   7.292E+00  2.824E-01 
1.350E+00   7.334E+00  2.826E-01 
1.365E+00   7.376E+00  2.828E-01 
1.381E+00   7.419E+00  2.830E-01 
1.397E+00   7.462E+00  2.833E-01 
1.413E+00   7.505E+00  2.835E-01 
1.430E+00   7.548E+00  2.837E-01 
1.446E+00   7.592E+00  2.839E-01 
1.463E+00   7.636E+00  2.841E-01 
1.480E+00   7.680E+00  2.843E-01 
1.497E+00   7.724E+00  2.845E-01 
1.515E+00   7.769E+00  2.846E-01 
1.532E+00   7.814E+00  2.848E-01 
1.550E+00   7.859E+00  2.850E-01 
1.568E+00   7.905E+00  2.852E-01 
1.586E+00   7.950E+00  2.853E-01 
1.605E+00   7.996E+00  2.855E-01 
1.623E+00   8.043E+00  2.857E-01 
1.642E+00   8.089E+00  2.858E-01 
1.661E+00   8.136E+00  2.860E-01 
1.680E+00   8.183E+00  2.861E-01 
1.700E+00   8.230E+00  2.863E-01 
1.719E+00   8.278E+00  2.864E-01 
1.739E+00   8.326E+00  2.865E-01 
1.760E+00   8.374E+00  2.866E-01 
1.780E+00   8.422E+00  2.868E-01 
1.801E+00   8.471E+00  2.869E-01 
1.822E+00   8.520E+00  2.870E-01 
1.843E+00   8.569E+00  2.871E-01 
1.864E+00   8.619E+00  2.872E-01 
1.886E+00   8.669E+00  2.873E-01 
1.908E+00   8.719E+00  2.874E-01 
1.930E+00   8.769E+00  2.875E-01 
1.952E+00   8.820E+00  2.876E-01 
1.975E+00   8.871E+00  2.876E-01 
1.998E+00   8.922E+00  2.877E-01 
2.021E+00   8.972E+00  2.878E-01 
2.044E+00   9.018E+00  2.878E-01 
2.068E+00   9.063E+00  2.879E-01 
2.092E+00   9.109E+00  2.879E-01 
2.116E+00   9.155E+00  2.880E-01 
2.141E+00   9.201E+00  2.880E-01 
2.166E+00   9.247E+00  2.881E-01 
