Ion = Hydrogen    . Mass = 1.0079
Tgt = Tm (Solid). Density = 9.321 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.857E+00  2.743E-01 
1.012E+00   6.897E+00  2.746E-01 
1.023E+00   6.937E+00  2.749E-01 
1.035E+00   6.977E+00  2.752E-01 
1.047E+00   7.017E+00  2.756E-01 
1.059E+00   7.058E+00  2.759E-01 
1.072E+00   7.099E+00  2.762E-01 
1.084E+00   7.140E+00  2.765E-01 
1.097E+00   7.181E+00  2.768E-01 
1.109E+00   7.223E+00  2.771E-01 
1.122E+00   7.264E+00  2.774E-01 
1.135E+00   7.306E+00  2.777E-01 
1.148E+00   7.349E+00  2.780E-01 
1.162E+00   7.391E+00  2.782E-01 
1.175E+00   7.434E+00  2.785E-01 
1.189E+00   7.477E+00  2.788E-01 
1.203E+00   7.520E+00  2.791E-01 
1.217E+00   7.564E+00  2.793E-01 
1.231E+00   7.607E+00  2.796E-01 
1.245E+00   7.651E+00  2.799E-01 
1.259E+00   7.696E+00  2.801E-01 
1.274E+00   7.740E+00  2.804E-01 
1.289E+00   7.785E+00  2.806E-01 
1.304E+00   7.830E+00  2.809E-01 
1.319E+00   7.875E+00  2.811E-01 
1.334E+00   7.921E+00  2.813E-01 
1.350E+00   7.967E+00  2.816E-01 
1.365E+00   8.013E+00  2.818E-01 
1.381E+00   8.059E+00  2.820E-01 
1.397E+00   8.106E+00  2.822E-01 
1.413E+00   8.152E+00  2.824E-01 
1.430E+00   8.200E+00  2.826E-01 
1.446E+00   8.247E+00  2.829E-01 
1.463E+00   8.295E+00  2.831E-01 
1.480E+00   8.343E+00  2.832E-01 
1.497E+00   8.391E+00  2.834E-01 
1.515E+00   8.439E+00  2.836E-01 
1.532E+00   8.488E+00  2.838E-01 
1.550E+00   8.537E+00  2.840E-01 
1.568E+00   8.587E+00  2.842E-01 
1.586E+00   8.636E+00  2.843E-01 
1.605E+00   8.686E+00  2.845E-01 
1.623E+00   8.737E+00  2.847E-01 
1.642E+00   8.787E+00  2.848E-01 
1.661E+00   8.838E+00  2.850E-01 
1.680E+00   8.889E+00  2.851E-01 
1.700E+00   8.940E+00  2.853E-01 
