Ion = Hydrogen    . Mass = 1.0079
Tgt =  N (Solid). Density = 1.026 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.673E+00  4.922E-01 
1.012E+00   2.688E+00  4.903E-01 
1.023E+00   2.704E+00  4.883E-01 
1.035E+00   2.720E+00  4.863E-01 
1.047E+00   2.735E+00  4.843E-01 
1.059E+00   2.751E+00  4.824E-01 
1.072E+00   2.767E+00  4.804E-01 
1.084E+00   2.783E+00  4.784E-01 
1.097E+00   2.799E+00  4.764E-01 
1.109E+00   2.815E+00  4.744E-01 
1.122E+00   2.832E+00  4.724E-01 
1.135E+00   2.848E+00  4.704E-01 
1.148E+00   2.865E+00  4.684E-01 
1.162E+00   2.881E+00  4.664E-01 
1.175E+00   2.898E+00  4.643E-01 
1.189E+00   2.915E+00  4.623E-01 
1.203E+00   2.931E+00  4.603E-01 
1.217E+00   2.948E+00  4.583E-01 
1.231E+00   2.965E+00  4.562E-01 
1.245E+00   2.983E+00  4.542E-01 
1.259E+00   3.000E+00  4.522E-01 
1.274E+00   3.017E+00  4.501E-01 
1.289E+00   3.035E+00  4.481E-01 
1.304E+00   3.052E+00  4.461E-01 
1.319E+00   3.070E+00  4.440E-01 
1.334E+00   3.088E+00  4.420E-01 
1.350E+00   3.105E+00  4.399E-01 
1.365E+00   3.123E+00  4.379E-01 
1.381E+00   3.141E+00  4.358E-01 
1.397E+00   3.160E+00  4.338E-01 
1.413E+00   3.178E+00  4.317E-01 
1.430E+00   3.196E+00  4.297E-01 
1.446E+00   3.215E+00  4.276E-01 
1.463E+00   3.233E+00  4.256E-01 
1.480E+00   3.252E+00  4.235E-01 
1.497E+00   3.271E+00  4.214E-01 
1.515E+00   3.290E+00  4.194E-01 
1.532E+00   3.309E+00  4.173E-01 
1.550E+00   3.328E+00  4.153E-01 
1.568E+00   3.347E+00  4.132E-01 
1.586E+00   3.366E+00  4.112E-01 
1.605E+00   3.386E+00  4.091E-01 
1.623E+00   3.406E+00  4.070E-01 
1.642E+00   3.425E+00  4.050E-01 
1.661E+00   3.445E+00  4.029E-01 
1.680E+00   3.465E+00  4.009E-01 
1.700E+00   3.485E+00  3.988E-01 
1.719E+00   3.505E+00  3.968E-01 
1.739E+00   3.525E+00  3.947E-01 
1.760E+00   3.546E+00  3.927E-01 
1.780E+00   3.566E+00  3.906E-01 
1.801E+00   3.587E+00  3.886E-01 
1.822E+00   3.608E+00  3.866E-01 
1.843E+00   3.629E+00  3.845E-01 
1.864E+00   3.649E+00  3.825E-01 
1.886E+00   3.671E+00  3.804E-01 
1.908E+00   3.692E+00  3.784E-01 
1.930E+00   3.713E+00  3.764E-01 
1.952E+00   3.735E+00  3.743E-01 
1.975E+00   3.756E+00  3.723E-01 
1.998E+00   3.778E+00  3.703E-01 
2.021E+00   3.799E+00  3.683E-01 
2.044E+00   3.820E+00  3.662E-01 
2.068E+00   3.840E+00  3.642E-01 
2.092E+00   3.861E+00  3.622E-01 
2.116E+00   3.882E+00  3.602E-01 
2.141E+00   3.903E+00  3.582E-01 
2.166E+00   3.924E+00  3.562E-01 
2.191E+00   3.945E+00  3.542E-01 
2.216E+00   3.966E+00  3.522E-01 
2.242E+00   3.988E+00  3.502E-01 
2.268E+00   4.009E+00  3.482E-01 
2.294E+00   4.031E+00  3.462E-01 
2.321E+00   4.052E+00  3.443E-01 
2.348E+00   4.074E+00  3.423E-01 
2.375E+00   4.096E+00  3.403E-01 
2.402E+00   4.119E+00  3.383E-01 
2.430E+00   4.141E+00  3.364E-01 
2.458E+00   4.163E+00  3.344E-01 
2.487E+00   4.186E+00  3.325E-01 
2.516E+00   4.209E+00  3.305E-01 
2.545E+00   4.231E+00  3.286E-01 
2.574E+00   4.254E+00  3.266E-01 
2.604E+00   4.277E+00  3.247E-01 
2.635E+00   4.301E+00  3.228E-01 
2.665E+00   4.324E+00  3.208E-01 
2.696E+00   4.348E+00  3.189E-01 
2.727E+00   4.371E+00  3.170E-01 
2.759E+00   4.395E+00  3.151E-01 
2.791E+00   4.419E+00  3.132E-01 
2.823E+00   4.443E+00  3.113E-01 
2.856E+00   4.467E+00  3.094E-01 
2.889E+00   4.492E+00  3.075E-01 
2.923E+00   4.516E+00  3.056E-01 
2.957E+00   4.541E+00  3.037E-01 
2.991E+00   4.566E+00  3.019E-01 
3.026E+00   4.591E+00  3.000E-01 
3.061E+00   4.616E+00  2.981E-01 
3.096E+00   4.641E+00  2.963E-01 
3.132E+00   4.666E+00  2.944E-01 
3.168E+00   4.692E+00  2.926E-01 
