Ion = Hydrogen    . Mass = 1.0079
Tgt = Yb (Solid). Density = 6.96 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.265E+00  2.680E-01 
1.012E+00   7.307E+00  2.683E-01 
1.023E+00   7.350E+00  2.687E-01 
1.035E+00   7.392E+00  2.690E-01 
1.047E+00   7.435E+00  2.694E-01 
1.059E+00   7.478E+00  2.697E-01 
1.072E+00   7.521E+00  2.700E-01 
1.084E+00   7.565E+00  2.704E-01 
1.097E+00   7.608E+00  2.707E-01 
1.109E+00   7.652E+00  2.710E-01 
1.122E+00   7.697E+00  2.713E-01 
1.135E+00   7.741E+00  2.716E-01 
1.148E+00   7.786E+00  2.719E-01 
1.162E+00   7.831E+00  2.722E-01 
1.175E+00   7.876E+00  2.725E-01 
1.189E+00   7.922E+00  2.728E-01 
1.203E+00   7.968E+00  2.731E-01 
1.217E+00   8.014E+00  2.734E-01 
1.231E+00   8.060E+00  2.737E-01 
1.245E+00   8.107E+00  2.740E-01 
1.259E+00   8.154E+00  2.743E-01 
1.274E+00   8.201E+00  2.745E-01 
1.289E+00   8.248E+00  2.748E-01 
1.304E+00   8.296E+00  2.751E-01 
1.319E+00   8.344E+00  2.753E-01 
1.334E+00   8.392E+00  2.756E-01 
1.350E+00   8.441E+00  2.758E-01 
1.365E+00   8.489E+00  2.761E-01 
1.381E+00   8.538E+00  2.763E-01 
1.397E+00   8.588E+00  2.766E-01 
1.413E+00   8.638E+00  2.768E-01 
1.430E+00   8.687E+00  2.770E-01 
1.446E+00   8.738E+00  2.773E-01 
1.463E+00   8.788E+00  2.775E-01 
1.480E+00   8.839E+00  2.777E-01 
1.497E+00   8.890E+00  2.779E-01 
1.515E+00   8.942E+00  2.781E-01 
1.532E+00   8.993E+00  2.784E-01 
1.550E+00   9.045E+00  2.786E-01 
1.568E+00   9.098E+00  2.788E-01 
1.586E+00   9.150E+00  2.789E-01 
1.605E+00   9.203E+00  2.791E-01 
1.623E+00   9.256E+00  2.793E-01 
1.642E+00   9.310E+00  2.795E-01 
1.661E+00   9.364E+00  2.797E-01 
1.680E+00   9.418E+00  2.799E-01 
1.700E+00   9.472E+00  2.800E-01 
1.719E+00   9.527E+00  2.802E-01 
1.739E+00   9.582E+00  2.803E-01 
1.760E+00   9.638E+00  2.805E-01 
1.780E+00   9.693E+00  2.806E-01 
1.801E+00   9.749E+00  2.808E-01 
1.822E+00   9.806E+00  2.809E-01 
1.843E+00   9.862E+00  2.811E-01 
1.864E+00   9.920E+00  2.812E-01 
1.886E+00   9.977E+00  2.813E-01 
1.908E+00   1.003E+01  2.814E-01 
1.930E+00   1.009E+01  2.815E-01 
1.952E+00   1.015E+01  2.817E-01 
1.975E+00   1.021E+01  2.818E-01 
1.998E+00   1.027E+01  2.819E-01 
2.021E+00   1.033E+01  2.820E-01 
2.044E+00   1.037E+01  2.821E-01 
