Ion = Hydrogen    . Mass = 1.0079
Tgt = Lu (Solid). Density = 9.841 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.834E+00  2.673E-01 
1.012E+00   6.873E+00  2.677E-01 
1.023E+00   6.913E+00  2.680E-01 
1.035E+00   6.953E+00  2.683E-01 
1.047E+00   6.993E+00  2.686E-01 
1.059E+00   7.034E+00  2.690E-01 
1.072E+00   7.074E+00  2.693E-01 
1.084E+00   7.115E+00  2.696E-01 
1.097E+00   7.156E+00  2.699E-01 
1.109E+00   7.198E+00  2.702E-01 
1.122E+00   7.239E+00  2.705E-01 
1.135E+00   7.281E+00  2.708E-01 
1.148E+00   7.323E+00  2.711E-01 
1.162E+00   7.366E+00  2.714E-01 
1.175E+00   7.408E+00  2.717E-01 
1.189E+00   7.451E+00  2.720E-01 
1.203E+00   7.494E+00  2.723E-01 
1.217E+00   7.538E+00  2.726E-01 
1.231E+00   7.581E+00  2.728E-01 
1.245E+00   7.625E+00  2.731E-01 
1.259E+00   7.669E+00  2.734E-01 
1.274E+00   7.714E+00  2.736E-01 
1.289E+00   7.758E+00  2.739E-01 
1.304E+00   7.803E+00  2.741E-01 
1.319E+00   7.848E+00  2.744E-01 
1.334E+00   7.893E+00  2.746E-01 
1.350E+00   7.939E+00  2.749E-01 
1.365E+00   7.985E+00  2.751E-01 
1.381E+00   8.031E+00  2.754E-01 
1.397E+00   8.078E+00  2.756E-01 
1.413E+00   8.124E+00  2.758E-01 
1.430E+00   8.171E+00  2.760E-01 
1.446E+00   8.219E+00  2.763E-01 
1.463E+00   8.266E+00  2.765E-01 
1.480E+00   8.314E+00  2.767E-01 
1.497E+00   8.362E+00  2.769E-01 
1.515E+00   8.410E+00  2.771E-01 
1.532E+00   8.459E+00  2.773E-01 
1.550E+00   8.508E+00  2.775E-01 
1.568E+00   8.557E+00  2.777E-01 
1.586E+00   8.607E+00  2.778E-01 
1.605E+00   8.656E+00  2.780E-01 
1.623E+00   8.706E+00  2.782E-01 
1.642E+00   8.757E+00  2.784E-01 
1.661E+00   8.807E+00  2.785E-01 
1.680E+00   8.858E+00  2.787E-01 
1.700E+00   8.910E+00  2.789E-01 
1.719E+00   8.961E+00  2.790E-01 
1.739E+00   9.013E+00  2.792E-01 
1.760E+00   9.065E+00  2.793E-01 
1.780E+00   9.117E+00  2.794E-01 
1.801E+00   9.170E+00  2.796E-01 
1.822E+00   9.223E+00  2.797E-01 
1.843E+00   9.277E+00  2.798E-01 
1.864E+00   9.330E+00  2.800E-01 
1.886E+00   9.384E+00  2.801E-01 
1.908E+00   9.438E+00  2.802E-01 
1.930E+00   9.493E+00  2.803E-01 
1.952E+00   9.548E+00  2.804E-01 
1.975E+00   9.603E+00  2.805E-01 
1.998E+00   9.659E+00  2.806E-01 
2.021E+00   9.713E+00  2.807E-01 
2.044E+00   9.763E+00  2.808E-01 
2.068E+00   9.813E+00  2.808E-01 
2.092E+00   9.863E+00  2.809E-01 
2.116E+00   9.913E+00  2.810E-01 
2.141E+00   9.964E+00  2.811E-01 
2.166E+00   1.001E+01  2.811E-01 
2.191E+00   1.007E+01  2.812E-01 
2.216E+00   1.012E+01  2.812E-01 
2.242E+00   1.017E+01  2.813E-01 
2.268E+00   1.022E+01  2.813E-01 
2.294E+00   1.027E+01  2.813E-01 
2.321E+00   1.033E+01  2.814E-01 
2.348E+00   1.038E+01  2.814E-01 
2.375E+00   1.043E+01  2.814E-01 
2.402E+00   1.049E+01  2.814E-01 
2.430E+00   1.054E+01  2.814E-01 
2.458E+00   1.059E+01  2.815E-01 
2.487E+00   1.065E+01  2.815E-01 
2.516E+00   1.070E+01  2.814E-01 
2.545E+00   1.076E+01  2.814E-01 
