Ion = Hydrogen    . Mass = 1.0079
Tgt = Hf (Solid). Density = 13.31 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.734E+00  2.651E-01 
1.012E+00   5.768E+00  2.655E-01 
1.023E+00   5.801E+00  2.658E-01 
1.035E+00   5.834E+00  2.661E-01 
1.047E+00   5.868E+00  2.665E-01 
1.059E+00   5.902E+00  2.668E-01 
1.072E+00   5.936E+00  2.671E-01 
1.084E+00   5.971E+00  2.674E-01 
1.097E+00   6.005E+00  2.677E-01 
1.109E+00   6.040E+00  2.680E-01 
1.122E+00   6.075E+00  2.683E-01 
1.135E+00   6.110E+00  2.686E-01 
1.148E+00   6.145E+00  2.689E-01 
1.162E+00   6.181E+00  2.692E-01 
1.175E+00   6.217E+00  2.695E-01 
1.189E+00   6.253E+00  2.698E-01 
1.203E+00   6.289E+00  2.701E-01 
1.217E+00   6.325E+00  2.703E-01 
1.231E+00   6.362E+00  2.706E-01 
1.245E+00   6.398E+00  2.709E-01 
1.259E+00   6.435E+00  2.712E-01 
1.274E+00   6.473E+00  2.714E-01 
1.289E+00   6.510E+00  2.717E-01 
1.304E+00   6.548E+00  2.719E-01 
1.319E+00   6.586E+00  2.722E-01 
1.334E+00   6.624E+00  2.724E-01 
1.350E+00   6.662E+00  2.727E-01 
1.365E+00   6.700E+00  2.729E-01 
1.381E+00   6.739E+00  2.731E-01 
1.397E+00   6.778E+00  2.734E-01 
1.413E+00   6.817E+00  2.736E-01 
1.430E+00   6.857E+00  2.738E-01 
1.446E+00   6.896E+00  2.740E-01 
1.463E+00   6.936E+00  2.742E-01 
1.480E+00   6.976E+00  2.745E-01 
1.497E+00   7.017E+00  2.747E-01 
1.515E+00   7.057E+00  2.749E-01 
1.532E+00   7.098E+00  2.751E-01 
1.550E+00   7.139E+00  2.752E-01 
1.568E+00   7.181E+00  2.754E-01 
1.586E+00   7.222E+00  2.756E-01 
1.605E+00   7.264E+00  2.758E-01 
1.623E+00   7.306E+00  2.760E-01 
1.642E+00   7.348E+00  2.761E-01 
1.661E+00   7.391E+00  2.763E-01 
1.680E+00   7.433E+00  2.765E-01 
1.700E+00   7.476E+00  2.766E-01 
1.719E+00   7.519E+00  2.768E-01 
1.739E+00   7.563E+00  2.769E-01 
1.760E+00   7.607E+00  2.771E-01 
1.780E+00   7.651E+00  2.772E-01 
1.801E+00   7.695E+00  2.774E-01 
1.822E+00   7.739E+00  2.775E-01 
1.843E+00   7.784E+00  2.776E-01 
1.864E+00   7.829E+00  2.777E-01 
1.886E+00   7.874E+00  2.779E-01 
1.908E+00   7.920E+00  2.780E-01 
1.930E+00   7.966E+00  2.781E-01 
1.952E+00   8.012E+00  2.782E-01 
1.975E+00   8.058E+00  2.783E-01 
1.998E+00   8.105E+00  2.784E-01 
2.021E+00   8.151E+00  2.785E-01 
2.044E+00   8.193E+00  2.786E-01 
2.068E+00   8.235E+00  2.786E-01 
2.092E+00   8.278E+00  2.787E-01 
2.116E+00   8.321E+00  2.788E-01 
2.141E+00   8.364E+00  2.789E-01 
2.166E+00   8.408E+00  2.789E-01 
2.191E+00   8.452E+00  2.790E-01 
2.216E+00   8.495E+00  2.790E-01 
2.242E+00   8.540E+00  2.791E-01 
2.268E+00   8.584E+00  2.791E-01 
2.294E+00   8.629E+00  2.792E-01 
2.321E+00   8.674E+00  2.792E-01 
2.348E+00   8.719E+00  2.792E-01 
2.375E+00   8.764E+00  2.792E-01 
2.402E+00   8.810E+00  2.793E-01 
2.430E+00   8.856E+00  2.793E-01 
2.458E+00   8.902E+00  2.793E-01 
2.487E+00   8.949E+00  2.793E-01 
2.516E+00   8.996E+00  2.793E-01 
2.545E+00   9.043E+00  2.793E-01 
2.574E+00   9.090E+00  2.793E-01 
2.604E+00   9.137E+00  2.793E-01 
2.635E+00   9.185E+00  2.792E-01 
2.665E+00   9.233E+00  2.792E-01 
2.696E+00   9.282E+00  2.792E-01 
2.727E+00   9.330E+00  2.791E-01 
2.759E+00   9.379E+00  2.791E-01 
2.791E+00   9.428E+00  2.790E-01 
2.823E+00   9.478E+00  2.790E-01 
2.856E+00   9.527E+00  2.789E-01 
2.889E+00   9.577E+00  2.789E-01 
2.923E+00   9.628E+00  2.788E-01 
2.957E+00   9.678E+00  2.787E-01 
2.991E+00   9.729E+00  2.786E-01 
3.026E+00   9.780E+00  2.786E-01 
3.061E+00   9.832E+00  2.785E-01 
3.096E+00   9.883E+00  2.784E-01 
3.132E+00   9.935E+00  2.783E-01 
3.168E+00   9.987E+00  2.782E-01 
3.205E+00   1.004E+01  2.781E-01 
3.242E+00   1.009E+01  2.779E-01 
3.280E+00   1.015E+01  2.778E-01 
3.318E+00   1.020E+01  2.777E-01 
3.356E+00   1.025E+01  2.776E-01 
3.395E+00   1.031E+01  2.774E-01 
3.435E+00   1.036E+01  2.773E-01 
3.475E+00   1.042E+01  2.771E-01 
3.515E+00   1.047E+01  2.770E-01 
3.556E+00   1.053E+01  2.768E-01 
3.597E+00   1.058E+01  2.767E-01 
3.639E+00   1.064E+01  2.765E-01 
3.681E+00   1.069E+01  2.763E-01 
3.724E+00   1.075E+01  2.761E-01 
3.767E+00   1.081E+01  2.759E-01 
3.810E+00   1.086E+01  2.758E-01 
3.855E+00   1.092E+01  2.756E-01 
3.899E+00   1.098E+01  2.754E-01 
3.945E+00   1.104E+01  2.751E-01 
3.990E+00   1.110E+01  2.749E-01 
4.037E+00   1.115E+01  2.747E-01 
4.083E+00   1.121E+01  2.745E-01 
4.131E+00   1.127E+01  2.743E-01 
4.179E+00   1.133E+01  2.740E-01 
4.227E+00   1.139E+01  2.738E-01 
4.276E+00   1.145E+01  2.735E-01 
4.326E+00   1.151E+01  2.733E-01 
4.376E+00   1.157E+01  2.730E-01 
4.427E+00   1.163E+01  2.728E-01 
4.478E+00   1.170E+01  2.725E-01 
4.530E+00   1.176E+01  2.722E-01 
4.583E+00   1.182E+01  2.719E-01 
4.636E+00   1.188E+01  2.716E-01 
4.690E+00   1.195E+01  2.714E-01 
4.744E+00   1.201E+01  2.711E-01 
4.799E+00   1.207E+01  2.708E-01 
4.855E+00   1.214E+01  2.704E-01 
4.911E+00   1.220E+01  2.701E-01 
4.968E+00   1.227E+01  2.698E-01 
5.026E+00   1.233E+01  2.695E-01 
5.084E+00   1.240E+01  2.692E-01 
5.143E+00   1.246E+01  2.688E-01 
5.202E+00   1.253E+01  2.685E-01 
5.263E+00   1.259E+01  2.681E-01 
5.324E+00   1.266E+01  2.678E-01 
5.386E+00   1.273E+01  2.674E-01 
5.448E+00   1.280E+01  2.671E-01 
5.511E+00   1.286E+01  2.667E-01 
5.575E+00   1.293E+01  2.663E-01 
5.640E+00   1.300E+01  2.659E-01 
5.705E+00   1.307E+01  2.655E-01 
5.771E+00   1.314E+01  2.652E-01 
5.838E+00   1.321E+01  2.648E-01 
5.906E+00   1.328E+01  2.644E-01 
5.975E+00   1.335E+01  2.640E-01 
6.044E+00   1.342E+01  2.635E-01 
6.114E+00   1.349E+01  2.631E-01 
6.185E+00   1.356E+01  2.627E-01 
6.257E+00   1.363E+01  2.623E-01 
6.329E+00   1.370E+01  2.618E-01 
6.403E+00   1.378E+01  2.614E-01 
6.477E+00   1.385E+01  2.610E-01 
6.552E+00   1.392E+01  2.605E-01 
6.628E+00   1.400E+01  2.600E-01 
6.705E+00   1.407E+01  2.596E-01 
6.783E+00   1.415E+01  2.591E-01 
6.861E+00   1.422E+01  2.586E-01 
6.941E+00   1.430E+01  2.582E-01 
7.021E+00   1.437E+01  2.577E-01 
7.103E+00   1.445E+01  2.572E-01 
7.185E+00   1.452E+01  2.567E-01 
7.269E+00   1.460E+01  2.562E-01 
7.353E+00   1.468E+01  2.557E-01 
7.438E+00   1.476E+01  2.552E-01 
7.524E+00   1.483E+01  2.547E-01 
7.612E+00   1.491E+01  2.542E-01 
7.700E+00   1.499E+01  2.537E-01 
7.789E+00   1.507E+01  2.531E-01 
7.880E+00   1.515E+01  2.526E-01 
7.971E+00   1.523E+01  2.521E-01 
8.064E+00   1.531E+01  2.515E-01 
8.157E+00   1.539E+01  2.510E-01 
8.252E+00   1.547E+01  2.504E-01 
8.347E+00   1.555E+01  2.499E-01 
8.444E+00   1.564E+01  2.493E-01 
8.542E+00   1.572E+01  2.487E-01 
8.641E+00   1.580E+01  2.482E-01 
8.741E+00   1.588E+01  2.476E-01 
8.843E+00   1.597E+01  2.470E-01 
8.945E+00   1.605E+01  2.464E-01 
9.049E+00   1.614E+01  2.458E-01 
9.154E+00   1.622E+01  2.452E-01 
9.260E+00   1.631E+01  2.446E-01 
9.368E+00   1.639E+01  2.440E-01 
9.476E+00   1.648E+01  2.434E-01 
9.586E+00   1.657E+01  2.428E-01 
9.698E+00   1.665E+01  2.422E-01 
9.810E+00   1.674E+01  2.416E-01 
9.924E+00   1.683E+01  2.409E-01 
1.004E+01   1.692E+01  2.403E-01 
1.016E+01   1.700E+01  2.397E-01 
1.027E+01   1.709E+01  2.390E-01 
1.039E+01   1.718E+01  2.384E-01 
1.051E+01   1.727E+01  2.377E-01 
1.063E+01   1.736E+01  2.371E-01 
1.076E+01   1.745E+01  2.364E-01 
1.088E+01   1.754E+01  2.358E-01 
1.101E+01   1.764E+01  2.351E-01 
1.114E+01   1.773E+01  2.344E-01 
1.127E+01   1.782E+01  2.338E-01 
1.140E+01   1.791E+01  2.331E-01 
1.153E+01   1.801E+01  2.324E-01 
1.166E+01   1.810E+01  2.317E-01 
1.180E+01   1.819E+01  2.310E-01 
1.193E+01   1.829E+01  2.303E-01 
1.207E+01   1.838E+01  2.297E-01 
1.221E+01   1.848E+01  2.290E-01 
1.235E+01   1.858E+01  2.282E-01 
1.250E+01   1.867E+01  2.275E-01 
1.264E+01   1.877E+01  2.268E-01 
1.279E+01   1.886E+01  2.261E-01 
1.294E+01   1.896E+01  2.254E-01 
1.309E+01   1.906E+01  2.247E-01 
1.324E+01   1.916E+01  2.240E-01 
1.339E+01   1.926E+01  2.232E-01 
1.355E+01   1.936E+01  2.225E-01 
1.371E+01   1.946E+01  2.218E-01 
1.387E+01   1.956E+01  2.210E-01 
1.403E+01   1.966E+01  2.203E-01 
1.419E+01   1.976E+01  2.196E-01 
1.435E+01   1.986E+01  2.188E-01 
1.452E+01   1.996E+01  2.181E-01 
1.469E+01   2.006E+01  2.173E-01 
1.486E+01   2.016E+01  2.166E-01 
1.503E+01   2.027E+01  2.158E-01 
1.521E+01   2.037E+01  2.150E-01 
1.538E+01   2.047E+01  2.143E-01 
1.556E+01   2.058E+01  2.135E-01 
1.574E+01   2.068E+01  2.127E-01 
1.592E+01   2.079E+01  2.120E-01 
1.611E+01   2.089E+01  2.112E-01 
1.629E+01   2.100E+01  2.104E-01 
1.648E+01   2.110E+01  2.097E-01 
1.667E+01   2.121E+01  2.089E-01 
1.687E+01   2.132E+01  2.081E-01 
1.706E+01   2.143E+01  2.073E-01 
1.726E+01   2.153E+01  2.065E-01 
1.746E+01   2.164E+01  2.057E-01 
1.766E+01   2.175E+01  2.049E-01 
1.787E+01   2.186E+01  2.041E-01 
1.808E+01   2.197E+01  2.034E-01 
1.829E+01   2.208E+01  2.026E-01 
1.850E+01   2.219E+01  2.018E-01 
1.871E+01   2.230E+01  2.010E-01 
1.893E+01   2.241E+01  2.002E-01 
1.915E+01   2.252E+01  1.994E-01 
1.937E+01   2.263E+01  1.985E-01 
1.960E+01   2.274E+01  1.977E-01 
1.982E+01   2.285E+01  1.969E-01 
2.005E+01   2.297E+01  1.961E-01 
2.029E+01   2.308E+01  1.953E-01 
2.052E+01   2.319E+01  1.945E-01 
2.076E+01   2.331E+01  1.937E-01 
2.100E+01   2.342E+01  1.929E-01 
2.124E+01   2.353E+01  1.920E-01 
2.149E+01   2.365E+01  1.912E-01 
2.174E+01   2.376E+01  1.904E-01 
2.199E+01   2.388E+01  1.896E-01 
2.225E+01   2.399E+01  1.888E-01 
2.250E+01   2.411E+01  1.879E-01 
2.277E+01   2.423E+01  1.871E-01 
2.303E+01   2.434E+01  1.863E-01 
2.330E+01   2.446E+01  1.855E-01 
2.357E+01   2.458E+01  1.846E-01 
2.384E+01   2.469E+01  1.838E-01 
2.412E+01   2.481E+01  1.830E-01 
2.440E+01   2.493E+01  1.822E-01 
2.468E+01   2.505E+01  1.813E-01 
2.497E+01   2.516E+01  1.805E-01 
2.526E+01   2.528E+01  1.797E-01 
2.555E+01   2.540E+01  1.788E-01 
2.584E+01   2.552E+01  1.780E-01 
2.614E+01   2.564E+01  1.772E-01 
2.645E+01   2.576E+01  1.764E-01 
2.675E+01   2.588E+01  1.755E-01 
2.707E+01   2.600E+01  1.747E-01 
2.738E+01   2.612E+01  1.739E-01 
2.770E+01   2.624E+01  1.730E-01 
2.802E+01   2.636E+01  1.722E-01 
2.834E+01   2.648E+01  1.714E-01 
2.867E+01   2.660E+01  1.705E-01 
2.900E+01   2.672E+01  1.697E-01 
2.934E+01   2.684E+01  1.689E-01 
2.968E+01   2.696E+01  1.680E-01 
3.003E+01   2.708E+01  1.672E-01 
3.037E+01   2.720E+01  1.664E-01 
3.073E+01   2.733E+01  1.655E-01 
3.108E+01   2.745E+01  1.647E-01 
3.144E+01   2.757E+01  1.639E-01 
3.181E+01   2.769E+01  1.631E-01 
3.218E+01   2.781E+01  1.622E-01 
3.255E+01   2.793E+01  1.614E-01 
3.293E+01   2.806E+01  1.606E-01 
3.331E+01   2.818E+01  1.597E-01 
3.370E+01   2.830E+01  1.589E-01 
3.409E+01   2.842E+01  1.581E-01 
3.448E+01   2.854E+01  1.573E-01 
3.488E+01   2.866E+01  1.564E-01 
3.529E+01   2.879E+01  1.556E-01 
3.570E+01   2.891E+01  1.548E-01 
3.611E+01   2.903E+01  1.540E-01 
3.653E+01   2.915E+01  1.532E-01 
3.695E+01   2.927E+01  1.523E-01 
3.738E+01   2.939E+01  1.515E-01 
3.781E+01   2.951E+01  1.507E-01 
3.825E+01   2.964E+01  1.499E-01 
3.870E+01   2.976E+01  1.491E-01 
3.915E+01   2.988E+01  1.483E-01 
3.960E+01   3.000E+01  1.474E-01 
4.006E+01   3.012E+01  1.466E-01 
4.052E+01   3.024E+01  1.458E-01 
4.099E+01   3.036E+01  1.450E-01 
4.147E+01   3.048E+01  1.442E-01 
4.195E+01   3.060E+01  1.434E-01 
4.244E+01   3.072E+01  1.426E-01 
4.293E+01   3.083E+01  1.418E-01 
4.343E+01   3.095E+01  1.410E-01 
4.393E+01   3.107E+01  1.402E-01 
4.444E+01   3.119E+01  1.394E-01 
4.496E+01   3.130E+01  1.386E-01 
4.548E+01   3.142E+01  1.378E-01 
4.600E+01   3.154E+01  1.370E-01 
4.654E+01   3.165E+01  1.362E-01 
4.708E+01   3.177E+01  1.354E-01 
4.762E+01   3.188E+01  1.347E-01 
4.818E+01   3.200E+01  1.339E-01 
4.873E+01   3.211E+01  1.331E-01 
4.930E+01   3.223E+01  1.323E-01 
4.987E+01   3.234E+01  1.315E-01 
5.045E+01   3.245E+01  1.307E-01 
5.104E+01   3.256E+01  1.300E-01 
5.163E+01   3.267E+01  1.292E-01 
5.223E+01   3.278E+01  1.284E-01 
5.283E+01   3.289E+01  1.277E-01 
5.344E+01   3.300E+01  1.269E-01 
5.406E+01   3.311E+01  1.261E-01 
5.469E+01   3.322E+01  1.254E-01 
5.533E+01   3.333E+01  1.246E-01 
5.597E+01   3.343E+01  1.238E-01 
5.662E+01   3.354E+01  1.231E-01 
5.727E+01   3.364E+01  1.223E-01 
5.794E+01   3.374E+01  1.216E-01 
5.861E+01   3.385E+01  1.208E-01 
5.929E+01   3.395E+01  1.201E-01 
5.998E+01   3.405E+01  1.193E-01 
6.067E+01   3.415E+01  1.186E-01 
6.138E+01   3.425E+01  1.179E-01 
6.209E+01   3.435E+01  1.171E-01 
6.281E+01   3.444E+01  1.164E-01 
6.354E+01   3.454E+01  1.157E-01 
6.427E+01   3.463E+01  1.149E-01 
6.502E+01   3.473E+01  1.142E-01 
6.577E+01   3.482E+01  1.135E-01 
6.654E+01   3.491E+01  1.128E-01 
6.731E+01   3.500E+01  1.120E-01 
6.809E+01   3.509E+01  1.113E-01 
6.888E+01   3.517E+01  1.106E-01 
6.968E+01   3.526E+01  1.099E-01 
7.049E+01   3.534E+01  1.092E-01 
7.130E+01   3.543E+01  1.085E-01 
7.213E+01   3.551E+01  1.078E-01 
7.297E+01   3.559E+01  1.071E-01 
7.381E+01   3.567E+01  1.064E-01 
7.467E+01   3.575E+01  1.057E-01 
7.554E+01   3.582E+01  1.050E-01 
7.641E+01   3.590E+01  1.043E-01 
7.730E+01   3.597E+01  1.036E-01 
7.820E+01   3.604E+01  1.029E-01 
7.910E+01   3.611E+01  1.022E-01 
8.002E+01   3.618E+01  1.016E-01 
8.095E+01   3.625E+01  1.009E-01 
8.189E+01   3.631E+01  1.002E-01 
8.284E+01   3.638E+01  9.954E-02 
8.380E+01   3.644E+01  9.887E-02 
8.477E+01   3.650E+01  9.820E-02 
8.575E+01   3.656E+01  9.754E-02 
8.675E+01   3.661E+01  9.688E-02 
8.775E+01   3.667E+01  9.623E-02 
8.877E+01   3.672E+01  9.557E-02 
8.980E+01   3.677E+01  9.492E-02 
9.084E+01   3.682E+01  9.427E-02 
9.190E+01   3.687E+01  9.363E-02 
9.296E+01   3.691E+01  9.299E-02 
9.404E+01   3.696E+01  9.235E-02 
9.513E+01   3.700E+01  9.171E-02 
9.624E+01   3.704E+01  9.108E-02 
9.735E+01   3.707E+01  9.045E-02 
9.848E+01   3.711E+01  8.982E-02 
9.962E+01   3.714E+01  8.920E-02 
1.008E+02   3.717E+01  8.857E-02 
1.019E+02   3.720E+01  8.796E-02 
1.031E+02   3.723E+01  8.734E-02 
1.043E+02   3.725E+01  8.673E-02 
1.055E+02   3.728E+01  8.612E-02 
1.068E+02   3.730E+01  8.551E-02 
1.080E+02   3.731E+01  8.491E-02 
1.093E+02   3.733E+01  8.431E-02 
1.105E+02   3.734E+01  8.371E-02 
1.118E+02   3.735E+01  8.312E-02 
1.131E+02   3.736E+01  8.252E-02 
1.144E+02   3.737E+01  8.194E-02 
1.157E+02   3.737E+01  8.135E-02 
1.171E+02   3.738E+01  8.077E-02 
1.184E+02   3.738E+01  8.019E-02 
1.198E+02   3.737E+01  7.961E-02 
1.212E+02   3.737E+01  7.904E-02 
1.226E+02   3.736E+01  7.847E-02 
1.240E+02   3.735E+01  7.790E-02 
1.255E+02   3.734E+01  7.733E-02 
1.269E+02   3.733E+01  7.677E-02 
1.284E+02   3.731E+01  7.621E-02 
1.299E+02   3.729E+01  7.566E-02 
1.314E+02   3.727E+01  7.511E-02 
1.329E+02   3.725E+01  7.456E-02 
1.345E+02   3.722E+01  7.401E-02 
1.360E+02   3.719E+01  7.347E-02 
1.376E+02   3.716E+01  7.293E-02 
1.392E+02   3.713E+01  7.239E-02 
1.408E+02   3.709E+01  7.185E-02 
1.424E+02   3.705E+01  7.132E-02 
1.441E+02   3.701E+01  7.079E-02 
1.458E+02   3.697E+01  7.027E-02 
1.475E+02   3.693E+01  6.974E-02 
1.492E+02   3.688E+01  6.922E-02 
1.509E+02   3.683E+01  6.871E-02 
1.526E+02   3.678E+01  6.819E-02 
